"Hs_symbol","Motor_neurons-S18_rep_1","Motor_neurons-S22_rep_2","Motor_neurons-S26_rep_3","Motor_neurons-S18_rep_1_read","Motor_neurons-S22_rep_2_read","Motor_neurons-S26_rep_3_read","Hs_Avg_TPM","Nociceptor(8Weeks)-S24_rep_2","Nociceptor(8Weeks)-S28_rep_3","Nociceptor(8Weeks)-S6_rep_1","Nociceptor(8Weeks)-S24_rep_2_read","Nociceptor(8Weeks)-S28_rep_3_read","Nociceptor(8Weeks)-S6_rep_1_read","Hs_Avg__TPM","FoldChange"
"HIVEP3",3.7187,3.646931,3.213753,449,553,544,206.285387,4.323975,5.45547,6.340745,359,514,477,166.031544666667,1.24099545037235
"HJURP",0.53065,0.18205,0.293943,6,5,6,139.156954666667,11.546594,2.342972,8.364585,204,31,101,157.646672666667,0.883453477534642
"HJV",0,0,0.038942,0,0,1,1.72544433333333,7.461613,0.064369,0,141,1,0,0.341009333333333,2.03238282209321
"HK1",312.22698,265.687838,328.199293,5770,7208,8392,0.718614666666667,310.552634,286.188692,211.395842,6906,4690,4278,0.962518333333333,0.875719037868861
"HK2",1.612742,0.107117,8.651045,145,14,1144,14.575809,26.779149,3.121418,3.572476,2164,175,188,15.8630343333333,0.92366585349418
"HK3",2.953644,1.547931,1.469586,13,8,7,8.59417066666667,0,0,0.052896,0,0,2,7.299764,1.15595704488304
"HKDC1",0.169107,0,0.011693,10,0,1,1.69641633333333,0.443193,0.63827,0.442335,6,20,14,0.479282333333333,1.82278681531833
"HLA.A",54.899037,68.469082,78.911347,1235,2124,2609,0.197537666666667,102.005195,75.042511,94.208556,2679,1473,1622,0.112959666666667,1.07599376916624
"HLA.B",314.184178,495.087342,510.033158,669,1372,1813,5.18791566666667,718.913795,736.574269,1089.294651,1657,1331,1665,1.89698033333333,2.13598815134057
"HLA.C",42.53073,52.983544,68.266183,888,1541,2132,0.26653,51.37546,45.327317,65.22703,1279,873,1104,34.4428303333333,0.03573444863428
"HLA.DMA",4.148105,1.909988,3.558603,48,32,58,55.2263053333333,3.381509,12.222632,19.706985,40,109,148,79.9365106666667,0.694696433911005
"HLA.DMB",2.582006,1.406521,2.449814,38,57,79,230.234206666667,0.200242,1.749916,2.55561,5,37,44,266.979064333333,0.862881610703139
"HLA.DOA",1.209863,2.870044,4.778955,68,96,151,0.0181546666666667,0.916391,3.825695,15.124474,36,136,178,0,1.01815466666667
"HLA.DOB",0.581118,0.346769,0.269407,7,9,8,39.2705826666667,1.008455,0.221454,0.272069,14,2,4,23.7378636666667,1.62789249748068
"HLA.DPA1",6.989766,5.659222,4.722697,62,56,99,16.302291,2.672293,43.18634,64.8403,38,411,609,17.1357646666667,0.954042540693165
"HLA.DPB1",18.123571,13.636773,19.474239,218,254,377,52.891549,7.869338,15.121717,22.208581,109,184,223,93.3263336666667,0.571330898860584
"HLA.DPB2",4.889424,5.001078,4.703167,65,88,90,0.419026,0.202575,0.195221,0.158495,3,2,2,0.506141,0.942160129762087
"HLA.DQA1",0.036596,0.104621,0.200074,3,8,8,28.3997,0.088181,2.501792,6.760368,9,38,64,36.7739716666667,0.778305767247227
"HLA.DQA1.1",0,0,0.049977,0,0,1,9.42657766666667,0.183393,2.288262,4.62723,4,41,74,7.471103,1.23084061977132
"HLA.DQB1",4.099045,1.911329,4.285521,22,24,40,0.476272,1.477075,8.102855,16.850393,14,45,65,6.62113833333333,0.193707545438859
"HLA.DQB1.AS1",0,0,0.13522,0,0,1,62.832219,0,0.447229,0,0,2,0,66.216116,0.949656463339833
"HLA.DQB2",1.033695,0.401895,1.085281,10,8,14,69.8663413333333,0.104015,1.656901,3.128309,1,19,28,55.3301123333333,1.25805432295221
"HLA.DRA",0.651032,0.522559,1.185179,11,12,29,25.3689993333333,3.02056,57.36783,93.133681,59,850,1220,29.7989773333333,0.856164769626766
"HLA.DRB1",2.603287,2.371279,3.673943,45,56,91,16.200938,1.902008,22.503581,34.41779,38,340,453,18.168153,0.897370654334823
