"Hs_symbol","Motor_neurons-S18_rep_1","Motor_neurons-S22_rep_2","Motor_neurons-S26_rep_3","Motor_neurons-S18_rep_1_read","Motor_neurons-S22_rep_2_read","Motor_neurons-S26_rep_3_read","Hs_Avg_TPM","Nociceptor(8Weeks)-S24_rep_2","Nociceptor(8Weeks)-S28_rep_3","Nociceptor(8Weeks)-S6_rep_1","Nociceptor(8Weeks)-S24_rep_2_read","Nociceptor(8Weeks)-S28_rep_3_read","Nociceptor(8Weeks)-S6_rep_1_read","Hs_Avg__TPM","FoldChange"
"A1BG",18.566797,13.425058,13.989052,182,164,192,9.26790433333333,8.512248,7.362639,11.019571,104,79,86,13.451698,0.710498125087677
"A1BG.AS1",4.485336,3.910238,3.890783,109,146,152,0.0150216666666667,5.039933,6.148286,5.339118,154,135,110,0.465388333333333,0.692663946871876
"A1CF",0.232084,0.063162,0.004811,1,5,1,16.220613,0.012027,0,0.110455,2,0,3,22.081877,0.746066405258117
"A2M",20.514891,0.866071,0.291101,519,12,14,2.97925533333333,166.022861,193.59196,157.990809,4945,3898,3159,3.21241433333333,0.944649556869327
"A2M.AS1",1.875543,1.328968,1.240804,64,74,69,0.837580333333333,1.219486,1.437591,2.081773,62,50,52,2.37860833333333,0.543886758107998
"A2ML1",0.466725,0.673839,0.170052,5,14,11,0.0526876666666667,0.804659,0.257959,0.950643,15,4,6,0.0321696666666667,1.0198785148049
"A2MP1",0.061885,0.170176,0.221341,2,2,6,0.389514666666667,0,0.07058,0.098361,0,3,1,2.59883833333333,0.38610088533198
"A3GALT2",0.438529,0.497281,0.204317,5,8,4,11.568825,0.144755,0.097166,0.113413,2,1,1,19.0452523333333,0.627022538354344
"A4GALT",13.724676,11.545392,14.652328,285,366,484,13.5687636666667,4.719891,2.211286,2.676825,75,26,24,20.6474723333333,0.673000683051264
"A4GNT",0.153016,0.028124,0,4,1,0,8.37407766666667,0.099138,0,0,3,0,0,12.9156153333333,0.673637309031681
"AA06",0,0,0,0,0,0,12.7766293333333,0,0,0,0,0,0,3.95170633333333,2.78219837888879
"AAAS",13.508489,16.738215,19.022055,343,455,490,30.1619223333333,22.215928,24.455156,21.480131,578,403,355,10.661894,2.67211503837484
"AACS",15.145339,10.858128,8.980095,461,652,560,16.2866656666667,17.933589,18.199238,25.629245,910,792,813,18.3099346666667,0.895221344094311
"AACSP1",0.721078,1.223639,1.219131,29,62,70,3.992751,0.872217,1.108501,1.29987,31,37,38,3.96581966666667,1.00542334098721
"AADAC",0,0,0,0,0,0,15.380365,0,0,0,0,0,0,8.49255,1.72560218276438
"AADACL2",0,0,0,0,0,0,9.19627866666667,0,0,0.016678,0,0,1,3.72774066666667,2.15669161774384
"AADACL3",0,0.011945,0,0,1,0,13.2169563333333,0,0,0,0,0,0,12.422446,1.05919266379118
"AADACL4",0.043998,0,0,1,0,0,75.0999046666667,0,0,0,0,0,0,64.3740113333333,1.1640696832667
"AADACP1",0.056238,0,0,1,0,0,14.6130316666667,0,0,0,0,0,0,18.698069,0.792617371107121
"AADAT",16.560745,15.539194,12.933418,429,514,491,16.745054,13.595651,16.190365,22.775181,324,335,359,23.3733143333333,0.728052564264171
"AAGAB",41.413864,42.849994,35.918127,993,1426,1315,96.488751,22.912872,27.695939,31.184347,656,567,572,85.3960573333333,1.12839351712392
"AAK1",11.518232,13.289394,13.438405,2499,3549,3550,9.86786333333333,11.479212,14.408764,9.576512,2755,2090,1905,22.4159426666667,0.464122392510129
"AAMDC",9.532266,5.352023,7.306193,48,40,51,19.3151253333333,13.752073,7.993795,9.099596,71,41,35,95.412105,0.210711355522559
"AAMP",72.348646,70.27047,54.966626,935,1376,1193,1.45578866666667,63.531145,62.598294,71.307854,995,729,745,3.17943366666667,0.587588860723634
"AANAT",0.253842,0.182542,0.515652,1,1,6,0,0.21683,0.243358,0.326805,4,5,1,0.16966,0.854949301506421
"AAR2",9.862522,12.742074,9.815474,384,679,543,0.0465643333333333,10.815465,10.804659,13.984677,486,364,414,0.318630333333333,0.79367530601829
"AARD",0.160926,0.129803,0.240983,5,6,12,10.131919,1.609116,1.070727,1.582262,36,32,31,11.6859796666667,0.877497780423685
"AARS1",61.137205,66.203897,57.698854,2513,3252,3240,33.9592853333333,44.0177,45.687718,47.566252,2192,1394,1433,41.0454603333333,0.831463969146221
"AARS2",4.02726,4.870429,3.692426,318,528,425,22.3376433333333,5.079803,4.491045,5.615728,446,312,330,44.5256796666667,0.512625918035901
"AARSD1",57.596898,71.665882,48.347544,392,756,544,10.569663,51.795203,58.156602,82.475187,415,381,422,10.5240543333333,1.00395769278306
"AASDH",5.317648,4.075445,5.487073,154,175,182,43.666992,6.432077,7.774202,3.850395,231,167,150,6.46824466666667,5.98092242469828
"AASDHPPT",104.747918,110.344793,89.985303,3116,4632,3686,139.696805,58.628575,94.077285,98.573128,1977,2473,2685,241.605922,0.579939697432448
"AASS",2.628604,2.250706,1.439504,225,282,185,28.594794,13.774036,8.645864,8.691924,1272,600,554,12.0579066666667,2.26642713533461
"AATBC",0.101052,0.061185,0.102274,6,3,7,0.462397,0.144469,0.015034,0,4,1,0,1.71886566666667,0.537870266239708
"AATF",16.465887,17.429714,15.691305,276,428,414,30.1587223333333,15.556557,12.511396,24.184485,282,197,252,30.8474996666667,0.978372640221605
"AATK",16.385879,16.887406,16.473264,581,867,1089,41.9430956666667,10.041919,13.414946,14.753141,524,498,547,33.5235333333333,1.24387892896247
"ABALON",1.878141,1.092098,1.292027,54,43,54,14.7507913333333,1.200849,0.954706,0.995018,40,24,22,20.2352756666667,0.741727660171494
"ABAT",59.088785,64.587057,41.158971,3015,4574,3152,0.356269333333333,20.235765,20.679629,22.875907,1501,1015,1095,0.294678,1.04757270404945
"ABCA1",4.587007,4.124422,3.096802,771,969,758,13.6558153333333,9.443781,4.284659,2.688057,1855,645,360,20.1129566666667,0.694162147193343
"ABCA10",1.20466,0.95142,0.489229,24,31,27,2.854131,4.203212,3.140601,2.629465,127,77,72,4.15853733333333,0.747136397578332
"ABCA11P",1.784649,1.474793,0.919267,51,54,37,19.5815453333333,2.951542,3.925685,3.428422,94,89,71,16.089958,1.20430637297841
"ABCA12",0.060479,0.006374,0,9,1,0,156.470874666667,0.045172,0.022129,0.054667,8,3,5,205.454585,0.762738568710725
"ABCA13",0.018797,0.084847,0.059631,1,8,6,14.4847353333333,0.473253,0.153458,0.298046,16,13,6,19.4391393333333,0.757602122124581
"ABCA17P",4.66571,1.657589,2.029971,35,13,40,0.368363333333333,3.708489,2.524203,3.578368,36,18,16,0.322248333333333,1.03487620202458
"ABCA2",86.10463,86.558699,80.710993,2072,2678,2585,94.3114753333333,65.073528,68.481942,65.791533,2021,1255,1196,94.1297176666667,1.0019106297288
"ABCA3",55.59978,54.652489,44.714698,4782,6902,6185,33.0884343333333,27.609577,42.459618,39.449413,3105,3571,2969,25.8438886666667,1.26987690779923
"ABCA4",0.709647,0.545438,0.159905,39,1,1,28.3998213333333,1.143229,0.018773,0.021485,17,1,2,28.9589186666667,0.981337866711611
"ABCA5",10.668791,9.107596,7.662206,513,604,633,3.178246,12.626236,11.918269,12.828291,670,562,506,49.0491633333333,0.0834828341119788
"ABCA6",0.332708,0.201177,0.26943,9,14,15,116.877734,1.147123,0.606076,1.259058,36,30,11,190.939684,0.614139460602634
"ABCA7",42.45405,52.111696,39.796489,1395,2369,1835,0.296992,22.668326,32.522392,34.714621,715,882,818,0.154254,1.12366255607518
"ABCA8",0.244206,0.413915,0.141469,6,7,6,217.002767,41.403634,26.861255,35.063602,1731,991,983,136.190888,1.58904698539454
"ABCA9",4.035468,0.682386,0.739211,21,27,35,71.051303,1.381284,1.137468,5.074584,58,43,31,55.988788,1.26430663870234
"ABCA9.AS1",0,0,0,0,0,0,95.338097,0,0.165671,0,0,1,0,126.563278333333,0.755218102409227
"ABCB1",2.608253,0.395444,0.72192,71,28,37,5.47972433333333,0.30007,0.314046,0.298593,3,1,5,4.06970533333333,1.27812642102276
"ABCB10",4.784184,6.526598,5.638334,213,397,298,3.46895066666667,4.896031,7.84716,8.051324,306,313,320,11.1683663333333,0.367259708020515
"ABCB11",1.713152,2.345963,2.257067,8,17,14,37.9252723333333,1.175122,1.322998,0.805546,11,4,8,37.654127,1.00701465417479
"ABCB4",2.613821,0.236469,0.112046,20,11,9,0.290904,2.033786,0.852535,0.451585,44,12,10,0.370088,0.942205172222514
"ABCB5",0.031732,0.170177,0.033162,3,5,1,251.873522,0.028091,0.34729,0.350931,3,10,12,135.154633666667,1.85725241359823
"ABCB6",39.80428,30.533985,38.474452,602,671,937,98.0426783333333,54.080406,38.532465,32.137188,870,459,384,81.0146936666667,1.20762114574095
"ABCB7",6.507055,5.040312,4.209266,171,274,200,0.332785333333333,11.18593,7.852267,6.075745,297,164,171,0.421135333333333,0.937831395837037
"ABCB8",21.51191,19.464312,14.629305,551,761,665,0.0443566666666667,18.529731,23.651367,21.054635,617,605,535,0.0338166666666667,1.0101952312628
"ABCB9",13.522164,13.523465,13.352624,392,512,531,2.804119,15.865448,14.222772,16.455124,442,382,371,1.56304333333333,1.48421954109243
"ABCC1",11.500209,10.367327,9.302465,903,1271,1197,0.078357,5.953924,4.982028,4.693158,660,375,308,0.242104,0.868169654070835
"ABCC10",36.128396,35.014973,37.78168,526,739,582,0.110797333333333,35.009112,58.850277,42.406563,641,664,643,0.205172333333333,0.921691697204024
"ABCC11",0.147705,0.168729,0.111362,9,7,7,34.807229,0.25035,0.196406,0.516811,9,7,11,45.4975563333333,0.770088405147657
"ABCC12",0,0,0,0,0,0,24.0371986666667,0,0.024085,0,0,1,0,14.3204853333333,1.63423012534677
"ABCC13",0.065046,0,0.010734,3,0,1,39.963668,0.022398,0.058119,0,1,2,0,55.817342,0.72097121333131
"ABCC2",0.525342,0.194318,0.093136,8,4,5,0.258827333333333,0.146712,0.308158,0.143396,16,10,4,0.723067666666667,0.73057335918129
"ABCC3",0.735677,0.386222,0.301105,6,5,4,0.037753,0.822929,0,0.384356,11,0,3,0.0271823333333333,1.0102909350401
"ABCC4",7.050166,6.396275,5.373786,388,482,551,7.55772033333333,3.767094,1.945293,3.623133,163,129,110,9.22625966666667,0.836837769847359
"ABCC5",40.658816,35.616212,29.02946,2274,2699,2335,13.9901206666667,24.407761,29.952643,29.4664,1378,1518,1344,19.9038253333333,0.717099402986465
"ABCC5.AS1",0,0.388532,0,0,2,0,0.238746666666667,0,0,0,0,0,0,0,1.23874666666667
"ABCC6",1.563937,2.080382,1.038311,47,91,70,17.2320626666667,0.709936,0.292227,1.18336,40,15,21,22.040551,0.791303240389809
"ABCC6P1",0.326616,0.114229,0.382804,8,7,15,38.71889,0.402881,0.194607,0.446474,12,2,9,7.803468,4.51173219463057
"ABCC6P2",0.427513,0.600883,0.259824,3,6,3,133.486197666667,1.433948,0.663051,0.936095,12,5,6,209.395214333333,0.639207493824444
"ABCC8",59.334917,46.332088,44.755074,729,907,811,1.30667233333333,14.908165,22.713792,23.804669,270,363,349,7.89314066666667,0.25937657120158
"ABCC9",2.011239,0.868414,0.975146,245,158,167,0,1.933667,0.299867,0.41351,229,35,44,0,1
"ABCD1",10.618352,6.729346,8.415782,351,364,475,10.3287653333333,7.188261,4.56707,5.591021,256,128,147,12.7466093333333,0.824113427437185
"ABCD2",1.015291,0.95263,0.78988,101,128,108,3.89511266666667,0.823714,0.905926,0.985813,90,77,76,6.260462,0.674215038473676
"ABCD3",11.715671,11.503515,12.736033,658,873,979,0.00792966666666667,22.412866,15.820691,18.169306,1142,727,822,0.244473666666667,0.809924463380905
"ABCD4",58.610022,52.354869,50.095508,722,999,947,2.48702933333333,63.780985,46.864754,55.905635,1013,556,577,11.4227743333333,0.28069650464283
"ABCE1",47.293811,49.347163,47.386876,1200,1864,1735,92.46756,47.892143,47.474433,56.270122,1284,1130,1197,74.918402,1.23115815846598
"ABCF1",49.941811,50.936379,55.648464,769,1208,1106,18.3234196666667,48.558347,63.90383,48.560484,990,770,800,18.717929,0.979992354504708
"ABCF2",19.522918,29.608502,27.332976,499,751,734,2.73144,15.544121,48.430262,33.217097,485,502,554,2.28080666666667,1.13735443112568
"ABCF2.1",6.205134,7.639992,5.964636,207,347,288,3.944585,6.976405,9.86168,8.581834,270,289,221,2.50493433333333,1.41074968308964
"ABCF3",46.460597,40.982435,31.451225,710,879,744,116.286335333333,38.478334,54.941591,52.139742,684,676,609,120.43151,0.965864093539917
"ABCG1",2.981022,2.516257,2.216058,133,150,148,38.8820083333333,9.640229,12.006134,8.714856,505,488,311,52.408327,0.746737645111657
"ABCG2",0,0.032841,0.010415,0,3,1,20.899473,0.524925,0.589011,0.449804,43,28,26,13.726669,1.48706221345778
"ABCG4",12.913126,10.418173,10.808669,598,780,776,0.870650333333333,9.828186,11.963485,13.918554,504,512,438,21.615883,0.0827140082628361
"ABCG5",0.106507,0.151389,0.042838,5,10,3,93.4300633333333,0.143393,0,0.032884,8,0,1,55.182183,1.68078309333999
"ABCG8",0.375379,0.464493,0.42013,27,45,55,17.679678,0.175022,0.165036,0.187492,13,11,10,36.5177673333333,0.497888849142782
"ABHD1",0.400221,0.717874,0.22597,14,18,14,28.059534,0.980869,0.239741,0.305691,35,9,12,32.5293466666667,0.86668953883583
"ABHD10",22.938499,24.352688,21.626771,576,818,829,45.387708,21.945498,27.924148,27.804594,652,596,653,23.189846,1.9176520594633
"ABHD11",6.937606,7.064101,6.864255,76,110,135,0.109443,9.519305,7.909704,9.968295,144,94,107,0.793785666666667,0.618492510346368
"ABHD12",64.546737,62.306897,62.683147,766,1044,1187,0.054446,61.002748,58.3518,58.606077,751,570,568,0.162103666666667,0.907359670436745
"ABHD12B",1.904262,0.479376,0.66991,10,10,16,9.02921633333333,1.215684,4.568525,10.647778,18,72,72,11.5743266666667,0.797594702221299
"ABHD13",2.367033,2.196661,1.88721,196,246,214,20.067703,3.390322,2.495253,3.321503,307,176,213,23.5291876666667,0.858883028916177
"ABHD14A",22.540257,19.428712,18.954588,283,320,352,4.60419966666667,15.051411,20.447943,23.789903,233,218,216,7.28496833333333,0.676429823409102
"ABHD14A.ACY1",3.863768,4.694379,6.380052,22,47,62,0.987445333333333,6.987703,5.383026,5.109098,46,28,32,1.11263533333333,0.940742257774098
"ABHD14B",3.320588,2.072545,1.528819,54,55,44,41.663942,7.978791,5.158438,4.171231,200,107,84,35.539614,1.1676079008388
"ABHD15",0.626613,0.218831,0.501833,33,16,41,157.985373333333,1.666242,0.980568,1.679204,104,46,69,138.210739,1.1420481959609
"ABHD16A",37.200716,47.134845,37.037113,666,1034,935,0.828383666666667,38.772235,39.606803,45.286219,679,661,613,13.532581,0.125812728424955
"ABHD16B",0,0,0,0,0,0,14.1934193333333,0,0,0,0,0,0,12.3178646666667,1.14082998390583
"ABHD17A",15.282057,19.663938,28.463204,503,831,1086,30.240615,19.891946,16.379027,21.502911,759,552,573,17.5959036666667,1.67997294242813
"ABHD17B",10.201998,14.689547,11.447473,457,762,669,48.3995476666667,8.626714,9.022235,10.593376,391,316,341,65.3800016666667,0.744193227272441
"ABHD17C",22.112876,26.685209,23.848278,525,820,771,9.06215266666667,13.219325,17.660275,23.594158,422,387,432,12.5338163333333,0.743482283107679
"ABHD18",4.011071,3.517854,4.147912,213,284,273,0.334188666666667,5.486353,3.54464,4.951791,236,155,188,0.616735,0.825236459077503
"ABHD2",13.588883,13.921576,10.695473,1685,2486,2111,13.6114336666667,36.149134,28.486848,25.146828,3943,2908,2699,29.3014216666667,0.48220290874141
"ABHD3",1.597983,1.039653,1.180823,33,27,32,119.859511333333,9.642693,6.919606,4.384585,104,59,62,110.301950333333,1.08587056175904
"ABHD4",25.455379,4.883742,6.507743,182,133,112,2.82895033333333,39.666519,10.931269,10.1797,306,154,175,7.10910433333333,0.472179192169723
"ABHD5",10.403327,7.362645,6.909279,314,407,402,29.3573956666667,7.984091,8.165592,14.175874,242,266,255,49.767848,0.597964988917132
"ABHD6",11.668832,13.764524,17.829011,180,342,395,5.16011933333333,8.283415,13.65003,12.504431,185,149,202,0.716666,3.58842042268754
"ABHD8",9.661101,10.705984,15.55678,265,375,569,0.081767,6.351783,4.187949,6.20397,187,106,136,1.21588,0.48818843980721
"ABI1",25.555257,19.141618,16.288946,935,970,821,89.80118,15.274284,15.178726,16.016221,630,503,508,61.643825,1.44948332896339
"ABI2",43.432644,40.900572,32.384224,3163,4154,3817,21.6859713333333,55.693149,35.541915,32.008028,3195,2224,2142,23.091872,0.941644191590148
"ABI3",0.107534,0.068506,0,1,1,0,8.975152,0.080843,0.106816,0.123214,1,1,1,67.2956426666667,0.14605839568252
"ABI3BP",1.876574,1.343379,0.53984,21,26,23,15.1036916666667,15.784185,1.403237,1.486131,97,18,19,16.370637,0.927063968158834
"ABITRAM",8.026917,12.043578,11.681156,142,241,232,8.31248266666667,15.771021,15.579426,12.779188,218,171,188,17.302452,0.508810659176523
"ABL1",18.289946,25.341736,17.462119,1256,2037,1573,6.67407733333333,25.90656,19.930765,26.375471,2130,1113,1157,1.902864,2.6436227578465
"ABL2",4.651018,3.942953,3.604234,834,1003,998,0,6.897981,5.749299,4.319143,1188,807,647,0,1
"ABLIM1",78.965193,95.017141,84.824801,7302,12899,12481,1.91552333333333,40.278722,80.432426,57.957359,4547,5302,4617,2.11902333333333,0.934755217178027
"ABLIM2",29.024891,22.325349,27.889239,811,842,921,50.140693,8.029056,12.377298,11.75464,245,279,223,20.475542,2.38134585846541
"ABLIM3",59.162438,43.070208,35.850085,2210,2652,2304,5.862563,55.789335,56.612711,66.861423,2333,2247,2011,0.0896073333333333,6.29819825001178
"ABO",0.94183,1.656334,1.424069,43,107,83,112.418891,0.183863,0.173732,0.075984,22,16,6,176.944523333333,0.637383432068538
"ABR",475.702567,515.55903,441.250144,3442,4631,4703,1236.327264,197.043613,257.031715,274.908047,1875,1447,1461,967.458404,1.27762561498718
"ABRA",0.023562,0,0.016861,1,0,1,2872.900966,0.063103,0.063272,0,3,2,0,84.6679683333333,33.5469723621515
"ABRACL",17.048097,16.217016,13.732567,152,196,170,8.861323,11.912176,11.774747,14.945013,113,90,104,12.372652,0.737424633498277
"ABRAXAS1",2.109371,2.159075,1.935205,56,86,86,6.40802166666667,7.491499,5.007126,3.562498,275,121,99,1.305515,3.21317435222355
"ABRAXAS2",10.186842,8.464947,8.190416,471,532,542,50.0583233333333,7.8423,8.782454,8.707067,412,353,319,40.735399,1.22338169891064
"ABT1",3.263841,4.270345,3.155402,152,271,212,0.763368333333333,4.02236,4.495368,5.868998,215,183,215,0.757992333333333,1.00305803381395
"ABTB1",3.761994,3.647191,4.428543,98,109,136,13.421852,8.227788,5.243431,7.957303,219,121,132,16.019151,0.847389625957253
"ABTB2",1.172037,1.371578,1.223632,92,149,130,0.025777,3.451672,3.840048,4.832426,318,267,292,0.286513666666667,0.797330822499359
"ACAA1",39.895704,46.043135,40.381622,585,998,977,10.1953486666667,37.51069,45.687812,49.761725,672,620,569,5.97435133333333,1.6052171924806
"ACAA2",13.144815,9.897038,9.823666,271,275,335,67.633482,24.508458,12.44024,15.340642,617,249,284,58.23203,1.15872243446662
"ACACA",100.200507,77.444775,45.429501,3946,4127,3502,0.778626333333333,52.07295,52.263549,60.592741,2805,2326,1935,5.477393,0.274589843990219
"ACACB",5.011705,4.261474,2.549066,60,56,49,1.25951366666667,5.82404,4.214339,4.586609,290,101,72,2.25061966666667,0.695102441493463
"ACAD10",12.856185,11.636386,10.582543,221,279,250,2.986488,24.09517,13.699953,18.003391,465,241,262,17.560885,0.214778982790961
"ACAD11",18.399625,10.629317,9.67092,358,253,310,18.472337,21.296656,12.759557,10.656436,568,268,245,21.7210943333333,0.857015807175837
"ACAD8",23.137744,24.865645,22.47821,569,801,726,0.327960666666667,29.394922,40.292933,40.865493,722,686,705,0.689141333333333,0.78617498752818
"ACAD9",17.669058,19.626573,12.870046,447,569,481,0.0680793333333333,20.618117,20.88167,21.133159,574,471,475,0.0975493333333333,0.973149270738931
"ACADL",0.160831,0.314712,0.317482,8,12,13,15.6034853333333,0.63777,0.16945,0.095375,23,5,4,20.6669163333333,0.766305877490735
"ACADM",31.655912,30.807253,30.544017,568,773,686,0.0485666666666667,31.38729,31.831206,37.816546,662,516,582,0.0799946666666667,0.970899856295587
"ACADS",3.004861,4.19166,2.473391,78,146,97,17.87264,3.919399,3.709052,4.464577,114,83,88,42.0700743333333,0.438184523526439
"ACADSB",3.572105,3.466148,3.181139,336,406,350,0.225601,7.753468,4.374615,3.829584,527,304,282,0,1.225601
"ACADVL",223.022625,188.605112,238.198574,1342,1537,1988,13.334388,417.243124,362.292121,441.590667,2854,1977,2042,21.3632396666667,0.64097993911705
"ACAN",0.292759,0.315011,0.284229,25,26,39,3.637669,0.61022,0.60714,1.230414,58,65,66,6.38825666666667,0.627708160292212
"ACAP1",11.286318,12.913279,6.490646,45,54,54,2.00352533333333,11.702953,8.178989,5.156753,76,54,37,0.286290333333333,2.33502907974897
"ACAP2",11.321554,4.989484,5.03907,561,490,425,44.8669356666667,18.902318,8.651381,7.061189,805,452,432,43.3981663333333,1.0330817566272
"ACAP3",201.068487,222.065102,155.227804,2075,3473,3111,0.140081666666667,213.831943,213.096372,204.054479,2582,2252,2362,0.230909333333333,0.926210920490217
"ACAT1",109.114332,109.952951,112.925312,760,1074,1157,4.86418666666667,113.018886,107.505607,145.26679,828,668,739,5.72257333333333,0.872312784985115
"ACAT2",119.603573,70.690947,60.766009,2428,1983,1817,33.018719,94.414141,82.903806,86.300184,2278,1511,1430,29.2640943333333,1.12406201967628
"ACBD3",65.899098,64.268898,51.033552,1039,1267,1242,98.9542496666667,43.967242,69.083492,58.658097,939,748,717,110.271016333333,0.898295467772442
"ACBD3.AS1",0.205463,0.151175,0,1,1,0,62.1753933333333,0,0.469787,0,0,2,0,72.62853,0.858028719754874
"ACBD4",3.64765,3.399864,4.113433,75,106,119,12.0986113333333,5.340975,3.641431,4.100437,153,68,74,7.52388433333333,1.53669510531838
"ACBD5",28.434973,21.567845,22.642447,1235,1449,1480,45.053605,15.374346,21.627524,21.759596,885,847,801,69.6416526666667,0.651932723280285
"ACBD6",45.008644,45.056697,44.61445,636,975,991,0.246467,30.045769,28.430908,40.527744,567,434,470,0.168356333333333,1.06685517460569
"ACBD7",1.034596,0.949647,0.691054,40,52,53,6.32523966666667,1.327791,0.639002,1.059258,81,30,45,9.54563233333333,0.694623085190687
"ACCS",5.273883,5.411674,5.203006,72,100,76,4.16365833333333,14.477036,14.943544,19.448083,190,194,188,5.07421866666667,0.850094245317477
"ACCSL",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0243106666666667,0.976266315037235
"ACD",12.408905,8.62736,10.509139,165,217,228,8.747789,13.137008,9.048602,13.611827,198,130,153,16.123027,0.569279543856352
"ACE",5.405634,2.557996,4.848241,108,104,195,8.71978533333333,6.841322,8.479831,10.149919,209,183,161,7.08539466666667,1.2021411117264
"ACE2",0.05341,0,0.099057,1,0,1,0.112139,0,0.095415,0.225191,0,0,1,0.0951363333333333,1.01552561644532
"ACER1",0.145606,0.072291,0.066789,3,2,2,0,0,0,0,0,0,0,0,1
"ACER2",0.989215,1.238033,0.764366,43,73,48,97.1317866666667,2.060095,1.631226,2.154176,103,62,73,68.53546,1.41124811235399
"ACER3",5.100368,4.487993,5.453281,507,602,712,2.69759466666667,7.649808,4.8069,3.760922,518,375,350,2.440747,1.0746488093041
"ACHE",150.826048,123.139185,143.64468,4252,4881,6215,40.6284346666667,52.081818,67.700639,62.028934,1662,1679,1380,28.58467,1.40709477802749
"ACIN1",80.771096,83.773455,54.064282,1809,2688,1954,6.59116366666667,122.816081,100.430979,109.79734,3076,1982,1940,2.00431066666667,2.52675721951525
"ACKR1",5.527193,8.511619,6.913666,150,313,243,202.534186,2.616941,4.886551,6.520383,86,122,141,174.24852,1.16140316620078
"ACKR2",0.648149,0.227417,0.267559,15,14,12,0.24665,0.123068,0.277159,0.172717,7,9,4,0.156066666666667,1.07835476616112
"ACKR3",1.953183,0.627658,0.254604,33,11,7,9.87020466666667,2.012493,0.697493,1.28327,52,13,22,4.96819266666667,1.82135619169578
"ACKR4",0.058436,0.043248,0,2,2,0,65.848697,0.105038,0.101865,0.037545,4,3,1,82.8883526666667,0.796876978448077
"ACLY",258.665498,200.768091,176.389823,8902,9754,9291,0,200.668971,184.300449,184.729433,7551,5465,5135,0.0219273333333333,0.978543157993621
"ACMSD",0.069346,0.050982,0.281347,2,2,7,1.74516333333333,0.185122,0.039662,0.088863,6,1,2,104.427182666667,0.0260384775908584
"ACO1",12.481148,12.32891,11.425298,956,1358,1328,5.02109066666667,9.64322,6.563351,6.68116,860,462,416,12.6569093333333,0.440882378267723
"ACO2",69.325062,71.569862,65.685688,2171,3126,3037,5.951061,71.653142,76.994982,73.567485,2492,1993,1982,1.56342266666667,2.71163280655499
"ACOD1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ACOT1",2.514575,1.663513,2.042674,51,52,55,0.020844,4.205801,4.758707,5.368048,99,81,76,0.401354666666667,0.728469404842552
"ACOT11",1.059936,0.383645,0.558014,60,46,67,0.260889666666667,1.265227,0.289037,0.841305,109,23,34,0.0814696666666667,1.16590386723745
"ACOT12",0.137311,0.78691,0.64326,4,17,11,25.126856,0.237945,0.109798,0.174106,8,3,2,23.5366613333333,1.06480892591961
"ACOT13",14.096614,5.754241,11.441671,306,262,371,0,11.326065,11.195552,12.209772,355,281,284,0.194048666666667,0.837486802603802
"ACOT2",9.413227,10.383521,11.05022,97,146,165,0.319983333333333,24.173517,18.076715,19.437196,254,164,153,1.51372533333333,0.525110407183177
"ACOT4",0.689296,0.540441,0.531756,24,26,28,6.764273,0.591094,0.748843,1.193545,24,23,33,8.85511633333333,0.787841841474626
"ACOT6",0.172208,0.138878,0.065032,2,2,1,8.074458,0.245134,0.088672,0.12044,3,1,1,36.710618,0.24063403044734
"ACOT7",144.140782,166.680788,158.146086,2648,4286,4367,82.8537123333333,80.632403,114.029529,128.44021,1778,1946,1942,114.444618,0.726354452776078
"ACOT8",21.302306,21.395702,21.651743,347,511,489,14.0888376666667,20.763417,18.37889,19.993785,370,284,270,5.99927766666667,2.15577069309962
"ACOT9",15.355328,9.120068,8.944808,361,377,386,39.1634526666667,18.917753,21.089502,23.207269,535,461,410,7.34865366666667,4.81077000798652
"ACOX1",32.7541,26.088828,22.676301,735,866,739,23.4476393333333,21.711569,42.59937,35.250653,754,736,847,24.672672,0.952282619173156
"ACOX2",0.363302,0.170177,0,2,1,0,52.27467,5.471821,1.789143,2.323278,63,12,15,61.9235546666667,0.846657031412466
"ACOX3",12.315552,13.017171,11.277513,264,352,310,17.552448,11.236717,10.706481,12.961887,231,182,207,20.9269013333333,0.846104413841481
"ACOXL",0.066887,0.263478,0.058643,2,6,3,2.92647966666667,0.106301,0.156535,0.132989,4,4,4,3.325087,0.907838308608975
"ACOXL.AS1",0.276588,0.236611,0.059776,4,6,4,0,0.07829,0.102513,0.732783,4,4,10,0,1
"ACP1",61.38661,54.776346,47.901782,891,1273,1150,28.7068843333333,74.872622,58.654584,76.070071,1230,785,941,32.0318893333333,0.899339545296773
"ACP2",93.073029,93.19527,67.827959,600,764,662,0.362774666666667,104.027156,109.16421,127.822959,638,547,541,0.25094,1.08940050415421
"ACP4",0.222704,0.198325,0.140824,4,5,4,1.58335133333333,0.279935,0.062067,0,6,1,0,4.81031933333333,0.444614346497766
"ACP5",5.678997,0.947109,4.648666,17,15,26,0.0758826666666667,0,2.031601,2.612106,0,11,8,0.187026666666667,0.906367731137745
"ACP6",7.807588,6.333138,5.476793,192,222,243,0.0954383333333333,17.588665,10.559517,14.810767,472,247,242,0.602221,0.683699897413237
