UniqueCount	AmbigCount
0	0
0	0
68	294
19	239
66	152
0	0
0	0
0	0
0	0
0	0
0	0
0	3
7	8
15	2
1	0
1	1
0	0
0	1
12	4
4	0
0	0
0	0
0	0
0	0
0	0
6	32
0	19
0	29
0	10
4	6
0	4
1	7
1	14
1	1
0	0
1	1
0	11
0	0
7	0
1	4
1	18
0	5
0	0
0	0
0	197
0	107
14	195
0	57
0	132
11	55
0	77
0	30
8	20
1	70
199	144
0	64
0	60
0	36
1	117
0	59
18	27
0	92
9	921
0	902
0	61
39	0
3	327
3	325
6	146
0	125
0	77
4	3
1	1
0	0
0	7
4	31
4	0
0	1087
9	1491
6	260
17	1116
1	118
0	113
29	1479
9	450
0	0
134	139
2	0
18	7
62	75
2	31
0	75
9	34
0	0
0	10
0	1
8	0
0	0
0	32
0	63
41	1445
1	7
0	8
0	482
0	1364
5	182
0	682
3	34
2	207
0	28
1	68
0	252
20	44
0	333
43	7
0	3
0	0
0	0
0	10
0	0
7	121
0	100
0	100
0	99
0	2
0	3
0	65
0	56
0	10
0	99
0	4
0	5
0	19
0	11
9	0
0	0
0	242
0	0
0	0
0	0
0	0
286	1688
0	188
0	24
0	1207
0	376
8	133
23	1648
8	1639
0	3
46	16
0	90
0	0
0	0
1	0
14	5
0	0
0	0
1	0
0	0
1	8
0	0
0	3
0	3
0	0
0	251
0	270
0	277
2	188
0	61
1	13
0	100
13	73
0	70
2	0
5	8
4	12
0	15
0	0
0	0
1	0
0	3
0	9
0	3
0	0
0	0
1	48
1	0
0	0
0	0
1	5
0	0
0	0
0	0
1	0
141	4
1	151
0	143
1	24
1	32
0	128
3	7
0	9
4	275
0	6
0	6
0	1431
3856	272
0	0
23	25
0	25
0	4
1	10
0	7
1190	44
0	69
0	14
0	0
0	0
0	26
0	0
0	0
0	215
0	217
0	218
1	2
0	177
1	193
0	215
0	12
1	28
0	184
21	32
26	32
0	13
0	0
4	11
0	57
0	17
0	19
4	14
0	40
0	55
3	43
0	26
0	38
10	25
1	0
4	5
0	4
0	1
0	0
0	6
0	6
0	5
0	3
0	6
0	0
0	0
11	467
0	300
5	281
0	162
18	245
0	126
4	71
1	2
0	8
33	199
7	9
0	8
0	43
0	10
1	50
10	55
0	10
0	46
0	12
0	7
0	178
0	18
70	4
0	20
4	12
0	18
2	10
0	10
0	11
0	61
1	4
0	22
0	4
1	35
0	0
564	951
0	136
0	145
10	94
3	22
1	556
2	33
0	68
1	0
2	0
0	10
2	10
17	72
0	0
2	6
0	16
0	0
0	0
1	0
0	2
1	11
0	0
842	506
0	10
0	157
0	51
0	83
0	73
1	303
0	89
0	0
1	2
1	3
8	963
3	231
2	37
0	80
0	206
