"Hs_symbol","Heart","dHs_Avg_TPM","Nociceptor(8Weeks)-S24_rep_2","Nociceptor(8Weeks)-S28_rep_3","Nociceptor(8Weeks)-S6_rep_1","Hs_Avg_TPM","FoldChange"
"ABCD4",31.47513,31.47513,63.780985,46.864754,55.905635,55.5171246666667,0.574606903509965
"ABCE1",44.60664,44.60664,47.892143,47.474433,56.270122,50.545566,0.884782989869584
"ABCF1",71.80581,71.80581,48.558347,63.90383,48.560484,53.6742203333333,1.33162959720547
"ABCF2",34.68843,34.68843,15.544121,48.430262,33.217097,32.39716,1.06860673182989
"ABCF3",31.91791,31.91791,38.478334,54.941591,52.139742,48.519889,0.664741191160586
"ABCG1",14.34598,14.34598,9.640229,12.006134,8.714856,10.1204063333333,1.37998374699678
"ABCG2",2.97293,2.97293,0.524925,0.589011,0.449804,0.521246666666667,2.61162774391179
"ABCG4",1.02471,1.02471,9.828186,11.963485,13.918554,11.9034083333333,0.156912805337608
"ABCG5",0.06325,0.06325,0.143393,0,0.032884,0.058759,1.00424175851162
"ABCG8",0,0,0.175022,0.165036,0.187492,0.17585,0.850448611642641
"ABHD1",11.14533,11.14533,0.980869,0.239741,0.305691,0.508767,8.04983804656385
"ABHD10",71.17327,71.17327,21.945498,27.924148,27.804594,25.8914133333333,2.68387790204159
"ABHD11",9.04531,9.04531,9.519305,7.909704,9.968295,9.13243466666667,0.991401408493332
"ABHD12",28.31244,28.31244,61.002748,58.3518,58.606077,59.3202083333333,0.485947260626448
"ABHD12B",0.43013,0.43013,1.215684,4.568525,10.647778,5.477329,0.220790081837745
"ABHD13",8.53927,8.53927,3.390322,2.495253,3.321503,3.069026,2.34436201685612
"ABHD14A",3.30185,3.30185,15.051411,20.447943,23.789903,19.7630856666667,0.207187412750805
"ABHD14B",13.7514,13.7514,7.978791,5.158438,4.171231,5.76948666666667,2.17910171426095
"ABHD15",4.35187,4.35187,1.666242,0.980568,1.679204,1.44200466666667,2.19158876846263
"ABHD16A",17.74904,17.74904,38.772235,39.606803,45.286219,41.2217523333333,0.44406115245951
"ABHD16B",0.0506,0.0506,0,0,0,0,1.0506
"ABHD2",18.11591,18.11591,36.149134,28.486848,25.146828,29.9276033333333,0.618085720835573
"ABHD3",11.79052,11.79052,9.642693,6.919606,4.384585,6.98229466666667,1.60236129260074
"ABHD4",10.93027,10.93027,39.666519,10.931269,10.1797,20.2591626666667,0.561182497498177
"ABHD5",29.64077,29.64077,7.984091,8.165592,14.175874,10.108519,2.75831278679003
"ABHD6",6.11033,6.11033,8.283415,13.65003,12.504431,11.479292,0.569770304276877
"ABHD8",0.37952,0.37952,6.351783,4.187949,6.20397,5.581234,0.209614184817012
"ABI1",24.88408,24.88408,15.274284,15.178726,16.016221,15.4897436666667,1.56970784526648
"ABI2",57.51043,57.51043,55.693149,35.541915,32.008028,41.0810306666667,1.39042293102263
"ABI3",1.26508,1.26508,0.080843,0.106816,0.123214,0.103624333333333,2.05240128509913
"ABI3BP",33.27154,33.27154,15.784185,1.403237,1.486131,6.22451766666667,4.74378243382615
"ABL1",13.83995,13.83995,25.90656,19.930765,26.375471,24.070932,0.591918561304382
"ABL2",3.52957,3.52957,6.897981,5.749299,4.319143,5.65547433333333,0.680578088523918
"ABLIM1",752.16463,752.16463,40.278722,80.432426,57.957359,59.556169,12.4374550510287
"ABLIM2",7.41336,7.41336,8.029056,12.377298,11.75464,10.7203313333333,0.717843187254604
"ABLIM3",133.68077,133.68077,55.789335,56.612711,66.861423,59.7544896666667,2.21680357680452
"ABO",0.17711,0.17711,0.183863,0.173732,0.075984,0.144526333333333,1.0284691279857
"ABR",99.67548,99.67548,197.043613,257.031715,274.908047,242.994458333333,0.412613797410358
"ABRA",26.17446,26.17446,0.063103,0.063272,0,0.042125,26.0760081564112
"ABRACL",12.22065,12.22065,11.912176,11.774747,14.945013,12.877312,0.952680893821512
"ABT1",6.18623,6.18623,4.02236,4.495368,5.868998,4.79557533333333,1.23995109832639
"ABTB1",4.75669,4.75669,8.227788,5.243431,7.957303,7.14284066666667,0.706963360288437
"ABTB2",9.24772,9.24772,3.451672,3.840048,4.832426,4.041382,2.03272039293987
"ACAA1",53.95557,53.95557,37.51069,45.687812,49.761725,44.3200756666667,1.21260984655461
"ACAA2",464.92872,464.92872,24.508458,12.44024,15.340642,17.42978,25.2812958157938
"ACACA",12.71403,12.71403,52.07295,52.263549,60.592741,54.9764133333333,0.244996583084637
"ACACB",82.2427,82.2427,5.82404,4.214339,4.586609,4.874996,14.168979859731
"ACAD10",36.26978,36.26978,24.09517,13.699953,18.003391,18.5995046666667,1.90156744437453
"ACAD11",82.07824,82.07824,21.296656,12.759557,10.656436,14.9042163333333,5.22366133978434
"ACAD8",42.62047,42.62047,29.394922,40.292933,40.865493,36.851116,1.15242229581817
"ACAD9",27.40158,27.40158,20.618117,20.88167,21.133159,20.8776486666667,1.29820075423706
"ACADL",2.37835,2.37835,0.63777,0.16945,0.095375,0.300865,2.59700276354579
"ACADM",605.13729,605.13729,31.38729,31.831206,37.816546,33.6783473333333,17.478840158492
"ACADS",4.26331,4.26331,3.919399,3.709052,4.464577,4.03100933333333,1.04617376976972
"ACADSB",53.39893,53.39893,7.753468,4.374615,3.829584,5.31922233333333,8.60848489426468
"ACADVL",1863.68724,1863.68724,417.243124,362.292121,441.590667,407.041970666667,4.56984176640809
