"Hs_symbol","DRG","dHs_Avg_TPM","Brain_2_Hippocampus","dHs_Avg__TPM","FoldChange"
"SPATA2",8.16452,8.16452,15.2478,15.2478,0.564046824800896
"SPATA20",62.14862,62.14862,42.77682,42.77682,1.44251272705509
"SPATA20P1",0.04182,0.04182,0,0,1.04182
"SPATA21",5.24787,5.24787,4.29428,4.29428,1.18011703196658
"SPATA22",2.08033,2.08033,0,0,3.08033
"SPATA24",7.01459,7.01459,4.4395,4.4395,1.47340564390109
"SPATA25",0.59587,0.59587,2.8836,2.8836,0.41092543001339
"SPATA2L",8.26906,8.26906,5.85018,5.85018,1.35311188903065
"SPATA2P1",0,0,0,0,1
"SPATA3",0,0,0,0,1
"SPATA4",0.34498,0.34498,1.36919,1.36919,0.567696132433448
"SPATA5",0.41816,0.41816,2.38571,2.38571,0.418866352995383
"SPATA5L1",6.241,6.241,12.94507,12.94507,0.519251606481717
"SPATA6",6.41871,6.41871,31.24243,31.24243,0.230091528461099
"SPATA6L",0.83631,0.83631,2.69689,2.69689,0.496717511205365
"SPATA7",12.5029,12.5029,8.36036,8.36036,1.44256203821221
"SPATA8",0,0,0,0,1
"SPATA9",0.59587,0.59587,1.16174,1.16174,0.738234015191466
"SPATC1",0.05227,0.05227,0.58087,0.58087,0.665627154667999
"SPATS1",0.22999,0.22999,0.14522,0.14522,1.07402071217757
"SPATS2",28.57059,28.57059,54.95432,54.95432,0.52847733651307
"SPATS2L",53.94228,53.94228,90.94743,90.94743,0.597540137880961
"SPC24",3.29299,3.29299,1.80484,1.80484,1.53056502331684
"SPC25",4.45337,4.45337,3.00807,3.00807,1.36059749455474
"SPCS1",112.21249,112.21249,67.29778,67.29778,1.65763059941333
"SPCS2",72.17394,72.17394,221.49765,221.49765,0.328875113961878
"SPCS3",28.56014,28.56014,17.48829,17.48829,1.5988574389519
"SPDEF",1.10812,1.10812,2.36497,2.36497,0.626489983565975
"SPDYA",0.25089,0.25089,1.18248,1.18248,0.573150727612624
"SPDYC",0.04182,0.04182,0.29043,0.29043,0.807343288671218
"SPDYE1",0.05227,0.05227,0.6431,0.6431,0.640417503499483
"SPDYE2",0,0,0,0,1
"SPDYE3",10.24485,10.24485,13.5052,13.5052,0.775228883434906
"SPDYE4",0,0,0,0,1
"SPDYE6",0,0,0.14522,0.14522,0.873194670019734
"SPDYE8P",0.02091,0.02091,0.41491,0.41491,0.721537058894205
"SPECC1",16.84128,16.84128,199.13421,199.13421,0.0891465781887065
"SPECC1L",29.48008,29.48008,6.59701,6.59701,4.01211529272701
"SPEF1",3.063,3.063,9.85402,9.85402,0.374331353728849
"SPEF2",1.474,1.474,3.2985,3.2985,0.575549610329185
"SPEG",221.23653,221.23653,38.77298,38.77298,5.58762582034336
"SPEM1",0.01045,0.01045,0,0,1.01045
"SPEN",9.68034,9.68034,37.73571,37.73571,0.275723357078004
"SPERT",0,0,0,0,1
"SPESP1",0.94085,0.94085,1.36919,1.36919,0.819204031757689
"SPG11",19.45476,19.45476,59.6635,59.6635,0.337183973888747
"SPG20",31.42451,31.42451,60.18214,60.18214,0.529966915181457
"SPG20OS",0.59587,0.59587,1.47292,1.47292,0.645338304514501
"SPG21",56.54531,56.54531,37.94317,37.94317,1.47767400548029
