"Hs_symbol","Nociceptor(4Weeks)-S19_rep_1","Nociceptor(4Weeks)-S23_rep_2","Nociceptor(4Weeks)-S27_rep_3","Hs_Avg_TPM","Nociceptor(4Weeks)-S19_rep_1_read","Nociceptor(4Weeks)-S23_rep_2_read","Nociceptor(4Weeks)-S27_rep_3_read","Motor_neurons-S18_rep_1","Motor_neurons-S22_rep_2","Motor_neurons-S26_rep_3","Hs_Avg__TPM","Motor_neurons-S18_rep_1_read","Motor_neurons-S22_rep_2_read","Motor_neurons-S26_rep_3_read","FoldChange"
"A1BG",12.383067,11.034331,14.333404,12.5836006666667,126,71,81,18.566797,13.425058,13.989052,15.326969,182,164,192,0.831973201312912
"A1BG.AS1",6.440296,4.571839,4.757617,5.256584,156,94,113,4.485336,3.910238,3.890783,4.09545233333333,109,146,152,1.22787607276214
"A1CF",0,0.018194,0.01632,0.0115046666666667,0,2,2,0.232084,0.063162,0.004811,0.100019,1,5,1,0.919533814112908
"A2M",93.505878,154.962182,63.431646,103.966568666667,2246,2504,1541,20.514891,0.866071,0.291101,7.224021,519,12,14,12.7634120421953
"A2M.AS1",1.34759,0.843674,1.358533,1.18326566666667,46,17,41,1.875543,1.328968,1.240804,1.48177166666667,64,74,69,0.879720602822043
"A2ML1",0.645592,0.320555,0.729682,0.565276333333333,6,8,9,0.466725,0.673839,0.170052,0.436872,5,14,11,1.089363793945
"A2MP1",0.165659,0.426102,0.092535,0.228098666666667,3,3,1,0.061885,0.170176,0.221341,0.151134,2,2,6,1.06685986745823
"A3GALT2",0.251325,0.112836,0.205214,0.189791666666667,3,1,2,0.438529,0.497281,0.204317,0.380042333333333,5,8,4,0.862141427062503
"A4GALT",1.677651,1.425484,2.068745,1.72396,11,6,11,13.724676,11.545392,14.652328,13.3074653333333,285,366,484,0.190387321341521
"A4GNT",0.079778,0.049504,0.045031,0.0581043333333333,2,1,1,0.153016,0.028124,0,0.06038,4,1,0,0.997853914005671
"AA06",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"AAAS",22.626138,22.03279,25.95966,23.5395293333333,485,382,454,13.508489,16.738215,19.022055,16.4229196666667,343,455,490,1.40846251964773
"AACS",20.326116,20.425959,26.161884,22.304653,720,608,707,15.145339,10.858128,8.980095,11.6611873333333,461,652,560,1.84063724723869
"AACSP1",1.03341,0.522627,0.873839,0.809958666666667,38,18,33,0.721078,1.223639,1.219131,1.054616,29,62,70,0.880923085708797
"AADAC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"AADACL2",0.013978,0.017282,0.015789,0.015683,1,1,1,0,0,0,0,0,0,0,1.015683
"AADACL3",0,0,0,0,0,0,0,0,0.011945,0,0.00398166666666667,0,1,0,0.996034124129093
"AADACL4",0,0,0,0,0,0,0,0.043998,0,0,0.014666,1,0,0,0.985545982618911
"AADACP1",0,0,0,0,0,0,0,0.056238,0,0,0.018746,1,0,0,0.981598946155371
"AADAT",11.191628,12.930531,10.028336,11.3834983333333,298,198,233,16.560745,15.539194,12.933418,15.011119,429,514,491,0.773431159516917
"AAGAB",19.083715,24.987378,20.768264,21.613119,460,421,405,41.413864,42.849994,35.918127,40.0606616666667,993,1426,1315,0.550724661564757
"AAK1",8.82358,11.990978,8.52265,9.77906933333333,1360,1207,1223,11.518232,13.289394,13.438405,12.748677,2499,3549,3550,0.784007750951843
"AAMDC",11.840577,16.196803,14.120167,14.0525156666667,61,65,52,9.532266,5.352023,7.306193,7.39682733333333,48,40,51,1.79264322929589
"AAMP",50.785242,57.93435,59.245556,55.9883826666667,665,551,649,72.348646,70.27047,54.966626,65.861914,935,1376,1193,0.852329514028968
"AANAT",0.527125,0,0.383865,0.303663333333333,5,0,3,0.253842,0.182542,0.515652,0.317345333333333,1,1,6,0.989613961006428
"AAR2",9.802296,9.159607,9.720694,9.56086566666667,356,271,317,9.862522,12.742074,9.815474,10.80669,384,679,543,0.894481490296321
"AARD",0.430968,0.085659,1.087127,0.534584666666667,14,2,11,0.160926,0.129803,0.240983,0.177237333333333,5,6,12,1.30354740137361
"AARS1",28.854614,28.801712,24.508809,27.3883783333333,1167,916,940,61.137205,66.203897,57.698854,61.6799853333333,2513,3252,3240,0.452909779451342
"AARS1P1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"AARS2",5.386935,4.813326,4.864937,5.02173266666667,386,295,304,4.02726,4.870429,3.692426,4.196705,318,528,425,1.15875976540263
"AARSD1",74.878567,67.118873,80.955658,74.3176993333333,446,311,417,57.596898,71.665882,48.347544,59.2034413333333,392,756,544,1.25105305718847
"AASDH",5.458335,2.72435,3.019545,3.73407666666667,133,107,128,5.317648,4.075445,5.487073,4.96005533333333,154,175,182,0.794300791167151
"AASDHPPT",49.305585,36.802533,43.42734,43.178486,1280,906,1184,104.747918,110.344793,89.985303,101.692671333333,3116,4632,3686,0.430200962019964
"AASS",9.710755,9.041474,7.927698,8.893309,771,591,561,2.628604,2.250706,1.439504,2.10627133333333,225,282,185,3.18494681833976
"AATBC",0.270135,0.323838,0.313939,0.302637333333333,9,8,8,0.101052,0.061185,0.102274,0.0881703333333333,6,3,7,1.19708954878694
"AATF",15.593698,15.462792,19.291505,16.782665,279,197,205,16.465887,17.429714,15.691305,16.5289686666667,276,428,414,1.01447297545895
"AATK",5.175648,2.801113,2.12947,3.36874366666667,197,66,153,16.385879,16.887406,16.473264,16.582183,581,867,1089,0.248475611172211
"ABALON",0.221339,0.4943,0.206463,0.307367333333333,6,11,5,1.878141,1.092098,1.292027,1.42075533333333,54,43,54,0.540065869247973
"ABAT",19.311736,14.714566,12.931931,15.6527443333333,1137,753,789,59.088785,64.587057,41.158971,54.9449376666667,3015,4574,3152,0.297663113552014
"ABCA1",13.944394,12.167811,12.461129,12.857778,2286,1610,1812,4.587007,4.124422,3.096802,3.936077,771,969,758,2.80744769581188
"ABCA10",5.207727,2.056644,5.225361,4.163244,145,54,111,1.20466,0.95142,0.489229,0.881769666666667,24,31,27,2.74382358875307
"ABCA11P",4.636006,3.841444,3.107302,3.861584,111,76,68,1.784649,1.474793,0.919267,1.392903,51,54,37,2.03166781102285
"ABCA12",0.045246,0.050407,0.030483,0.0420453333333333,6,6,4,0.060479,0.006374,0,0.0222843333333333,9,1,0,1.01933023852138
"ABCA13",0.064986,0.353211,0.084842,0.167679666666667,4,8,5,0.018797,0.084847,0.059631,0.054425,1,8,6,1.10740893535971
"ABCA17P",1.321805,0.403783,0.722064,0.815884,13,4,7,4.66571,1.657589,2.029971,2.78442333333333,35,13,40,0.479831097120037
"ABCA2",50.768809,33.180849,36.909447,40.2863683333333,1020,646,751,86.10463,86.558699,80.710993,84.4581073333333,2072,2678,2585,0.483118215715847
"ABCA3",21.599438,17.726576,24.450837,21.2589503333333,1930,1121,1708,55.59978,54.652489,44.714698,51.6556556666667,4782,6902,6185,0.422726676774138
"ABCA4",1.22204,0.556301,1.285668,1.02133633333333,23,10,13,0.709647,0.545438,0.159905,0.471663333333333,39,1,1,1.37350458324934
"ABCA5",6.679427,7.075997,6.759744,6.83838933333333,323,230,276,10.668791,9.107596,7.662206,9.14619766666667,513,604,633,0.772544512816345
"ABCA6",1.179883,0.523131,0.304506,0.669173333333333,17,18,12,0.332708,0.201177,0.26943,0.267771666666667,9,14,15,1.31661984347865
"ABCA7",24.152072,12.964013,24.639795,20.5852933333333,710,377,537,42.45405,52.111696,39.796489,44.7874116666667,1395,2369,1835,0.471424187295729
"ABCA8",8.680828,3.745783,8.184944,6.87051833333333,258,141,202,0.244206,0.413915,0.141469,0.26653,6,7,6,6.21423758879248
"ABCA9",2.080644,1.631188,5.048676,2.92016933333333,56,70,42,4.035468,0.682386,0.739211,1.81902166666667,21,27,35,1.39061341020791
"ABCA9.AS1",0,0.188498,0,0.0628326666666667,0,1,0,0,0,0,0,0,0,0,1.06283266666667
"ABCB1",0.242278,0.606745,0.127132,0.325385,1,5,2,2.608253,0.395444,0.72192,1.24187233333333,71,28,37,0.591195573580833
"ABCB10",4.487977,5.694735,6.12157,5.43476066666667,229,188,232,4.784184,6.526598,5.638334,5.64970533333333,213,397,298,0.967676061435504
"ABCB10P3",0,0,0,0,0,0,0,0.002934,0,0,0.000978,0,0,0,0.999022955549473
"ABCB10P4",0.036736,0,0,0.0122453333333333,1,0,0,0.064339,0.102838,0.076226,0.0811343333333333,2,4,4,0.936280813700918
"ABCB11",1.580405,3.39585,0.543683,1.83997933333333,8,15,6,1.713152,2.345963,2.257067,2.105394,8,17,14,0.914531081509571
"ABCB4",0.391427,0.466284,0.700631,0.519447333333333,11,23,7,2.613821,0.236469,0.112046,0.987445333333333,20,11,9,0.764522831319805
"ABCB5",0.218901,0.076822,0,0.0985743333333333,4,2,0,0.031732,0.170177,0.033162,0.078357,3,5,1,1.01874827476739
"ABCB6",17.599676,11.88309,16.193697,15.2254876666667,250,162,216,39.80428,30.533985,38.474452,36.2709056666667,602,671,937,0.435339237843581
"ABCB7",5.349743,5.631146,5.087587,5.35615866666667,135,114,121,6.507055,5.040312,4.209266,5.252211,171,274,200,1.01662574514306
"ABCB8",25.451568,21.496367,20.678115,22.5420166666667,717,431,556,21.51191,19.464312,14.629305,18.5351756666667,551,761,665,1.20510903348758
"ABCB9",20.038858,11.346602,23.406662,18.2640406666667,473,230,418,13.522164,13.523465,13.352624,13.4660843333333,392,512,531,1.33166931857833
"ABCC1",8.866004,11.470193,9.218329,9.85150866666667,759,724,593,11.500209,10.367327,9.302465,10.3900003333333,903,1271,1197,0.952722418708738
"ABCC10",67.229562,58.653056,74.269479,66.7173656666667,908,586,738,36.128396,35.014973,37.78168,36.3083496666667,526,739,582,1.81507266527978
"ABCC11",0.446327,0.700426,0.435039,0.527264,5,6,8,0.147705,0.168729,0.111362,0.142598666666667,9,7,7,1.33665830755389
"ABCC12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
