"Hs_symbol","Nociceptor(4Weeks)-S19_rep_1","Nociceptor(4Weeks)-S23_rep_2","Nociceptor(4Weeks)-S27_rep_3","Nociceptor(4Weeks)-S19_rep_1_read","Nociceptor(4Weeks)-S23_rep_2_read","Nociceptor(4Weeks)-S27_rep_3_read","Hs_Avg_TPM","Nociceptor(8Weeks)-S24_rep_2","Nociceptor(8Weeks)-S28_rep_3","Nociceptor(8Weeks)-S6_rep_1","Nociceptor(8Weeks)-S24_rep_2_read","Nociceptor(8Weeks)-S28_rep_3_read","Nociceptor(8Weeks)-S6_rep_1_read","Hs_Avg__TPM","FoldChange"
"LATS1",3.210698,4.206064,3.065053,350,379,304,0.702336333333333,4.358441,3.237217,3.700311,574,328,336,1.165571,0.786091212587042
"LATS2",7.366699,8.385614,4.881238,393,450,348,0.023516,4.180649,2.200534,3.64955,410,164,192,0.042341,0.981939691521297
"LAX1",0.077244,0.031718,0.027941,3,1,1,5.40258666666667,0.061673,0.082618,0,3,3,0,27.0094733333333,0.228586471101087
"LAYN",9.765177,9.104543,8.605102,154,200,183,226.011942666667,3.371151,0.886964,1.71719,98,21,18,190.330338,1.18649214254075
"LBH",26.557306,42.05568,19.88591,592,654,494,0.012013,70.141344,60.456305,62.226831,1830,1225,1130,0.0399363333333333,0.973148997262332
"LBHD1",14.248608,12.037453,20.949226,68,42,58,10.8027993333333,22.491285,14.511151,10.773105,72,62,59,8.08772633333333,1.29876262779187
"LBHD2",0,0,0.167749,0,0,1,4.306093,0,0,0,0,0,0,2.19085766666667,1.66290494729056
"LBP",0,0,0.086617,0,0,2,6.517383,0,0.041698,0,0,1,0,8.400418,0.799686035238008
"LBR",19.459889,21.872613,20.237584,446,516,387,0.061152,30.846202,15.54027,25.422224,681,300,402,0.292728,0.820862548037948
"LBX1",0,0.031915,0,0,1,0,2.92016933333333,0.062443,0.027743,0,3,1,0,2.531112,1.1101798338125
"LBX2",0.243432,1.027384,2.937229,4,3,3,0.669173333333333,0.604992,0.520879,1.146345,2,3,11,1.00408566666667,0.832885220974419
"LBX2.AS1",0.339795,0.428134,0.526034,9,9,13,4.163244,0.32903,0.416706,0.279145,12,11,7,3.324426,1.19397210173096
"LCA10",0.306605,0.481606,0.450423,6,7,7,6.83838933333333,0.339182,0.161964,0.35539,7,3,5,12.4575986666667,0.582450816634052
"LCA5",0.652372,0.939353,0.485992,45,50,29,0.526730666666667,1.602835,0.744712,0.942853,128,46,53,0.207619333333333,1.26424828132927
"LCA5L",0.947431,1.123513,0.544839,12,11,15,3.10871366666667,1.010756,0.868227,0.297464,21,12,6,2.76153633333333,1.09229668480317
"LCAL1",0,0.020634,0,0,1,0,511.481544666667,0.013789,0.018201,0,1,1,0,910.383463333333,0.562311656163142
"LCAT",26.337948,39.143295,27.575494,146,137,132,66.0618306666667,25.363311,9.292727,15.110369,164,54,65,84.8087963333333,0.781526294881913
"LCE1A",0,0,0,0,0,0,6.095189,0,0,0,0,0,0,5.063886,1.17007295321845
"LCE1B",0,0,0,0,0,0,60.2384563333333,0,0,0,0,0,0,37.1253226666667,1.60624099810897
"LCE1C",0,0,0,0,0,0,0.0382286666666667,0,0,0,0,0,0,0.269963666666667,0.817526275686102
"LCE1D",0.288181,0,0.326749,1,0,1,0.52155,0,0.315542,0,0,1,0,1.691886,0.565235674913425
"LCE1E",0.184553,0.079434,0,1,1,0,7.97577466666667,0,0,0,0,0,0,19.7915906666667,0.431702163175843
"LCE1F",0,0,0,0,0,0,0.479525,0,0,0,0,0,0,4.63849466666667,0.262397162268605
"LCE2A",0.166152,0,0.191266,1,0,1,0.0935026666666667,0,0,0,0,0,0,0.008175,1.08463576925302
"LCE2B",0,0,0,0,0,0,11.4733766666667,0,0,0,0,0,0,21.266196,0.560193428040724
"LCE2C",0,0,0,0,0,0,8.866303,0,0,0,0,0,0,16.4085853333333,0.566749268311214
"LCE2D",0,0,0,0,0,0,7.957009,0,0,0,0,0,0,8.51839466666667,0.941020971883774
"LCE3A",0,0,0,0,0,0,34.943571,0,0,0,0,0,0,39.1325863333333,0.895620598718951
"LCE3B",0,0,0,0,0,0,0,0,0,0,0,0,0,0.226836,0.815104871392753
"LCE3C",0,0,0,0,0,0,2.57860666666667,0,0,0,0,0,0,6.89605966666667,0.453214238207166
"LCE3D",0,0,0,0,0,0,0.026811,0,0,0,0,0,0,0.0455233333333333,0.982102423985436
"LCE3E",0,0,0,0,0,0,1.50381566666667,0,0,0,0,0,0,2.46013733333333,0.723617424818976
"LCE4A",0,0,0,0,0,0,0.190824,0,0,0,0,0,0,0.0439403333333333,1.14070120865784
"LCE5A",0,0,0,0,0,0,26.318357,0,0,0,0,0,0,40.3551996666667,0.660578529911422
"LCE6A",0,0,0,0,0,0,0.020756,0,0,0,0,0,0,0.926267333333333,0.529913985632316
"LCK",0.088806,0.110696,0.202546,1,1,2,0.411046333333333,0.157882,0,0.554399,2,0,5,1.00840233333333,0.702571546504543
"LCLAT1",4.024451,3.966785,3.146913,229,183,198,0.402571666666667,4.531039,4.385956,5.229886,366,285,284,0.556991,0.900821948660376
"LCMT1",248.668655,179.905971,192.174937,285,182,274,1.535236,240.820741,306.330246,322.708872,473,397,390,2.81948033333333,0.663764643026045
"LCMT1.AS2",0.151867,0.191046,0.026878,10,9,2,4.58577433333333,0.179331,0.041584,0.044284,14,2,3,12.0784816666667,0.427096544973556
"LCMT2",3.424867,3.638399,3.748836,135,116,128,76.71862,3.305634,3.742863,5.584073,160,119,182,142.065991333333,0.543236161687939
"LCN1",0,0,0,0,0,0,11.1237883333333,0,0,0,0,0,0,5.85804133333333,1.7678208316427
"LCN10",0.038924,0.04817,0.08815,1,1,3,243.984828,0,0,0,0,0,0,152.658995333333,1.59434094612263
"LCN12",2.985341,2.495321,2.114818,23,12,14,5.54266833333333,3.218613,3.119877,1.909084,27,21,15,8.02110633333333,0.725262300606958
"LCN15",0.160337,0.149645,0.208757,7,5,8,16.547602,0.19001,0.17741,0.285739,9,7,10,22.1991346666667,0.756390367663713
"LCN2",0,0,0,0,0,0,66.4448796666667,0,0,0,0,0,0,50.1531876666667,1.31848830430985
"LCN6",0.078232,0,0,1,0,0,48.3015006666667,0,0,0,0,0,0,77.3958116666667,0.628879268146277
"LCN8",0,0,0,0,0,0,1.01785066666667,0,0,0,0,0,0,0.434353333333333,1.40680167136875
"LCN9",0.325364,0.538802,0,3,2,0,0,0,0.216133,0.135716,0,1,1,0.0219303333333333,0.978540285361918
"LCNL1",0.370983,0.2128,0.317074,21,4,13,0.820731666666667,4.414249,0.28318,0.489293,235,11,18,3.090986,0.445059373624517
"LCOR",7.080947,15.523675,4.805857,792,631,706,12.1999063333333,27.111697,16.529771,12.002186,1235,1335,1227,18.9098553333333,0.662983538169355
"LCORL",3.200013,4.465475,4.349927,136,165,145,10.37924,6.171462,4.301717,4.871033,306,178,210,11.9284046666667,0.880173563049053
"LCP1",0.853258,0.338782,0.310382,18,16,14,0.856617,0.941197,0.557136,1.070931,30,25,23,2.22919333333333,0.574947613335838
"LCP2",0.090618,0.241477,0.123308,4,4,4,8.545476,0.178688,0.03521,0.219134,9,1,3,2.49378633333333,2.73212929735543
"LCT",0,0.012369,0.033918,0,1,3,0.0245763333333333,0,0,0,0,0,0,0.0277136666666667,0.996947269035052
"LCT.AS1",0,0,0,0,0,0,88.1150423333333,0,0,0,0,0,0,84.14346,1.04664577095332
"LCTL",46.658989,24.46548,22.094711,382,300,370,0.388469333333333,1.335105,2.30768,2.324449,67,55,62,0.879880333333333,0.738594531105792
"LDAH",21.517351,27.260268,20.016205,404,347,422,4.785896,22.955859,19.538413,28.787981,498,365,368,2.371179,1.71628264177013
"LDB1",56.883981,55.887918,57.57957,1678,1313,1583,9.870986,55.744897,45.900899,46.649374,2173,1310,1239,13.9392746666667,0.727678300490448
"LDB2",0.196156,0.943202,0,3,15,0,7.66673933333333,4.301756,0.832026,3.692879,114,22,59,14.517792,0.558503383299205
