"Hs_symbol","Nociceptor(4Weeks)-S19_rep_1","Nociceptor(4Weeks)-S23_rep_2","Nociceptor(4Weeks)-S27_rep_3","Hs_Avg_TPM","Nociceptor(4Weeks)-S19_rep_1_read","Nociceptor(4Weeks)-S23_rep_2_read","Nociceptor(4Weeks)-S27_rep_3_read","Cardiomyocytes-S20_rep_1","Cardiomyocytes-S25_rep_2","Cardiomyocytes-S29_rep_3","Hs_Avg__TPM","Cardiomyocytes-S20_rep_1_read","Cardiomyocytes-S25_rep_2_read","Cardiomyocytes-S29_rep_3_read","FoldChange"
"ABCA17P",1.321805,0.403783,0.722064,0.815884,13,4,7,0.02167,0.266152,1.014407,0.434076333333333,2,4,5,1.26623943076949
"ABCA2",50.768809,33.180849,36.909447,40.2863683333333,1020,646,751,24.315816,17.365586,16.698512,19.4599713333333,805,444,402,2.01790939296526
"ABCA3",21.599438,17.726576,24.450837,21.2589503333333,1930,1121,1708,2.864033,2.329955,1.427765,2.207251,295,201,155,6.9401959289539
"ABCA4",1.22204,0.556301,1.285668,1.02133633333333,23,10,13,0.012157,0.012809,0,0.008322,1,1,0,2.004653606024
"ABCA5",6.679427,7.075997,6.759744,6.83838933333333,323,230,276,4.156998,3.19961,2.228167,3.194925,168,152,100,1.8685409949721
"ABCA6",1.179883,0.523131,0.304506,0.669173333333333,17,18,12,0.307074,0.113031,0.186072,0.202059,11,7,9,1.38859517988163
"ABCA7",24.152072,12.964013,24.639795,20.5852933333333,710,377,537,11.353326,7.85688,8.990523,9.400243,435,267,221,2.0754604804266
"ABCA8",8.680828,3.745783,8.184944,6.87051833333333,258,141,202,3.234198,1.719767,1.436738,2.13023433333333,96,64,65,2.51435435664401
"ABCA9",2.080644,1.631188,5.048676,2.92016933333333,56,70,42,0.287344,0.110486,0.190728,0.196186,11,7,5,3.27722388770085
"ABCA9.AS1",0,0.188498,0,0.0628326666666667,0,1,0,0,0,0.171932,0.0573106666666667,0,0,1,1.00522268447117
"ABCB1",0.242278,0.606745,0.127132,0.325385,1,5,2,0.03239,0.180298,0.191402,0.134696666666667,3,5,3,1.16805225478762
"ABCB10",4.487977,5.694735,6.12157,5.43476066666667,229,188,232,4.005154,2.663769,2.895076,3.18799966666667,137,128,111,1.53647592617605
"ABCB10P3",0,0,0,0,0,0,0,0.115241,0.054277,0,0.056506,5,2,0,0.946516157977333
"ABCB10P4",0.036736,0,0,0.0122453333333333,1,0,0,0,0,0.054181,0.0180603333333333,0,0,2,0.994288157774539
"ABCB11",1.580405,3.39585,0.543683,1.83997933333333,8,15,6,0.266721,0.007328,0.0069,0.0936496666666667,3,1,1,2.5967907456044
"ABCB4",0.391427,0.466284,0.700631,0.519447333333333,11,23,7,11.373936,10.12465,10.942716,10.8137673333333,248,158,162,0.128616663123719
"ABCB5",0.218901,0.076822,0,0.0985743333333333,4,2,0,0.238192,0,0.073851,0.104014333333333,1,0,5,0.99507252774194
"ABCB6",17.599676,11.88309,16.193697,15.2254876666667,250,162,216,8.326215,7.061364,8.704006,8.03052833333333,123,101,86,1.79673736328089
"ABCB7",5.349743,5.631146,5.087587,5.35615866666667,135,114,121,13.831658,11.114692,9.446497,11.4642823333333,350,248,280,0.509949830779133
"ABCB8",25.451568,21.496367,20.678115,22.5420166666667,717,431,556,11.02178,6.985446,5.674411,7.893879,471,342,268,2.6469908874032
"ABCB9",20.038858,11.346602,23.406662,18.2640406666667,473,230,418,4.324097,2.790693,3.029996,3.38159533333333,187,127,124,4.39658142779959
"ABCC1",8.866004,11.470193,9.218329,9.85150866666667,759,724,593,4.111846,2.414281,2.166516,2.89754766666667,483,341,276,2.7841888271112
