"Hs_symbol","Nociceptor(4Weeks)-S19_rep_1","Nociceptor(4Weeks)-S23_rep_2","Nociceptor(4Weeks)-S27_rep_3","Hs_Avg_TPM","Nociceptor(4Weeks)-S19_rep_1_read","Nociceptor(4Weeks)-S23_rep_2_read","Nociceptor(4Weeks)-S27_rep_3_read","Cortical_neurons-S17_rep_1","Cortical_neurons-S21_rep_2","Cortical_neurons-S8_rep_3","Hs_Avg__TPM","Cortical_neurons-S17_rep_1_read","Cortical_neurons-S21_rep_2_read","Cortical_neurons-S8_rep_3_read","FoldChange"
"ABCA13",0.064986,0.353211,0.084842,0.167679666666667,4,8,5,0.087452,0.016383,0.151556,0.0851303333333333,5,2,6,1.07607319673735
"ABCA17P",1.321805,0.403783,0.722064,0.815884,13,4,7,2.031216,2.837622,4.432733,3.10052366666667,10,18,15,0.44284197522414
"ABCA2",50.768809,33.180849,36.909447,40.2863683333333,1020,646,751,107.50449,75.111095,79.577059,87.397548,1545,1840,1190,0.467053320679589
"ABCA3",21.599438,17.726576,24.450837,21.2589503333333,1930,1121,1708,51.9705,59.537578,54.006441,55.1715063333333,4138,4756,3097,0.396267641484352
"ABCA4",1.22204,0.556301,1.285668,1.02133633333333,23,10,13,0.905126,0.080781,0.014008,0.333305,7,3,1,1.5160344657324
"ABCA5",6.679427,7.075997,6.759744,6.83838933333333,323,230,276,15.166472,15.375498,16.666334,15.7361013333333,612,687,561,0.468352167402428
"ABCA6",1.179883,0.523131,0.304506,0.669173333333333,17,18,12,0.380325,0.502694,0.140608,0.341209,12,17,6,1.24452887904371
"ABCA7",24.152072,12.964013,24.639795,20.5852933333333,710,377,537,53.395405,36.508479,39.178153,43.0273456666667,1224,1180,903,0.490270149301226
"ABCA8",8.680828,3.745783,8.184944,6.87051833333333,258,141,202,0.39584,0.133049,0.866773,0.465220666666667,3,4,10,5.37155836822758
"ABCA9",2.080644,1.631188,5.048676,2.92016933333333,56,70,42,1.630893,5.875754,1.09333,2.866659,74,97,41,1.01383890674956
"ABCA9.AS1",0,0.188498,0,0.0628326666666667,0,1,0,0,0,0,0,0,0,0,1.06283266666667
"ABCB1",0.242278,0.606745,0.127132,0.325385,1,5,2,1.409905,3.284378,1.946045,2.21344266666667,27,71,43,0.412450178043735
"ABCB10",4.487977,5.694735,6.12157,5.43476066666667,229,188,232,10.325898,7.423625,9.542775,9.09743266666667,388,332,292,0.637267004305847
"ABCB10P3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ABCB10P4",0.036736,0,0,0.0122453333333333,1,0,0,0.12983,0,0.121558,0.083796,3,0,2,0.933981425778775
"ABCB11",1.580405,3.39585,0.543683,1.83997933333333,8,15,6,1.639649,3.496208,2.969016,2.70162433333333,7,12,8,0.767225163223389
"ABCB4",0.391427,0.466284,0.700631,0.519447333333333,11,23,7,0.520114,0.10443,0.985588,0.536710666666667,4,3,5,0.988766048347423
"ABCB5",0.218901,0.076822,0,0.0985743333333333,4,2,0,0,0.258936,0.058403,0.105779666666667,0,2,3,0.993483933960322
