"Hs_symbol","Cardiomyocytes-S20_rep_1","Cardiomyocytes-S25_rep_2","Cardiomyocytes-S29_rep_3","Hs_Avg_TPM","Cardiomyocytes-S20_rep_1_read","Cardiomyocytes-S25_rep_2_read","Cardiomyocytes-S29_rep_3_read","Mm_genes","DRG-S1","DRG-S7","DRG-S13","DRG-S1_read","DRG-S7_read","DRG-S13_read","Mm_Avg_TPM","FoldChange"
"ABCA8",3.234198,1.719767,1.436738,2.13023433333333,96,64,65,"Abca8b",12.161258,12.465005,14.473483,3737,944,1732,13.0332486666667,0.223058424152963
"ABCA9",0.287344,0.110486,0.190728,0.196186,11,7,5,"Abca9",2.510507,2.960071,2.962372,676,194,314,2.81098333333333,0.313878570272764
"ABCB1",0.03239,0.180298,0.191402,0.134696666666667,3,5,3,"Abcb1b",1.29574,1.66082,2.204825,117,36,57,1.72046166666667,0.417097098102834
"ABCB1",0.03239,0.180298,0.191402,0.134696666666667,3,5,3,"Abcb1a",40.156561,54.850987,5.961506,1174,289,483,33.6563513333333,0.0327413770639867
"ABCB10",4.005154,2.663769,2.895076,3.18799966666667,137,128,111,"Abcb10",5.679646,5.373036,5.311046,963,220,368,5.454576,0.648841948203362
"ABCB11",0.266721,0.007328,0.0069,0.0936496666666667,3,1,1,"Abcb11",0,0,0.012404,0,0,1,0.00413466666666667,1.08914640931296
"ABCB4",11.373936,10.12465,10.942716,10.8137673333333,248,158,162,"Abcb4",2.85706,2.376162,2.887682,430,81,174,2.706968,3.18690836644215
"ABCB5",0.238192,0,0.073851,0.104014333333333,1,0,5,"Abcb5",0,0,0,0,0,0,0,1.10401433333333
"ABCB6",8.326215,7.061364,8.704006,8.03052833333333,123,101,86,"Abcb6",11.693171,5.646987,10.839573,709,152,266,9.39324366666667,0.868884500639213
"ABCB7",13.831658,11.114692,9.446497,11.4642823333333,350,248,280,"Abcb7",7.456802,7.129243,7.31946,1722,415,663,7.301835,1.50138882949774
"ABCB8",11.02178,6.985446,5.674411,7.893879,471,342,268,"Abcb8",25.498487,22.60307,29.797684,1350,316,528,25.9664136666667,0.329813193179402
"ABCB9",4.324097,2.790693,3.029996,3.38159533333333,187,127,124,"Abcb9",15.429411,12.471241,16.112352,1637,348,695,14.6710013333333,0.279598938200163
"ABCC1",4.111846,2.414281,2.166516,2.89754766666667,483,341,276,"Abcc1",8.351031,6.08049,11.592946,994,209,349,8.67482233333333,0.402854701862398
"ABCC10",14.897475,9.350053,15.513101,13.253543,250,167,160,"Abcc10",2.622562,2.513981,2.584121,288,85,131,2.57355466666667,3.98861758935827
"ABCC12",0.174113,0,0.046512,0.0735416666666667,1,0,1,"Abcc12",0.581075,0.452147,0.584976,67,15,32,0.539399333333333,0.69737698556883
"ABCC2",0.206724,0.320286,0.182112,0.236374,3,4,1,"Abcc2",0.140255,0.055143,0.014914,11,3,2,0.070104,1.15537742125999
"ABCC3",0.348225,0.325404,0.504307,0.392645333333333,2,3,3,"Abcc3",0.786365,0.247674,1.21136,64,13,30,0.748466333333333,0.79649536670137
"ABCC4",0.874694,0.850797,0.835235,0.853575333333333,82,50,37,"Abcc4",7.38802,4.529168,6.372067,1235,251,481,6.09641833333333,0.261198712683934
"ABCC5",26.815209,20.139758,16.661965,21.205644,1688,1220,1081,"Abcc5",198.841532,203.71343,188.884774,9456,2400,3630,197.146578666667,0.112066754568372
