"Hs_symbol","Cardiomyocytes-S20_rep_1","Cardiomyocytes-S25_rep_2","Cardiomyocytes-S29_rep_3","Hs_Avg_TPM","Cardiomyocytes-S20_rep_1_read","Cardiomyocytes-S25_rep_2_read","Cardiomyocytes-S29_rep_3_read","Mm_genes","Spinal_Cord-S2","Spinal_Cord-S14","Spinal_Cord-S8","Spinal_Cord-S2_read","Spinal_Cord-S14_read","Spinal_Cord-S8_read","Mm_Avg_TPM","FoldChange"
"AADAT",2.803781,1.273732,1.256284,1.77793233333333,72,50,52,"Aadat",0.102189,0.086571,0.345332,4,4,3,0.178030666666667,2.35811546501902
"AAGAB",13.5382,8.893211,8.17232,10.2012436666667,443,347,312,"Aagab",17.426509,15.6387,13.707991,736,985,210,15.5910666666667,0.675137041620792
"AAK1",8.140723,4.98695,5.632312,6.25332833333333,1061,924,810,"Aak1",69.489029,46.415298,28.507961,7387,8738,1634,48.1374293333333,0.147613101290443
"AAMDC",43.508279,45.757314,41.928473,43.7313553333333,288,290,250,"Aamdc",38.24271,41.233439,42.468014,297,480,107,40.6480543333333,1.07403229392957
"AAMP",48.914554,44.434024,32.481351,41.9433096666667,986,865,668,"Aamp",68.334942,59.931139,83.371171,1778,2358,678,70.5457506666667,0.600221666088047
"AANAT",0.384486,0.191591,0.957074,0.511050333333333,4,2,7,"Aanat",4.817009,2.713429,1.020571,21,20,6,2.85033633333333,0.392446322221721
"AAR2",9.629091,8.985329,7.802869,8.805763,494,440,373,"Aar2",11.180055,9.270863,11.847764,628,826,234,10.7662273333333,0.833382079251571
"AARD",0.509473,0.537165,0.417107,0.487915,11,13,17,"Aard",8.095531,6.271673,6.228319,196,227,47,6.86517433333333,0.189177624924864
"AARS1",22.672867,16.865167,16.478736,18.6722566666667,1180,877,706,"Aars",50.223145,48.62845,48.05169,3323,4540,1025,48.9677616666667,0.393698977310604
"AARS2",2.873718,2.217694,1.513002,2.20147133333333,289,218,155,"Aars2",9.453422,6.039625,6.693012,476,556,153,7.395353,0.381338501589312
"AARSD1",42.269472,45.211996,38.782538,42.088002,410,412,304,"Aarsd1",20.364092,16.374867,24.548975,536,628,183,20.4293113333333,2.01070399929169
"AASDH",1.51679,1.429238,0.686802,1.21094333333333,72,62,45,"Aasdh",10.338272,7.965028,6.807299,253,277,58,8.37019966666667,0.235954772788726
"AASDHPPT",15.491333,11.332325,7.790263,11.5379736666667,438,436,306,"Aasdhppt",7.37912,6.932505,6.263653,392,582,102,6.858426,1.5954815463894
"AASS",10.663442,6.340196,5.078783,7.360807,777,556,484,"Aass",0.727559,1.359941,0.620717,39,83,12,0.902739,4.39409030876016
"AATF",18.011852,16.629179,17.421425,17.354152,333,266,229,"Aatf",5.791477,4.306441,4.535828,176,197,48,4.87791533333333,3.12256147956311
"AATK",0.807211,1.215351,1.261386,1.09464933333333,81,68,60,"Aatk",118.038677,125.518116,98.177824,7807,12349,2727,113.911539,0.0182283637619137
"ABAT",3.072307,1.855792,1.672802,2.20030033333333,274,169,145,"Abat",168.964922,122.107798,135.354847,10783,12924,3096,142.142522333333,0.0223574398520158
"ABCA1",1.876267,0.885241,0.804978,1.18882866666667,396,171,159,"Abca1",6.043864,5.208708,5.365657,945,1230,203,5.53940966666667,0.334713495290528
"ABCA12",0,0.006599,0,0.00219966666666667,0,1,0,"Abca12",0.045234,0.074347,0,5,9,0,0.0398603333333333,0.96378295674964
"ABCA13",0.174113,0.034944,0.058673,0.0892433333333333,5,3,5,"Abca13",0.047409,0.010958,0,7,6,0,0.0194556666666667,1.06845581318396
"ABCA2",24.315816,17.365586,16.698512,19.4599713333333,805,444,402,"Abca2",187.735036,204.759133,180.525361,10708,19126,3021,191.00651,0.106558737687245
"ABCA3",2.864033,2.329955,1.427765,2.207251,295,201,155,"Abca3",14.947317,12.397739,14.833255,1948,2418,589,14.059437,0.212972835571476
"ABCA4",0.012157,0.012809,0,0.008322,1,1,0,"Abca4",0.320539,0.548091,0.211687,20,22,5,0.360105666666667,0.741355634868565
"ABCA5",4.156998,3.19961,2.228167,3.194925,168,152,100,"Abca5",10.426741,9.657139,7.69426,1834,2418,419,9.25938,0.408886794328702
"ABCA6",0.307074,0.113031,0.186072,0.202059,11,7,9,"Abca6",1.102142,1.064141,0.65707,128,183,24,0.941117666666667,0.619261274389514
"ABCA7",11.353326,7.85688,8.990523,9.400243,435,267,221,"Abca7",6.531162,5.344626,6.635365,985,1230,314,6.17038433333333,1.45044428813277
"ABCA8",3.234198,1.719767,1.436738,2.13023433333333,96,64,65,"Abca8b",2.986576,2.668696,2.137732,492,660,110,2.597668,0.870073151089354
"ABCA9",0.287344,0.110486,0.190728,0.196186,11,7,5,"Abca9",1.374692,1.128702,1.013082,182,236,45,1.17215866666667,0.550689974151673
"ABCB1",0.03239,0.180298,0.191402,0.134696666666667,3,5,3,"Abcb1b",2.49553,1.937662,4.193703,104,138,26,2.87563166666667,0.292777220401492
"ABCB1",0.03239,0.180298,0.191402,0.134696666666667,3,5,3,"Abcb1a",51.550946,45.585615,82.118006,956,1215,296,59.7515223333333,0.0186776663873669
"ABCB10",4.005154,2.663769,2.895076,3.18799966666667,137,128,111,"Abcb10",7.860339,9.169756,7.734576,712,1245,220,8.25489033333333,0.452517481658616
"ABCB11",0.266721,0.007328,0.0069,0.0936496666666667,3,1,1,"Abcb11",0.107312,0.072965,0,3,3,0,0.0600923333333333,1.03165510425664
"ABCB4",11.373936,10.12465,10.942716,10.8137673333333,248,158,162,"Abcb4",1.400501,1.459437,1.017312,106,145,28,1.29241666666667,5.15341190155949
"ABCB5",0.238192,0,0.073851,0.104014333333333,1,0,5,"Abcb5",0,0,0,0,0,0,0,1.10401433333333
"ABCB6",8.326215,7.061364,8.704006,8.03052833333333,123,101,86,"Abcb6",11.256848,9.906954,10.797514,311,438,107,10.653772,0.774901751410044
"ABCB7",13.831658,11.114692,9.446497,11.4642823333333,350,248,280,"Abcb7",7.537502,7.121689,6.273685,852,1270,219,6.97762533333333,1.56240507826974
"ABCB8",11.02178,6.985446,5.674411,7.893879,471,342,268,"Abcb8",32.393634,22.982948,29.272752,764,1061,243,28.2164446666667,0.304413459661884
"ABCB9",4.324097,2.790693,3.029996,3.38159533333333,187,127,124,"Abcb9",13.338002,13.437693,14.346582,897,1194,345,13.7074256666667,0.297917217644955
"ABCC1",4.111846,2.414281,2.166516,2.89754766666667,483,341,276,"Abcc1",6.382838,7.348494,2.504568,439,657,118,5.41196666666667,0.607855260216574
"ABCC10",14.897475,9.350053,15.513101,13.253543,250,167,160,"Abcc10",4.048571,3.606159,3.043047,272,388,93,3.56592566666667,3.12172033462072
"ABCC12",0.174113,0,0.046512,0.0735416666666667,1,0,1,"Abcc12",0.455108,0.934647,0.773761,35,106,17,0.721172,0.623727127019651
"ABCC2",0.206724,0.320286,0.182112,0.236374,3,4,1,"Abcc2",0.077074,0.105317,0.017706,5,9,1,0.066699,1.15906549082731
"ABCC3",0.348225,0.325404,0.504307,0.392645333333333,2,3,3,"Abcc3",0.811729,0.712912,0.426075,31,43,6,0.650238666666667,0.843905406813883
"ABCC4",0.874694,0.850797,0.835235,0.853575333333333,82,50,37,"Abcc4",3.071147,2.167471,3.352535,318,388,87,2.86371766666667,0.4797388145942
"ABCC5",26.815209,20.139758,16.661965,21.205644,1688,1220,1081,"Abcc5",183.364476,141.300881,150.092514,4295,5403,1092,158.252623666667,0.139436597581456
"ABCC6",2.370812,3.482122,1.641663,2.498199,98,80,51,"Abcc6",1.008744,1.57666,0.876534,63,89,18,1.15397933333333,1.62406340017499
"ABCC8",0.18336,0.761856,0.182109,0.375775,9,6,1,"Abcc8",11.549855,10.608686,22.413235,564,647,172,14.8572586666667,0.0867599519513419
"ABCC9",5.937915,4.245439,2.802442,4.32859866666667,581,434,370,"Abcc9",2.029741,1.735282,2.238094,334,424,115,2.001039,1.77558461141847
"ABCD1",9.855316,6.357848,6.647314,7.62015933333333,690,437,443,"Abcd1",3.751694,3.290507,2.928051,253,362,74,3.32341733333333,1.99383003506794
"ABCD2",0.210704,0.12733,0.165506,0.167846666666667,19,13,17,"Abcd2",26.320987,26.081769,26.769714,1181,1617,306,26.3908233333333,0.0426364206893136
"ABCD3",10.323186,7.852999,5.423063,7.866416,539,489,336,"Abcd3",23.379323,22.163501,20.687641,1616,2217,462,22.0768216666667,0.384213048402896
"ABCD4",36.841234,32.142947,25.91358,31.632587,577,476,396,"Abcd4",9.282074,6.916407,9.782007,391,509,129,8.66016266666667,3.37805771248573
"ABCE1",25.279482,10.850918,4.462396,13.530932,450,444,265,"Abce1",20.233439,17.96782,16.699634,1557,2065,408,18.3002976666667,0.752886419212913
"ABCF1",30.647549,12.146954,19.277681,20.690728,895,681,599,"Abcf1",39.898575,34.456644,30.824655,1253,1481,371,35.059958,0.601518393338118
"ABCF2",6.164294,6.22041,10.611419,7.66537433333333,480,500,342,"Abcf2",28.959469,23.183203,30.132421,1585,1906,522,27.425031,0.304850127809301
"ABCF3",42.225453,35.384299,25.704264,34.4380053333333,787,609,496,"Abcf3",251.730555,202.838829,291.535145,1377,1754,455,248.701509666667,0.14192147008098
"ABCG1",4.885127,3.443918,3.219942,3.84966233333333,306,199,192,"Abcg1",18.19387,16.716273,15.025299,1036,1496,310,16.6451473333333,0.274843969376887
"ABCG2",0.576877,0.198017,0.199392,0.324762,10,14,4,"Abcg3",0.078591,0.126965,0.100245,5,12,2,0.101933666666667,1.2022157413589
"ABCG4",0.753032,0.371896,0.214828,0.446585333333333,40,26,15,"Abcg4",26.644854,17.078907,23.610972,1180,1262,410,22.444911,0.0617014640547509
"ABCG5",0,0.01593,0,0.00531,0,1,0,"Abcg5",0.145426,0.040795,0.09925,3,3,1,0.095157,0.917959708060123
"ABCG8",0.035989,0.06211,0.039485,0.0458613333333333,4,5,3,"Abcg8",0.024937,0.008273,0,2,1,0,0.01107,1.0344104100936
"ABHD1",0.548215,0.837679,0.573511,0.653135,17,19,15,"Abhd1",1.196823,0.71728,1.031029,31,27,8,0.981710666666667,0.834195943841112
"ABHD10",4.682414,3.63352,2.996599,3.77084433333333,164,141,99,"Abhd10",10.83551,11.441995,11.652591,366,588,127,11.310032,0.387557427416381
"ABHD11",16.413349,19.071503,13.597818,16.36089,302,309,281,"Abhd11",14.205171,12.188733,16.893946,276,355,101,14.4292833333333,1.12519095183725
"ABHD12",31.484105,29.04836,22.06709,27.533185,638,567,468,"Abhd12",220.058829,194.911665,204.331185,3618,4930,1247,206.433893,0.137553148076915
"ABHD12B",0.21345,0.366161,0.189974,0.256528333333333,7,7,3,"Abhd12b",0.266634,0.335715,0.208905,7,20,3,0.270418,0.98906685306201
"ABHD13",1.172633,1.326137,0.716184,1.07165133333333,82,109,59,"Abhd13",5.454363,4.367787,4.270211,591,721,144,4.69745366666667,0.363610036085711
"ABHD14A",8.546513,7.684425,5.406513,7.21248366666667,139,127,86,"Abhd14a",13.142815,14.339487,11.925889,244,407,75,13.1360636666667,0.580959725445492
"ABHD14B",8.124944,8.387924,5.480449,7.33110566666667,292,279,180,"Abhd14b",12.490752,10.736031,18.244562,299,361,106,13.8237816666667,0.562009469243622
"ABHD15",1.644095,1.578787,1.43262,1.551834,123,111,101,"Abhd15",0.515703,0.794554,0.51023,29,56,9,0.606829,1.58811796401484
"ABHD16A",19.452254,20.109003,15.952975,18.504744,486,433,358,"Abhd16a",51.520744,49.225194,58.978636,1022,1419,372,53.2415246666667,0.359590629501356
"ABHD16B",0,0,0,0,0,0,0,"Abhd16b",0,0.018444,0,0,1,0,0.006148,0.993889566942438
"ABHD17A",21.413135,20.573032,17.57639,19.8541856666667,715,597,525,"Abhd17a",54.09094,54.838004,80.823187,1138,1767,543,63.2507103333333,0.324575176810886
"ABHD17B",2.046774,1.634046,1.489593,1.723471,103,84,78,"Abhd17b",15.276339,14.658277,14.065653,575,887,163,14.6667563333333,0.173837579525343
"ABHD17C",1.848624,2.204347,1.707873,1.92028133333333,50,65,54,"Abhd17c",8.324551,5.812786,7.446699,240,377,81,7.19467866666667,0.356363129308792
"ABHD18",8.712244,6.827573,4.421348,6.65372166666667,367,326,288,"Abhd18",5.207263,4.045483,2.511846,323,360,56,3.92153066666667,1.55515066044493
"ABHD2",3.332886,2.82704,2.375777,2.84523433333333,614,430,406,"Abhd2",10.865608,9.806749,11.171332,1666,2251,544,10.614563,0.331070082734351
"ABHD3",2.331696,3.741765,1.156728,2.410063,72,76,34,"Abhd3",46.049488,40.965363,48.916433,1107,1482,417,45.310428,0.0736348841345193
"ABHD4",15.0237,23.747182,16.357654,18.3761786666667,409,343,303,"Abhd4",41.709837,46.489543,44.554436,1708,2683,643,44.251272,0.428190806805755
"ABHD5",7.210165,4.691474,4.783658,5.56176566666667,177,215,128,"Abhd5",23.061725,28.261032,19.459388,517,895,157,23.5940483333333,0.266802991428346
"ABHD6",2.357982,2.891814,1.502824,2.25087333333333,64,48,45,"Abhd6",17.219782,14.994396,17.500717,721,938,243,16.5716316666667,0.185006913131478
"ABHD8",4.748047,3.701303,3.322699,3.92401633333333,184,148,137,"Abhd8",50.936956,38.078002,64.276007,2090,2352,803,51.0969883333333,0.0945163336856996
"ABI1",10.258949,6.855637,7.216852,8.11047933333333,359,321,284,"Abi1",61.0719,45.96582,56.390212,1232,1550,346,54.4759773333333,0.164223863575977
"ABI2",21.727203,10.892244,9.493522,14.0376563333333,933,760,670,"Abi2",30.069824,20.950699,16.188413,1747,2281,476,22.4029786666667,0.642553093241578
"ABI3",0.029558,0.160231,0.222847,0.137545333333333,1,5,7,"Abi3",2.297924,3.572839,4.360517,45,62,12,3.41042666666667,0.257921833715257
"ABI3BP",0.659504,0.308934,0,0.322812666666667,5,4,0,"Abi3bp",0.700963,0.658903,0.637616,65,89,18,0.665827333333333,0.794087502466242
"ABITRAM",13.449005,10.517363,5.073883,9.68008366666667,184,198,136,"Abitram",4.721721,3.482861,4.223285,316,411,72,4.14262233333333,2.07677775547326
"ABL1",7.760499,5.097737,3.86969,5.57597533333333,787,524,458,"Abl1",17.252337,18.901642,11.215876,1307,2217,446,15.7899516666667,0.391661361741065
"ABL2",1.446018,0.98648,1.194757,1.209085,315,194,136,"Abl2",6.505006,5.893185,4.067408,1208,1501,243,5.488533,0.340459854330709
"ABLIM1",59.262507,38.678189,34.133185,44.024627,7498,5439,4652,"Ablim1",19.932181,14.238708,13.501742,2058,2420,544,15.890877,2.66561807299881
"ABLIM2",6.864886,5.835002,6.004859,6.23491566666667,163,143,105,"Ablim2",77.501144,78.624032,83.529767,2000,2948,656,79.884981,0.0894469600810893
"ABLIM3",1.439051,0.939932,0.795889,1.05829066666667,79,55,65,"Ablim3",3.978462,2.558477,2.756626,379,366,82,3.097855,0.50228489457696
"ABO",0.108377,0.428422,0.100191,0.21233,15,12,11,"Abo",0,0.018597,0.087707,0,1,1,0.0354346666666667,1.17084161756222
"ABR",137.5781,52.298863,84.704982,91.527315,1454,973,842,"Abr",74.646676,57.404363,59.13765,5473,6170,1543,63.729563,1.42944445646883
"ABRA",1.22541,0.904378,0.700678,0.943488666666667,55,43,33,"Abra",0.018005,0.01128,0,1,1,0,0.00976166666666667,1.9247003830937
"ABRACL",1.304502,3.067132,2.188819,2.18681766666667,11,29,19,"Abracl",36.891442,26.41917,26.414674,73,83,21,29.9084286666667,0.103105133587833
"ABRAXAS1",1.870927,1.13124,1.242214,1.41479366666667,62,58,36,"Abraxas1",4.084361,3.180293,2.25232,103,114,24,3.17232466666667,0.578764564023222
"ABRAXAS2",2.908321,2.115077,1.946772,2.32339,158,120,108,"Abraxas2",11.466733,11.511173,8.682248,552,673,163,10.5533846666667,0.287655098127954
"ABT1",3.32542,2.791458,2.174212,2.76369666666667,199,168,128,"Abt1",1.876958,1.547864,2.244052,184,227,69,1.88962466666667,1.30248634367047
"ABTB1",4.435767,2.908722,2.928956,3.42448166666667,118,103,97,"Abtb1",20.185235,16.277574,21.128845,464,615,144,19.197218,0.2190639159644
"ABTB2",6.950399,6.045716,4.152189,5.71610133333333,790,633,438,"Abtb2",4.27992,4.990935,4.435689,419,704,139,4.568848,1.20601268580743
"ACAA1",73.219918,69.137641,52.278734,64.8787643333333,1732,1479,1295,"Acaa1a",43.817628,41.570631,39.136331,1187,1805,406,41.5081966666667,1.54978967585781
"ACAA1",73.219918,69.137641,52.278734,64.8787643333333,1732,1479,1295,"Acaa1b",0.773102,0.218939,0.620438,15,11,7,0.537493,42.8481718832758
"ACAA2",33.764452,29.686524,22.134757,28.5285776666667,1017,904,664,"Acaa2",20.963765,13.131852,15.757114,326,408,95,16.617577,1.67608619883805
"ACACA",7.1497,4.870629,6.747958,6.25609566666667,693,417,430,"Acaca",22.195442,21.317759,10.804532,2827,4307,669,18.105911,0.379782762866773
"ACACB",26.02878,14.841445,7.767875,16.2127,1315,753,655,"Acacb",2.966425,2.245241,1.899891,253,405,100,2.370519,5.1068396291491
"ACAD10",20.02537,13.653281,10.050915,14.576522,659,558,399,"Acad12",3.266996,2.897114,5.625146,122,192,60,3.929752,3.15969687724656
"ACAD10",20.02537,13.653281,10.050915,14.576522,659,558,399,"Acad10",1.395235,2.376533,2.320622,85,127,26,2.03079666666667,5.13941504928847
"ACAD11",6.08628,6.516346,6.250521,6.28438233333333,364,279,315,"Acad11",11.338964,9.925988,11.505482,562,777,163,10.923478,0.610927644881245
"ACAD8",17.886304,13.41606,11.385466,14.2292766666667,633,534,433,"Acad8",14.2754,12.586996,10.959902,352,475,104,12.6074326666667,1.11918809666227
"ACAD9",9.950716,8.300763,6.289277,8.180252,369,346,279,"Acad9",41.203767,34.89229,35.359212,975,1301,247,37.1517563333333,0.240624623406372
"ACADL",0.430319,0.363646,0.199827,0.331264,20,21,12,"Acadl",25.651733,24.871783,24.52402,840,1274,288,25.0158453333333,0.0511712759259946
"ACADM",55.824798,42.128201,34.763102,44.2387003333333,1043,919,796,"Acadm",58.745312,36.227401,29.691039,514,691,140,41.554584,1.06307466977784
"ACADS",15.466497,14.289382,12.849752,14.201877,587,501,461,"Acads",6.529714,5.634912,4.78439,176,254,53,5.649672,2.28610929982712
"ACADSB",6.230585,3.533107,3.515221,4.42630433333333,558,395,389,"Acadsb",140.109473,139.144093,71.864677,1218,1759,269,117.039414333333,0.0459702749626486
"ACADVL",539.418883,513.721339,438.661315,497.267179,4271,3691,3049,"Acadvl",29.417193,26.697487,39.322243,974,1271,339,31.8123076666667,15.1853744656362
"ACAN",0,0.022851,0,0.007617,0,2,0,"Acan",4.519357,3.856825,3.878308,545,722,134,4.08483,0.198161393792909
"ACAP1",14.853065,11.82895,6.245988,10.976001,42,44,28,"Acap1",0.160375,0.198819,0.333643,9,13,3,0.230945666666667,9.72910610460196
"ACAP2",2.720509,0.953916,0.841565,1.50533,159,108,106,"Acap2",24.012689,28.211964,19.001302,1829,3174,501,23.741985,0.101258245852142
"ACAP3",32.135196,15.329502,11.519368,19.6613553333333,755,449,440,"Acap3",20.471759,17.416901,14.26148,821,1057,290,17.38338,1.1239149347581
"ACAT1",106.632562,103.500411,97.170077,102.43435,946,923,785,"Acat1",41.162205,35.798947,46.975877,1423,1790,443,41.312343,2.44454319156942
"ACAT2",7.765272,8.394048,3.664681,6.60800033333333,210,229,100,"Acat2",40.665782,41.068989,46.124782,1183,1881,412,42.619851,0.174416009200337
"ACAT2",7.765272,8.394048,3.664681,6.60800033333333,210,229,100,"Acat3",1.375675,1.83732,0.479567,35,62,7,1.230854,3.41035331462002
"ACBD3",26.857783,13.437707,11.62415,17.3065466666667,382,312,276,"Acbd3",10.456161,8.817061,9.958128,748,956,223,9.74378333333333,1.70391994129939
"ACBD4",4.538466,2.387986,1.850638,2.92569666666667,119,81,68,"Acbd4",37.992496,31.489029,41.145971,339,368,124,36.875832,0.103646480073802
"ACBD5",7.618894,5.044549,4.657079,5.77350733333333,439,324,287,"Acbd5",39.799716,34.501608,29.768931,1629,2629,472,34.690085,0.189786808670625
"ACBD6",23.154423,24.794667,23.033485,23.6608583333333,532,463,433,"Acbd6",35.28567,29.491404,43.187113,614,762,206,35.9880623333333,0.666724796532777
"ACBD7",0.572654,0.568327,0.510339,0.55044,37,38,33,"Acbd7",0.916559,0.914463,0.98258,6,9,2,0.937867333333333,0.800075409358948
"ACCS",8.564602,4.575821,7.352098,6.83084033333333,163,107,122,"Accs",3.86236,2.573998,5.720381,126,178,54,4.05224633333333,1.54997199595507
"ACCSL",0,0,0,0,0,0,0,"Accsl",0.100077,0.118829,0.067827,4,3,1,0.0955776666666667,0.912760482825955
"ACD",6.047245,4.588355,4.00999,4.88186333333333,85,83,68,"Acd",11.708988,8.977386,15.558951,321,353,126,12.081775,0.449622725764152
"ACE",1.157448,0.481306,0.687591,0.775448333333333,31,27,17,"Ace",6.85104,5.450423,6.464917,583,638,164,6.25546,0.244705137004867
"ACE2",0.292,0.608641,1.089188,0.663276333333333,17,9,22,"Ace2",0.703129,0.439627,0.086061,42,48,2,0.409605666666667,1.17995860307977
"ACER1",0,0,0,0,0,0,0,"Acer1",0.021691,0.013217,0,1,1,0,0.011636,0.988497839143724
"ACER2",0.086941,0.071304,0.036141,0.0647953333333333,5,4,2,"Acer2",3.578901,3.612412,3.507171,293,419,95,3.56616133333333,0.233192665699358
"ACER3",5.889447,3.785697,2.608854,4.094666,373,369,276,"Acer3",5.33321,5.297838,3.312498,588,759,160,4.64784866666667,0.9020542689234
"ACHE",0.074404,0.220625,0.154447,0.149825333333333,5,9,7,"Ache",133.05904,101.056948,116.214608,3230,4242,1133,116.776865333333,0.00976274355816047
"ACIN1",48.187336,30.018075,26.134553,34.779988,1665,1167,1053,"Acin1",66.142631,56.196921,48.187616,1860,2205,484,56.8423893333333,0.618577282376901
"ACKR1",0,0,0,0,0,0,0,"Ackr1",114.430787,96.035182,148.031874,588,717,265,119.499281,0.00829880470407122
"ACKR2",2.083034,1.740608,0.931254,1.58496533333333,43,37,20,"Ackr2",0.032776,0.296782,0.051631,2,4,1,0.127063,2.29354111822794
"ACKR3",4.479841,2.665596,2.943872,3.363103,125,78,87,"Ackr3",1.888017,2.183048,2.652716,122,214,54,2.24126033333333,1.34611310147771
"ACKR4",0,0,0,0,0,0,0,"Ackr4",0.090908,0.281831,0.055977,4,16,1,0.142905333333333,0.874963105722375
"ACLY",20.336467,13.559479,13.590368,15.8287713333333,1109,844,693,"Acly",104.42968,115.808562,122.784102,7508,12430,2500,114.340781333333,0.145904780068191
"ACMSD",0.044606,0.168465,0.027939,0.0803366666666667,1,1,1,"Acmsd",0.250152,0.082175,0.159311,10,6,2,0.163879333333333,0.928220508540691
"ACO1",8.895559,7.661565,6.460032,7.67238533333333,708,594,504,"Aco1",9.548868,11.643803,10.725997,688,969,232,10.639556,0.745078706896838
"ACO2",146.738618,107.939366,96.620982,117.099655333333,7447,5908,4897,"Aco2",275.677282,225.355992,267.756615,9127,11839,3130,256.263296333333,0.459061424682644
"ACOD1",0,0,0,0,0,0,0,"Acod1",0.108795,0.012087,0,6,1,0,0.040294,0.961266718831407
"ACOT1",6.652744,7.561148,4.666439,6.29344366666667,192,191,127,"Acot3",0.234426,0.160951,0.355095,14,12,8,0.250157333333333,5.83402062460405
"ACOT1",6.652744,7.561148,4.666439,6.29344366666667,192,191,127,"Acot2",1.850343,1.867143,1.207003,80,121,16,1.64149633333333,2.76110308185171
"ACOT1",6.652744,7.561148,4.666439,6.29344366666667,192,191,127,"Acot1",9.050274,14.271405,12.906082,118,280,48,12.0759203333333,0.557776697986918
"ACOT1",6.652744,7.561148,4.666439,6.29344366666667,192,191,127,"Acot5",0.45798,0.176757,0.788994,13,7,7,0.474577,4.94612601896453
"ACOT11",20.174206,15.320592,11.474642,15.65648,1325,899,708,"Acot11",31.291213,30.108627,23.60258,1932,2643,500,28.33414,0.567818930433959
"ACOT12",0.102651,0,0,0.034217,1,0,0,"Acot12",0.079966,0.252288,0,4,14,0,0.110751333333333,0.931096789140323
"ACOT13",28.624228,30.396445,27.420034,28.813569,613,576,520,"Acot13",157.51678,116.485561,68.278891,489,681,163,114.093744,0.259037267916143
"ACOT2",88.207517,93.696934,77.668179,86.52421,1144,999,964,"Acot1",9.050274,14.271405,12.906082,118,280,48,12.0759203333333,6.69354108688487
"ACOT2",88.207517,93.696934,77.668179,86.52421,1144,999,964,"Acot5",0.45798,0.176757,0.788994,13,7,7,0.474577,59.3554693990209
"ACOT2",88.207517,93.696934,77.668179,86.52421,1144,999,964,"Acot3",0.234426,0.160951,0.355095,14,12,8,0.250157333333333,70.0105560046842
"ACOT2",88.207517,93.696934,77.668179,86.52421,1144,999,964,"Acot2",1.850343,1.867143,1.207003,80,121,16,1.64149633333333,33.134329544782
"ACOT4",0.124947,0.174781,0.261237,0.186988333333333,6,8,12,"Acot4",3.018317,2.376966,0.237518,67,77,10,1.87760033333333,0.412492422795336
"ACOT6",0.188194,0,0.040322,0.076172,5,0,1,"Acot6",2.021448,1.857693,1.602341,145,199,36,1.82716066666667,0.380654701619363
"ACOT7",18.509861,18.078012,11.411107,15.99966,521,479,300,"Acot7",204.185837,177.859959,182.811225,3634,5205,1369,188.285673666667,0.0898095438006392
"ACOT8",14.918157,12.104523,11.463739,12.8288063333333,289,242,204,"Acot8",6.812502,7.054797,4.571108,121,202,29,6.14613566666667,1.93514466816494
"ACOT9",29.935853,23.797934,22.855973,25.52992,918,759,709,"Acot9",10.646338,8.355602,7.608419,333,370,83,8.87011966666667,2.68790256815191
