"Hs_symbol","Cardiomyocytes-S20_rep_1","Cardiomyocytes-S25_rep_2","Cardiomyocytes-S29_rep_3","Hs_Avg_TPM","Cardiomyocytes-S20_rep_1_read","Cardiomyocytes-S25_rep_2_read","Cardiomyocytes-S29_rep_3_read","Mm_genes","Heart-S3","Heart-S9","Heart-S15","Heart-S3_read","Heart-S9_read","Heart-S15_read","Mm_Avg_TPM","FoldChange"
"AADACL4",0,0,0,0,0,0,0,"Aadacl4fm5",0,0,0,0,0,0,0,1
"AADACL4",0,0,0,0,0,0,0,"Aadacl4fm4",0,0,0,0,0,0,0,1
"AADAT",2.803781,1.273732,1.256284,1.77793233333333,72,50,52,"Aadat",0,0,0,0,0,0,0,2.77793233333333
"AAGAB",13.5382,8.893211,8.17232,10.2012436666667,443,347,312,"Aagab",4.548623,3.163708,3.717481,210,220,181,3.80993733333333,2.32877122723428
"AAK1",8.140723,4.98695,5.632312,6.25332833333333,1061,924,810,"Aak1",4.08074,8.240314,8.396759,841,860,669,6.90593766666667,0.917453266032581
"AAMDC",43.508279,45.757314,41.928473,43.7313553333333,288,290,250,"Aamdc",23.704316,24.694122,27.234494,261,265,213,25.2109773333333,1.70658860844716
"AAMP",48.914554,44.434024,32.481351,41.9433096666667,986,865,668,"Aamp",16.634288,17.584764,22.502302,744,720,645,18.907118,2.15718365996859
"AANAT",0.384486,0.191591,0.957074,0.511050333333333,4,2,7,"Aanat",0.023974,0,0,1,0,0,0.00799133333333333,1.49907075920626
"AAR2",9.629091,8.985329,7.802869,8.805763,494,440,373,"Aar2",2.235598,2.269025,2.79345,210,197,191,2.432691,2.85658190614885
"AARD",0.509473,0.537165,0.417107,0.487915,11,13,17,"Aard",0,0.027521,0,0,1,0,0.00917366666666667,1.47438944271567
"AARS1",22.672867,16.865167,16.478736,18.6722566666667,1180,877,706,"Aars",5.966065,5.315623,6.3963,523,498,414,5.89266266666667,2.85408667419674
"AARS2",2.873718,2.217694,1.513002,2.20147133333333,289,218,155,"Aars2",2.259474,2.382565,2.216271,236,236,186,2.28610333333333,0.974245484266573
"AARSD1",42.269472,45.211996,38.782538,42.088002,410,412,304,"Aarsd1",5.291274,6.979547,7.711043,237,286,216,6.66062133333333,5.6246093006207
"AASDH",1.51679,1.429238,0.686802,1.21094333333333,72,62,45,"Aasdh",3.447906,4.855747,2.951467,154,158,113,3.75170666666667,0.465294574861523
"AASDHPPT",15.491333,11.332325,7.790263,11.5379736666667,438,436,306,"Aasdhppt",3.367854,3.157,3.978166,303,256,259,3.50100666666667,2.78559322284941
"AASS",10.663442,6.340196,5.078783,7.360807,777,556,484,"Aass",0.008662,0,0.177648,1,0,3,0.0621033333333333,7.87193367876949
"AATF",18.011852,16.629179,17.421425,17.354152,333,266,229,"Aatf",2.063696,1.49725,2.21789,90,70,80,1.92627866666667,6.27218187012492
"AATK",0.807211,1.215351,1.261386,1.09464933333333,81,68,60,"Aatk",0.725985,0.457374,0.57906,57,59,43,0.587473,1.31948658864329
"ABAT",3.072307,1.855792,1.672802,2.20030033333333,274,169,145,"Abat",1.074213,3.316001,2.055263,167,195,173,2.14849233333333,1.01645485982338
"ABCA1",1.876267,0.885241,0.804978,1.18882866666667,396,171,159,"Abca1",1.851094,1.818334,1.49918,577,504,336,1.72286933333333,0.803868419197004
"ABCA12",0,0.006599,0,0.00219966666666667,0,1,0,"Abca12",0.370439,0.231995,0.471437,106,62,101,0.357957,0.73802017786032
"ABCA13",0.174113,0.034944,0.058673,0.0892433333333333,5,3,5,"Abca13",0,0,0,0,0,0,0,1.08924333333333
"ABCA2",24.315816,17.365586,16.698512,19.4599713333333,805,444,402,"Abca2",8.286462,6.684126,6.658147,789,757,638,7.20957833333333,2.49220733423783
"ABCA3",2.864033,2.329955,1.427765,2.207251,295,201,155,"Abca3",1.153333,1.46847,1.264998,231,222,189,1.29560033333333,1.39712952356254
"ABCA4",0.012157,0.012809,0,0.008322,1,1,0,"Abca4",0.723448,0.577212,0.748856,43,29,37,0.683172,0.599060583232136
"ABCA5",4.156998,3.19961,2.228167,3.194925,168,152,100,"Abca5",0.467171,0.588468,0.652318,130,114,130,0.569319,2.67308622402456
"ABCA6",0.307074,0.113031,0.186072,0.202059,11,7,9,"Abca6",1.363668,1.287738,1.481468,213,189,180,1.37762466666667,0.505571386793037
"ABCA7",11.353326,7.85688,8.990523,9.400243,435,267,221,"Abca7",0.693706,0.552311,0.58948,167,127,101,0.611832333333333,6.45243477557736
"ABCA8",3.234198,1.719767,1.436738,2.13023433333333,96,64,65,"Abca8b",1.19705,1.355302,1.389084,299,302,226,1.313812,1.35284730709899
"ABCA9",0.287344,0.110486,0.190728,0.196186,11,7,5,"Abca9",1.730124,1.818871,1.712961,360,349,256,1.75398533333333,0.434347265950097
"ABCB1",0.03239,0.180298,0.191402,0.134696666666667,3,5,3,"Abcb1b",1.448958,1.10462,1.336334,101,103,68,1.29663733333333,0.494068719600483
"ABCB1",0.03239,0.180298,0.191402,0.134696666666667,3,5,3,"Abcb1a",22.341597,11.92902,15.633074,306,260,232,16.6345636666667,0.064345037853786
"ABCB10",4.005154,2.663769,2.895076,3.18799966666667,137,128,111,"Abcb10",3.70404,4.009373,4.926604,497,533,463,4.213339,0.803323871067403
"ABCB11",0.266721,0.007328,0.0069,0.0936496666666667,3,1,1,"Abcb11",0,0,0,0,0,0,0,1.09364966666667
"ABCB4",11.373936,10.12465,10.942716,10.8137673333333,248,158,162,"Abcb4",2.855218,3.428858,3.224924,367,397,282,3.16966666666667,2.83326420976897
"ABCB5",0.238192,0,0.073851,0.104014333333333,1,0,5,"Abcb5",0,0,0,0,0,0,0,1.10401433333333
"ABCB6",8.326215,7.061364,8.704006,8.03052833333333,123,101,86,"Abcb6",4.179214,5.497167,4.20283,223,255,203,4.62640366666667,1.60502673969773
"ABCB7",13.831658,11.114692,9.446497,11.4642823333333,350,248,280,"Abcb7",3.502681,3.231758,4.404847,659,544,597,3.71309533333333,2.64460645325372
"ABCB8",11.02178,6.985446,5.674411,7.893879,471,342,268,"Abcb8",15.227893,15.429945,18.285769,744,727,657,16.3145356666667,0.513665464163857
"ABCB9",4.324097,2.790693,3.029996,3.38159533333333,187,127,124,"Abcb9",1.277403,0.974135,1.355097,117,101,104,1.20221166666667,1.98963405727727
"ABCC1",4.111846,2.414281,2.166516,2.89754766666667,483,341,276,"Abcc1",2.436638,4.138721,7.941157,446,428,346,4.83883866666667,0.667521041284694
"ABCC10",14.897475,9.350053,15.513101,13.253543,250,167,160,"Abcc10",0.487548,0.662952,0.381423,47,52,34,0.510641,9.4354270802924
"ABCC12",0.174113,0,0.046512,0.0735416666666667,1,0,1,"Abcc12",0,0,0,0,0,0,0,1.07354166666667
"ABCC2",0.206724,0.320286,0.182112,0.236374,3,4,1,"Abcc2",0.003846,0.018808,0,1,1,0,0.00755133333333333,1.22710770071599
"ABCC3",0.348225,0.325404,0.504307,0.392645333333333,2,3,3,"Abcc3",0.252275,0.270166,0.237298,18,12,7,0.253246333333333,1.11123032742432
"ABCC4",0.874694,0.850797,0.835235,0.853575333333333,82,50,37,"Abcc4",1.07834,1.027357,0.899832,184,175,110,1.001843,0.925934418100387
"ABCC5",26.815209,20.139758,16.661965,21.205644,1688,1220,1081,"Abcc5",10.385666,13.130438,7.183393,582,426,255,10.2331656666667,1.97679306608048
"ABCC6",2.370812,3.482122,1.641663,2.498199,98,80,51,"Abcc6",0,0,0,0,0,0,0,3.498199
"ABCC8",0.18336,0.761856,0.182109,0.375775,9,6,1,"Abcc8",5.196664,5.907268,4.973336,286,348,267,5.35908933333333,0.216347802001838
"ABCC9",5.937915,4.245439,2.802442,4.32859866666667,581,434,370,"Abcc9",19.684747,22.99213,23.672163,4837,5123,4198,22.1163466666667,0.230512145517804
"ABCD1",9.855316,6.357848,6.647314,7.62015933333333,690,437,443,"Abcd1",2.313105,2.752033,3.025499,286,317,273,2.696879,2.33173964669478
"ABCD2",0.210704,0.12733,0.165506,0.167846666666667,19,13,17,"Abcd2",0.907229,0.389841,2.345446,72,65,60,1.214172,0.527441710339877
"ABCD3",10.323186,7.852999,5.423063,7.866416,539,489,336,"Abcd3",13.628574,15.300532,16.369644,1441,1359,1208,15.0995833333333,0.55072332099692
"ABCD4",36.841234,32.142947,25.91358,31.632587,577,476,396,"Abcd4",0.85394,1.106506,1.124445,67,57,53,1.028297,16.0886630508254
"ABCE1",25.279482,10.850918,4.462396,13.530932,450,444,265,"Abce1",6.423351,6.420801,6.784214,778,717,590,6.54278866666667,1.92646680719235
"ABCF1",30.647549,12.146954,19.277681,20.690728,895,681,599,"Abcf1",14.572771,13.528038,17.357068,822,833,714,15.1526256666667,1.34286081084402
"ABCF2",6.164294,6.22041,10.611419,7.66537433333333,480,500,342,"Abcf2",7.208005,7.781313,7.405033,605,609,448,7.46478366666667,1.02369708129182
"ABCF3",42.225453,35.384299,25.704264,34.4380053333333,787,609,496,"Abcf3",56.843927,45.142544,60.394936,472,407,364,54.1271356666667,0.642841404777745
"ABCG1",4.885127,3.443918,3.219942,3.84966233333333,306,199,192,"Abcg1",0.251662,0.952119,0.477321,40,67,36,0.560367333333333,3.10802605882119
"ABCG2",0.576877,0.198017,0.199392,0.324762,10,14,4,"Abcg3",0.080428,0.035451,0.075727,7,3,5,0.0638686666666667,1.24523077096609
"ABCG4",0.753032,0.371896,0.214828,0.446585333333333,40,26,15,"Abcg4",0.127302,0.011319,0.156331,3,1,1,0.0983173333333333,1.31709232790038
"ABCG5",0,0.01593,0,0.00531,0,1,0,"Abcg5",0,0,0,0,0,0,0,1.00531
"ABCG8",0.035989,0.06211,0.039485,0.0458613333333333,4,5,3,"Abcg8",0,0,0,0,0,0,0,1.04586133333333
"ABHD1",0.548215,0.837679,0.573511,0.653135,17,19,15,"Abhd1",0.884254,0.707662,0.256382,35,26,7,0.616099333333333,1.0229167019024
"ABHD10",4.682414,3.63352,2.996599,3.77084433333333,164,141,99,"Abhd10",2.955729,5.14223,4.358272,111,153,102,4.152077,0.926004082107727
"ABHD11",16.413349,19.071503,13.597818,16.36089,302,309,281,"Abhd11",8.843995,9.876887,10.511257,261,260,220,9.74404633333333,1.61586142328314
"ABHD12",31.484105,29.04836,22.06709,27.533185,638,567,468,"Abhd12",14.072634,12.994731,16.910777,328,371,288,14.6593806666667,1.82211452721991
"ABHD12B",0.21345,0.366161,0.189974,0.256528333333333,7,7,3,"Abhd12b",0,0,0,0,0,0,0,1.25652833333333
"ABHD13",1.172633,1.326137,0.716184,1.07165133333333,82,109,59,"Abhd13",1.612849,1.579601,1.789031,270,250,213,1.66049366666667,0.778671777831708
"ABHD14A",8.546513,7.684425,5.406513,7.21248366666667,139,127,86,"Abhd14a",2.996884,2.658814,3.062354,93,81,73,2.90601733333333,2.10252105042715
"ABHD14B",8.124944,8.387924,5.480449,7.33110566666667,292,279,180,"Abhd14b",2.264105,1.928432,2.675018,78,66,63,2.289185,2.53287840807576
"ABHD15",1.644095,1.578787,1.43262,1.551834,123,111,101,"Abhd15",0.151803,0.17299,0.243191,13,15,13,0.189328,2.14560995789219
"ABHD16A",19.452254,20.109003,15.952975,18.504744,486,433,358,"Abhd16a",14.283377,10.868275,15.117416,382,329,324,13.4230226666667,1.35233400451334
"ABHD16B",0,0,0,0,0,0,0,"Abhd16b",0.017708,0,0.024841,1,0,1,0.014183,0.986015344370789
"ABHD17A",21.413135,20.573032,17.57639,19.8541856666667,715,597,525,"Abhd17a",5.672737,6.770556,6.724789,179,222,144,6.38936066666667,2.82219079665981
"ABHD17B",2.046774,1.634046,1.489593,1.723471,103,84,78,"Abhd17b",1.521296,1.357875,1.700168,97,77,81,1.52644633333333,1.07798490079412
"ABHD17C",1.848624,2.204347,1.707873,1.92028133333333,50,65,54,"Abhd17c",4.881013,3.750363,3.185882,225,242,149,3.939086,0.591259462445751
"ABHD18",8.712244,6.827573,4.421348,6.65372166666667,367,326,288,"Abhd18",9.310011,9.508344,9.476552,916,811,624,9.43163566666667,0.733702931278882
"ABHD2",3.332886,2.82704,2.375777,2.84523433333333,614,430,406,"Abhd2",1.304402,1.438202,1.694681,300,309,284,1.479095,1.55106372822878
"ABHD3",2.331696,3.741765,1.156728,2.410063,72,76,34,"Abhd3",0.888587,0.607436,0.76617,29,24,18,0.754064333333333,1.94409232044511
"ABHD4",15.0237,23.747182,16.357654,18.3761786666667,409,343,303,"Abhd4",7.115654,8.510248,7.961919,372,402,389,7.862607,2.18628431416023
"ABHD5",7.210165,4.691474,4.783658,5.56176566666667,177,215,128,"Abhd5",15.998376,19.309326,20.137932,581,531,496,18.481878,0.336813815724884
"ABHD6",2.357982,2.891814,1.502824,2.25087333333333,64,48,45,"Abhd6",1.14656,1.497619,1.057626,62,71,46,1.233935,1.45522288398424
"ABHD8",4.748047,3.701303,3.322699,3.92401633333333,184,148,137,"Abhd8",1.768592,1.567081,2.48411,113,106,108,1.93992766666667,1.67487669481211
"ABI1",10.258949,6.855637,7.216852,8.11047933333333,359,321,284,"Abi1",6.582961,5.608406,7.829215,235,207,167,6.67352733333333,1.18726094761635
"ABI2",21.727203,10.892244,9.493522,14.0376563333333,933,760,670,"Abi2",3.10948,2.06312,2.241759,181,174,166,2.471453,4.33180467468041
"ABI3",0.029558,0.160231,0.222847,0.137545333333333,1,5,7,"Abi3",1.239273,1.75973,1.679233,55,64,50,1.559412,0.444455731759222
"ABI3BP",0.659504,0.308934,0,0.322812666666667,5,4,0,"Abi3bp",0.63739,0.657506,0.804077,96,93,82,0.699657666666667,0.778281822633695
"ABITRAM",13.449005,10.517363,5.073883,9.68008366666667,184,198,136,"Abitram",0.446832,0.177343,0.347871,40,22,34,0.324015333333333,8.06643503121565
"ABL1",7.760499,5.097737,3.86969,5.57597533333333,787,524,458,"Abl1",4.576983,4.469049,5.447473,515,535,499,4.83116833333333,1.12772860555961
"ABL2",1.446018,0.98648,1.194757,1.209085,315,194,136,"Abl2",1.102341,1.060429,1.307922,344,316,270,1.15689733333333,1.02419571198876
"ABLIM1",59.262507,38.678189,34.133185,44.024627,7498,5439,4652,"Ablim1",34.740714,33.153558,32.594338,6250,5160,4006,33.4962033333333,1.30520528780897
"ABLIM2",6.864886,5.835002,6.004859,6.23491566666667,163,143,105,"Ablim2",3.791717,5.042325,4.622022,160,167,153,4.48535466666667,1.31895129965464
"ABLIM3",1.439051,0.939932,0.795889,1.05829066666667,79,55,65,"Ablim3",4.102483,4.042407,4.089614,594,546,424,4.078168,0.405321499144311
"ABO",0.108377,0.428422,0.100191,0.21233,15,12,11,"Abo",0,0,0,0,0,0,0,1.21233
"ABR",137.5781,52.298863,84.704982,91.527315,1454,973,842,"Abr",2.378324,2.984923,3.713034,327,330,296,3.025427,22.9857143105564
"ABRA",1.22541,0.904378,0.700678,0.943488666666667,55,43,33,"Abra",4.116302,4.098666,3.441195,388,344,235,3.88538766666667,0.397816672753981
"ABRACL",1.304502,3.067132,2.188819,2.18681766666667,11,29,19,"Abracl",31.510388,28.625277,45.292012,127,91,115,35.142559,0.0881735481615086
"ABRAXAS1",1.870927,1.13124,1.242214,1.41479366666667,62,58,36,"Abraxas1",2.62357,2.493772,2.986119,96,98,87,2.70115366666667,0.652443503876854
"ABRAXAS2",2.908321,2.115077,1.946772,2.32339,158,120,108,"Abraxas2",4.709873,4.263116,4.741499,222,212,183,4.571496,0.596498678272407
"ABT1",3.32542,2.791458,2.174212,2.76369666666667,199,168,128,"Abt1",0.499136,0.4238,0.530647,73,58,56,0.484527666666667,2.53528226598673
"ABTB1",4.435767,2.908722,2.928956,3.42448166666667,118,103,97,"Abtb1",5.82147,7.44892,5.830129,156,143,134,6.36683966666667,0.600594266587133
"ABTB2",6.950399,6.045716,4.152189,5.71610133333333,790,633,438,"Abtb2",1.685686,1.76883,2.249357,255,274,221,1.901291,2.31486649678827
"ACAA1",73.219918,69.137641,52.278734,64.8787643333333,1732,1479,1295,"Acaa1a",12.394399,14.285179,15.320303,538,517,430,13.9999603333333,4.39192923643509
"ACAA1",73.219918,69.137641,52.278734,64.8787643333333,1732,1479,1295,"Acaa1b",0.028191,0.028929,0,1,1,0,0.01904,64.6478689093002
"ACAA2",33.764452,29.686524,22.134757,28.5285776666667,1017,904,664,"Acaa2",248.985981,224.128048,293.242253,7301,6225,5954,255.452094,0.115142665462762
"ACACA",7.1497,4.870629,6.747958,6.25609566666667,693,417,430,"Acaca",1.200972,0.900763,0.781195,175,153,147,0.960976666666667,3.70024579588742
"ACACB",26.02878,14.841445,7.767875,16.2127,1315,753,655,"Acacb",15.474208,14.95871,16.499206,4311,3965,3460,15.6440413333333,1.03416590089378
"ACAD10",20.02537,13.653281,10.050915,14.576522,659,558,399,"Acad12",17.801517,18.65883,21.112006,1100,1042,881,19.1907843333333,0.7714669099944
"ACAD10",20.02537,13.653281,10.050915,14.576522,659,558,399,"Acad10",0.598761,1.056781,1.076999,53,41,50,0.910847,8.15163223429191
"ACAD11",6.08628,6.516346,6.250521,6.28438233333333,364,279,315,"Acad11",20.220395,25.148927,24.795126,1888,1884,1652,23.3881493333333,0.298685325965966
"ACAD8",17.886304,13.41606,11.385466,14.2292766666667,633,534,433,"Acad8",12.259437,10.062579,9.130213,439,390,308,10.4840763333333,1.32612116330702
"ACAD9",9.950716,8.300763,6.289277,8.180252,369,346,279,"Acad9",14.866479,14.620374,16.037408,450,448,379,15.1747536666667,0.567566727085241
"ACADL",0.430319,0.363646,0.199827,0.331264,20,21,12,"Acadl",202.319337,208.242625,216.801061,9518,8357,7420,209.121007666667,0.00633570157873934
"ACADM",55.824798,42.128201,34.763102,44.2387003333333,1043,919,796,"Acadm",734.222656,649.816797,808.160715,11829,9984,9558,730.733389333333,0.0618240208698818
"ACADS",15.466497,14.289382,12.849752,14.201877,587,501,461,"Acads",43.777134,43.427381,54.486167,1956,1744,1558,47.2302273333333,0.315193973582901
"ACADSB",6.230585,3.533107,3.515221,4.42630433333333,558,395,389,"Acadsb",128.314701,142.932978,153.196559,1614,1467,1364,141.481412666667,0.0380842962725819
"ACADVL",539.418883,513.721339,438.661315,497.267179,4271,3691,3049,"Acadvl",139.431027,132.111617,154.831617,9440,8497,7659,142.124753666667,3.48134872714226
"ACAN",0,0.022851,0,0.007617,0,2,0,"Acan",0.015363,0.024935,0.010729,4,3,2,0.017009,0.990765076808563
"ACAP1",14.853065,11.82895,6.245988,10.976001,42,44,28,"Acap1",0.252565,0.107747,0.114382,16,5,7,0.158231333333333,10.3399041757346
"ACAP2",2.720509,0.953916,0.841565,1.50533,159,108,106,"Acap2",2.510354,3.088726,3.307991,345,341,264,2.96902366666667,0.631220725903121
"ACAP3",32.135196,15.329502,11.519368,19.6613553333333,755,449,440,"Acap3",1.933753,2.709172,2.375971,133,146,103,2.339632,6.18671618110419
"ACAT1",106.632562,103.500411,97.170077,102.43435,946,923,785,"Acat1",93.491079,94.716414,110.493341,5260,5078,4190,99.5669446666667,1.02851240378076
"ACAT2",7.765272,8.394048,3.664681,6.60800033333333,210,229,100,"Acat2",0.66719,0.447738,1.304108,34,26,33,0.806345333333333,4.21181940847044
"ACAT2",7.765272,8.394048,3.664681,6.60800033333333,210,229,100,"Acat3",0.106014,0.029888,0,4,2,0,0.0453006666666667,7.27828898989828
"ACBD3",26.857783,13.437707,11.62415,17.3065466666667,382,312,276,"Acbd3",2.402008,2.812018,2.585089,261,286,201,2.599705,5.08556858594431
"ACBD4",4.538466,2.387986,1.850638,2.92569666666667,119,81,68,"Acbd4",7.598094,6.460876,8.388294,99,80,69,7.48242133333333,0.462803781184492
"ACBD5",7.618894,5.044549,4.657079,5.77350733333333,439,324,287,"Acbd5",2.76439,3.148991,3.874531,318,223,239,3.26263733333333,1.58904143225258
"ACBD6",23.154423,24.794667,23.033485,23.6608583333333,532,463,433,"Acbd6",7.456026,9.740249,9.378408,138,215,119,8.85822766666667,2.50155090419735
"ACBD7",0.572654,0.568327,0.510339,0.55044,37,38,33,"Acbd7",0.204416,0.219119,0.143098,2,2,1,0.188877666666667,1.30412072113952
"ACCS",8.564602,4.575821,7.352098,6.83084033333333,163,107,122,"Accs",0.560678,1.577455,1.883585,37,56,40,1.34057266666667,3.34569417342024
"ACCSL",0,0,0,0,0,0,0,"Accsl",0,0,0,0,0,0,0,1
"ACD",6.047245,4.588355,4.00999,4.88186333333333,85,83,68,"Acd",1.489058,1.256628,1.749415,61,49,54,1.498367,2.35428315108762
"ACE",1.157448,0.481306,0.687591,0.775448333333333,31,27,17,"Ace",5.44445,6.520775,5.744452,634,788,585,5.90322566666667,0.257191118915085
"ACE2",0.292,0.608641,1.089188,0.663276333333333,17,9,22,"Ace2",0.168836,0.249512,0.378854,15,17,20,0.265734,1.31408047293771
"ACER1",0,0,0,0,0,0,0,"Acer1",0.013295,0,0,1,0,0,0.00443166666666667,0.995587886350324
"ACER2",0.086941,0.071304,0.036141,0.0647953333333333,5,4,2,"Acer2",2.221571,2.142382,1.847638,289,254,156,2.07053033333333,0.346778965761723
"ACER3",5.889447,3.785697,2.608854,4.094666,373,369,276,"Acer3",0.926464,1.225774,1.221333,111,103,103,1.12452366666667,2.39802741665544
"ACHE",0.074404,0.220625,0.154447,0.149825333333333,5,9,7,"Ache",0.171761,0.250681,0.356746,15,19,19,0.259729333333333,0.912755861841221
"ACIN1",48.187336,30.018075,26.134553,34.779988,1665,1167,1053,"Acin1",11.374627,9.188783,8.456991,624,549,377,9.673467,3.35223671933403
"ACKR1",0,0,0,0,0,0,0,"Ackr1",0.082963,0.172283,0.044259,3,5,1,0.099835,0.909227293184887
"ACKR2",2.083034,1.740608,0.931254,1.58496533333333,43,37,20,"Ackr2",1.140292,0.306534,0.79591,18,14,17,0.747578666666667,1.47916965492827
"ACKR3",4.479841,2.665596,2.943872,3.363103,125,78,87,"Ackr3",7.941244,7.112321,8.687354,750,644,565,7.91363966666667,0.48948613172195
"ACKR4",0,0,0,0,0,0,0,"Ackr4",0.754575,1.177246,1.223792,37,56,45,1.051871,0.487360072831089
"ACLY",20.336467,13.559479,13.590368,15.8287713333333,1109,844,693,"Acly",5.502024,5.385161,3.778894,400,366,307,4.888693,2.85781094944724
"ACMSD",0.044606,0.168465,0.027939,0.0803366666666667,1,1,1,"Acmsd",0,0.051825,0.043596,0,3,2,0.031807,1.04703366682593
"ACO1",8.895559,7.661565,6.460032,7.67238533333333,708,594,504,"Aco1",3.025734,3.427605,3.641342,344,340,322,3.36489366666667,1.9868491641759
"ACO2",146.738618,107.939366,96.620982,117.099655333333,7447,5908,4897,"Aco2",417.561995,438.868693,454.781168,22690,21156,18663,437.070618666667,0.26959045026299
"ACOD1",0,0,0,0,0,0,0,"Acod1",0,0.025515,0,0,2,0,0.008505,0.991566725003842
"ACOT1",6.652744,7.561148,4.666439,6.29344366666667,192,191,127,"Acot3",0.184964,0.130714,0.304544,11,9,16,0.206740666666667,6.04391968227363
"ACOT1",6.652744,7.561148,4.666439,6.29344366666667,192,191,127,"Acot2",7.7519,7.104215,8.971836,492,470,388,7.94265033333333,0.815579654219586
"ACOT1",6.652744,7.561148,4.666439,6.29344366666667,192,191,127,"Acot1",8.562106,6.189232,7.189175,155,116,95,7.31350433333333,0.87730075961148
"ACOT1",6.652744,7.561148,4.666439,6.29344366666667,192,191,127,"Acot5",0,0,0,0,0,0,0,7.29344366666667
"ACOT11",20.174206,15.320592,11.474642,15.65648,1325,899,708,"Acot11",3.849478,4.688608,4.957258,323,275,216,4.498448,3.02930572408796
"ACOT12",0.102651,0,0,0.034217,1,0,0,"Acot12",0,0,0,0,0,0,0,1.034217
"ACOT13",28.624228,30.396445,27.420034,28.813569,613,576,520,"Acot13",395.632453,377.75228,442.9371,1311,1270,1043,405.440611,0.0733528298922865
"ACOT2",88.207517,93.696934,77.668179,86.52421,1144,999,964,"Acot1",8.562106,6.189232,7.189175,155,116,95,7.31350433333333,10.5279562613648
"ACOT2",88.207517,93.696934,77.668179,86.52421,1144,999,964,"Acot5",0,0,0,0,0,0,0,87.52421
"ACOT2",88.207517,93.696934,77.668179,86.52421,1144,999,964,"Acot3",0.184964,0.130714,0.304544,11,9,16,0.206740666666667,72.5294277533256
"ACOT2",88.207517,93.696934,77.668179,86.52421,1144,999,964,"Acot2",7.7519,7.104215,8.971836,492,470,388,7.94265033333333,9.78727857375317
"ACOT4",0.124947,0.174781,0.261237,0.186988333333333,6,8,12,"Acot4",0.165596,0.144667,0.185633,33,17,26,0.165298666666667,1.01861296789149
"ACOT6",0.188194,0,0.040322,0.076172,5,0,1,"Acot6",0.552336,0.322506,0.388205,56,33,27,0.421015666666667,0.757325922045898
"ACOT7",18.509861,18.078012,11.411107,15.99966,521,479,300,"Acot7",12.066454,10.657095,11.339034,443,375,355,11.3541943333333,1.37602336027146
"ACOT8",14.918157,12.104523,11.463739,12.8288063333333,289,242,204,"Acot8",1.641596,1.505389,1.975407,52,44,36,1.707464,5.10766028037061
"ACOT9",29.935853,23.797934,22.855973,25.52992,918,759,709,"Acot9",4.072205,4.855018,4.790514,198,221,169,4.572579,4.76079746917899
"ACOT9",29.935853,23.797934,22.855973,25.52992,918,759,709,"Acot10",0,0,0,0,0,0,0,26.52992
"ACOX1",26.743277,25.166,14.165662,22.0249796666667,569,533,438,"Acox1",32.90367,31.658302,34.80923,3684,3423,2793,33.123734,0.674749711349487
"ACOX2",17.904677,19.718667,13.035042,16.8861286666667,296,273,205,"Acox2",0.180945,0.256774,0.112875,6,4,5,0.183531333333333,15.11250962515
"ACOX3",11.241262,6.789727,5.371668,7.80088566666667,239,160,120,"Acox3",5.436548,3.876888,8.096525,278,282,221,5.80332033333333,1.29361623963907
