"Hs_symbol","Cardiomyocytes-S20_rep_1","Cardiomyocytes-S25_rep_2","Cardiomyocytes-S29_rep_3","Hs_Avg_TPM","Cardiomyocytes-S20_rep_1_read","Cardiomyocytes-S25_rep_2_read","Cardiomyocytes-S29_rep_3_read","Mm_genes","Brain_2_MB-S5","Brain_2_MB-S11","Brain_2_MB-S17","Brain_2_MB-S5_read","Brain_2_MB-S11_read","Brain_2_MB-S17_read","Mm_Avg_TPM","FoldChange"
"ABCA8",3.234198,1.719767,1.436738,2.13023433333333,96,64,65,"Abca8b",2.621557,1.038747,0.94953,304,198,190,1.53661133333333,1.23402205619728
"ABCA9",0.287344,0.110486,0.190728,0.196186,11,7,5,"Abca9",2.00727,0.817394,0.714638,198,138,123,1.17976733333333,0.548767743101634
"ABCB1",0.03239,0.180298,0.191402,0.134696666666667,3,5,3,"Abcb1b",2.4332,1.327262,2.14074,30,60,49,1.96706733333333,0.382430372886718
"ABCB1",0.03239,0.180298,0.191402,0.134696666666667,3,5,3,"Abcb1a",99.75214,6.975101,6.917955,673,568,486,37.881732,0.029183285010726
"ABCB10",4.005154,2.663769,2.895076,3.18799966666667,137,128,111,"Abcb10",6.080809,6.701589,6.717685,367,738,755,6.50002766666667,0.558397895687763
"ABCB11",0.266721,0.007328,0.0069,0.0936496666666667,3,1,1,"Abcb11",0.013403,0.0077,0.13836,1,1,1,0.0531543333333333,1.0384514710253
"ABCB4",11.373936,10.12465,10.942716,10.8137673333333,248,158,162,"Abcb4",1.083928,0.701036,1.304195,65,75,81,1.02971966666667,5.82039358801437
"ABCB5",0.238192,0,0.073851,0.104014333333333,1,0,5,"Abcb5",0,0,0,0,0,0,0,1.10401433333333
"ABCB6",8.326215,7.061364,8.704006,8.03052833333333,123,101,86,"Abcb6",9.396261,8.069201,9.543446,170,375,348,9.00296933333333,0.902784766443351
"ABCB7",13.831658,11.114692,9.446497,11.4642823333333,350,248,280,"Abcb7",9.304969,6.351937,6.056985,796,927,836,7.23796366666667,1.51302953468557
"ABCB8",11.02178,6.985446,5.674411,7.893879,471,342,268,"Abcb8",21.123623,23.448565,21.308368,425,891,876,21.9601853333333,0.387360941163135
"ABCB9",4.324097,2.790693,3.029996,3.38159533333333,187,127,124,"Abcb9",13.886122,10.841195,11.737911,471,761,775,12.155076,0.333072597477455
"ABCC1",4.111846,2.414281,2.166516,2.89754766666667,483,341,276,"Abcc1",10.519469,1.171945,2.39971,274,180,219,4.69704133333333,0.684135402680362
"ABCC10",14.897475,9.350053,15.513101,13.253543,250,167,160,"Abcc10",1.597096,1.12677,1.004533,82,102,115,1.24279966666667,6.355245727847
"ABCC12",0.174113,0,0.046512,0.0735416666666667,1,0,1,"Abcc12",0.053002,0.104746,0.147696,3,8,12,0.101814666666667,0.974339604603799
"ABCC2",0.206724,0.320286,0.182112,0.236374,3,4,1,"Abcc2",0,0.004608,0.018311,0,1,4,0.00763966666666667,1.22700012802195
"ABCC3",0.348225,0.325404,0.504307,0.392645333333333,2,3,3,"Abcc3",1.461523,0.214629,0.317509,29,21,26,0.664553666666667,0.836647902210422
"ABCC4",0.874694,0.850797,0.835235,0.853575333333333,82,50,37,"Abcc4",2.782009,1.147171,1.115621,203,176,168,1.68160033333333,0.691219832535323
"ABCC5",26.815209,20.139758,16.661965,21.205644,1688,1220,1081,"Abcc5",86.190976,31.297927,40.065383,1665,1327,1402,52.5180953333333,0.414918428275406
"ABCC6",2.370812,3.482122,1.641663,2.498199,98,80,51,"Abcc6",0.373831,0.133197,0.189503,12,15,27,0.232177,2.83903935879342
"ABCC8",0.18336,0.761856,0.182109,0.375775,9,6,1,"Abcc8",9.077188,3.798732,7.06148,338,209,235,6.6458,0.179938659133119
