"Hs_symbol","Cardiomyocytes-S20_rep_1","Cardiomyocytes-S25_rep_2","Cardiomyocytes-S29_rep_3","Hs_Avg_TPM","Cardiomyocytes-S20_rep_1_read","Cardiomyocytes-S25_rep_2_read","Cardiomyocytes-S29_rep_3_read","Mm_genes","Brain_2_MB-S5","Brain_2_MB-S11","Brain_2_MB-S17","Brain_2_MB-S5_read","Brain_2_MB-S11_read","Brain_2_MB-S17_read","Mm_Avg_TPM","FoldChange"
"ATG4B",49.169063,34.319632,30.42612,37.971605,791,636,531,"Atg4b",43.89004,47.930127,42.724947,772,1407,1292,44.8483713333333,0.850010673588885
"ATG4C",3.354241,2.889005,0.638242,2.29382933333333,49,54,24,"Atg4c",13.280915,9.357994,8.534627,507,611,560,10.3911786666667,0.289156147025581
"ATG4D",45.576224,47.32527,42.373253,45.0915823333333,543,493,440,"Atg4d",12.671582,16.785407,18.486333,248,578,643,15.9811073333333,2.71428602555601
"ATG5",8.050168,7.168329,4.449505,6.55600066666667,211,202,150,"Atg5",8.322428,8.22717,10.418608,281,486,476,8.989402,0.756401701189587
"ATG7",7.375684,8.357736,5.758826,7.164082,147,113,86,"Atg7",15.598642,9.455761,11.742006,327,484,497,12.2654696666667,0.615438593969622
"ATG9A",38.211947,27.309072,19.938666,28.4865616666667,1521,1159,912,"Atg9a",38.543036,21.133833,23.087217,1801,1762,1700,27.5880286666667,1.03143039383641
"ATG9B",1.645053,1.189358,1.599899,1.47810333333333,23,18,15,"Atg9b",2.165157,3.43597,3.852914,57,165,178,3.151347,0.596939579691443
"ATIC",55.905336,60.830247,51.684789,56.140124,727,736,569,"Atic",11.824583,12.833559,7.867448,360,549,542,10.8418633333333,4.82526460503541
"ATL1",0.787404,2.014548,2.213418,1.67179,16,24,22,"Atl1",83.979913,82.955873,77.712045,1526,2495,2035,81.549277,0.0323660012188841
"ATL2",9.980417,6.578344,5.36523,7.307997,232,211,190,"Atl2",21.521713,17.437752,18.126374,874,1256,1095,19.028613,0.41480640721352
"ATL3",1.577715,1.031904,0.688871,1.09949666666667,155,120,87,"Atl3",7.459101,3.825278,4.365335,699,640,575,5.21657133333333,0.337725822497868
"ATM",18.350937,11.990314,7.261356,12.5342023333333,442,334,223,"Atm",14.016821,6.531816,1.952485,304,136,155,7.500374,1.59218904172138
"ATMIN",10.266238,8.448763,5.462206,8.059069,610,510,340,"Atmin",16.950565,9.031294,8.617537,1242,1184,1149,11.533132,0.722809669602139
"ATN1",13.021416,15.484803,11.866103,13.4574406666667,1001,827,631,"Atn1",53.350076,17.570322,23.685176,1730,1075,1402,31.5351913333333,0.444363167210102
"ATOH1",0,0,0,0,0,0,0,"Atoh1",0,0,0,0,0,0,0,1
"ATOH7",0.069179,0.037203,0.036732,0.0477046666666667,2,1,1,"Atoh7",0.561744,0.412602,2.049731,11,15,15,1.00802566666667,0.521758603019185
"ATOH8",2.874408,3.950396,2.815354,3.213386,136,140,96,"Atoh8",0.563959,0.755491,0.924114,11,33,31,0.747854666666667,2.41060431416495
"ATOX1",49.007105,52.587077,44.836118,48.8101,269,269,223,"Atox1",50.355647,78.747341,86.385389,196,632,660,71.829459,0.683927914389698
"ATP10A",0.07523,0.249232,0.266572,0.197011333333333,2,2,2,"Atp10a",3.026804,1.894407,1.379239,245,275,202,2.10015,0.386114005236306
"ATP10B",0.049606,0.033236,0.058155,0.046999,3,2,4,"Atp10b",0.52348,0.181664,0.209103,54,34,40,0.304749,0.802452425715597
"ATP10D",4.148455,3.344873,3.256701,3.583343,156,133,89,"Atp10d",0.806758,0.443364,0.22367,48,42,33,0.491264,3.07346184176645
"ATP11A",19.229195,7.32123,4.957787,10.5027373333333,1620,850,666,"Atp11a",26.919746,13.315927,14.320444,916,597,605,18.1853723333333,0.599557680376527
"ATP11B",4.515076,2.293023,2.101606,2.96990166666667,300,243,195,"Atp11b",26.195901,10.333408,10.973189,865,544,508,15.834166,0.235824077454545
"ATP11C",4.190178,2.237233,1.718224,2.71521166666667,126,94,72,"Atp11c",3.734797,1.146808,1.304885,310,169,160,2.06216333333333,1.21326371660993
"ATP12A",0,0,0,0,0,0,0,"Atp12a",0.016724,0.171801,0,1,1,0,0.0628416666666667,0.940873915054767
"ATP13A1",14.646501,10.300442,7.5542,10.8337143333333,405,334,262,"Atp13a1",13.129272,8.309288,9.13805,445,509,541,10.1922033333333,1.05731766846028
"ATP13A2",10.792738,8.375551,9.079747,9.416012,355,233,242,"Atp13a2",51.959774,49.548045,41.096524,1446,2390,2368,47.534781,0.214609230440331
"ATP13A3",53.524581,26.911793,21.758596,34.06499,3139,2078,1635,"Atp13a3",22.223437,15.865865,10.108187,1186,1013,810,16.0658296666667,2.05469002591123
"ATP13A4",0.185998,0.180449,0.257895,0.208114,9,3,5,"Atp13a4",11.545416,7.425769,8.744891,197,269,296,9.238692,0.117994954824308
"ATP13A5",0.164895,0.305445,0.620409,0.363583,3,8,11,"Atp13a5",3.409318,1.703286,1.946868,199,182,204,2.35315733333333,0.40665643286248
"ATP1A1",253.695111,255.616679,197.358703,235.556831,11134,8879,7042,"Atp1a1",204.653894,95.415605,80.246062,11111,9385,8019,126.771853666667,1.85140016530662
"ATP1A2",17.250461,13.310192,12.304422,14.2883583333333,1342,866,967,"Atp1a2",205.782488,111.681171,118.803876,18386,17673,18769,145.422511666667,0.104412621797784
"ATP1A3",110.310312,40.184939,32.916646,61.137299,2481,1999,1768,"Atp1a3",516.564902,219.067679,243.3178,27702,21790,24591,326.316793666667,0.18983840793479
"ATP1A4",0.163893,0.194594,0.240597,0.199694666666667,11,6,7,"Atp1a4",0.019544,0.02223,0.021818,1,2,2,0.0211973333333333,1.17479220470611
"ATP1B1",104.780337,79.232635,64.679242,82.8974046666667,3411,3238,2577,"Atp1b1",1198.668642,1032.49987,967.146506,20179,30689,27735,1066.105006,0.0786215079068485
"ATP1B2",11.290376,8.418287,5.71247,8.473711,453,462,352,"Atp1b2",244.405827,127.631825,138.592189,7422,6687,7625,170.209947,0.0553338819735748
"ATP1B3",96.829814,144.235407,102.259623,114.441614666667,538,546,381,"Atp1b3",64.974229,46.164959,49.744357,1277,2107,2263,53.6278483333333,2.11323744552877
"ATP23",3.137212,3.102374,2.679882,2.973156,36,25,24,"Atp23",3.800035,3.920231,3.515969,64,105,93,3.74541166666667,0.837262661089818
"ATP2A1",8.047301,1.514752,1.17667,3.57957433333333,41,39,29,"Atp2a1",0.779305,1.277993,0.704689,26,53,40,0.920662333333333,2.38437243957683
"ATP2A2",1493.095985,1449.237056,1172.474965,1371.60266866667,28393,22594,17392,"Atp2a2",188.586839,57.002686,52.821103,15129,8177,7380,99.4702093333333,13.6617876858675
"ATP2A3",1.200008,0.478477,1.177505,0.951996666666667,40,22,20,"Atp2a3",2.133311,1.182819,1.220008,146,130,157,1.512046,0.777054507229034
"ATP2B1",4.529301,4.98721,4.359528,4.62534633333333,234,193,128,"Atp2b1",188.088628,45.099739,40.237426,10622,4723,3932,91.141931,0.0610508839166105
"ATP2B2",1.707553,0.218548,0.224163,0.716754666666667,57,26,21,"Atp2b2",88.127011,26.613644,26.474019,10270,5546,5573,47.071558,0.0357124823511372
"ATP2B3",0,0,0,0,0,0,0,"Atp2b3",24.549159,8.536666,8.948943,1663,1021,1106,14.0115893333333,0.0666151982841346
"ATP2B4",149.867914,89.513144,69.979667,103.120241666667,10701,6535,5863,"Atp2b4",67.657835,9.765968,10.547372,4606,1788,1858,29.323725,3.43362306796631
"ATP2C1",35.007336,26.939086,19.12993,27.0254506666667,661,555,452,"Atp2c1",88.54164,55.875834,59.388876,2288,2505,2088,67.93545,0.406546278680514
"ATP2C2",0.033736,0.025214,0.076334,0.0450946666666667,1,1,3,"Atp2c2",0.252942,0.171493,0.112619,12,15,10,0.179018,0.886411120667086
"ATP4A",0,0,0,0,0,0,0,"Atp4a",0.24938,0.643107,0.383547,6,16,16,0.425344666666667,0.701584692731629
"ATP4B",0,0,0,0,0,0,0,"Atp4b",0,0,0,0,0,0,0,1
"ATP5F1A",515.143014,477.660245,412.772557,468.525272,15423,13527,11327,"Atp5a1",440.533375,508.192993,513.371712,9778,19859,19701,487.366026666667,0.961420832658521
"ATP5F1B",2671.668895,2588.713445,2197.198085,2485.86014166667,22324,19873,16345,"Atp5b",1063.621227,1419.908987,1517.477529,11876,26972,27857,1333.66924766667,1.863278221188
"ATP5F1C",360.350614,365.077504,260.302062,328.576726666667,3821,3789,2849,"Atp5c1",156.189557,226.576822,239.127008,2182,5437,5938,207.297795666667,1.58223818745581
"ATP5F1D",351.331903,384.945311,335.56474,357.280651333333,1675,1528,1406,"Atp5d",107.11304,161.083066,171.905236,1107,3222,3514,146.700447333333,2.42572488981539
"ATP5F1E",156.298013,126.839295,125.498956,136.212088,2643,2532,1948,"Atp5e",192.021296,272.825996,328.187209,538,1364,1663,264.344833666667,0.517108571905981
"ATP5IF1",285.008118,251.944786,244.460663,260.471189,1850,1557,1488,"Atpif1",217.379007,303.337639,334.019867,933,2290,2493,284.912171,0.914515769249991
"ATP5MC3",473.518046,473.410055,408.095207,451.674436,5855,5888,4940,"Atp5g3",247.088628,354.763288,380.555808,1848,4715,5130,327.469241333333,1.37813341109959
"ATP5ME",1367.053937,1214.577305,1336.70098,1306.11074066667,1651,1403,1582,"Atp5k",307.004096,409.630164,446.201148,606,1449,1606,387.611802666667,3.36353845070384
"ATP5MF",1385.783912,1373.11238,1396.204378,1385.03355666667,2030,1954,1929,"Atp5j2",148.381388,200.957873,230.103591,734,1734,2028,193.147617333333,7.1390706499734
"ATP5MG",573.800418,529.140858,527.256886,543.399387333333,2262,2239,2015,"Atp5l",371.624412,417.455906,471.379584,327,636,711,420.153300666667,1.29263948892618
"ATP5MGL",0.16109,0.174466,0.311865,0.215807,2,2,4,"Atp5l",371.624412,417.455906,471.379584,327,636,711,420.153300666667,0.00288685141034258
"ATP5PB",313.248413,295.160244,249.162072,285.856909666667,3486,3490,2775,"Atp5pb",227.822454,265.342685,278.33275,2344,5178,5510,257.165963,1.11113373092744
"ATP5PD",377.140351,380.555792,305.461576,354.385906333333,3145,3103,2462,"Atp5h",384.359842,541.689068,596.530745,1392,3448,3769,507.526551666667,0.698854180118179
"ATP5PF",379.437713,375.921669,350.077898,368.479093333333,2780,2850,2592,"Atp5j",1009.017142,1171.131294,1306.774241,1130,2504,2570,1162.307559,0.31761084201236
"ATP5PO",1119.423938,1280.392282,1436.419622,1278.74528066667,4999,4655,4055,"Atp5o",259.773779,388.131527,417.439201,1431,3876,4276,355.114835666667,3.59363090917263
"ATP6AP1",34.80551,31.420809,27.684559,31.303626,1420,1300,1105,"Atp6ap1",350.824615,327.552452,294.179767,4226,7121,6680,324.185611333333,0.0993390386110503
"ATP6AP2",51.159393,46.623466,28.833982,42.2056136666667,457,485,322,"Atp6ap2",100.181062,88.03952,75.805826,3319,5024,4141,88.0088026666667,0.485408323359538
"ATP6V0A1",29.235899,20.95729,22.059126,24.084105,699,546,459,"Atp6v0a1",190.825478,80.397031,83.481499,6309,5353,5539,118.234669333333,0.210375934619106
"ATP6V0A2",6.951558,5.032504,3.68171,5.221924,343,247,217,"Atp6v0a2",127.908945,50.142551,86.878535,943,1591,1520,88.3100103333333,0.0696665914243857
"ATP6V0A4",0,0,0,0,0,0,0,"Atp6v0a4",0.022695,0.094321,0.183329,1,4,5,0.100115,0.908995877703695
"ATP6V0B",72.986557,67.763306,56.446044,65.731969,990,964,759,"Atp6v0b",215.688737,270.611605,256.293447,1648,3660,3989,247.531263,0.268505330856505
"ATP6V0C",79.382276,68.392057,54.247523,67.3406186666667,1154,1029,865,"Atp6v0c",935.773543,1150.91305,1075.207613,8019,17693,16508,1053.96473533333,0.0647800029496468
"ATP6V0D1",58.178004,54.771621,43.632671,52.1940986666667,1280,1149,984,"Atp6v0d1",111.142019,137.561324,128.588631,2463,5432,5176,125.763991333333,0.419630985953966
"ATP6V0D2",0.572786,0.475632,0.273909,0.440775666666667,8,3,3,"Atp6v0d2",0.027058,0,0,1,0,0,0.00901933333333333,1.42789698776832
"ATP6V0E1",76.594057,88.521114,67.921977,77.6790493333333,741,905,669,"Atp6v0e",16.718668,27.749642,25.070393,187,447,426,23.1795676666667,3.25394773049637
"ATP6V0E2",14.638987,14.154957,15.358927,14.7176236666667,481,447,481,"Atp6v0e2",150.839222,189.650268,177.436712,3605,8166,7799,172.642067333333,0.0905173723628515
"ATP6V1A",5.671912,2.680728,2.097394,3.48334466666667,250,201,146,"Atp6v1a",175.532377,139.139382,136.823878,7884,11292,10572,150.498545666667,0.0295933181862426
"ATP6V1B1",0,0.20028,0,0.06676,0,1,0,"Atp6v1b1",0.155131,0,0,2,0,0,0.0517103333333333,1.01430970695036
"ATP6V1B2",14.048894,9.730766,8.157827,10.645829,663,553,430,"Atp6v1b2",214.767404,217.065614,208.659767,8738,15724,15398,213.497595,0.0542935178364121
"ATP6V1C1",22.162864,20.006513,10.50588,17.558419,444,401,264,"Atp6v1c1",158.51649,148.410903,132.687186,3142,5403,4824,146.538193,0.125787219042326
"ATP6V1C2",0.214699,0.244673,0.116805,0.192059,13,15,7,"Atp6v1c2",2.791571,1.041059,1.595134,13,19,25,1.80925466666667,0.424332836087959
"ATP6V1D",101.160914,81.002511,79.986684,87.3833696666667,1067,1007,909,"Atp6v1d",123.892918,135.908884,119.35846,2400,4420,3986,126.386754,0.693819152238283
"ATP6V1E1",75.106298,63.982698,56.766216,65.2850706666667,1767,1467,1281,"Atp6v1e1",574.144834,660.091384,629.075041,3278,7317,7213,621.103753,0.106549864627913
"ATP6V1E2",1.509202,1.849757,2.692113,2.017024,43,47,44,"Atp6v1e2",0,0.165526,0.070733,0,4,2,0.078753,2.79676997422023
"ATP6V1F",89.571373,93.387018,86.035862,89.664751,918,914,833,"Atp6v1f",98.867742,133.109123,137.8031,691,1687,1814,123.259988333333,0.729637530278753
"ATP6V1FNB",0.661937,0.714632,0.647025,0.674531333333333,55,54,50,"Atp6v1fnb",0,0,0.077952,0,0,1,0.025984,1.63212226831348
"ATP6V1G1",26.313206,23.172984,21.472453,23.652881,620,599,543,"Atp6v1g1",49.828716,60.796247,61.210057,713,1555,1569,57.27834,0.423019615864144
"ATP6V1G2",6.670457,6.47578,4.802805,5.983014,162,162,109,"Atp6v1g2",222.443884,239.343813,215.593299,4034,7466,7246,225.793665333333,0.0307901633396004
"ATP6V1G3",0,0,0,0,0,0,0,"Atp6v1g3",0,0,0,0,0,0,0,1
"ATP6V1H",95.763248,95.754409,84.084168,91.867275,758,712,634,"Atp6v1h",94.016531,98.527352,105.675745,2069,4221,4186,99.4065426666667,0.92491258570972
"ATP7A",0.951875,0.686501,0.601964,0.74678,146,116,72,"Atp7a",2.048056,1.172932,1.187364,131,79,84,1.46945066666667,0.707355698001391
"ATP7B",3.900667,2.888705,1.925159,2.90484366666667,241,121,98,"Atp7b",0.407652,0.187164,0.267801,41,34,47,0.287539,3.03279641755835
"ATP8A1",2.83683,1.709872,1.166327,1.904343,169,84,81,"Atp8a1",39.833517,13.108465,12.17592,4396,2373,2362,21.7059673333333,0.127911000547257
"ATP8A2",0.061354,0.091449,0.025217,0.05934,13,15,5,"Atp8a2",7.431834,1.306459,1.865085,1378,459,580,3.53445933333333,0.233619914112509
"ATP8B1",0.621489,0.179634,0.164036,0.321719666666667,19,15,19,"Atp8b1",0.888441,0.361198,0.49778,38,44,66,0.582473,0.835224150217202
"ATP8B2",8.676285,5.843158,5.829171,6.78287133333333,452,321,293,"Atp8b2",43.759799,26.798563,19.434198,1025,1060,1002,29.99752,0.25108045202756
"ATP8B3",1.333634,1.279151,0.933698,1.182161,43,41,30,"Atp8b3",0.052115,0.131729,0.105483,3,16,13,0.0964423333333333,1.99021957987151
"ATP8B4",0.017882,0,0.01665,0.0115106666666667,1,0,1,"Atp8b4",0,0.013976,0.006498,0,1,1,0.00682466666666667,1.00465423638806
"ATP9A",2.258099,2.122839,2.000008,2.126982,377,341,317,"Atp9a",94.658915,69.738258,63.536398,4686,6387,6029,75.977857,0.0406218375240038
"ATP9B",17.545659,10.482884,11.393464,13.140669,327,248,207,"Atp9b",38.727582,20.665745,16.762325,793,831,787,25.3852173333333,0.535931496085712
"ATPAF1",51.924408,48.35054,38.266664,46.1805373333333,1077,1054,780,"Atpaf1",27.470527,28.067492,27.31442,687,1091,1035,27.6174796666667,1.64866151327396
"ATPAF2",20.262878,17.673435,16.625974,18.187429,234,227,208,"Atpaf2",11.569605,11.864168,13.925092,188,351,370,12.452955,1.4262612935225
"ATPSCKMT",5.602432,3.863241,4.391191,4.61895466666667,105,107,80,"Atpsckmt",3.124024,2.739053,2.86731,118,111,124,2.910129,1.43702539396185
"ATR",5.399759,5.271089,3.443398,4.70474866666667,240,202,127,"Atr",1.820952,1.008551,0.806276,200,182,151,1.21192633333333,2.57908619319601
"ATRAID",266.440566,217.218528,181.32832,221.662471333333,859,735,621,"Atraid",75.520652,129.342598,136.100951,384,1094,1200,113.654733666667,1.9420259784535
"ATRIP",1.673289,1.34279,1.958389,1.658156,103,73,78,"Atrip",10.529272,9.525152,8.552591,221,439,396,9.53567166666667,0.252300573148081
"ATRN",5.352658,4.50538,4.18034,4.67945933333333,766,606,602,"Atrn",27.553092,7.015128,7.78195,3638,1621,1732,14.1167233333333,0.375707037040875
"ATRNL1",0.140164,0.510776,0.102633,0.251191,5,9,3,"Atrnl1",20.995504,8.599246,7.377653,2067,1498,1298,12.3241343333333,0.0939041117943297
"ATRX",24.176946,4.119221,5.135061,11.1437426666667,498,351,296,"Atrx",54.291852,7.157158,11.387687,3026,1014,990,24.278899,0.480390489580526
"ATXN1",4.337149,3.283306,2.69138,3.43727833333333,715,490,462,"Atxn1",12.617459,2.075923,3.294265,1219,511,537,5.99588233333333,0.63427000654242
"ATXN10",169.044854,141.516378,125.129628,145.230286666667,1557,1428,1130,"Atxn10",107.641031,122.315358,117.749218,2867,5798,5692,115.901869,1.25088065672129
"ATXN1L",3.734962,2.631179,1.420904,2.59568166666667,447,282,237,"Atxn1l",23.75051,7.875899,5.764963,739,425,380,12.4637906666667,0.267063099515411
"ATXN2",22.379946,18.744111,11.764452,17.629503,514,397,357,"Atxn2",210.721282,70.573606,100.353215,1212,731,793,127.216034333333,0.145297763238936
"ATXN2L",48.73823,50.791803,50.080131,49.8700546666667,1144,908,844,"Atxn2l",26.087584,8.824136,9.784422,1183,680,769,14.898714,3.19963329528833
"ATXN3L",0,0,0,0,0,0,0,"Atxn3",5.894539,4.034938,2.730772,344,346,343,4.220083,0.191567835224076
"ATXN7",3.418285,1.665913,1.749047,2.27774833333333,288,146,163,"Atxn7",3.482301,1.890068,1.675394,277,182,156,2.34925433333333,0.978650173177851
"ATXN7L1",0.808951,0.750857,1.124084,0.894630666666667,41,34,34,"Atxn7l1",11.251393,7.51437,7.47927,271,316,287,8.74834433333333,0.194354097668483
"ATXN7L2",2.752231,3.106714,2.243867,2.70093733333333,150,101,85,"Atxn7l2",5.317931,3.52566,2.443905,125,151,159,3.76249866666667,0.777099920097965
"ATXN7L3",24.783135,14.435907,11.829998,17.0163466666667,668,500,422,"Atxn7l3",58.274864,48.565343,45.828071,2918,4434,4236,50.889426,0.347206513070055
"ATXN7L3B",9.191309,7.513394,7.107759,7.93748733333333,1153,1010,953,"Atxn7l3b",57.859901,48.337369,45.208735,3057,4501,4252,50.4686683333333,0.173649088323994
"AUH",15.466859,14.757619,9.842516,13.3556646666667,266,213,158,"Auh",35.413892,43.00069,47.011971,487,996,1060,41.808851,0.335343377159706
"AUNIP",0.614386,1.205397,0.56868,0.796154333333333,26,43,23,"Aunip",0.181148,0.136264,0.100604,3,4,3,0.139338666666667,1.57648852433693
"AUP1",26.759598,26.035246,20.768016,24.5209533333333,652,622,476,"Aup1",50.532812,61.685969,54.2564,425,968,951,55.491727,0.451764438593519
"AURKA",12.579778,11.4959,9.923935,11.3332043333333,536,483,408,"Aurka",0.499449,0.86246,0.658333,13,40,31,0.673414,7.37008554567688
"AURKAIP1",70.891694,64.550704,56.704149,64.048849,1009,817,754,"Aurkaip1",40.996076,65.997245,65.643226,391,1188,1185,57.5455156666667,1.1110816645695
"AURKB",13.092533,11.238114,8.441919,10.9241886666667,153,151,124,"Aurkb",0.777351,0.394548,0.238212,6,5,4,0.470037,8.11148880379655
"AURKC",0.710504,0.227147,0.793078,0.576909666666667,9,6,7,"Aurkc",0.181705,0,0.075347,1,0,1,0.085684,1.45245731416017
"AUTS2",78.116518,26.865764,20.334647,41.7723096666667,1851,1417,1191,"Auts2",89.678515,3.621552,9.858118,1060,360,427,34.3860616666667,1.2087332597105
"AVEN",26.786543,23.134514,31.519329,27.1467953333333,200,221,195,"Aven",6.246996,6.195682,5.91021,81,167,135,6.11762933333333,3.95451828342845
"AVIL",8.868917,14.908607,7.658172,10.4785653333333,98,64,52,"Avil",0.046417,0.159972,0.336715,2,13,12,0.181034666666667,9.7190757031123
"AVL9",6.969446,4.812127,2.631714,4.804429,261,202,151,"Avl9",10.390231,7.328307,6.230332,1064,1278,1081,7.98295666666667,0.646160191503391
"AVP",0,0,0,0,0,0,0,"Avp",15.094362,27.613486,21.263147,61,229,191,21.323665,0.0447955118480769
"AVPI1",3.682893,3.4342,2.99734,3.37147766666667,101,88,77,"Avpi1",11.167631,14.301923,16.098176,140,333,384,13.85591,0.294258491513927
"AVPR1A",0.015048,0,0,0.005016,2,0,0,"Avpr1a",0.210266,0.229992,0.241608,8,16,17,0.227288666666667,0.818891290448919
"AVPR1B",0,0,0,0,0,0,0,"Avpr1b",0,0.090561,0,0,3,0,0.030187,0.970697552968539
"AVPR2",0,0,0,0,0,0,0,"Avpr2",0,0,0,0,0,0,0,1
"AWAT1",0,0,0,0,0,0,0,"Awat1",0,0,0,0,0,0,0,1
"AWAT2",0,0,0,0,0,0,0,"Awat2",0.035674,0.08084,0.075594,1,4,3,0.064036,0.939817825712664
"AXDND1",0.053362,0,0.364223,0.139195,1,0,2,"Axdnd1",0.214506,0.159897,0.248697,5,5,7,0.2077,0.943276475946013
"AXIN1",7.282938,3.649374,2.632627,4.52164633333333,211,157,141,"Axin1",46.024565,17.643462,32.354844,344,462,425,32.0076236666667,0.167283970185029
"AXIN2",1.454716,0.841884,0.851452,1.04935066666667,65,59,43,"Axin2",6.882851,3.795233,4.299606,247,294,329,4.99256333333333,0.341982312521798
"AXL",4.038552,3.202537,2.964128,3.401739,340,310,289,"Axl",45.328094,33.481969,32.233397,753,1296,1278,37.0144866666667,0.115791094026786
"AZGP1",0,0.180449,0,0.0601496666666667,0,1,0,"Azgp1",0,0.037034,0.132455,0,1,4,0.0564963333333333,1.00345797066972
"AZI2",52.440251,61.540298,57.247252,57.0759336666667,289,286,239,"Azi2",44.063718,35.221156,34.735856,966,1406,1186,38.00691,1.48886270834236
"AZIN1",29.014343,22.906845,11.760481,21.227223,920,929,616,"Azin1",98.324157,65.650616,66.30963,2625,3103,2608,76.7614676666667,0.285838522175012
"AZIN2",5.404992,4.199325,0.938549,3.51428866666667,41,33,25,"Azin2",11.899826,15.186919,16.929323,241,594,662,14.6720226666667,0.288047609595937
"B2M",428.267773,494.606269,378.516815,433.796952333333,2259,2557,2120,"B2m",75.476498,115.238444,110.015756,719,1867,1678,100.243566,4.29456378821478
"B3GALNT1",11.522069,7.535459,8.028874,9.02880066666667,345,322,262,"B3galnt1",19.999448,21.673263,20.559761,555,1045,964,20.7441573333333,0.461218179804684
"B3GALNT2",19.071303,10.057467,11.691151,13.6066403333333,549,467,408,"B3galnt2",6.763284,5.649091,4.395083,167,184,207,5.602486,2.21229402581593
"B3GALT1",0.033503,0.365501,0.020936,0.13998,3,2,2,"B3galt1",21.8663,10.565294,9.926205,888,782,670,14.1192663333333,0.075399161233551
"B3GALT2",0.773493,0.545838,0.355246,0.558192333333333,42,32,21,"B3galt2",4.986333,4.365512,3.745866,683,1005,790,4.36590366666667,0.290387683068729
"B3GALT4",2.019053,1.808881,1.6378,1.82191133333333,68,54,47,"B3galt4",1.473822,2.118627,1.751833,31,84,71,1.78142733333333,1.01455511690521
"B3GALT5",0.382253,0.364679,0.405268,0.384066666666667,72,42,31,"B3galt5",17.629289,14.76952,13.037304,973,1489,1301,15.145371,0.0857252934396284
"B3GALT6",4.995537,5.187521,5.096849,5.09330233333333,292,265,272,"B3galt6",3.462876,3.426495,3.753926,153,278,310,3.54776566666667,1.33984527347019
"B3GAT1",0,0.021556,0,0.00718533333333333,0,2,0,"B3gat1",42.966127,25.821732,24.284789,2181,2395,2292,31.024216,0.0314507413181741
"B3GAT2",0.055571,0.101086,0.092603,0.0830866666666667,5,10,9,"B3gat2",2.955946,2.061111,1.910952,238,296,267,2.30933633333333,0.327282136831262
"B3GAT3",11.855874,10.298663,8.60843,10.2543223333333,270,220,193,"B3gat3",58.161976,74.214413,72.774532,1137,2762,2867,68.3836403333333,0.162204264279955
"B3GLCT",0.988019,1.022699,0.827512,0.946076666666667,75,82,65,"B3glct",5.677421,2.729366,3.354353,273,312,270,3.92038,0.39551349015049
"B3GNT2",5.718747,5.069241,4.571431,5.11980633333333,239,222,203,"B3gnt2",6.387257,5.597221,5.945854,105,172,225,5.97677733333333,0.87716807358813
"B3GNT3",0.017115,0.018155,0.006615,0.0139616666666667,1,1,0,"B3gnt3",0.295782,0.233544,0.252742,13,19,21,0.260689333333333,0.804291461708251
"B3GNT4",0.637644,0.660816,0.331179,0.543213,4,5,4,"B3gnt4",0.38699,0.329226,0.651943,7,11,23,0.456053,1.05986045837617
"B3GNT5",0.692385,0.32443,0.668479,0.561764666666667,31,22,20,"B3gnt5",0.709734,0.178849,0.217459,13,14,15,0.368680666666667,1.1410730820581
"B3GNT6",0,0.020403,0,0.006801,0,1,0,"B3gnt6",0.40617,0.082081,0.127406,13,5,8,0.205219,0.835367680064785
"B3GNT7",1.371459,1.308812,1.253423,1.31123133333333,110,98,94,"B3gnt7",0.242414,0.341668,0.469339,9,22,31,0.351140333333333,1.71057829917001
"B3GNT8",26.424706,82.005191,25.913302,44.7810663333333,152,110,112,"B3gnt8",0.417202,0.082221,0.242238,7,4,12,0.247220333333333,36.7064784864262
"B3GNT9",1.485403,1.173945,1.530523,1.39662366666667,87,62,82,"B3gnt9",1.282506,0.954319,1.313716,44,56,82,1.18351366666667,1.09759957231013
"B3GNTL1",3.813172,7.125046,2.829938,4.58938533333333,70,52,48,"B3gntl1",1.467888,0.897155,0.922144,58,62,71,1.095729,2.66703630733427
"B4GALNT1",0.356715,0.705031,0.405261,0.489002333333333,8,11,13,"B4galnt1",31.912014,29.075308,26.195043,1003,1727,1591,29.0607883333333,0.0495330434059919
"B4GALNT2",0.119866,0.131566,0.105947,0.119126333333333,22,24,19,"B4galnt2",0.042024,0.166196,0.02337,1,7,1,0.0771966666666667,1.03892480172299
"B4GALNT3",25.990977,19.971329,16.061512,20.674606,2300,1794,1512,"B4galnt3",0.167041,0.087867,0.07412,9,7,7,0.109676,19.5323734135009
"B4GALNT4",1.601806,1.076204,1.217369,1.29845966666667,25,17,17,"B4galnt4",20.037012,18.077133,17.487708,655,1216,1119,18.533951,0.117664862918243
"B4GALT1",4.800621,3.841119,3.761602,4.13444733333333,426,329,317,"B4galt1",1.814646,0.930282,0.973166,104,96,102,1.23936466666667,2.29281430119912
"B4GALT2",10.458097,11.337294,8.033896,9.94309566666667,441,428,304,"B4galt2",23.957854,28.730673,28.387035,667,1446,1376,27.0251873333333,0.390473595644832
"B4GALT3",20.654275,20.924707,19.594984,20.391322,263,238,208,"B4galt3",28.8492,28.895708,24.509566,427,726,615,27.418158,0.752734290519463
"B4GALT4",7.664855,7.374348,4.958131,6.665778,203,181,135,"B4galt4",12.102386,10.931477,9.555745,243,536,425,10.8632026666667,0.64618115490342
