"Hs_symbol","Cardiomyocytes-S20_rep_1","Cardiomyocytes-S25_rep_2","Cardiomyocytes-S29_rep_3","Hs_Avg_TPM","Cardiomyocytes-S20_rep_1_read","Cardiomyocytes-S25_rep_2_read","Cardiomyocytes-S29_rep_3_read","Mm_genes","Brain_3_HB-S6","Brain_3_HB-S12","Brain_3_HB-S18","Brain_3_HB-S6_read","Brain_3_HB-S12_read","Brain_3_HB-S18_read","Mm_Avg_TPM","FoldChange"
"FAM169A",0.848445,0.3863,0.131367,0.455370666666667,50,39,13,"Fam169a",9.255015,10.268689,9.516722,281,1151,608,9.680142,0.136268849858613
"FAM170A",0,0,0,0,0,0,0,"Fam170a",0,0,0,0,0,0,0,1
"FAM170B",0,0,0,0,0,0,0,"Fam170b",0.124073,0.032733,0.04432,2,2,1,0.067042,0.937170233224184
"FAM171A1",7.734737,6.16512,5.181278,6.36037833333333,656,533,446,"Fam171a1",8.977669,9.164813,9.381525,250,962,556,9.174669,0.723402238768979
"FAM171A2",1.574731,1.21722,1.279923,1.35729133333333,72,52,38,"Fam171a2",31.602499,31.770641,32.018216,149,589,390,31.7971186666667,0.0718749521045324
"FAM171B",0.135501,0.138334,0.069773,0.114536,7,14,7,"Fam171b",52.653303,49.084034,60.586309,1283,4531,2711,54.107882,0.0202246204998407
"FAM172A",3.567879,0.701396,3.718641,2.66263866666667,78,62,81,"Fam172a",13.732347,10.471461,12.314086,268,835,524,12.1726313333333,0.278049128832625
"FAM174A",7.114945,7.687537,6.41325,7.07191066666667,123,108,96,"Fam174a",14.669857,14.682552,14.762551,186,652,375,14.7049866666667,0.513971188768918
"FAM174B",6.456674,2.308804,0.889925,3.21846766666667,37,30,11,"Fam174b",22.290986,14.543341,20.116629,216,609,401,18.983652,0.211095933149089
"FAM174C",9.262163,10.155778,8.526977,9.31497266666667,101,109,91,"Fam174c",1.946719,3.720687,2.846468,6,44,19,2.837958,2.68761999653635
"FAM177A1",33.895598,27.004363,27.670765,29.5235753333333,438,407,345,"Fam177a2",12.698989,11.444754,12.153593,329,1106,666,12.099112,2.3302018742441
"FAM177A1",33.895598,27.004363,27.670765,29.5235753333333,438,407,345,"Fam177a",0,0.844651,0,0,83,0,0.281550333333333,23.8176952862561
"FAM178B",0.198451,0.450195,0,0.216215333333333,2,5,0,"Fam178b",0.302036,0.196519,0.321184,1,3,4,0.273246333333333,0.955208196162094
"FAM180A",0,0,0,0,0,0,0,"Fam180a",0.71982,0.871108,1.492071,7,32,31,1.02766633333333,0.493177789442346
"FAM181A",0.078573,0.072919,0.028013,0.059835,3,1,1,"Fam181a",1.564593,0.802524,1.154461,13,26,21,1.17385933333333,0.487536145393032
"FAM181B",0.03729,0.040338,0,0.025876,3,3,0,"Fam181b",10.849919,10.550463,11.362829,138,463,285,10.9210703333333,0.0860556956141326
"FAM183A",0.954081,0,0.391328,0.448469666666667,3,0,1,"Fam183b",1.700327,2.410661,2.081085,3,19,10,2.06402433333333,0.472734387553276
"FAM184A",2.058518,1.496687,1.882817,1.812674,61,46,47,"Fam184a",56.227247,71.581499,58.840913,200,757,418,62.216553,0.0444926821619015
"FAM184B",0.021193,0.01473,0.023843,0.019922,3,2,3,"Fam184b",1.755007,1.681394,1.936389,55,200,126,1.79093,0.365441626984554
"FAM185A",2.248342,3.294036,1.531884,2.35808733333333,73,78,45,"Fam185a",5.046609,5.355614,5.762479,70,312,192,5.388234,0.525667552774888
"FAM186A",0.235413,0.29152,0.346753,0.291228666666667,10,14,14,"Fam186a",0,0.015997,0,0,4,0,0.00533233333333333,1.28437992478109
"FAM186B",0.244076,0.174212,0.358833,0.259040333333333,11,7,8,"Fam186b",1.215942,0.686526,1.287047,10,25,18,1.06317166666667,0.610245067666853
"FAM187A",0.155613,0.088865,0.031568,0.0920153333333333,7,5,2,"Fam187a",0,0,0.048863,0,0,1,0.0162876666666667,1.0745140073529
"FAM187B",0,0,0,0,0,0,0,"Fam187b",0.431929,0.168797,0.095118,3,6,2,0.231948,0.811722572705991
"FAM189A1",0.108775,0.23191,0.029762,0.123482333333333,8,7,3,"Fam189a1",6.198457,6.027974,7.228177,98,460,264,6.48486933333333,0.15010046044892
"FAM189A2",54.756613,51.336774,41.068762,49.0540496666667,2696,2162,1635,"Fam189a2",5.249594,5.836968,4.929946,69,306,142,5.338836,7.89641026628022
"FAM189B",5.063454,4.214884,3.504375,4.26090433333333,229,188,154,"Fam189b",10.821477,18.21014,21.514254,116,682,372,16.8486236666667,0.29475126102627
"FAM193A",5.911241,2.739465,2.611513,3.754073,397,280,258,"Fam193a",9.464255,16.35284,20.161153,218,995,587,15.3260826666667,0.291194960669071
"FAM193B",22.441886,19.402592,18.062149,19.9688756666667,241,188,171,"Fam193b",16.146672,21.644512,21.317534,183,1061,509,19.702906,1.01284697262629
"FAM199X",1.882922,1.268233,0.938992,1.36338233333333,181,161,114,"Fam199x",3.079723,3.332417,3.617515,180,716,441,3.34321833333333,0.544154622666525
"FAM204A",14.064679,11.89564,8.744121,11.5681466666667,196,170,159,"Fam204a",13.382917,15.387411,20.33325,66,335,234,16.3678593333333,0.723643969325868
"FAM205A",0,0,0,0,0,0,0,"Fam205a2",0.768837,0.637414,2.344542,21,68,141,1.25026433333333,0.444392236586131
"FAM205A",0,0,0,0,0,0,0,"Fam205a1",0,0.338599,0.291329,0,36,18,0.209976,0.826462673639808
"FAM205A",0,0,0,0,0,0,0,"Fam205a4",1.615319,1.179193,0,45,125,0,0.931504,0.517731260199306
"FAM205C",0,0,0,0,0,0,0,"Fam205c",1.772277,2.225101,2.742557,7,37,24,2.246645,0.308010269062371
"FAM207A",11.987067,12.817493,13.233661,12.679407,152,134,141,"Fam207a",14.434391,11.551459,11.035505,154,540,324,12.3404516666667,1.02540808525848
"FAM209A",0,0.110388,0,0.036796,0,1,0,"Fam209",0,0,0,0,0,0,0,1.036796
"FAM209B",0.097221,0,0,0.032407,1,0,0,"Fam209",0,0,0,0,0,0,0,1.032407
"FAM20A",7.436579,5.784429,5.721509,6.31417233333333,202,159,139,"Fam20a",7.424994,8.544217,7.703714,80,348,202,7.890975,0.822651321517981
"FAM20B",5.465887,4.181348,3.094014,4.247083,626,516,375,"Fam20b",23.491278,23.486694,22.839344,705,2613,1467,23.2724386666667,0.216174529146337
"FAM20C",1.931364,0.855159,0.940013,1.24217866666667,47,36,27,"Fam20c",26.630499,21.853726,20.201783,242,812,448,22.895336,0.0938333182118329
"FAM210A",7.935772,5.472905,4.713672,6.040783,232,223,179,"Fam210a",11.557885,7.499824,6.936223,435,1460,869,8.664644,0.728509296358976
"FAM210B",13.209708,14.226121,10.72475,12.720193,762,808,618,"Fam210b",4.764707,5.092019,5.026267,115,463,259,4.96099766666667,2.30166052181534
"FAM214A",20.455744,23.930367,15.201804,19.8626383333333,473,442,280,"Fam214a",9.968926,13.30792,13.383374,239,1108,632,12.2200733333333,1.57810307154121
"FAM214B",7.750265,6.953521,6.342066,7.015284,484,398,357,"Fam214b",6.872852,19.984566,13.232272,119,692,340,13.36323,0.558041888906604
"FAM216A",6.263743,6.73025,5.982484,6.32549233333333,116,102,113,"Fam216a",21.463374,22.617856,24.203871,177,694,421,22.7617003333333,0.308289904786696
"FAM216B",0.031936,0,0,0.0106453333333333,2,0,0,"Fam216b",0.768197,0.699406,0.393669,11,33,12,0.620424,0.623691906151312
"FAM217A",2.808267,1.439866,0.027652,1.42526166666667,2,1,1,"Fam217a",0.623501,0.259911,0.208572,7,11,6,0.363994666666667,1.77805802759737
"FAM217B",3.159853,1.352392,1.131973,1.881406,150,132,108,"Fam217b",8.421378,14.216202,13.508191,260,1196,716,12.0485903333333,0.220821247843094
"FAM219A",7.149842,6.985275,6.417964,6.851027,560,508,447,"Fam219a",48.479606,57.70807,54.54231,751,3223,1649,53.576662,0.143853191314632
"FAM219B",170.933409,143.710647,153.099893,155.914649666667,1157,926,802,"Fam219b",8.86234,6.342973,7.740327,102,428,248,7.64854666666667,18.1434703094624
"FAM220A",3.470357,1.673568,1.652887,2.265604,21,10,10,"Fam220a",4.408597,3.344409,5.436844,11,30,39,4.39661666666667,0.605120615694401
"FAM220A",3.470357,1.673568,1.652887,2.265604,21,10,10,"Fam220a",4.408597,3.344409,5.436844,11,30,39,4.39661666666667,0.605120615694401
"FAM221A",1.98507,1.343118,0.988004,1.43873066666667,51,40,34,"Fam221a",1.366603,0.671555,1.701303,3,19,11,1.246487,1.08557524110608
"FAM221B",0.092334,0.275223,0,0.122519,2,3,0,"Fam221b",0.278695,0.423407,0.214601,5,35,7,0.305567666666667,0.859793811274432
"FAM222A",2.445483,3.081555,2.01774,2.514926,163,173,120,"Fam222a",5.568964,5.168838,5.687494,113,373,237,5.47509866666667,0.542837442477067
"FAM222B",7.37013,5.481205,5.055924,5.96908633333333,469,436,376,"Fam222b",6.841274,8.901601,10.036864,150,735,463,8.59324633333333,0.726457560994559
"FAM227A",1.53452,0.721863,0.847895,1.03475933333333,62,47,37,"Fam227a",1.767126,3.250093,2.074566,28,146,70,2.36392833333333,0.60487594612846
"FAM227B",5.835029,7.066216,4.103853,5.668366,64,68,46,"Fam227b",0.304565,0.327184,0.192568,3,13,4,0.274772333333333,5.23102504316457
"FAM228A",0.027275,0,0,0.00909166666666667,1,0,0,"Fam228a",0.516381,0.330687,0.142586,4,15,6,0.329884666666667,0.758781337930557
"FAM228B",17.786722,18.885185,15.258941,17.3102826666667,141,116,101,"Fam228b",19.17728,21.17313,42.32474,24,64,31,27.5583833333333,0.641152632939656
"FAM229A",5.609375,2.262445,1.818693,3.230171,86,67,47,"Fam229a",0,0.285916,0.247594,0,2,1,0.177836666666667,3.59147504888907
"FAM229B",16.461822,16.223499,15.54745,16.0775903333333,144,134,135,"Fam229b",9.45517,5.836544,7.840734,33,89,62,7.710816,1.96050408289342
"FAM234A",47.764862,28.132788,23.073254,32.9903013333333,1652,1262,1135,"Fam234a",33.62109,21.628322,27.216515,163,648,368,27.4886423333333,1.19311762686433
"FAM234B",0.527118,0.278591,0.43332,0.413009666666667,40,27,42,"Fam234b",66.8575,59.747749,64.91662,1048,4190,2434,63.840623,0.0217920433408955
"FAM236A",0,0,0,0,0,0,0,"Gm9112",0,0,0,0,0,0,0,1
"FAM236B",0,0,0,0,0,0,0,"Gm9112",0,0,0,0,0,0,0,1
"FAM236C",0,0,0,0,0,0,0,"Gm9112",0,0,0,0,0,0,0,1
"FAM236D",0,0,0,0,0,0,0,"Gm9112",0,0,0,0,0,0,0,1
"FAM237A",3.957103,0,0,1.31903433333333,1,0,0,"Gm39653",0,0.043239,0.228876,0,1,3,0.090705,2.12617924492263
"FAM237B",0,0,0,0,0,0,0,"Gm8773",0,0.150492,0,0,4,0,0.050164,0.952232222776633
"FAM240A",0.068103,0,0,0.022701,2,0,0,"Fam240a",0,0,0,0,0,0,0,1.022701
"FAM241A",2.125711,2.097528,1.866539,2.029926,331,349,307,"Fam241a",1.470527,1.102188,0.96624,15,39,21,1.17965166666667,1.39009642978121
"FAM243A",0.189685,0.252684,0.575115,0.339161333333333,3,4,9,"Fam243",0,0,0,0,0,0,0,1.33916133333333
"FAM243B",0.05795,0,0,0.0193166666666667,2,0,0,"Fam243",0,0,0,0,0,0,0,1.01931666666667
"FAM25A",0,0,0,0,0,0,0,"Fam25c",0,0,0,0,0,0,0,1
"FAM25C",0,0,0,0,0,0,0,"Fam25c",0,0,0,0,0,0,0,1
"FAM25G",0,0,0,0,0,0,0,"Fam25c",0,0,0,0,0,0,0,1
"FAM32A",36.0597,30.570985,21.097155,29.2426133333333,889,786,549,"Fam32a",25.245218,24.943514,23.517886,422,1592,844,24.5688726666667,1.182790251553
"FAM3A",34.631076,28.425991,31.22334,31.4268023333333,785,701,635,"Fam3a",8.214168,9.939621,11.896279,46,296,178,10.0166893333333,2.94342532063777
"FAM3B",0.019266,0.017966,0.147169,0.061467,1,1,3,"Fam3b",0,0,0,0,0,0,0,1.061467
"FAM3C",9.046126,5.606159,5.547724,6.73333633333333,152,130,132,"Fam3c",13.69843,15.326938,15.647106,205,766,432,14.8908246666667,0.486654185390085
"FAM3D",0,0,0,0,0,0,0,"Oit1",0,0.036201,0,0,1,0,0.012067,0.988076876333286
"FAM43A",1.95699,2.224251,1.822992,2.001411,138,141,119,"Fam43a",4.619861,3.849983,3.81373,96,293,164,4.09452466666667,0.589144463199511
"FAM43B",0.098837,0.093952,0.088091,0.0936266666666667,5,4,4,"Fam43b",4.28834,4.33457,4.413353,65,222,130,4.345421,0.204591306590569
"FAM47E",1.033887,0.951803,0.632949,0.872879666666667,49,27,35,"Fam47e",0.125488,0.581337,0.484464,1,10,5,0.397096333333333,1.34055155824378
"FAM50A",80.489322,60.286907,52.171997,64.3160753333333,885,712,679,"Fam50a",7.353914,14.4943,15.293629,63,405,234,12.3806143333333,4.88139585419633
"FAM50B",2.460899,1.710518,1.289316,1.82024433333333,86,54,41,"Fam50b",0,0,0,0,0,0,0,2.82024433333333
"FAM53A",0.723065,0.461526,0.363748,0.516113,10,5,7,"Fam53a",8.494149,7.051717,8.243741,83,320,189,7.929869,0.169779982214745
"FAM53B",4.517475,3.556862,3.370647,3.81499466666667,598,443,413,"Fam53b",14.733738,11.812769,14.908994,257,1232,718,13.8185003333333,0.324931306026672
"FAM53C",8.470116,7.079659,5.091121,6.88029866666667,669,574,418,"Fam53c",8.990562,11.204104,11.039344,260,1220,682,10.4113366666667,0.690567537954216
"FAM71A",0.040892,0.042985,0,0.027959,2,2,0,"Fam71a",0,0,0,0,0,0,0,1.027959
"FAM71B",0,0,0,0,0,0,0,"Fam71b",0,0,0,0,0,0,0,1
"FAM71D",0.147477,0,0.151379,0.0996186666666667,1,0,4,"Fam71d",0,0.199955,0,0,2,0,0.0666516666666667,1.03090699712965
"FAM71E1",1.725779,2.86679,2.270048,2.287539,19,30,19,"Fam71e1",11.822029,22.464665,10.349291,11,58,27,14.8786616666667,0.207041315509693
"FAM71E2",0,0,0,0,0,0,0,"Fam71e2",0,0,0,0,0,0,0,1
"FAM71F1",0.266898,0.033262,0.068413,0.122857666666667,6,1,2,"Fam71f1",0,0,0,0,0,0,0,1.12285766666667
"FAM71F2",3.756372,2.953341,3.453625,3.38777933333333,159,160,125,"Fam71f2",0,0.454494,0,0,7,0,0.151498,3.81049670371406
"FAM72A",1.290921,1.904686,0.645469,1.28035866666667,18,35,21,"Fam72a",0.564808,0.956291,0.506177,8,50,15,0.675758666666667,1.36079180852613
"FAM72B",2.327289,2.933057,0.247074,1.83580666666667,37,54,10,"Fam72a",0.564808,0.956291,0.506177,8,50,15,0.675758666666667,1.69225242457347
"FAM72C",0.22492,0.604378,0.447007,0.425435,9,21,18,"Fam72a",0.564808,0.956291,0.506177,8,50,15,0.675758666666667,0.850620693990145
"FAM72D",0.312527,0,0.115874,0.142800333333333,13,0,5,"Fam72a",0.564808,0.956291,0.506177,8,50,15,0.675758666666667,0.681959971960959
"FAM76A",2.506672,2.141657,1.391706,2.013345,83,86,54,"Fam76a",9.603877,17.181634,15.626239,194,844,474,14.13725,0.19906819270343
"FAM76B",4.365356,2.806102,4.717957,3.96313833333333,48,62,57,"Fam76b",3.854439,6.609226,7.157596,84,390,223,5.87375366666667,0.722041925564106
"FAM78A",16.082022,11.654621,11.232748,12.989797,1332,977,934,"Fam78a",1.517081,2.197571,1.768253,34,168,101,1.827635,4.94752575915916
"FAM78B",0.020821,0.010769,0.010905,0.014165,2,1,1,"Fam78b",7.65668,7.985226,8.517142,188,807,494,8.053016,0.112025097492372
"FAM81A",2.905431,2.261694,1.541729,2.23628466666667,43,42,26,"Fam81a",8.531727,6.971318,6.491827,143,571,306,7.331624,0.388433835548348
"FAM81B",0,0,0,0,0,0,0,"Fam81b",0,0.282262,0.248806,0,8,7,0.177022666666667,0.849601310425061
"FAM83A",0.024414,0,0.267328,0.0972473333333333,2,0,1,"Fam83a",0.052121,0.038394,0.22375,1,1,2,0.104755,0.993204224767784
"FAM83B",0.100556,0.077349,0.051004,0.076303,11,9,6,"Fam83b",0.038592,0.041333,0,1,4,0,0.0266416666666667,1.04837260647581
"FAM83C",0.014172,0,0,0.004724,1,0,0,"Fam83c",0.037153,0.058722,0.173448,1,6,10,0.0897743333333333,0.921956013523289
"FAM83D",3.217707,3.989708,2.446287,3.21790066666667,150,179,110,"Fam83d",0.417781,0.47092,0.466499,6,27,15,0.451733333333333,2.90542386113152
"FAM83E",0.023908,0,0,0.00796933333333333,1,0,0,"Fam83e",0,0.147268,0,0,4,0,0.0490893333333333,0.960804100572306
"FAM83F",0.049374,0.163411,0.012016,0.0749336666666667,15,13,4,"Fam83f",0.050314,0.053473,0.141925,1,4,6,0.081904,0.993557345815032
"FAM83G",0.637791,0.451102,0.495367,0.528086666666667,77,51,46,"Fam83g",0,0.016099,0.028566,0,2,2,0.0148883333333333,1.50566975348684
"FAM83H",1.407557,1.038662,1.209804,1.21867433333333,178,114,143,"Fam83h",0.314597,0.398052,0.360352,10,47,24,0.357667,1.63418152855843
"FAM86B1",0.794278,1.239826,0.543413,0.859172333333333,15,32,17,"Eef2kmt",1.870058,4.809791,3.270872,14,76,47,3.316907,0.430672315464135
"FAM86B2",0.35639,0,0.169672,0.175354,5,0,1,"Eef2kmt",1.870058,4.809791,3.270872,14,76,47,3.316907,0.272267621239003
"FAM89A",0.187266,0,0,0.062422,5,0,0,"Fam89a",1.048614,0.607559,0.377997,8,17,6,0.678056666666667,0.633126414086135
"FAM89B",8.398029,10.961273,8.007113,9.12213833333333,202,230,174,"Fam89b",8.315649,10.187721,11.426434,56,252,161,9.97660133333333,0.922155959385607
"FAM8A1",2.401256,3.053851,2.463588,2.639565,187,255,205,"Fam8a1",31.009584,30.28458,32.500553,617,2341,1331,31.2649056666667,0.112802592315033
"FAM90A1",0.08238,0,0,0.02746,0,0,0,"Fam90a1b",0,0.073174,0,0,3,0,0.0243913333333333,1.00299559998881
"FAM90A1",0.08238,0,0,0.02746,0,0,0,"Fam90a1a",0.084894,0,0,1,0,0,0.028298,0.999185061139864
"FAM90A26",0.091733,0,0,0.0305776666666667,1,0,0,"Fam90a1b",0,0.073174,0,0,3,0,0.0243913333333333,1.00603903326008
"FAM90A26",0.091733,0,0,0.0305776666666667,1,0,0,"Fam90a1a",0.084894,0,0,1,0,0,0.028298,1.002216931927
"FAM91A1",1.976441,1.380642,2.023197,1.79342666666667,100,80,83,"Fam91a1",13.373457,14.054742,14.426717,509,1951,1146,13.9516386666667,0.186830803562312
"FAM98A",63.674391,33.496723,30.914092,42.6950686666667,378,352,254,"Fam98a",19.900484,18.542669,18.950697,245,1062,540,19.1312833333333,2.17050587104482
"FAM98B",2.728334,3.536055,4.064993,3.44312733333333,190,271,193,"Fam98b",19.842102,17.49433,20.12701,233,732,497,19.1544806666667,0.220453575897978
"FAM98C",6.020124,6.544481,4.020166,5.528257,83,76,50,"Fam98c",13.687396,17.88188,10.847848,112,483,208,14.1390413333333,0.431219973329883
"FAN1",5.043401,4.139768,3.771911,4.31836,504,384,305,"Fan1",2.328031,3.043084,2.441294,54,256,121,2.60413633333333,1.47562675440783
"FANCA",10.723663,9.187967,8.192519,9.36804966666667,127,117,96,"Fanca",2.594006,2.413712,2.899835,8,43,26,2.635851,2.85161566485169
"FANCB",0.348225,0.03648,0.020372,0.135025666666667,5,2,1,"Fancb",0.833192,0.466487,0.487478,13,34,19,0.595719,0.711294198205741
"FANCC",3.551728,2.786021,1.374659,2.57080266666667,126,101,70,"Fancc",7.385116,12.049758,11.929755,50,263,136,10.4548763333333,0.311727736097486
"FANCD2",8.305449,6.980394,7.024908,7.436917,208,177,115,"Fancd2",0.15926,0.427621,0.302155,6,12,6,0.296345333333333,6.50823263142846
"FANCD2OS",0.490629,0,0,0.163543,2,0,0,"Fancd2os",0.124946,0.066195,0.071574,1,2,1,0.0875716666666667,1.06985409390646
"FANCE",2.659429,1.940329,2.02463,2.20812933333333,143,96,101,"Fance",8.032934,14.11722,13.367691,38,187,119,11.8392816666667,0.249868288321945
"FANCF",1.846747,1.775541,1.251992,1.62476,105,107,74,"Fancf",2.841786,1.728378,2.433425,25,52,42,2.33452966666667,0.787145493482389
"FANCG",10.552645,11.007688,7.560483,9.70693866666667,156,149,106,"Fancg",20.117661,7.833883,8.561409,50,227,113,12.1709843333333,0.812918639616735
"FANCI",4.032666,16.028871,22.667973,14.24317,339,241,191,"Fanci",0.457762,0.704439,0.335629,6,24,8,0.499276666666667,10.1670160944278
"FANCL",5.583242,5.203927,4.291593,5.026254,106,134,92,"Fancl",1.796978,5.270123,4.98612,21,109,70,4.01774033333333,1.200989608802
"FANCM",3.99743,4.379092,1.298601,3.225041,61,45,30,"Fancm",8.575747,10.999396,16.541326,111,410,287,12.038823,0.324035459335555
"FANK1",0.777387,0.977166,1.04707,0.933874333333333,14,12,16,"Fank1",1.101812,0.814163,0.863167,2,27,19,0.926380666666667,1.00389002381322
"FAP",0.112783,0.206467,0,0.106416666666667,1,2,0,"Fap",0.277056,1.923172,1.718532,5,38,27,1.30625333333333,0.479746370736953
"FAR1",8.723347,3.243097,3.168528,5.04499066666667,355,285,277,"Far1",34.912781,34.585365,31.078312,677,2415,1286,33.525486,0.175087779116756
"FAR2",1.451421,1.02432,0.252103,0.909281333333333,18,19,7,"Far2",6.382701,5.96761,6.68437,148,520,330,6.34489366666667,0.259946763014178
"FARP1",44.422142,35.182608,26.618446,35.407732,1277,915,676,"Farp1",12.169029,15.052164,17.744982,298,1197,689,14.988725,2.27708788536922
"FARP2",13.120591,12.649965,9.847577,11.872711,375,262,236,"Farp2",3.180267,2.8213,2.956439,78,262,155,2.986002,3.22947931285534
"FARS2",4.277448,2.44448,3.643125,3.45501766666667,98,74,59,"Fars2",19.225433,22.274171,27.582053,51,235,142,23.027219,0.185415451811825
"FARSA",18.151319,15.093672,15.543404,16.2627983333333,548,437,416,"Farsa",15.052036,15.824298,13.584666,155,562,300,14.8203333333333,1.09117791449822
"FARSB",3.281643,2.889956,2.107335,2.75964466666667,432,399,284,"Farsb",50.066257,48.665493,51.514495,295,1150,670,50.0820816666667,0.0736000676558176
"FAS",0.760568,0.806065,0.769406,0.778679666666667,15,16,16,"Fas",1.076125,1.455903,1.259749,5,44,18,1.26392566666667,0.785661690600266
"FASLG",0,0,0,0,0,0,0,"Fasl",0.165106,0.233359,0.038773,2,5,1,0.145746,0.872793795483467
"FASN",21.101059,26.946646,12.432145,20.15995,1247,627,525,"Fasn",40.783126,58.283837,52.704826,1229,6576,3845,50.5905963333333,0.410151297017055
"FASTK",40.803873,43.286398,36.653645,40.247972,881,704,661,"Fastk",63.306471,88.04518,78.19797,187,1012,549,76.5165403333333,0.532118330134797
"FASTKD1",56.232025,70.854958,55.087072,60.724685,780,846,643,"Fastkd1",5.776108,6.312197,6.429366,104,418,247,6.172557,8.60567368094809
"FASTKD2",7.338838,6.764894,4.78178,6.29517066666667,501,463,321,"Fastkd2",21.379738,28.074248,28.320926,153,572,309,25.9249706666667,0.270944423932025
"FASTKD3",3.194021,3.175803,2.41604,2.92862133333333,64,44,35,"Fastkd3",14.664999,18.167714,19.822202,74,248,143,17.5516383333333,0.211766813407226
"FASTKD5",6.298874,5.650679,4.462035,5.47052933333333,365,321,249,"Fastkd5",2.867111,2.745704,3.064306,55,202,124,2.89237366666667,1.66236078225104
"FAT1",50.856902,33.198876,30.803977,38.286585,1410,846,652,"Fat1",23.067231,27.710709,32.364435,1134,4863,3532,27.714125,1.36819718518325
"FAT2",0.027349,0.009632,0,0.012327,4,2,0,"Fat2",20.617031,25.753629,35.622172,2111,10069,7876,27.330944,0.0357322015108286
"FAT3",0.466057,0.211304,0.025131,0.234164,25,13,10,"Fat3",3.036354,3.616816,3.310686,233,1135,655,3.32128533333333,0.285601135958314
"FAT4",0.242184,0.080805,0.067395,0.130128,66,28,23,"Fat4",0.416752,0.705882,0.642866,47,295,158,0.5885,0.711443500157381
"FAU",268.086075,234.682309,227.838018,243.535467333333,1357,1183,996,"Fau",145.629265,126.062912,108.106471,201,707,330,126.599549333333,1.9164289263634
"FAXC",0.64797,0.351336,0.269954,0.423086666666667,13,7,5,"Faxc",9.491933,11.58873,12.377422,249,1141,686,11.152695,0.117100500478838
"FAXDC2",7.682862,5.27204,4.16416,5.706354,411,237,242,"Gm12248",0,0.03023,0,0,1,0,0.0100766666666667,6.63945047075635
"FBF1",4.002559,3.035105,1.744583,2.92741566666667,175,100,97,"Fbf1",16.228439,11.691941,16.095905,232,833,508,14.672095,0.250599276399656
"FBH1",132.466257,115.902555,110.767104,119.711972,2319,1654,1423,"Fbh1",96.792268,73.944867,79.337354,330,1250,761,83.358163,1.43094595362395
"FBL",44.095287,50.352039,43.610588,46.0193046666667,412,447,357,"Fbl",94.39866,65.928242,70.494869,109,411,290,76.9405903333333,0.603271087190594
"FBLIM1",55.145912,27.94843,25.372819,36.1557203333333,1080,970,793,"Fblim1",1.33715,1.666865,1.5474,15,50,37,1.51713833333333,14.7610959005696
"FBLL1",0.230231,0.107747,0,0.112659333333333,5,2,0,"Fbll1",8.769423,9.886965,8.594846,74,294,145,9.08374466666667,0.110341878946161
"FBLN1",4.651897,3.562833,5.143259,4.452663,132,132,90,"Fbln1",4.126604,3.553823,2.75475,68,233,102,3.47839233333333,1.21754919938904
"FBLN2",0.942931,1.364919,1.34047,1.21610666666667,52,46,41,"Fbln2",0.919615,1.606259,1.502291,27,101,46,1.34272166666667,0.945953886967651
"FBLN5",0.145731,0.456954,0.044566,0.215750333333333,6,8,2,"Fbln5",3.953147,3.710978,3.808413,59,222,126,3.82417933333333,0.25201184477802
"FBLN7",0.177101,0.183686,0.075951,0.145579333333333,6,1,2,"Fbln7",0.940177,1.279397,1.29041,18,94,54,1.16999466666667,0.527918040965999
"FBN1",6.473739,5.323701,4.943461,5.58030033333333,431,248,195,"Fbn1",0.480286,0.696926,0.636041,33,184,94,0.604417666666667,4.10136367234384
"FBN2",60.360757,37.88143,32.229214,43.490467,13900,8242,7000,"Fbn2",0.167209,0.542599,0.541735,13,60,43,0.417181,31.3936377922086
"FBP1",0.103456,0.036757,0.055109,0.0651073333333333,2,1,1,"Fbp1",0,0.280371,0,0,3,0,0.093457,0.974073359385265
"FBP2",0.039191,0.041274,0,0.0268216666666667,1,1,0,"Fbp2",0.12598,0.06577,0.530633,1,2,1,0.240794333333333,0.827551866640268
"FBRS",13.074308,10.806546,9.043558,10.974804,665,563,473,"Fbrs",18.617104,23.053654,23.362991,157,812,507,21.6779163333333,0.528038106499173
"FBRSL1",115.124515,44.450707,58.192497,72.5892396666667,519,397,365,"Fbrsl1",8.31271,10.86856,11.097994,203,888,523,10.093088,6.63379211150824
"FBXL12",6.072459,6.734628,6.466627,6.42457133333333,194,184,157,"Fbxl12",4.535222,5.368585,5.229689,55,251,158,5.04449866666667,1.22831879743432
"FBXL13",0.412093,0.158597,0,0.19023,4,3,0,"Fbxl13",0.0735,0.113924,0.28258,1,7,5,0.156668,1.02901610488057
"FBXL14",2.475346,3.804642,0.875537,2.385175,57,31,30,"Fbxl14",6.475829,6.572312,5.830597,127,467,235,6.29291266666667,0.464173253503013
"FBXL15",3.299408,4.148096,3.807519,3.75167433333333,128,123,103,"Fbxl15",6.695543,6.031946,5.37094,55,169,87,6.03280966666667,0.675643812153028
"FBXL16",0.078657,0.029632,0.063572,0.057287,6,2,3,"Fbxl16",95.809704,105.497559,124.97217,1037,4223,2709,108.759811,0.00963273342371189
"FBXL17",9.487704,4.208803,2.285724,5.32741033333333,288,203,159,"Fbxl17",18.998567,27.779691,19.350135,254,1058,585,22.0427976666667,0.274593841636099
"FBXL18",1.943073,1.281938,1.116918,1.44730966666667,328,223,195,"Fbxl18",9.626941,9.03618,9.030626,200,949,524,9.231249,0.239199502100542
