"Hs_symbol","Cardiomyocytes-S20_rep_1","Cardiomyocytes-S25_rep_2","Cardiomyocytes-S29_rep_3","Hs_Avg_TPM","Cardiomyocytes-S20_rep_1_read","Cardiomyocytes-S25_rep_2_read","Cardiomyocytes-S29_rep_3_read","Mm_genes","Brain_1_FB-S4","Brain_1_FB-S10","Brain_1_FB-S16","Brain_1_FB-S4_read","Brain_1_FB-S10_read","Brain_1_FB-S16_read","Mm_Avg_TPM","FoldChange"
"GABRP",0.598001,0.230164,0.888766,0.572310333333333,7,2,9,"Gabrp",0,0,0,0,0,0,0,1.57231033333333
"GABRR1",0,0,0,0,0,0,0,"Gabrr1",0,0.06717,0.051777,0,2,3,0.039649,0.961863090331448
"GABRR2",0.297241,0.101956,0.156185,0.185127333333333,28,10,15,"Gabrr2",0.382177,0.606827,0.401333,9,5,12,0.463445666666667,0.809819838431537
"GABRR3",0,0,0,0,0,0,0,"Gabrr3",0.016881,0.052845,0.027155,1,3,3,0.0322936666666667,0.968716589368465
"GAD1",0,0,0.046374,0.015458,0,0,2,"Gad1",164.591581,208.145502,170.9869,4733,4869,7642,181.241327666667,0.0055720511532782
"GAD2",0.009703,0.009482,0,0.006395,1,1,0,"Gad2",46.765586,45.448703,39.076562,3647,3355,5833,43.763617,0.0224824325523114
"GADD45A",30.710784,33.39435,29.3677,31.1576113333333,565,562,553,"Gadd45a",6.58689,4.156924,4.642805,72,47,83,5.128873,5.24690450158346
"GADD45B",119.722261,94.694365,100.99681,105.137812,1175,1027,1032,"Gadd45b",4.684261,5.684266,6.009288,64,77,144,5.45927166666667,16.4318544686282
"GADD45G",17.103922,14.931427,17.359667,16.4650053333333,338,254,311,"Gadd45g",3.572072,6.619438,5.961652,41,77,140,5.38438733333333,2.73558047491062
"GADD45GIP1",11.030536,10.316432,10.025644,10.4575373333333,403,351,341,"Gadd45gip1",4.048511,6.129512,5.110178,125,192,318,5.096067,1.87949662189299
"GADL1",0.122588,0.079766,0.060199,0.0875176666666667,10,7,6,"Gadl1",0.13756,0.27117,0.113572,7,6,11,0.174100666666667,0.926255897421629
"GAK",19.20149,20.509907,14.940315,18.2172373333333,860,583,485,"Gak",41.271972,46.531558,50.300591,1087,1156,2109,46.034707,0.408575678664977
"GAL",0.257837,0.192282,0.374681,0.274933333333333,3,2,4,"Gal",1.523763,2.744871,1.57709,12,20,22,1.94857466666667,0.432389706031977
"GAL3ST1",0,0.203382,0,0.067794,0,3,0,"Gal3st1",3.025879,4.104323,3.988059,62,83,172,3.706087,0.226896357844638
"GAL3ST2",0,0.038787,0,0.012929,0,1,0,"Gal3st2b",0.04401,0.061348,0.04447,2,2,3,0.0499426666666667,0.964746963961207
"GAL3ST2",0,0.038787,0,0.012929,0,1,0,"Gal3st2c",0.062237,0.015042,0.042237,9,2,11,0.0398386666666667,0.974121305997469
"GAL3ST2",0,0.038787,0,0.012929,0,1,0,"Gal3st2",0,0.111136,0.020632,0,0,2,0.0439226666666667,0.970310380590133
"GAL3ST3",0.540191,0.73782,0.431732,0.569914333333333,31,42,28,"Gal3st3",9.85393,10.852863,10.543341,291,331,638,10.4167113333333,0.137510206529411
"GAL3ST4",0.18183,0.446421,0.268735,0.298995333333333,8,6,8,"Gal3st4",1.313381,0.945088,0.489602,27,23,26,0.916023666666667,0.677964137882082
"GALC",13.776648,6.580862,5.11622,8.49124333333333,378,301,226,"Galc",8.209037,10.434182,9.099066,343,338,732,9.24742833333333,0.926207339499975
"GALE",22.129375,15.656571,13.161896,16.982614,325,257,229,"Gale",4.967978,6.064007,9.833691,62,68,171,6.95522533333333,2.26047827013155
"GALK1",17.10097,13.683724,13.928251,14.904315,238,162,139,"Galk1",2.048287,3.806737,4.222301,34,64,139,3.35910833333333,3.64852483210442
"GALK2",6.6579,6.554583,5.047221,6.086568,115,109,87,"Galk2",8.89286,10.682769,9.759878,176,214,368,9.77850233333333,0.657472418787186
"GALM",4.320494,2.981458,4.140236,3.81406266666667,186,130,130,"Galm",0.771028,0.497158,0.870835,14,15,36,0.713007,2.81029947143629
"GALNS",11.40709,8.719503,8.450543,9.525712,379,282,274,"Galns",3.87958,2.075887,2.737227,50,51,119,2.89756466666667,2.70058687929403
"GALNT1",15.979671,13.325505,8.480421,12.595199,577,497,415,"Galnt1",17.641072,20.86997,16.458759,575,653,1130,18.323267,0.70356627582696
"GALNT10",2.257016,1.411538,1.565056,1.74453666666667,245,176,159,"Galnt10",1.64208,2.307065,1.642574,104,139,199,1.86390633333333,0.958319283952373
"GALNT11",7.646318,6.404748,6.144082,6.731716,382,314,240,"Galnt11",12.694092,14.426198,14.481894,416,444,867,13.8673946666667,0.520045117073191
"GALNT12",0.581335,0.306394,0.058911,0.315546666666667,6,7,3,"Galnt12",0.279507,0.586894,0.266108,8,16,15,0.377503,0.955022723483482
"GALNT13",0.305182,0.081733,0.0094,0.132105,8,2,1,"Galnt13",8.131292,11.881457,10.310395,595,690,1122,10.1077146666667,0.101920605090564
"GALNT14",0.262826,0.186994,0.380863,0.276894333333333,6,4,4,"Galnt14",8.493047,8.868661,7.426027,209,211,348,8.26257833333333,0.137855172434889
"GALNT15",6.369349,1.342187,2.709946,3.47382733333333,29,8,11,"Galnt15",0.814667,0.559389,0.820335,68,45,141,0.731463666666667,2.58384130112654
"GALNT16",18.387466,6.80197,8.873277,11.3542376666667,498,374,302,"Galnt16",26.157448,26.940001,25.971058,1377,1409,2651,26.356169,0.451607009251429
"GALNT17",2.922999,2.575152,2.402113,2.63342133333333,222,142,162,"Galnt17",4.328151,6.220304,5.0733,491,532,947,5.20725166666667,0.585351058479719
"GALNT18",1.687466,1.229371,1.421463,1.4461,91,63,72,"Galnt18",8.039361,8.570049,9.218778,272,286,599,8.609396,0.254552939643657
"GALNT2",4.956539,4.053856,3.363582,4.124659,414,359,311,"Galnt2",4.836227,4.752151,9.214431,163,19,71,6.267603,0.705137443528492
"GALNT3",0.081734,0,0.030208,0.037314,2,0,1,"Galnt3",0.806316,1.080131,0.660587,8,11,13,0.849011333333333,0.5610100821448
"GALNT4",2.2e-05,0,0.087461,0.029161,0,0,9,"Galnt4",0.773375,0.834585,0.529484,56,59,73,0.712481333333333,0.60097647779713
"GALNT5",1.753081,0.658057,0.647745,1.01962766666667,185,130,103,"Galnt5",0.037731,0.069329,0.017792,2,4,2,0.0416173333333333,1.93893438793261
"GALNT6",0.517608,0.145129,0.196531,0.286422666666667,30,16,22,"Galnt6",2.559654,2.597621,2.608805,136,133,264,2.58869333333333,0.358465476756628
"GALNT7",3.102266,1.482748,1.662551,2.08252166666667,111,94,86,"Galnt7",4.182812,2.708538,3.035275,199,151,294,3.308875,0.715388974306905
"GALNT9",0.179385,0.137906,0.383503,0.233598,4,5,3,"Galnt9",25.132851,16.570273,19.226026,746,499,1127,20.3097166666667,0.0578889911722587
"GALNTL5",0,0,0,0,0,0,0,"Galntl5",0,0,0,0,0,0,0,1
"GALNTL6",0,0.065299,0,0.0217663333333333,0,1,0,"Galntl6",8.122171,8.938161,7.691629,252,295,502,8.25065366666667,0.110453419850222
"GALP",0,0,0,0,0,0,0,"Galp",0,0,0,0,0,0,0,1
"GALR1",0.03634,0.014105,0.008001,0.019482,8,3,2,"Galr1",0.446247,0.100518,0.218851,18,4,17,0.255205333333333,0.812203368585644
"GALR2",0.104702,0.118716,0.038195,0.0872043333333333,3,3,1,"Galr2",0.274952,0.164604,0.308805,6,4,14,0.249453666666667,0.870143777507022
"GALR3",0,0.066141,0,0.022047,0,1,0,"Galr3",0,0.286883,0.064131,0,3,2,0.117004666666667,0.91498901526523
"GALT",24.786121,22.054325,20.690917,22.5104543333333,428,359,298,"Galt",24.32881,29.776679,29.23333,255,307,561,27.7796063333333,0.816913687457319
"GAMT",67.55691,73.631753,62.900416,68.029693,815,736,682,"Gamt",13.96512,8.884262,8.805396,66,75,141,10.5515926666667,5.97577277799904
"GAN",3.909703,0.353409,0.365956,1.54302266666667,168,109,98,"Gan",2.117967,1.867744,1.846821,418,361,694,1.94417733333333,0.863746431940467
"GANAB",98.254825,74.677648,58.123896,77.0187896666667,2124,1813,1423,"Ganab",25.804418,24.484085,24.994101,1254,1176,2298,25.0942013333333,2.98988992496979
"GANC",5.012002,2.149361,1.488575,2.88331266666667,104,87,49,"Ganc",3.129936,3.822582,4.78718,85,108,229,3.91323266666667,0.790378337466616
"GAP43",0.383819,0.286258,0.29089,0.320322333333333,11,8,8,"Gap43",110.015357,126.141835,111.247266,1807,1877,3222,115.801486,0.01130398575009
"GAPDH",2887.344759,2491.962651,2386.372929,2588.560113,64425,51441,48337,"Gapdh",1389.756631,1543.949738,1390.4381,6239,6643,11653,1441.38148966667,1.79533648452355
"GAPDH",2887.344759,2491.962651,2386.372929,2588.560113,64425,51441,48337,"Gm10358",0.232037,0,0,3,0,0,0.0773456666666667,2403.64833044919
"GAPDHS",0,0,0,0,0,0,0,"Gapdhs",0.904181,0.412574,0.844948,15,7,27,0.720567666666667,0.581203529145323
"GAPT",0,0,0,0,0,0,0,"Gapt",0,0,0,0,0,0,0,1
"GAPVD1",6.380107,5.456726,4.927994,5.58827566666667,620,413,356,"Gapvd1",30.345894,28.951641,33.262423,1150,1149,2237,30.8533193333333,0.20683168362213
"GAR1",3.096621,3.854412,3.962829,3.637954,48,61,62,"Gar1",28.253779,21.926743,25.545589,109,85,217,25.242037,0.176737575669145
"GAREM1",2.606404,1.661022,1.085804,1.78441,236,214,128,"Garem1",5.426248,5.411867,5.186045,361,357,672,5.34138666666667,0.439085352520164
"GAREM2",0.138599,0.077011,0.071504,0.0957046666666667,13,8,6,"Garem2",3.216506,2.789909,2.709129,143,134,265,2.90518133333333,0.280577154590517
"GARNL3",9.12988,8.086078,12.387937,9.867965,153,126,116,"Garnl3",30.24453,36.594661,26.082215,890,804,1648,30.973802,0.33990217991592
"GARRE1",3.651069,1.681467,2.182964,2.50516666666667,392,229,212,"Garre1",13.642266,11.69447,14.394122,441,431,902,13.2436193333333,0.246086797508255
"GARS1",19.367393,17.402844,16.016307,17.5955146666667,899,791,700,"Gars",36.871456,37.230569,32.837328,1149,1144,1968,35.646451,0.507430164701806
"GART",19.353453,9.269115,8.512599,12.378389,608,425,329,"Gart",14.286443,12.094283,16.165771,328,327,644,14.1821656666667,0.881191082598515
"GAS1",0.441228,0.213924,0.254236,0.303129333333333,26,11,14,"Gas1",1.912192,1.997619,1.471252,52,62,97,1.79368766666667,0.466454911507049
"GAS2",8.850212,1.412124,1.158814,3.80705,42,37,29,"Gas2",4.077775,7.714737,17.938483,95,101,218,9.91033166666667,0.440596138308658
"GAS2L1",8.351526,7.091921,7.452813,7.63208666666667,417,307,301,"Gas2l1",20.957416,21.536558,25.766705,400,471,1010,22.7535596666667,0.363401813782886
"GAS2L2",0,0.096868,0.053733,0.0502003333333333,0,7,3,"Gas2l2",0.377688,0.708627,0.334139,13,24,22,0.473484666666667,0.712732447843593
"GAS6",43.462012,39.715975,31.326103,38.16803,2198,1904,1500,"Gas6",21.897575,25.235894,22.035604,724,829,1421,23.0563576666667,1.62817790385086
"GAS7",3.435651,2.164793,1.821361,2.473935,476,342,310,"Gas7",74.523081,82.800327,79.109607,5866,6067,11257,78.811005,0.0435270173580699
"GAS8",20.46249,13.716098,7.787449,13.988679,310,219,166,"Gas8",6.065562,5.450585,5.624398,172,138,308,5.713515,2.23261272224759
"GASK1A",0.028124,0.029,0,0.0190413333333333,2,2,0,"Gask1a",1.195653,1.49202,1.093307,49,64,89,1.26032666666667,0.450838079451643
"GASK1B",8.976543,5.255774,3.152924,5.79508033333333,364,347,221,"Gask1b",1.838848,5.250865,2.637203,128,130,217,3.24230533333333,1.60174240169417
"GAST",0,0,0,0,0,0,0,"Gast",0,0.652421,0,0,2,0,0.217473666666667,0.821373001633711
"GATA1",0.139366,0.088225,0.089057,0.105549333333333,3,2,2,"Gata1",0.040615,0,0.081975,1,0,1,0.0408633333333333,1.06214648737106
"GATA2",0.244465,0.220224,0.223683,0.229457333333333,10,15,11,"Gata2",1.653441,1.319285,1.843738,48,34,108,1.605488,0.471872191824846
"GATA3",0.062592,0.018977,0,0.0271896666666667,1,1,0,"Gata3",0.023271,0.094036,0.012009,1,4,1,0.0431053333333333,0.984742033083268
"GATA4",59.529059,56.698993,43.763414,53.3304886666667,3265,3013,2303,"Gata4",0.269222,0.548034,0.140261,1,2,1,0.319172333333333,41.1852851169054
"GATA5",4.053867,3.656293,3.29624,3.6688,228,184,170,"Gata5",0.047346,0.069821,0.036205,2,3,3,0.051124,4.44172143343697
"GATA6",12.330447,13.455881,10.439839,12.075389,796,834,667,"Gata6",0,0.373959,0.013343,0,3,1,0.129100666666667,11.5803571692161
"GATAD1",6.862975,4.740863,4.409329,5.33772233333333,420,336,320,"Gatad1",49.587263,44.602145,42.035175,651,650,1171,45.4081943333333,0.136564725785532
"GATAD2A",7.536596,5.528089,4.086992,5.71722566666667,599,510,421,"Gatad2a",8.663201,6.820002,7.251897,274,266,511,7.57836666666667,0.783042498377702
"GATAD2B",6.590205,8.297915,2.608003,5.832041,513,425,324,"Gatad2b",11.237734,14.330307,14.255843,1106,1100,2147,13.274628,0.478614293836589
"GATB",21.630349,23.381763,14.942082,19.9847313333333,382,334,253,"Gatb",5.829107,9.368104,7.192906,170,173,303,7.46337233333333,2.47947632537495
"GATC",3.465096,2.431632,2.260853,2.71919366666667,251,194,156,"Gatc",9.438813,10.955112,10.534375,212,245,461,10.3094333333333,0.328857649808567
"GATD1",29.957599,30.116402,15.353641,25.1425473333333,630,536,435,"Gatd1",16.939975,20.418486,19.478556,212,232,472,18.9456723333333,1.31068769688168
"GATD3A",22.83847,5.173823,4.314977,10.7757566666667,337,90,57,"Gatd3a",24.72353,30.260143,30.762073,402,471,891,28.5819153333333,0.398072827062606
"GATD3B",194.219449,132.595369,104.113848,143.642888666667,2264,2321,1817,"Gatd3a",24.72353,30.260143,30.762073,402,471,891,28.5819153333333,4.88957145055719
"GATM",2.270581,1.705719,2.719478,2.231926,63,35,44,"Gatm",41.125365,47.368869,40.736142,1128,1138,1964,43.076792,0.0733248917026448
"GBA",15.635916,12.276757,11.636461,13.1830446666667,322,241,175,"Gba",16.58287,17.277915,18.58181,271,252,516,17.480865,0.767444849938932
"GBA2",54.5134,40.79302,33.324542,42.8769873333333,1920,1453,1240,"Gba2",23.146999,22.79845,22.862555,817,797,1642,22.9360013333333,1.83309595960918
"GBE1",52.874702,39.811697,32.243257,41.6432186666667,2696,1935,1618,"Gbe1",5.338237,4.012149,4.209452,144,146,251,4.519946,7.72529634649807
"GBF1",11.284299,7.554378,5.532217,8.12363133333333,1470,950,753,"Gbf1",50.268733,61.871135,52.034993,953,976,1828,54.7249536666667,0.163726135833306
"GBGT1",1.164651,1.150464,0.909995,1.07503666666667,44,40,22,"Gbgt1",0.87355,0.376439,0.803889,11,6,16,0.684626,1.23174916371151
"GBP2",1.363794,1.801648,1.240263,1.46856833333333,51,54,32,"Gbp2b",0,0,0,0,0,0,0,2.46856833333333
"GBP2",1.363794,1.801648,1.240263,1.46856833333333,51,54,32,"Gbp2",1.189382,1.244623,1.727988,40,39,111,1.387331,1.03402851692259
"GBP5",0.098986,0.025622,0.012354,0.045654,4,1,1,"Gbp5",0.965292,0.888806,1.051948,42,40,88,0.968682,0.531144186821437
"GBP6",0.055021,0.021542,0.032573,0.0363786666666667,5,2,3,"Gbp8",0.060403,0.04555,0.032882,2,1,1,0.0462783333333333,0.990538209240052
"GBP6",0.055021,0.021542,0.032573,0.0363786666666667,5,2,3,"Gbp9",1.544012,1.514139,1.270567,61,66,117,1.442906,0.424240092196207
"GBP6",0.055021,0.021542,0.032573,0.0363786666666667,5,2,3,"Gbp4",0.659238,0.934465,0.602073,40,31,71,0.731925333333333,0.598396851596374
"GBP6",0.055021,0.021542,0.032573,0.0363786666666667,5,2,3,"Gbp10",0.536734,0.256345,0.088523,4,2,1,0.293867333333333,0.800992992068738
"GBP6",0.055021,0.021542,0.032573,0.0363786666666667,5,2,3,"Gbp6",0.830394,0.501074,0.486662,35,23,47,0.606043333333333,0.645299317370017
"GBP6",0.055021,0.021542,0.032573,0.0363786666666667,5,2,3,"Gbp11",0.201866,0.119735,0.185984,7,4,13,0.169195,0.886403608180557
"GBX1",0.049491,0.11331,0.251752,0.138184333333333,1,2,3,"Gbx1",1.014573,0.506735,0.447228,38,20,36,0.656178666666667,0.687235233879758
"GBX2",0.063184,0,0,0.0210613333333333,1,0,0,"Gbx2",0.34919,0.212781,0.152129,5,3,8,0.238033333333333,0.824744621846477
"GC",1.088203,0.1801,0.18287,0.483724333333333,5,4,5,"Gc",0,0,0,0,0,0,0,1.48372433333333
"GCA",8.89472,6.710738,5.960593,7.18868366666667,114,116,89,"Gca",6.619132,10.977504,7.844913,131,128,220,8.48051633333333,0.86373815293956
"GCAT",14.072344,12.200094,11.027163,12.4332003333333,383,318,309,"Gcat",4.963562,4.089262,3.956894,63,55,99,4.33657266666667,2.51719618046989
"GCAT",14.072344,12.200094,11.027163,12.4332003333333,383,318,309,"Gcat",4.963562,4.089262,3.956894,63,55,99,4.33657266666667,2.51719618046989
"GCC1",1.658395,1.30058,0.988105,1.31569333333333,145,113,85,"Gcc1",8.436883,5.148514,5.92467,250,227,469,6.50335566666667,0.308621027205294
"GCC2",4.244382,2.388789,0.906514,2.51322833333333,206,112,99,"Gcc2",70.382805,73.783492,60.80637,1135,1216,2072,68.3242223333333,0.0506782220569398
"GCDH",9.224402,5.412064,3.805667,6.14737766666667,172,154,90,"Gcdh",14.311889,11.496541,13.702489,230,193,418,13.1703063333333,0.504391189472992
"GCFC2",5.507226,6.773248,5.729713,6.00339566666667,119,134,103,"Gcfc2",2.931968,2.256637,3.369024,40,41,90,2.852543,1.81786307554949
"GCG",0,0,0,0,0,0,0,"Gcg",0,0,0.041455,0,0,1,0.0138183333333333,0.986370010406204
"GCGR",0,0,0.02424,0.00808,0,0,1,"Gcgr",0,0,0.061826,0,0,3,0.0206086666666667,0.987724318756193
"GCH1",0.426747,0.120735,0.892704,0.480062,9,5,12,"Gch1",0.196096,0.385224,0.390197,7,14,29,0.323839,1.11800755227788
"GCHFR",7.852375,5.794378,7.181136,6.94262966666667,59,43,47,"Gchfr",0.169334,0,0.178402,1,0,2,0.115912,7.11761291810346
"GCK",4.392176,4.735309,4.074473,4.40065266666667,112,116,96,"Gck",0.542123,1.084662,0.781172,20,11,22,0.802652333333333,2.99594800772269
"GCKR",0.401947,0.224684,0.085998,0.237543,4,2,1,"Gckr",0,0,0.285084,0,0,3,0.095028,1.13014735696256
"GCLC",18.35589,11.643512,7.07599,12.358464,342,272,219,"Gclc",14.624617,13.643083,13.275605,631,591,1139,13.8477683333333,0.899695072020363
"GCLM",2.588325,2.007896,0.648502,1.748241,78,57,41,"Gclm",44.401103,47.728382,54.232481,716,670,1164,48.787322,0.0551996148738428
"GCM1",0,0.018023,0,0.00600766666666667,0,1,0,"Gcm1",0.089614,0.126618,0.066701,2,3,3,0.094311,0.919306912446888
"GCM2",0,0,0,0,0,0,0,"Gcm2",0,0,0,0,0,0,0,1
"GCN1",30.876978,11.663343,11.547448,18.0292563333333,993,660,496,"Gcn1",61.569344,40.844907,27.960128,765,790,1451,43.4581263333333,0.428026502751327
"GCNT1",0.225244,0.19464,0.215772,0.211885333333333,15,19,7,"Gcnt1",1.172569,0.779811,0.770301,62,42,79,0.907560333333333,0.635306423684983
"GCNT2",23.306549,16.021136,13.197355,17.5083466666667,1110,921,717,"Gcnt2",11.085594,18.633305,12.941531,453,556,944,14.2201433333333,1.21604286249604
"GCNT3",0.11395,0.049587,0.108827,0.090788,12,5,1,"Gcnt3",0,0,0.008679,0,0,1,0.002893,1.08764145327567
"GCNT4",0.02345,0.010838,0.022043,0.018777,2,1,2,"Gcnt4",2.79592,2.313506,2.537891,199,162,347,2.54910566666667,0.287051752098674
"GCNT7",0.024608,0.082317,0,0.0356416666666667,1,2,0,"Gcnt7",0.04324,0,0.088926,1,0,5,0.0440553333333333,0.991941359429864
"GCOM1",9.260057,5.599817,5.641232,6.833702,451,172,177,"Myzap",0.131594,0.238399,0.279087,4,7,16,0.21636,6.44028248215989
"GCSAM",1.119196,1.16779,1.078402,1.121796,25,20,25,"Gcsam",0,0,0.011508,0,0,1,0.003836,2.11368789324153
"GDA",0.169989,0.164432,0.203655,0.179358666666667,4,4,2,"Gda",44.204594,53.508204,46.918474,3277,3729,6448,48.210424,0.0239656270115996
"GDAP1",2.156947,1.513405,1.301249,1.65720033333333,107,83,79,"Gdap1",23.583607,25.799203,24.086951,1286,1370,2398,24.4899203333333,0.10424514076878
"GDAP1L1",0.071847,0,0.31407,0.128639,4,0,3,"Gdap1l1",20.946716,25.21654,22.525185,452,504,977,22.896147,0.0472310033914672
"GDAP2",2.537756,1.840165,1.691465,2.02312866666667,108,115,77,"Gdap2",11.377559,11.774024,13.887918,307,326,648,12.3465003333333,0.226510964759526
"GDE1",30.678805,25.947266,24.8045,27.1435236666667,1115,971,907,"Gde1",105.959868,120.897966,104.735711,1481,1694,2901,110.531181666667,0.252337716198321
"GDF1",0,0,0,0,0,0,0,"Gdf1",20.264913,19.862423,20.459483,617,665,1359,20.1956063333333,0.0471795892164381
"GDF10",0.017868,0.020079,0,0.012649,1,1,0,"Gdf10",0.712213,0.877261,0.69729,51,63,98,0.762254666666667,0.574632610799347
"GDF15",6.217427,10.01877,4.797797,7.01133133333333,74,63,49,"Gdf15",0,0,0.031639,0,0,1,0.0105463333333333,7.92772292479415
"GDF2",1.360178,1.693203,1.243876,1.432419,99,117,85,"Gdf2",0.024258,0,0,1,0,0,0.008086,2.41290822409993
"GDF3",0,0.045642,0.091676,0.0457726666666667,0,1,2,"Gdf3",0.035972,0,0,1,0,0,0.0119906666666667,1.0333817307933
"GDF5",0.058413,0,0.020856,0.026423,3,0,1,"Gdf5",0.098148,0.065999,0.067736,3,2,4,0.0772943333333333,0.952778612344568
"GDF6",0.137918,0.205093,0.055902,0.132971,10,14,4,"Gdf6",0,0,0.011013,0,0,1,0.003671,1.12882707580472
"GDF7",0.054142,0.010546,0.025904,0.0301973333333333,11,2,5,"Gdf7",0.112967,0,0.154058,1,0,4,0.0890083333333333,0.945995821886885
"GDF9",0.157821,0.120384,0.15337,0.143858333333333,6,5,4,"Gdf9",0.741961,0.564117,0.317431,12,8,14,0.541169666666667,0.742201431856194
"GDI1",38.114787,24.45453,19.98254,27.5172856666667,1136,881,784,"Gdi1",393.887688,401.911046,376.894866,4149,4817,8278,390.897866666667,0.0727671367778135
"GDI2",60.838983,54.962749,47.638029,54.4799203333333,2122,1861,1607,"Gdi2",156.933931,175.302476,153.359472,2487,2572,4538,161.865293,0.340649129789324
"GDNF",0.058433,0.06801,0.027294,0.0512456666666667,4,5,2,"Gdnf",0.178638,0.422672,0.144122,9,21,14,0.248477333333333,0.842022228677493
"GDPD1",1.76077,1.677716,0.600326,1.34627066666667,44,38,24,"Gdpd1",15.383233,14.060164,12.647093,480,429,752,14.0301633333333,0.156104136371106
"GDPD2",0.5052,0.485057,0.226538,0.405598333333333,20,17,8,"Gdpd2",3.908834,2.929177,1.326887,57,51,50,2.72163266666667,0.377683253353501
"GDPD3",5.441017,0.189759,5.69099,3.773922,6,2,3,"Gdpd3",0.362573,0.793857,1.558318,2,4,17,0.904916,2.50610630599984
"GDPD4",0,0,0,0,0,0,0,"Gdpd4",0,0.024605,0.021588,0,1,1,0.0153976666666667,0.984835826226375
"GDPD5",4.848852,2.347096,2.873048,3.356332,101,88,68,"Gdpd5",16.462255,17.65299,15.739449,325,334,560,16.6182313333333,0.247262731291189
"GDPGP1",1.915518,2.419212,2.483902,2.27287733333333,105,111,101,"Gdpgp1",1.117662,1.561763,1.153222,65,90,129,1.277549,1.43701730822623
"GEM",4.814847,4.675669,3.463357,4.31795766666667,148,101,78,"Gem",0.545621,0.408013,0.854669,14,10,41,0.602767666666667,3.31798412038509
"GEMIN2",5.980123,8.762083,6.146536,6.962914,81,94,76,"Gemin2",4.140316,2.765063,2.194624,70,57,83,3.03333433333333,1.97427570885726
"GEMIN4",2.604381,1.955391,1.563159,2.040977,191,151,117,"Gemin4",0.702283,5.839912,7.726926,35,62,70,4.75637366666667,0.528279985993497
"GEMIN5",5.261714,3.33187,2.389306,3.66096333333333,250,197,136,"Gemin5",4.492392,4.26367,5.089775,309,273,578,4.615279,0.830050177975722
"GEMIN6",5.629435,5.13348,3.60154,4.78815166666667,101,94,87,"Gemin6",3.095327,2.320868,2.206857,35,28,51,2.54101733333333,1.63460133679097
"GEMIN7",18.826548,15.159521,13.865124,15.9503976666667,220,193,164,"Gemin7",13.919985,15.994695,15.175889,106,119,228,15.0301896666667,1.05740468572955
"GEMIN8",6.440304,6.750164,4.700669,5.96371233333333,133,115,91,"Gemin8",4.369577,5.207492,5.988512,82,100,183,5.188527,1.12526168720494
"GEN1",2.643532,0.686071,0.513272,1.28095833333333,102,117,54,"Gen1",0.774266,0.515069,0.435393,25,18,47,0.574909333333333,1.44831088689127
"GET3",21.749261,20.931698,17.953383,20.2114473333333,533,488,404,"Get3",39.880434,46.24283,37.755478,538,630,1053,41.292914,0.501536671919398
"GET4",22.546597,20.531174,24.627769,22.5685133333333,593,486,477,"Get4",16.325658,20.612585,19.465154,269,320,585,18.8011323333333,1.19026088693211
"GFAP",2.886277,1.408918,1.033385,1.77619333333333,41,33,22,"Gfap",49.865644,39.04728,39.981129,1244,961,1984,42.9646843333333,0.0631459858163582
"GFER",14.545797,12.698385,7.007506,11.4172293333333,237,179,120,"Gfer",7.477147,9.000689,7.050265,103,149,241,7.84270033333333,1.40423500347801
"GFI1",0.017546,0.018814,0.074616,0.036992,1,1,4,"Gfi1",0,0,0,0,0,0,0,1.036992
"GFI1B",0.201939,0.073166,0.017993,0.0976993333333333,4,4,1,"Gfi1b",0,0,0.024577,0,0,1,0.00819233333333333,1.08877968720915
"GFM1",33.531997,30.017597,28.637912,30.7291686666667,769,722,604,"Gfm1",16.878498,12.469379,15.439046,503,471,856,14.9289743333333,1.99191536144732
"GFM2",21.820256,20.872772,16.961557,19.8848616666667,787,723,538,"Gfm2",10.208085,9.261709,8.9246,319,270,636,9.464798,1.99572525591671
"GFOD1",6.122928,5.967909,4.477689,5.522842,1004,807,673,"Gfod1",18.271994,14.711524,15.054605,1708,1371,2763,16.0127076666667,0.383409985512202
"GFOD2",2.153292,1.865481,1.625713,1.88149533333333,178,141,120,"Gfod2",7.348108,8.08213,6.276836,161,164,323,7.23569133333333,0.349878986075
"GFPT1",7.990405,3.999431,2.796132,4.928656,499,376,280,"Gfpt1",10.833336,10.731763,11.827366,902,922,1703,11.1308216666667,0.488726663610173
"GFPT2",1.873292,1.80018,1.313063,1.66217833333333,108,112,81,"Gfpt2",2.027175,2.26143,1.981322,81,89,152,2.08997566666667,0.861553170807062
"GFRA1",0.010262,0.005171,0.005254,0.00689566666666667,2,1,1,"Gfra1",13.22337,13.224943,12.283576,713,693,1215,12.9106296666667,0.072383183996296
"GFRA2",0,0,0.035476,0.0118253333333333,0,0,1,"Gfra2",23.77423,21.556583,18.336009,737,643,1141,21.222274,0.045532033910361
"GFRA3",0.104097,0.027982,0,0.0440263333333333,4,1,0,"Gfra3",0.078018,0,0,2,0,0,0.026006,1.01756357500184
"GFRA4",0,0.041884,0,0.0139613333333333,0,1,0,"Gfra4",18.76489,24.653115,20.078025,269,340,554,21.1653433333333,0.0457453475042044
"GFRAL",0.053928,0,0.085736,0.0465546666666667,2,0,3,"Gfral",0,0,0,0,0,0,0,1.04655466666667
"GFUS",18.362311,18.675191,14.784137,17.2738796666667,243,216,169,"Gfus",19.074765,24.361267,20.844909,162,185,318,21.4269803333333,0.814816769581151
