"Hs_symbol","Cardiomyocytes-S20_rep_1","Cardiomyocytes-S25_rep_2","Cardiomyocytes-S29_rep_3","Hs_Avg_TPM","Cardiomyocytes-S20_rep_1_read","Cardiomyocytes-S25_rep_2_read","Cardiomyocytes-S29_rep_3_read","Mm_genes","Brain_1_FB-S4","Brain_1_FB-S10","Brain_1_FB-S16","Brain_1_FB-S4_read","Brain_1_FB-S10_read","Brain_1_FB-S16_read","Mm_Avg_TPM","FoldChange"
"ABCA8",3.234198,1.719767,1.436738,2.13023433333333,96,64,65,"Abca8b",2.974527,2.640509,3.550569,320,277,701,3.05520166666667,0.77190595946523
"ABCA9",0.287344,0.110486,0.190728,0.196186,11,7,5,"Abca9",1.698239,1.660878,1.876446,155,148,323,1.74518766666667,0.435739244542237
"ABCB1",0.03239,0.180298,0.191402,0.134696666666667,3,5,3,"Abcb1b",2.074675,1.93475,1.983411,34,29,83,1.997612,0.378533534916015
"ABCB1",0.03239,0.180298,0.191402,0.134696666666667,3,5,3,"Abcb1a",6.998046,68.504253,8.673734,480,533,1140,28.0586776666667,0.0390484618633656
"ABCB10",4.005154,2.663769,2.895076,3.18799966666667,137,128,111,"Abcb10",5.054004,5.39951,5.054574,279,300,557,5.16936266666667,0.678838300314976
"ABCB11",0.266721,0.007328,0.0069,0.0936496666666667,3,1,1,"Abcb11",0,0,0.007618,0,0,1,0.00253933333333333,1.09087955983772
"ABCB4",11.373936,10.12465,10.942716,10.8137673333333,248,158,162,"Abcb4",0.897442,1.328882,1.276568,43,52,115,1.16763066666667,5.45008313224332
"ABCB5",0.238192,0,0.073851,0.104014333333333,1,0,5,"Abcb5",0,0,0.009704,0,0,1,0.00323466666666667,1.10045472910293
"ABCB6",8.326215,7.061364,8.704006,8.03052833333333,123,101,86,"Abcb6",5.173687,6.132512,9.585194,137,184,314,6.96379766666667,1.13394748476993
"ABCB7",13.831658,11.114692,9.446497,11.4642823333333,350,248,280,"Abcb7",8.209769,8.052259,6.710854,661,619,1003,7.65762733333333,1.43968801767936
"ABCB8",11.02178,6.985446,5.674411,7.893879,471,342,268,"Abcb8",22.042302,24.258646,16.042844,379,360,657,20.781264,0.408327037402421
"ABCB9",4.324097,2.790693,3.029996,3.38159533333333,187,127,124,"Abcb9",15.792623,16.120037,13.85818,451,546,923,15.2569466666667,0.269521418946239
"ABCC1",4.111846,2.414281,2.166516,2.89754766666667,483,341,276,"Abcc1",5.026846,16.533466,9.187015,253,247,546,10.249109,0.346476122390375
"ABCC10",14.897475,9.350053,15.513101,13.253543,250,167,160,"Abcc10",1.786212,1.580769,1.672029,107,92,172,1.67967,5.31914116290439
"ABCC12",0.174113,0,0.046512,0.0735416666666667,1,0,1,"Abcc12",0.617592,0.291296,0.461868,23,11,36,0.456918666666667,0.736857651170644
"ABCC2",0.206724,0.320286,0.182112,0.236374,3,4,1,"Abcc2",0.040083,0.193498,0.02102,1,2,3,0.084867,1.13965490700703
"ABCC3",0.348225,0.325404,0.504307,0.392645333333333,2,3,3,"Abcc3",0.865018,0.524918,1.109957,24,29,63,0.833297666666667,0.75963950571402
"ABCC4",0.874694,0.850797,0.835235,0.853575333333333,82,50,37,"Abcc4",2.296067,3.830219,3.108326,181,142,318,3.078204,0.454507752268728
"ABCC5",26.815209,20.139758,16.661965,21.205644,1688,1220,1081,"Abcc5",110.830973,104.684173,122.928453,2160,1694,4156,112.814533,0.195103765878475
"ABCC6",2.370812,3.482122,1.641663,2.498199,98,80,51,"Abcc6",0.333086,0.501555,0.344182,20,11,39,0.392941,2.51137628944801
"ABCC8",0.18336,0.761856,0.182109,0.375775,9,6,1,"Abcc8",10.666096,8.249144,8.684561,287,311,529,9.19993366666667,0.134880779126635
"ABCC9",5.937915,4.245439,2.802442,4.32859866666667,581,434,370,"Abcc9",1.505095,1.407,1.404328,159,145,281,1.43880766666667,2.18491959800575
"ABCD1",9.855316,6.357848,6.647314,7.62015933333333,690,437,443,"Abcd1",2.529592,3.068988,2.866758,117,140,256,2.82177933333333,2.25553559781665
"ABCD2",0.210704,0.12733,0.165506,0.167846666666667,19,13,17,"Abcd2",21.283453,23.156367,20.092816,622,705,1081,21.5108786666667,0.0518792128890097
"ABCD3",10.323186,7.852999,5.423063,7.866416,539,489,336,"Abcd3",19.626549,21.477619,17.245859,868,925,1507,19.450009,0.433565383760956
"ABCD4",36.841234,32.142947,25.91358,31.632587,577,476,396,"Abcd4",4.217752,3.505705,4.803078,126,112,295,4.17551166666667,6.30519050129343
"ABCE1",25.279482,10.850918,4.462396,13.530932,450,444,265,"Abce1",21.503427,20.802145,20.297685,1111,1057,1987,20.8677523333333,0.664491337678555
"ABCF1",30.647549,12.146954,19.277681,20.690728,895,681,599,"Abcf1",40.428047,39.029551,41.36944,829,790,1519,40.2756793333333,0.525508685752461
"ABCF2",6.164294,6.22041,10.611419,7.66537433333333,480,500,342,"Abcf2",27.333851,29.129407,25.695858,950,991,1703,27.386372,0.305265298902351
"ABCF3",42.225453,35.384299,25.704264,34.4380053333333,787,609,496,"Abcf3",159.209364,199.439207,142.427393,559,611,1090,167.025321333333,0.210908719305648
"ABCG1",4.885127,3.443918,3.219942,3.84966233333333,306,199,192,"Abcg1",17.234133,21.900282,17.293856,760,872,1413,18.8094236666667,0.244815922711263
"ABCG2",0.576877,0.198017,0.199392,0.324762,10,14,4,"Abcg3",0.122027,0.099732,0.177677,5,4,13,0.133145333333333,1.1691015803798
"ABCG4",0.753032,0.371896,0.214828,0.446585333333333,40,26,15,"Abcg4",18.175001,19.529967,18.642398,523,573,967,18.7824553333333,0.0731246606631202
"ABCG5",0,0.01593,0,0.00531,0,1,0,"Abcg5",0,0.05032,0,0,1,0,0.0167733333333333,0.988725773033649
"ABCG8",0.035989,0.06211,0.039485,0.0458613333333333,4,5,3,"Abcg8",0,0.033475,0.016197,0,1,1,0.0165573333333333,1.02882670660976
"ABHD1",0.548215,0.837679,0.573511,0.653135,17,19,15,"Abhd1",0.649996,1.096359,0.605726,11,18,18,0.784027,0.926631155245969
"ABHD10",4.682414,3.63352,2.996599,3.77084433333333,164,141,99,"Abhd10",5.481654,8.077647,7.063356,175,170,331,6.874219,0.605881590711832
"ABHD11",16.413349,19.071503,13.597818,16.36089,302,309,281,"Abhd11",12.200609,15.392922,14.376886,125,184,313,13.990139,1.15815403713068
"ABHD12",31.484105,29.04836,22.06709,27.533185,638,567,468,"Abhd12",214.078965,269.055709,213.160251,2243,2720,4516,232.098308333333,0.12240837440655
"ABHD12B",0.21345,0.366161,0.189974,0.256528333333333,7,7,3,"Abhd12b",0.300642,0.156484,0.280401,3,4,14,0.245842333333333,1.00857732934103
"ABHD13",1.172633,1.326137,0.716184,1.07165133333333,82,109,59,"Abhd13",7.469602,7.002554,6.878687,529,486,936,7.11694766666667,0.25522541457805
"ABHD14A",8.546513,7.684425,5.406513,7.21248366666667,139,127,86,"Abhd14a",16.426992,14.990829,17.540366,191,184,392,16.3193956666667,0.474178419658869
"ABHD14B",8.124944,8.387924,5.480449,7.33110566666667,292,279,180,"Abhd14b",6.531111,6.481165,6.057604,96,91,201,6.35662666666667,1.13246275013729
"ABHD15",1.644095,1.578787,1.43262,1.551834,123,111,101,"Abhd15",0.408193,0.235118,0.41716,13,8,24,0.353490333333333,1.88537290378382
"ABHD16A",19.452254,20.109003,15.952975,18.504744,486,433,358,"Abhd16a",33.736441,46.633195,43.466626,458,581,1041,41.278754,0.461336774494348
"ABHD16B",0,0,0,0,0,0,0,"Abhd16b",0,0,0,0,0,0,0,1
"ABHD17A",21.413135,20.573032,17.57639,19.8541856666667,715,597,525,"Abhd17a",48.969577,55.61253,52.87584,576,687,1464,52.4859823333333,0.389900021592573
"ABHD17B",2.046774,1.634046,1.489593,1.723471,103,84,78,"Abhd17b",12.382332,13.22256,11.078788,355,356,570,12.2278933333333,0.205888491188317
"ABHD17C",1.848624,2.204347,1.707873,1.92028133333333,50,65,54,"Abhd17c",11.241835,11.476737,10.167859,301,306,539,10.9621436666667,0.244126923627485
"ABHD18",8.712244,6.827573,4.421348,6.65372166666667,367,326,288,"Abhd18",6.383002,4.183919,5.919171,205,165,458,5.495364,1.17833606656481
"ABHD2",3.332886,2.82704,2.375777,2.84523433333333,614,430,406,"Abhd2",20.235638,20.449381,19.240001,1984,1970,3592,19.9750066666667,0.183324582177328
"ABHD3",2.331696,3.741765,1.156728,2.410063,72,76,34,"Abhd3",28.798305,30.230459,28.405586,531,495,845,29.1447833333333,0.113122823351967
"ABHD4",15.0237,23.747182,16.357654,18.3761786666667,409,343,303,"Abhd4",21.836205,28.873125,24.957358,613,589,1078,25.2222293333333,0.738921867411019
"ABHD5",7.210165,4.691474,4.783658,5.56176566666667,177,215,128,"Abhd5",13.155176,16.798542,15.037815,217,236,397,14.9971776666667,0.410182708687384
"ABHD6",2.357982,2.891814,1.502824,2.25087333333333,64,48,45,"Abhd6",16.282993,17.496713,15.971516,434,469,835,16.5837406666667,0.18487950857328
"ABHD8",4.748047,3.701303,3.322699,3.92401633333333,184,148,137,"Abhd8",58.365576,67.703025,68.150222,1280,1640,3330,64.7396076666667,0.0749018211106553
"ABI1",10.258949,6.855637,7.216852,8.11047933333333,359,321,284,"Abi1",76.496327,89.115229,77.664616,1275,1244,2260,81.0920573333333,0.110978816091067
"ABI2",21.727203,10.892244,9.493522,14.0376563333333,933,760,670,"Abi2",68.821904,71.851773,63.329113,2703,2838,4925,68.00093,0.217934110936379
"ABI3",0.029558,0.160231,0.222847,0.137545333333333,1,5,7,"Abi3",4.448462,2.988214,2.315282,32,27,58,3.25065266666667,0.267616627971955
"ABI3BP",0.659504,0.308934,0,0.322812666666667,5,4,0,"Abi3bp",3.447802,4.118467,6.149729,217,253,738,4.57199933333333,0.237403593850633
"ABITRAM",13.449005,10.517363,5.073883,9.68008366666667,184,198,136,"Abitram",4.436395,6.445182,6.370124,259,305,540,5.750567,1.58210172073941
"ABL1",7.760499,5.097737,3.86969,5.57597533333333,787,524,458,"Abl1",15.867305,14.205666,13.831194,620,593,1131,14.6347216666667,0.420600729167655
"ABL2",1.446018,0.98648,1.194757,1.209085,315,194,136,"Abl2",9.492708,8.919461,10.486961,1187,1052,2148,9.63304333333333,0.20775660652814
"ABLIM1",59.262507,38.678189,34.133185,44.024627,7498,5439,4652,"Ablim1",18.968634,18.284863,19.809479,1355,1418,2732,19.020992,2.24887093506655
"ABLIM2",6.864886,5.835002,6.004859,6.23491566666667,163,143,105,"Ablim2",109.201573,115.610371,124.014649,1362,1436,2893,116.275531,0.0616916044205902
"ABLIM3",1.439051,0.939932,0.795889,1.05829066666667,79,55,65,"Ablim3",4.605573,5.509846,4.850015,275,323,550,4.988478,0.343708479294182
"ABO",0.108377,0.428422,0.100191,0.21233,15,12,11,"Abo",0,0,0.022897,0,0,1,0.00763233333333333,1.20314717967566
"ABR",137.5781,52.298863,84.704982,91.527315,1454,973,842,"Abr",96.445357,104.64287,101.505422,5290,5229,9515,100.864549666667,0.908336759969773
"ABRA",1.22541,0.904378,0.700678,0.943488666666667,55,43,33,"Abra",0.100114,0.078888,0.108371,4,3,8,0.095791,1.77359429550586
"ABRACL",1.304502,3.067132,2.188819,2.18681766666667,11,29,19,"Abracl",42.881988,44.811658,33.402148,62,65,139,40.3652646666667,0.0770409108305476
"ABRAXAS1",1.870927,1.13124,1.242214,1.41479366666667,62,58,36,"Abraxas1",2.345558,2.82686,3.406936,32,54,91,2.85978466666667,0.625629115406611
"ABRAXAS2",2.908321,2.115077,1.946772,2.32339,158,120,108,"Abraxas2",10.187231,12.253166,12.786353,307,322,580,11.74225,0.260816574780749
"ABT1",3.32542,2.791458,2.174212,2.76369666666667,199,168,128,"Abt1",1.892098,1.920518,1.687743,119,118,202,1.833453,1.32830742795687
"ABTB1",4.435767,2.908722,2.928956,3.42448166666667,118,103,97,"Abtb1",24.692361,19.56887,20.702411,227,242,499,21.6545473333333,0.195302144049314
"ABTB2",6.950399,6.045716,4.152189,5.71610133333333,790,633,438,"Abtb2",2.212097,2.390987,1.905456,108,133,227,2.16951333333333,2.11896926342004
"ACAA1",73.219918,69.137641,52.278734,64.8787643333333,1732,1479,1295,"Acaa1a",33.047095,25.191209,29.881533,519,407,971,29.373279,2.16897109901546
"ACAA1",73.219918,69.137641,52.278734,64.8787643333333,1732,1479,1295,"Acaa1b",0.234331,0.74511,0.407108,5,7,11,0.462183,45.0550747295881
"ACAA2",33.764452,29.686524,22.134757,28.5285776666667,1017,904,664,"Acaa2",13.854658,15.004313,13.890623,169,170,337,14.2498646666667,1.93631735835732
"ACACA",7.1497,4.870629,6.747958,6.25609566666667,693,417,430,"Acaca",11.431742,15.537958,14.799623,1122,1249,2211,13.9231076666667,0.486232213071437
"ACACB",26.02878,14.841445,7.767875,16.2127,1315,753,655,"Acacb",0.795556,0.745748,1.683203,62,49,116,1.07483566666667,8.29593411976241
"ACAD10",20.02537,13.653281,10.050915,14.576522,659,558,399,"Acad12",2.971927,1.955368,1.43504,47,42,86,2.12077833333333,4.99122985879057
"ACAD10",20.02537,13.653281,10.050915,14.576522,659,558,399,"Acad10",0.694572,0.890984,2.146887,24,33,75,1.24414766666667,6.94095234077734
"ACAD11",6.08628,6.516346,6.250521,6.28438233333333,364,279,315,"Acad11",7.734487,8.54042,7.545363,260,304,488,7.94009,0.814799664582049
"ACAD8",17.886304,13.41606,11.385466,14.2292766666667,633,534,433,"Acad8",11.891332,9.201428,11.699023,187,185,352,10.9305943333333,1.2764893551126
"ACAD9",9.950716,8.300763,6.289277,8.180252,369,346,279,"Acad9",23.593852,25.33424,24.45329,422,420,775,24.4604606666667,0.360568966924427
"ACADL",0.430319,0.363646,0.199827,0.331264,20,21,12,"Acadl",15.043563,14.532741,17.541756,319,331,586,15.70602,0.0796876814465683
"ACADM",55.824798,42.128201,34.763102,44.2387003333333,1043,919,796,"Acadm",37.483174,40.525589,45.059684,337,313,591,41.0228156666667,1.07652711070519
"ACADS",15.466497,14.289382,12.849752,14.201877,587,501,461,"Acads",3.093127,3.878782,3.943631,55,47,120,3.63851333333333,3.27731665461779
"ACADSB",6.230585,3.533107,3.515221,4.42630433333333,558,395,389,"Acadsb",104.177341,128.461972,119.388577,629,684,1245,117.34263,0.0458524906310882
"ACADVL",539.418883,513.721339,438.661315,497.267179,4271,3691,3049,"Acadvl",18.306587,19.747246,15.996872,385,370,673,18.0169016666667,26.2012807203697
