"Hs_symbol","Mm_genes","Brain_1_FB-S4","Brain_1_FB-S10","Brain_1_FB-S16","Brain_1_FB-S4_read","Brain_1_FB-S10_read","Brain_1_FB-S16_read","Mm_Avg_TPM","Cortical_neurons-S17_rep_1","Cortical_neurons-S21_rep_2","Cortical_neurons-S8_rep_3","Cortical_neurons-S17_rep_1_read","Cortical_neurons-S21_rep_2_read","Cortical_neurons-S8_rep_3_read","Hs_Avg_TPM","FoldChange"
"DUSP13","Dusp13",0.599138,0.386546,0.274002,4,3,6,0.419895333333333,0.385983,0.14621,0.189468,4,1,1,0.0261046666666667,1.38377241567949
"DUSP14","Dusp14",39.151795,35.392286,34.704306,652,555,1079,36.416129,4.671857,5.119208,5.053636,83,98,64,10.0637163333333,3.3818771082616
"DUSP15","Dusp15",6.088715,3.619681,6.057584,147,101,287,5.25532666666667,11.590088,16.287544,13.887576,110,168,92,24.2651433333333,0.247587222606957
"DUSP18","Dusp18",5.138114,4.873329,5.083085,317,312,634,5.03150933333333,9.766593,11.000021,10.99522,183,206,192,39.550028,0.148742420925907
"DUSP19","Dusp19",8.0919,9.816926,10.74969,164,166,292,9.55283866666667,0.437433,0.676685,0.546279,28,41,26,38.664993,0.266049175066454
"DUSP2","Dusp2",0.237902,0.34355,0.283478,4,6,10,0.28831,1.198651,2.383577,2.636245,21,48,32,59.0832203333333,0.0214420930311764
"DUSP21","Dusp21",0,0,0,0,0,0,0,0,0,0,0,0,0,7.14476933333333,0.1227781854923
"DUSP22","Dusp22",6.221405,12.598333,7.87397,233,286,480,8.89790266666667,30.449182,28.876611,23.38146,734,761,525,0,9.89790266666667
"DUSP23","Dusp23",1.480585,1.896509,1.679523,25,32,55,1.685539,2.104468,4.108974,5.059844,12,27,20,0,2.685539
"DUSP26","Dusp26",34.743194,50.0883,42.786203,557,644,1135,42.5392323333333,15.058331,21.840276,16.491973,302,491,235,13.8593746666667,2.93008510183156
"DUSP28","Dusp28",8.061875,10.277203,9.555886,112,151,283,9.29832133333333,6.173192,6.146236,15.489817,86,81,105,0.250649,8.23438177564875
"DUSP3","Dusp3",65.727515,61.416049,65.923794,2489,2287,4208,64.355786,32.547128,36.767939,38.632284,1453,1588,1162,17.4675783333333,3.53894727399288
"DUSP4","Dusp4",3.317174,2.31899,2.541538,115,83,180,2.72590066666667,31.423452,40.774477,42.458217,2319,3320,2217,17.7995463333333,0.198190988261259
"DUSP6","Dusp6",27.695725,23.043691,21.353734,708,584,1080,24.03105,62.255583,54.106942,95.089503,1268,1230,1367,9.116433,2.47429602904502
"DUSP7","Dusp7",23.485671,53.14207,62.748859,645,627,1222,46.4588666666667,6.350707,6.922315,7.870697,257,313,224,0.287730333333333,36.8546623762584
"DUSP8","Dusp8",26.207128,29.274899,25.588039,1410,1596,2901,27.0233553333333,32.85086,40.442365,45.58924,1124,1521,1079,9.28492366666667,2.72470231589144
"DVL1","Dvl1",25.305882,23.461096,24.182329,786,744,1575,24.3164356666667,26.964743,29.812667,27.467353,456,576,348,2.33235966666667,7.5971498274646
"DVL2","Dvl2",6.065963,5.113983,7.618402,148,137,346,6.266116,15.26573,14.936682,16.397219,209,210,142,8.85673866666667,0.737172430529422
"DVL3","Dvl3",8.617233,10.046423,10.247436,432,479,961,9.63703066666667,47.986882,55.407423,54.033335,1100,1273,856,6.26807933333333,1.46352704460481
"DXO","Dxo",13.748202,20.530336,16.174996,84,105,200,16.8178446666667,15.001715,14.208689,19.432298,195,213,161,1.60627966666667,6.83650526631895
"DYDC1","Dydc1",0,0,0.122588,0,0,2,0.0408626666666667,0.157886,0.167861,0.215987,1,1,1,24.1943793333333,0.0413132886861617
"DYM","Dym",14.24368,16.20807,13.969701,450,511,847,14.8071503333333,31.37021,41.861327,38.652414,1008,1143,795,23.0536623333333,0.657161895526734
"DYNC1H1","Dync1h1",160.155746,164.103686,147.138193,7603,7927,14605,157.132541666667,948.594087,949.260607,933.500695,18366,20407,13469,135.826383,1.15571674263045
"DYNC1I1","Dync1i1",30.046432,36.137111,29.501069,1001,1198,1948,31.8948706666667,81.513021,100.829622,91.038746,1959,2489,1551,58.428303,0.553521958496218
"DYNC1I2","Dync1i2",55.14094,56.347655,58.109654,1500,1490,2935,56.5327496666667,159.636001,165.566915,180.653577,2934,3099,2588,116.759773666667,0.488560294192821
"DYNC1LI1","Dync1li1",23.827804,25.950481,23.029834,815,880,1526,24.269373,74.72453,85.857882,94.435356,1460,1617,1115,3.599509,5.49392837365902
"DYNC1LI2","Dync1li2",548.207195,502.262169,480.595918,3223,2839,5674,510.355094,226.725825,230.304116,271.183679,4314,4365,3367,19.7056196666667,24.6964400115595
"DYNC2H1","Dync2h1",3.532071,4.439301,3.051794,616,567,1039,3.67438866666667,8.911695,7.026612,6.389529,225,213,170,53.6790253333333,0.0854877832618767
"DYNC2LI1","Dync2li1",9.157058,10.941445,9.977688,142,172,292,10.025397,17.492305,12.130271,17.559028,199,194,146,35.0526983333333,0.305813365148489
"DYNLL1","Dynll1",310.680796,320.941751,302.346749,1702,1700,3152,311.323098666667,254.933458,289.461712,265.069264,1506,1844,1112,0,312.323098666667
"DYNLL2","Dynll2",269.644502,296.274064,270.987819,7497,7235,12916,278.968795,59.024248,60.240751,64.509684,5440,6050,4216,0.319678333333333,212.149269960988
"DYNLRB1","Dynlrb1",103.8722,115.101458,106.318709,590,688,1249,108.430789,131.495747,159.833501,177.071816,797,1060,762,23.919814,4.39131644401519
"DYNLRB2","Dynlrb2",1.982089,2.587662,1.445315,8,10,11,2.005022,0,1.246565,0,0,3,0,0.271097666666667,2.36411573933605
"DYNLT3","Dynlt3",107.108478,96.660352,83.454667,1324,1462,2468,95.7411656666667,24.76268,29.224432,28.916864,597,753,511,29.475404,3.17440141783409
"DYRK1A","Dyrk1a",12.242052,13.842107,14.587443,876,917,1756,13.5572006666667,14.447598,15.25402,20.334637,869,959,737,0,14.5572006666667
"DYRK1B","Dyrk1b",6.15943,7.24312,5.906066,171,212,353,6.43620533333333,15.874388,21.092019,23.238225,228,323,270,0,7.43620533333333
"DYRK2","Dyrk2",8.813214,9.347921,12.658391,716,592,1207,10.2731753333333,6.402604,5.658061,9.214113,621,611,469,0.03581,10.8834393695111
"DYRK3","Dyrk3",1.88868,3.345047,3.567501,81,78,159,2.93374266666667,3.875315,4.230979,3.044467,259,291,117,0.077105,3.65214409613424
"DYRK4","Dyrk4",0.035894,0.118974,0.18297,1,2,5,0.112612666666667,13.172281,12.950256,12.929347,66,79,47,0.782906,0.624044490661127
"DYSF","Dysf",1.840709,1.983035,0.877549,55,41,94,1.56709766666667,12.376654,8.440208,6.609007,513,541,377,85.213955,0.0297758949426072
"DYTN","Dytn",0.030697,0.086568,0.03167,1,4,4,0.049645,0,0,0,0,0,0,112.244548666667,0.0092688346799775
"DZANK1","Dzank1",118.218744,108.481473,74.983175,3260,3558,6313,100.561130666667,4.047089,5.752497,8.742882,139,170,102,0,101.561130666667
"DZIP1","Dzip1",22.716017,16.997157,25.695744,767,634,1543,21.8029726666667,30.030326,29.828179,29.931162,902,969,621,0.077058,21.1715364136998
"DZIP1L","Dzip1l",7.516328,5.020945,6.780854,247,203,511,6.43937566666667,2.317199,2.085216,2.127932,27,36,33,6.596255,0.979347805815717
"DZIP3","Dzip3",31.993056,22.252653,26.8448,1360,1085,2129,27.0301696666667,17.834981,19.454005,18.719569,1110,1332,910,11.4122583333333,2.25826508874627
"E2F1","E2f1",3.070158,3.543464,3.596334,105,123,244,3.40331866666667,0.622693,0.807555,1.416418,20,29,32,68.1647673333333,0.0636641867881269
"E2F2","E2f2",0.376884,0.111055,0.302626,6,7,14,0.263521666666667,0.014739,0.227344,0.167599,1,2,8,0,1.26352166666667
"E2F3","E2f3",6.309979,6.024664,5.470587,401,380,674,5.93507666666667,13.319715,11.178783,10.926099,798,733,464,13.2366803333333,0.487127371289576
"E2F4","E2f4",11.62452,8.429866,11.651701,247,174,431,10.5686956666667,12.843378,15.81224,27.44046,232,297,244,6.49019766666667,1.54451139762978
"E2F5","E2f5",3.91835,4.788696,3.901924,82,100,161,4.20299,16.707724,12.601361,15.851487,188,165,126,0.467444333333333,3.54561320100047
"E2F6","E2f6",13.234896,9.986045,12.548153,370,305,659,11.9230313333333,10.682746,9.698284,11.859365,309,372,252,0,12.9230313333333
"E2F7","E2f7",0.531071,0.282215,0.276906,5,8,17,0.363397333333333,0.438329,0.602309,0.210792,21,45,9,5.83903833333333,0.199355123758872
"E2F8","E2f8",0.082385,0.127394,0.306155,4,6,11,0.171978,0,0,0.031282,0,0,1,77.8089733333333,0.0148711238128044
"E4F1","E4f1",9.962847,7.846523,11.182498,190,149,371,9.663956,14.500264,13.73506,11.255648,241,316,221,12.155475,0.810609727128819
"EAF1","Eaf1",4.588465,5.233299,4.788283,234,266,433,4.87001566666667,11.897139,14.358395,15.719166,649,821,540,34.0506923333333,0.167472174610493
"EAF2","Eaf2",1.392183,0.415197,0.560841,22,10,17,0.789407,0.466186,0.801688,1.079009,4,7,6,1322.28240333333,0.00135224876828446
"EAPP","Eapp",16.818441,21.86582,15.956053,419,446,757,18.213438,14.614267,16.240909,18.720229,204,263,190,50.788348,0.37099924484944
"EARS2","Ears2",1.839562,2.1183,1.818316,82,74,152,1.92539266666667,30.671856,26.36542,29.060628,303,329,247,8.22682633333333,0.317052967183118
"EBAG9","Ebag9",14.702634,16.959791,14.298519,246,248,395,15.3203146666667,21.411239,15.368074,22.384331,162,158,121,0.615430333333333,10.1027660121937
"EBF1","Ebf1",6.959726,3.879421,1.597702,71,71,131,4.14561633333333,37.968172,41.83576,64.50374,1368,1243,1433,3.401231,1.16913116656075
"EBF2","Ebf2",0.158147,0.189984,0.172854,10,10,24,0.173661666666667,4.688555,7.751987,8.282058,314,566,398,2.47671466666667,0.337577793748581
"EBF3","Ebf3",0.360663,0.224081,0.212193,23,14,27,0.265645666666667,29.894406,28.24985,27.762205,1747,1762,1153,15.0261566666667,0.0789737485406669
"EBF4","Ebf4",1.917914,2.085752,2.078434,63,72,141,2.02736666666667,58.516529,45.221923,26.079574,286,348,199,19.6175926666667,0.146834148661843
"EBI3","Ebi3",0.461401,0.604411,0.423724,6,8,11,0.496512,0.157946,0.539449,0.828602,2,4,1,1.78165333333333,0.53799371117417
"EBNA1BP2","Ebna1bp2",20.648809,18.342955,19.671982,375,348,710,19.554582,35.278496,27.097873,32.537828,417,401,306,12.4802893333333,1.52478789525487
"EBP","Ebp",16.176832,15.76013,12.62173,128,139,202,14.8528973333333,48.240682,37.066935,36.335181,409,368,233,70.6529173333333,0.221245664842714
"EBPL","Ebpl",1.398559,2.021468,1.674628,100,126,224,1.69821833333333,20.226139,19.937493,17.372698,161,167,89,1.312226,1.16693538319063
"ECD","Ecd",18.588076,12.015759,14.543332,378,410,712,15.0490556666667,17.381981,18.283983,18.043865,414,431,322,286.627834,0.0557979922995445
"ECE1","Ece1",18.579495,9.900851,55.145498,610,599,1107,27.8752813333333,20.31153,24.500624,20.820802,603,690,376,3.38315633333333,6.58778267015953
"ECE2","Ece2",10.826507,11.803797,12.948413,260,253,555,11.8595723333333,4.486563,4.309001,4.886678,83,99,78,131.842929333333,0.0968028362357602
"ECEL1","Ecel1",31.540763,13.853012,17.747388,191,180,325,21.0470543333333,68.128507,60.41009,41.745524,1457,1451,634,7.53118233333333,2.5842906026273
"ECH1","Ech1",44.836226,46.470206,45.250413,251,306,493,45.5189483333333,124.878849,116.009122,114.76653,410,489,354,385.941950333333,0.120222034062885
"ECHDC1","Echdc1",13.432993,14.508858,13.19551,416,343,649,13.7124536666667,94.403597,113.969766,121.596079,582,616,454,5.619705,2.2225240651459
"ECHDC2","Echdc2",8.932122,7.207063,7.900651,63,66,143,8.01327866666667,11.42088,8.249547,8.134702,95,116,75,8.18593466666667,0.981204307861395
"ECHDC3","Echdc3",0.376416,0.128079,0.358231,9,3,13,0.287575333333333,0.376266,1.20339,1.324302,3,11,10,0.109823666666667,1.16016207980187
"ECHS1","Echs1",28.380111,25.718085,29.263747,393,404,743,27.7873143333333,45.026866,49.987041,54.755752,660,801,570,5.015914,4.78519379321801
"ECI1","Eci1",17.146439,23.730026,14.338156,91,130,167,18.4048736666667,6.603895,8.345275,11.648784,76,100,87,0,19.4048736666667
"ECI2","Eci2",31.607665,36.157921,34.289155,308,307,598,34.018247,10.964494,9.982898,11.720484,214,204,161,0.761336666666667,19.8816317531572
"ECM1","Ecm1",5.338082,9.967577,5.762748,46,67,123,7.02280233333333,3.267754,4.137516,4.378496,82,112,73,50.8346863333333,0.154776712291478
"ECM2","Ecm2",1.170087,1.314024,1.245936,64,69,138,1.243349,0.048315,0.022657,0,2,1,0,7.67840166666667,0.258497945378191
"ECPAS","Ecpas",42.257703,38.563791,37.453905,1460,1481,2909,39.425133,47.69634,49.742686,53.406424,2468,2529,1799,99.485946,0.4022963868002
"ECRG4","Ecrg4",0.731721,0.945376,0.537495,7,9,10,0.738197333333333,0.773871,0.711677,0.604409,5,4,2,5.09670966666667,0.285104167389962
"ECSCR","Ecscr",2.542255,3.081265,3.687123,24,29,54,3.10354766666667,0,0,0,0,0,0,0.041521,3.93995672354822
"ECSIT","Ecsit",13.004015,13.011963,13.210765,265,266,524,13.075581,111.557552,137.865181,157.299486,229,310,223,16.1333823333333,0.821529615469777
"ECT2","Ect2",0.851319,0.251263,0.35137,11,8,30,0.484650666666667,1.930251,2.995191,3.198477,62,46,71,0.190557666666667,1.24702121386812
"EDA","Eda",1.311143,0.907067,1.366184,47,63,119,1.194798,1.254213,1.296102,1.04232,81,88,47,3.70457033333333,0.466524644014604
"EDA2R","Eda2r",0.138208,0.083909,0.066386,8,3,4,0.0961676666666667,1.156037,4.151458,1.861811,53,206,60,11.1519203333333,0.0902053039024477
"EDAR","Edar",0.17701,0.060422,0.093175,9,3,9,0.110202333333333,0.018373,0.033742,0.051782,1,2,2,124.899435666667,0.00881816767052652
"EDARADD","Edaradd",0.041963,0.010687,0.010975,4,1,2,0.0212083333333333,0.814612,0.523703,2.014147,21,9,25,3.79315266666667,0.213055665936783
"EDC3","Edc3",3.965174,4.085746,4.288797,261,277,544,4.113239,51.878703,96.569705,70.142743,438,552,394,0,5.113239
"EDC4","Edc4",9.826941,11.553635,12.322777,563,524,1094,11.234451,81.608745,79.478904,92.97988,1016,1175,908,1.82630866666667,4.32877383291233
"EDEM1","Edem1",9.481131,11.970389,10.778228,255,262,498,10.7432493333333,9.551955,6.880958,3.367488,239,306,185,12.1239556666667,0.894794956002468
"EDEM2","Edem2",7.718077,7.00129,8.677281,153,166,373,7.79888266666667,4.463082,5.000158,4.240011,102,128,70,31.5095566666667,0.270655264754456
"EDEM3","Edem3",8.931624,8.605321,8.119198,749,710,1289,8.55204766666667,10.47292,10.398104,11.163048,788,811,599,9.851536,0.880248442862528
"EDF1","Edf1",113.402162,160.882764,136.429787,448,577,1071,136.904904333333,120.678915,131.039717,128.451744,745,878,563,18.903367,6.92872237814503
"EDIL3","Edil3",24.536144,24.953366,21.213177,1737,1661,2740,23.5675623333333,73.691935,46.828427,68.172409,3888,2715,2408,17.5038723333333,1.32769843472583
"EDN1","Edn1",0.743371,0.837661,0.80465,21,23,43,0.795227333333333,0.398734,0.332213,0.280277,10,9,5,105.539116333333,0.0168504057018507
"EDN2","Edn2",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0712666666666667,0.933474391685855
"EDN3","Edn3",2.107189,2.32308,2.075583,76,88,154,2.16861733333333,0.17166,0.218917,0.457054,5,7,7,8.93443466666667,0.318952959041051
"EDNRA","Ednra",0.598234,0.922405,0.966986,30,45,92,0.829208333333333,2.260868,5.608951,1.78259,38,142,63,0.0112293333333333,1.80889564121294
"EDNRB","Ednrb",12.784769,12.638997,11.445702,700,683,1170,12.2898226666667,1.418659,0.744434,3.131937,41,29,70,0.0378323333333333,12.8053657992926
"EDRF1","Edrf1",7.686008,11.138141,9.137534,236,225,550,9.320561,9.728255,12.219579,15.388548,295,327,262,0.883126666666667,5.48054529877615
"EEA1","Eea1",7.507703,7.341863,6.738138,820,783,1391,7.19590133333333,1.877818,2.418014,2.406012,245,334,225,1.15427633333333,3.80448005045469
"EED","Eed",16.022293,16.05585,15.648045,125,115,228,15.9087293333333,9.2848,8.280668,10.818473,149,181,111,65.4448383333333,0.254477695445769
"EEF1A1","Eef1a1",1777.826504,1906.238261,1775.039316,17857,19295,34670,1819.70136033333,2150.94048,1891.832709,2285.589619,29897,29198,25422,0.346101666666667,1352.57343885615
"EEF1A2","Eef1a2",286.741214,285.53202,257.110507,7048,7238,12998,276.461247,388.213313,446.555694,412.506581,4748,6013,3771,17.9032763333333,14.6779448232863
"EEF1AKMT1","Eef1akmt1",23.71148,17.115329,16.779705,145,147,259,19.2021713333333,3.071812,3.511625,3.71079,22,33,24,4.170031,3.90755323001609
"EEF1AKMT2","Eef1akmt2",19.801723,19.938962,25.503978,133,128,317,21.748221,14.917034,20.635529,17.471358,192,227,145,60.595526,0.369316125330272
"EEF1AKMT4","Eef1akmt4",1.198157,0.54165,0.633126,17,8,16,0.790977666666667,0.673113,1.20542,1.405774,7,14,10,57.7237403333333,0.030498358185302
"EEF1D","Eef1d",51.815249,60.519192,61.682331,454,446,990,58.0055906666667,133.581894,162.789302,198.724673,573,766,616,2.734246,15.8012060980093
"EEF1E1","Eef1e1",7.959886,9.386227,8.040725,165,153,248,8.46227933333333,43.779058,43.463123,37.247471,363,414,240,1.18008933333333,4.3403172469385
"EEF1G","Eef1g",180.099789,195.645181,184.892562,2080,2147,3924,186.879177333333,384.559937,412.203291,443.79852,6302,7007,5371,20.1526506666667,8.8820630706771
"EEF2","Eef2",271.411654,260.408191,249.919377,10551,10267,18658,260.579740666667,3455.499709,3118.876047,4408.098298,13650,16198,12658,33.196595,7.64929200309758
"EEF2K","Eef2k",19.08086,12.971687,17.249639,387,417,848,16.434062,12.868448,13.767883,13.918452,617,715,470,0.112562333333333,15.6701889661913
"EEF2KMT","Eef2kmt",2.406868,3.839117,2.324884,29,42,50,2.85695633333333,5.952057,8.334226,6.460515,58,72,61,131.072530666667,0.0292033196749124
"EEFSEC","Eefsec",5.155783,5.366847,5.000725,114,141,216,5.17445166666667,7.02407,8.771446,7.612619,190,234,133,5.58209833333333,0.938067369093797
"EEPD1","Eepd1",4.873973,5.910166,4.630853,178,213,326,5.13833066666667,1.971292,4.316382,3.861795,33,64,40,5.39960666666667,0.959173115847745
"EFCAB1","Efcab1",2.478879,2.823785,2.90693,71,78,138,2.73653133333333,0.422251,0.941138,0.501962,3,12,6,0.345752333333333,2.7765371389535
"EFCAB10","Efcab10",1.282356,1.955395,0.753794,8,12,9,1.330515,1.190646,1.056242,0.996282,13,10,10,0.299908,1.79283072340504
"EFCAB11","Efcab11",0.268814,0.148139,0.229016,4,2,10,0.215323,4.013199,5.425929,3.076867,63,72,33,30.1666036666667,0.0389943996785191
"EFCAB14","Efcab14",31.504556,29.198009,29.58555,719,708,1291,30.0960383333333,5.240112,5.827428,6.174637,279,314,251,16.928721,1.73442591545339
"EFCAB2","Efcab2",6.188785,3.660177,4.418698,172,174,316,4.75588666666667,25.171457,19.903386,32.248542,220,284,215,22.5172743333333,0.2447514361181
"EFCAB3","Efcab3",0.503213,0.459882,0.278176,7,3,6,0.413757,0.313451,0.151696,0.65317,4,2,6,65.3326646666667,0.0213131344429532
"EFCAB5","Efcab5",4.164377,0.896901,1.097992,41,27,87,2.05309,10.52807,1.432998,3.101296,17,33,19,54.907825,0.054609350301143
"EFCAB6","Efcab6",3.202565,2.600601,4.813748,78,73,177,3.53897133333333,1.103582,1.119436,0.612224,25,35,20,1.16636633333333,2.09520027314555
"EFCAB7","Efcab7",4.242948,1.017532,6.616166,13,14,35,3.958882,20.598855,16.861524,13.559834,178,178,139,13.6513983333333,0.338457933309892
"EFCAB8","Efcab8",0,0,0,0,0,0,0,0.018918,0,0,1,0,0,73.9160386666667,0.013348276521259
"EFCAB9","Efcab9",0.53736,0.461372,0.096427,4,3,1,0.365053,0,0.144274,0,0,1,0,0.0558493333333333,1.292848285172
"EFCC1","Efcc1",2.107249,5.247523,1.610632,44,61,103,2.988468,0.041049,0,0.519637,1,0,10,0,3.988468
"EFEMP1","Efemp1",4.714228,9.245601,6.078538,98,139,241,6.67945566666667,3.725742,3.384552,1.401098,61,49,14,23.815495,0.30946211899729
"EFEMP2","Efemp2",16.256599,13.206657,9.976643,70,76,145,13.146633,8.659238,19.25365,12.168005,78,126,71,19.1787766666667,0.701064947280418
"EFHB","Efhb",0.290122,0.260563,0.399126,14,12,39,0.316603666666667,0.080877,0.030237,0.183181,3,1,3,9.16290533333333,0.129549929226275
"EFHC1","Efhc1",0.603999,0.796882,0.64936,17,22,21,0.683413666666667,23.870188,20.686766,23.231699,387,362,272,13.1487033333333,0.118980066724607
"EFHC2","Efhc2",0.610435,0.806299,0.690669,21,27,45,0.702467666666667,0.191339,0.089397,0.169101,8,4,4,0.031244,1.65088734253646
"EFHD1","Efhd1",9.609588,7.857332,8.641677,200,179,392,8.70286566666667,1.355991,0.565828,0.326815,9,9,3,18.52284,0.497000726670232
"EFHD2","Efhd2",69.223495,66.21914,61.118462,2105,2010,3640,65.5203656666667,3.21455,4.421026,4.679468,92,125,94,5.36127433333333,10.4570817388109
"EFL1","Efl1",3.538755,3.352522,3.485432,130,151,305,3.458903,12.364159,12.145618,7.03763,274,243,182,60.0711373333333,0.0730116253716185
"EFNA1","Efna1",1.126083,1.551072,1.50901,20,28,53,1.39538833333333,2.151567,2.618033,3.592541,38,41,31,0.246883,1.92110112443055
"EFNA2","Efna2",1.724527,1.840891,1.488767,42,46,74,1.68472833333333,3.348694,4.995453,4.90411,86,148,87,6.01282866666667,0.382831017403058
"EFNA3","Efna3",17.632465,19.785252,18.853428,413,446,782,18.7570483333333,14.01387,17.092589,20.774486,246,306,237,17.9444693333333,1.04289267678616
"EFNA4","Efna4",0.150573,0.152163,0.078059,3,3,3,0.126931666666667,0.262305,0.451605,0.615954,3,6,5,0.402859,0.803310715237003
"EFNA5","Efna5",5.257534,5.124521,6.353186,245,257,460,5.57841366666667,12.740812,16.769454,29.425992,356,411,372,0.326625666666667,4.95875651433449
"EFNB1","Efnb1",4.995723,4.393589,3.389541,123,132,231,4.25961766666667,0.855797,1.191935,2.266957,35,55,65,0.542635333333333,3.40950161909079
"EFNB2","Efnb2",13.4168,15.777543,15.526947,628,746,1355,14.9070966666667,18.132602,14.351574,27.093033,1012,865,1065,0.143757,13.9077589616209
"EFNB3","Efnb3",24.149767,25.635618,23.029517,991,1075,1913,24.271634,17.53537,14.421388,16.410142,689,637,452,232.614963666667,0.108176435290587
"EFR3A","Efr3a",50.800712,48.948408,39.211556,1662,1510,2569,46.3202253333333,8.410376,9.376683,10.909447,434,504,357,54.7858966666667,0.848247104749115
"EFR3B","Efr3b",29.251372,32.835676,34.145726,2250,2483,4496,32.0775913333333,28.133394,30.514173,32.396943,2880,3245,2253,19.250551,1.63341685534055
"EFS","Efs",1.571331,1.918882,3.326621,55,68,154,2.272278,0.130379,0.244113,0.562543,4,9,13,6.30587266666667,0.447896938435554
"EFTUD2","Eftud2",75.435573,104.702621,78.617753,890,988,1767,86.2519823333333,345.335552,291.833721,289.971918,914,993,742,5.48106833333333,13.4625925612573
"EGF","Egf",0.671382,1.120435,0.839587,13,15,37,0.877134666666667,0.417048,0.770179,2.079148,10,15,8,0.010727,1.85721234979046
"EGFL6","Egfl6",0.602662,0.836005,0.757859,22,30,53,0.732175333333333,0.405179,0.560112,0.572469,12,18,12,1.52072933333333,0.687172284000345
"EGFL7","Egfl7",40.92692,46.404013,42.478606,170,183,337,43.2698463333333,4.90575,5.826891,3.045084,64,82,29,82.1056846666667,0.532693359195557
"EGFL8","Egfl8",0.695053,1.478509,0.821043,9,11,21,0.998201666666667,4.454134,7.405535,5.748186,51,63,36,0,1.99820166666667
"EGFLAM","Egflam",3.062322,2.244057,0.660783,35,52,81,1.989054,0.582393,1.055922,1.611883,18,28,17,16.080812,0.174994842165583
"EGFR","Egfr",4.007998,4.680164,2.30477,213,239,430,3.66431066666667,0.82859,0.720704,0.960466,91,107,93,14.1239233333333,0.30840613006722
"EGLN1","Egln1",26.037278,23.29671,21.456111,1073,974,1791,23.5966996666667,25.753044,28.249476,31.392119,766,869,633,974.558216333333,0.0252129491145225
"EGLN2","Egln2",21.163087,24.855911,23.911084,492,564,1062,23.3100273333333,70.774311,68.070984,93.785281,815,879,791,1.285555,10.6363781809378
"EGLN3","Egln3",2.54183,3.002111,2.210966,88,105,152,2.584969,2.787554,2.699385,0.838186,44,56,12,9.49628466666667,0.341546472285082
"EGR1","Egr1",65.948475,68.203423,70.520155,2690,2775,5643,68.2240176666667,11.321516,3.411414,10.183642,448,150,285,1.16608233333333,31.9581654867844
"EGR2","Egr2",10.553793,4.559639,4.552513,93,75,172,6.555315,0.085515,0.239515,0.713275,1,4,9,42.906302,0.172078144955136
"EGR3","Egr3",57.206648,31.742504,41.392756,2228,1292,2965,43.4473026666667,0.12137,0.065535,0.625839,7,4,12,0.825393333333333,24.3494384771866
"EGR4","Egr4",5.030771,7.739909,10.159605,74,153,452,7.64342833333333,0.080601,0.097939,0.058111,2,3,1,0.278907666666667,6.75844594462514
"EHBP1","Ehbp1",8.849746,9.933244,9.216973,563,642,1135,9.333321,86.073628,67.043252,68.946705,1743,1276,921,0.724001333333333,5.99380104887777
"EHBP1L1","Ehbp1l1",10.513121,9.298449,7.23395,210,238,391,9.01517333333333,16.650395,58.742425,18.985142,129,119,129,0.525091666666667,6.56693204233625
"EHD1","Ehd1",31.720166,23.178066,25.558598,320,333,578,26.8189433333333,44.251091,45.312239,44.670786,759,883,651,39.730421,0.683001615262787
"EHD2","Ehd2",2.136679,2.174739,2.78297,84,87,205,2.364796,0.975939,7.405032,2.731977,44,79,44,37.3744543333333,0.0876832272524909
"EHD3","Ehd3",18.559713,18.58358,16.608405,947,928,1614,17.9172326666667,9.97221,12.254196,10.750965,643,869,491,3.908549,3.85393578971437
"EHD4","Ehd4",6.002344,8.108171,3.652647,132,142,240,5.921054,2.30656,2.280627,1.809561,198,218,112,0.657312666666667,4.17607017625722
"EHF","Ehf",0.107677,0.274017,0.196805,1,1,2,0.192833,0,0,0,0,0,0,298.069613,0.00398847943137573
"EHHADH","Ehhadh",0.879992,0.978403,0.850021,36,39,66,0.902805333333333,4.355435,8.209795,0.70227,33,54,25,0,1.90280533333333
"EHMT1","Ehmt1",13.200045,9.64214,14.311721,336,338,688,12.3846353333333,96.512774,110.18589,66.944983,599,612,514,0.176429333333333,11.3773389986876
"EHMT2","Ehmt2",47.02035,48.247896,51.631901,1457,1663,3372,48.9667156666667,28.081338,24.910202,33.564561,756,868,765,11.0807616666667,4.13605673593704
"EI24","Ei24",44.518786,59.612031,49.86603,896,925,1755,51.3322823333333,45.975248,50.548862,45.168281,955,1123,719,0,52.3322823333333
"EID1","Eid1",96.141755,106.702107,89.446204,1923,2140,3564,97.430022,81.243852,74.404552,99.389425,1462,1455,1278,0,98.430022
"EID2","Eid2",17.391961,18.605289,18.761221,202,228,472,18.2528236666667,21.555255,23.7764,21.989109,311,384,221,0,19.2528236666667
"EID3","Eid3",0.063862,0.195081,0.100253,1,3,3,0.119732,0.057775,0.213286,0.24347,1,4,3,7.48071166666667,0.132032787342729
"EIF1","Eif1",535.91093,588.444194,520.378511,2449,2672,4970,548.244545,303.401458,363.589264,338.729483,3668,4675,2952,9.83340633333333,50.6991548272336
"EIF1AD","Eif1ad",19.555996,15.813067,12.650164,197,210,378,16.006409,18.760828,21.686268,18.958278,280,363,228,0.474522,11.5335064515823
