"Hs_symbol","Mm_genes","Brain_1_FB-S4","Brain_1_FB-S10","Brain_1_FB-S16","Brain_1_FB-S4_read","Brain_1_FB-S10_read","Brain_1_FB-S16_read","Mm_Avg_TPM","Cardiomyocytes-S20_rep_1","Cardiomyocytes-S25_rep_2","Cardiomyocytes-S29_rep_3","Cardiomyocytes-S20_rep_1_read","Cardiomyocytes-S25_rep_2_read","Cardiomyocytes-S29_rep_3_read","Hs_Avg_TPM","FoldChange"
"A1BG","A1bg",0,0,0,0,0,0,0,6.574087,5.356817,5.122674,51,37,35,3.30626433333333,0.232219836636441
"A1CF","A1cf",0,0,0,0,0,0,0,0.063683,0.066053,0,4,2,0,16.1244153333333,0.0583961542940074
"A2M","A2m",0.539558,0.372306,0.314937,35,20,39,0.408933666666667,47.469149,41.973869,31.55372,2028,1448,1149,1.48072333333333,0.567952761089843
"A3GALT2","A3galt2",0.088979,0.036608,0.075161,3,1,4,0.066916,0,0,0,0,0,0,14.8929526666667,0.0671313897660888
"A4GALT","A4galt",1.068339,0.782218,2.328412,23,21,45,1.39298966666667,33.003692,32.717969,29.75239,1208,1099,1075,12.358464,0.179136588358262
"A4GNT","A4gnt",0.053613,0.082088,0.042166,2,3,3,0.059289,0,0,0,0,0,0,2.25089866666667,0.325844976609545
"AAAS","Aaas",17.684148,31.742477,25.807157,77,105,194,25.0779273333333,17.868209,17.289999,16.874782,598,489,514,3.297399,6.0683048824029
"AACS","Aacs",89.021757,127.603539,129.50844,324,389,749,115.377912,6.792635,7.2732,5.012077,382,296,228,9.04946033333333,11.5805135937482
"AADAC","Aadac",0,0,0.10568,0,0,1,0.0352266666666667,0.114227,0.093886,0.189067,3,2,4,0.485872,0.696713220699136
"AADACL3","Aadacl3",0,0,0,0,0,0,0,0,0,0,0,0,0,3.22497266666667,0.236687921768015
"AADAT","Aadat",0.050276,0.175652,0.090191,1,3,2,0.105373,2.803781,1.273732,1.256284,72,50,52,8.58759633333333,0.11529198368072
"AAGAB","Aagab",20.4929,19.292215,18.876059,550,534,1046,19.5537246666667,13.5382,8.893211,8.17232,443,347,312,55.846109,0.361567836888654
"AAK1","Aak1",85.827432,87.609949,74.268329,5477,5459,10550,82.56857,8.140723,4.98695,5.632312,1061,924,810,19.618997,4.05298909544436
"AAMDC","Aamdc",29.578734,27.920242,22.8832,130,139,241,26.7940586666667,43.508279,45.757314,41.928473,288,290,250,105.933304666667,0.259919570926069
"AANAT","Aanat",0.376031,0.132462,0.649323,4,1,15,0.385938666666667,0.384486,0.191591,0.957074,4,2,7,0.195217333333333,1.15957042122325
"AAR2","Aar2",9.82204,8.789412,9.62101,377,335,665,9.41082066666667,9.629091,8.985329,7.802869,494,440,373,0,10.4108206666667
"AARD","Aard",1.351779,1.162396,1.36039,19,17,40,1.29152166666667,0.509473,0.537165,0.417107,11,13,17,0.182879666666667,1.93723988267051
"AARS2","Aars2",6.80901,5.980452,5.852712,241,219,431,6.214058,2.873718,2.217694,1.513002,289,218,155,5.08377433333333,1.18578658653951
"AARSD1","Aarsd1",22.702986,25.557626,22.475152,387,429,691,23.578588,42.269472,45.211996,38.782538,410,412,304,4.02409666666667,4.89214074304568
"AASDH","Aasdh",6.537996,7.343371,6.986914,109,91,250,6.95609366666667,1.51679,1.429238,0.686802,72,62,45,5.38488366666667,1.24608279211143
"AASDHPPT","Aasdhppt",8.996606,9.015932,8.052601,340,329,564,8.68837966666667,15.491333,11.332325,7.790263,438,436,306,121.357049,0.0791812138805887
"AASS","Aass",1.474846,1.173919,1.034894,75,45,94,1.22788633333333,10.663442,6.340196,5.078783,777,556,484,8.239964,0.241114178944132
"AATF","Aatf",4.99222,5.135437,5.246998,100,114,223,5.124885,18.011852,16.629179,17.421425,333,266,229,87.4279296666667,0.0692641456504529
"AATK","Aatk",65.676983,50.720205,56.212236,2661,2699,4866,57.5364746666667,0.807211,1.215351,1.261386,81,68,60,7.41496433333333,6.95623562357741
"ABAT","Abat",95.113338,98.889623,83.218181,3838,4067,6917,92.4070473333333,3.072307,1.855792,1.672802,274,169,145,0.722117333333333,54.2396534343769
"ABCA1","Abca1",5.357066,5.86588,4.405995,646,638,1144,5.209647,1.876267,0.885241,0.804978,396,171,159,25.6683846666667,0.2328467613474
"ABCA13","Abca13",0,0.008671,0.020031,0,2,9,0.00956733333333333,0.174113,0.034944,0.058673,5,3,5,0.328574333333333,0.759887729277725
"ABCA17P","Abca17",0.125147,0.191402,0.245939,9,4,16,0.187496,0.02167,0.266152,1.014407,2,4,5,0.812543,0.655154663916939
"ABCA2","Abca2",70.793903,64.467713,73.797361,3005,3072,5630,69.6863256666667,24.315816,17.365586,16.698512,805,444,402,52.444161,1.32262017672364
"ABCA3","Abca3",12.440613,14.573469,13.367221,1059,1205,2137,13.4604343333333,2.864033,2.329955,1.427765,295,201,155,1.15103666666667,6.7225419991291
"ABCA4","Abca4",0.439082,0.77363,1.185749,28,34,93,0.799487,0.012157,0.012809,0,1,1,0,31.344221,0.0556355028615467
"ABCA5","Abca5",8.935283,8.340698,7.057679,796,757,1332,8.11122,4.156998,3.19961,2.228167,168,152,100,13.4566326666667,0.630244968526327
"ABCA6","Abca6",0.966663,0.329321,0.453163,46,18,64,0.583049,0.307074,0.113031,0.186072,11,7,9,214.166965,0.00735730505842289
"ABCA7","Abca7",2.309955,1.912394,2.638304,217,179,482,2.28688433333333,11.353326,7.85688,8.990523,435,267,221,0.009045,3.25742096074341
"ABCA8","Abca8b",2.974527,2.640509,3.550569,320,277,701,3.05520166666667,3.234198,1.719767,1.436738,96,64,65,61.5321443333333,0.0648498737713206
"ABCA9","Abca9",1.698239,1.660878,1.876446,155,148,323,1.74518766666667,0.287344,0.110486,0.190728,11,7,5,23.8153686666667,0.110624496598922
"ABCB1","Abcb1a",6.998046,68.504253,8.673734,480,533,1140,28.0586776666667,0.03239,0.180298,0.191402,3,5,3,1.137784,13.592896974936
"ABCB10","Abcb10",5.054004,5.39951,5.054574,279,300,557,5.16936266666667,4.005154,2.663769,2.895076,137,128,111,1.70077,2.28429768794331
"ABCB11","Abcb11",0,0,0.007618,0,0,1,0.00253933333333333,0.266721,0.007328,0.0069,3,1,1,5.94528533333333,0.144348185166954
"ABCB4","Abcb4",0.897442,1.328882,1.276568,43,52,115,1.16763066666667,11.373936,10.12465,10.942716,248,158,162,13.3101653333333,0.151474886290622
"ABCB5","Abcb5",0,0,0.009704,0,0,1,0.00323466666666667,0.238192,0,0.073851,1,0,5,20.783434,0.0460549363643339
