"Hs_symbol","Mm_genes","Brain_1_FB-S4","Brain_1_FB-S10","Brain_1_FB-S16","Brain_1_FB-S4_read","Brain_1_FB-S10_read","Brain_1_FB-S16_read","Mm_Avg_TPM","Nociceptor(4Weeks)-S19_rep_1","Nociceptor(4Weeks)-S23_rep_2","Nociceptor(4Weeks)-S27_rep_3","Nociceptor(4Weeks)-S19_rep_1_read","Nociceptor(4Weeks)-S23_rep_2_read","Nociceptor(4Weeks)-S27_rep_3_read","Hs_Avg_TPM","FoldChange"
"RGS12","Rgs12",21.336638,25.878913,22.997615,420,558,919,23.4043886666667,194.808498,172.421331,126.986294,584,433,469,0.012902,24.0935338923871
"RGS13","Rgs13",0.055144,0.059368,0.122263,1,1,4,0.078925,0,0.016442,0,0,1,0,0.975618666666667,0.546120067705374
"RGS14","Rgs14",18.579031,27.62631,20.387277,372,480,874,22.1975393333333,6.156193,3.542349,3.070369,50,43,39,0.097288,21.1407937873497
"RGS16","Rgs16",3.479976,3.328978,2.564869,109,102,153,3.12460766666667,4.051507,4.662824,4.393285,146,136,140,1.017411,2.04450539164636
"RGS17","Rgs17",11.141055,11.982155,10.580185,1246,1282,2091,11.234465,0.629854,0.619805,0.767618,71,57,76,0.225402333333333,9.98403925567848
"RGS18","Rgs18",0.040595,0.04359,0.112002,1,1,5,0.0653956666666667,0.068891,0.326661,0.039307,2,5,1,0,1.06539566666667
"RGS19","Rgs19",20.743425,40.48708,33.974089,120,129,244,31.7348646666667,3.26825,4.087963,3.280638,63,66,56,0.251568666666667,26.1550688655783
"RGS2","Rgs2",30.718256,36.791408,29.161377,669,703,1289,32.2236803333333,3.681073,5.971438,5.513283,61,65,78,0.650879666666667,20.1248346588556
"RGS20","Rgs20",26.340537,31.724965,31.944186,342,365,680,30.0032293333333,4.089475,2.145677,6.300964,55,29,65,3.41903366666667,7.01583913406106
"RGS22","Rgs22",0.745056,1.192362,0.493693,14,19,19,0.810370333333333,0,0.03872,0.211866,0,1,1,1.515474,0.719693518332264
"RGS3","Rgs3",12.771708,15.0525,13.99712,266,267,448,13.9404426666667,13.773839,19.669386,14.054561,271,312,262,0.343803,11.1180304454348
"RGS4","Rgs4",134.196304,156.550405,134.889982,5385,6143,10231,141.878897,15.60613,12.414511,20.967588,351,192,404,0,142.878897
"RGS5","Rgs5",25.029604,25.104789,22.355731,1436,1399,2425,24.1633746666667,8.371064,17.270839,2.529026,68,250,56,0,25.1633746666667
"RGS6","Rgs6",15.967986,25.903547,16.210365,613,700,1139,19.3606326666667,0,1.600725,0,0,3,0,0,20.3606326666667
"RGS7","Rgs7",151.828386,110.815573,105.496322,811,841,1388,122.713427,1.962494,1.228565,2.335758,59,32,65,0.0293096666666667,120.190678283082
"RGS7BP","Rgs7bp",50.45324,55.215568,46.750821,5004,5377,8942,50.806543,0.199591,0.247759,0.101523,7,9,6,0.915074666666667,27.0519702974157
"RGS8","Rgs8",28.606329,28.564697,22.26154,1590,1578,2558,26.477522,1.377235,0.929391,1.038283,87,66,81,0.809768666666667,15.1828918834194
"RGS9","Rgs9",43.438548,46.842609,51.057617,1230,1382,2736,47.1129246666667,2.057822,4.294226,2.144409,50,82,44,0.164058,41.332068218823
"RGS9BP","Rgs9bp",0.033344,0,0.027841,3,0,5,0.020395,0.02946,0.077502,0.035302,1,2,1,0,1.020395
"RHAG","Rhag",0.065591,0,0,2,0,0,0.0218636666666667,0.164138,0.140248,0,2,3,0,0.405459666666667,0.727067229962012
"RHBDD1","Rhbdd1",1.594446,1.810761,1.405182,79,88,132,1.603463,5.896993,8.070546,3.596999,153,127,137,0,2.603463
