"Hs_symbol","DRG","dHs_Avg_TPM","Cortical_neurons-S17_rep_1","Cortical_neurons-S21_rep_2","Cortical_neurons-S8_rep_3","Hs_Avg_TPM","FoldChange"
"ABCD3",23.9395,23.9395,14.822618,16.086553,17.331049,16.0800733333333,1.46015181043329
"ABCD4",25.36124,25.36124,49.321733,40.153747,59.337327,49.604269,0.520929172991314
"ABCE1",15.03275,15.03275,40.838605,40.205738,45.232008,42.092117,0.372057608587668
"ABCF1",40.28945,40.28945,46.260735,63.760304,59.860432,56.627157,0.716492920169565
"ABCF2",29.98187,29.98187,26.268774,19.429182,42.181654,29.2932033333333,1.02273337220527
"ABCF3",62.56677,62.56677,49.775637,52.727308,46.588001,49.696982,1.25385708364257
"ABCG1",9.4399,9.4399,7.097047,8.637267,8.443098,8.05913733333333,1.15241657299819
"ABCG2",4.96562,4.96562,0.071606,0.158845,0.025076,0.0851756666666667,5.49737722955454
"ABCG4",11.76067,11.76067,11.183928,15.998495,13.278866,13.4870963333333,0.88083006465823
"ABCG5",0.09409,0.09409,0.093551,0.161392,0.087861,0.114268,0.981891250578855
"ABCG8",0.21953,0.21953,0.279919,0.336852,0.476524,0.364431666666667,0.893800715560447
"ABHD1",2.06988,2.06988,1.219066,0.595476,1.404846,1.07312933333333,1.48079521650683
"ABHD10",33.57802,33.57802,20.734833,22.479951,21.319982,21.5115886666667,1.53600976421537
"ABHD11",27.69246,27.69246,5.79209,6.6316,4.983045,5.802245,4.21808682280629
"ABHD12",152.8051,152.8051,62.698382,74.955257,56.465736,64.7064583333333,2.3407912083731
"ABHD12B",1.73535,1.73535,3.562703,1.658765,4.615794,3.27908733333333,0.639236778060618
"ABHD13",2.89574,2.89574,2.86622,3.359063,3.388676,3.204653,0.926530679226086
"ABHD14A",66.64381,66.64381,25.012009,25.594496,21.460029,24.022178,2.70335420042172
"ABHD14B",32.82534,32.82534,1.988993,2.13046,2.242736,2.12072966666667,10.8389202567904
"ABHD15",5.26878,5.26878,0.139043,0.156659,0.265244,0.186982,5.28127637992826
"ABHD16A",86.71535,86.71535,34.317671,41.166479,61.739668,45.7412726666667,1.87661449925718
"ABHD16B",14.72959,14.72959,0,0,0,0,15.72959
"ABHD2",40.91668,40.91668,24.811763,18.501694,16.975591,20.0963493333333,1.98691628289305
"ABHD3",21.57691,21.57691,2.112366,4.383957,4.812756,3.769693,4.73340946681474
"ABHD4",20.10291,20.10291,5.832204,5.914283,14.836758,8.86108166666667,2.14001979836898
"ABHD5",9.24127,9.24127,6.272151,9.717485,9.994526,8.66138733333333,1.060020641618
"ABHD6",13.96645,13.96645,12.738211,13.156293,8.173231,11.3559116666667,1.21127848788171
"ABHD8",33.32713,33.32713,7.19407,9.390167,9.704944,8.76306033333333,3.51602149612855
"ABI1",20.06109,20.06109,19.731057,19.365981,20.50402,19.8670193333333,1.00930035399721
"ABI2",14.84458,14.84458,50.424881,51.894418,63.248999,55.1894326666667,0.281985050356266
"ABI3",28.44514,28.44514,0,0.209091,0.075429,0.09484,26.8944685981513
