"Hs_symbol","DRG","dHs_Avg_TPM","Motor_neurons-S18_rep_1","Motor_neurons-S22_rep_2","Motor_neurons-S26_rep_3","Hs_Avg_TPM","FoldChange"
"ABCD4",25.36124,25.36124,58.610022,52.354869,50.095508,53.6867996666667,0.482040275910825
"ABCE1",15.03275,15.03275,47.293811,49.347163,47.386876,48.0092833333333,0.327137001595276
"ABCF1",40.28945,40.28945,49.941811,50.936379,55.648464,52.1755513333333,0.776474318830758
"ABCF2",29.98187,29.98187,19.522918,29.608502,27.332976,25.488132,1.16965099690684
"ABCF3",62.56677,62.56677,46.460597,40.982435,31.451225,39.631419,1.56447329589941
"ABCG1",9.4399,9.4399,2.981022,2.516257,2.216058,2.57111233333333,2.92343086005789
"ABCG2",4.96562,4.96562,0,0.032841,0.010415,0.0144186666666667,5.88082632548823
"ABCG4",11.76067,11.76067,12.913126,10.418173,10.808669,11.3799893333333,1.03074967646714
"ABCG5",0.09409,0.09409,0.106507,0.151389,0.042838,0.100244666666667,0.994406092705441
"ABCG8",0.21953,0.21953,0.375379,0.464493,0.42013,0.420000666666667,0.858823540458432
"ABHD1",2.06988,2.06988,0.400221,0.717874,0.22597,0.448021666666667,2.12005115024752
"ABHD10",33.57802,33.57802,22.938499,24.352688,21.626771,22.9726526666667,1.44239440168755
"ABHD11",27.69246,27.69246,6.937606,7.064101,6.864255,6.95532066666667,3.60670062241782
"ABHD12",152.8051,152.8051,64.546737,62.306897,62.683147,63.178927,2.39650469693892
"ABHD12B",1.73535,1.73535,1.904262,0.479376,0.66991,1.01784933333333,1.35557692777855
"ABHD13",2.89574,2.89574,2.367033,2.196661,1.88721,2.15030133333333,1.23662455993628
"ABHD14A",66.64381,66.64381,22.540257,19.428712,18.954588,20.3078523333333,3.17459539993996
"ABHD14B",32.82534,32.82534,3.320588,2.072545,1.528819,2.30731733333333,10.2274250066922
"ABHD15",5.26878,5.26878,0.626613,0.218831,0.501833,0.449092333333333,4.32600453111223
"ABHD16A",86.71535,86.71535,37.200716,47.134845,37.037113,40.457558,2.11578670407939
"ABHD16B",14.72959,14.72959,0,0,0,0,15.72959
"ABHD2",40.91668,40.91668,13.588883,13.921576,10.695473,12.7353106666667,3.05174604471997
"ABHD3",21.57691,21.57691,1.597983,1.039653,1.180823,1.27281966666667,9.93343657269187
"ABHD4",20.10291,20.10291,25.455379,4.883742,6.507743,12.282288,1.5888008150403
"ABHD5",9.24127,9.24127,10.403327,7.362645,6.909279,8.22508366666667,1.11015470103595
"ABHD6",13.96645,13.96645,11.668832,13.764524,17.829011,14.420789,0.970537240344836
"ABHD8",33.32713,33.32713,9.661101,10.705984,15.55678,11.9746216666667,2.6457133689062
"ABI1",20.06109,20.06109,25.555257,19.141618,16.288946,20.328607,0.987457361842712
"ABI2",14.84458,14.84458,43.432644,40.900572,32.384224,38.9058133333333,0.397049419032014
"ABI3",28.44514,28.44514,0.107534,0.068506,0,0.05868,27.8130691049231
"ABI3BP",4.23384,4.23384,1.876574,1.343379,0.53984,1.25326433333333,2.32278118575524
"ABL1",12.37745,12.37745,18.289946,25.341736,17.462119,20.3646003333333,0.626150257495261
"ABL2",3.27208,3.27208,4.651018,3.942953,3.604234,4.06606833333333,0.843273268126072
"ABLIM1",43.05974,43.05974,78.965193,95.017141,84.824801,86.269045,0.504872489437692
"ABLIM2",16.78901,16.78901,29.024891,22.325349,27.889239,26.4131596666667,0.648922277340789
"ABLIM3",33.63029,33.63029,59.162438,43.070208,35.850085,46.027577,0.736382612270243
"ABO",0.56451,0.56451,0.94183,1.656334,1.424069,1.34074433333333,0.668381410870303
"ABR",47.79537,47.79537,475.702567,515.55903,441.250144,477.503913666667,0.101974860824214
"ABRA",1.81898,1.81898,0.023562,0,0.016861,0.0134743333333333,2.78150112665244
"ABRACL",15.0223,15.0223,17.048097,16.217016,13.732567,15.6658933333333,0.961382608153018
"ABT1",17.48943,17.48943,3.263841,4.270345,3.155402,3.563196,4.05185970534687
"ABTB1",128.13382,128.13382,3.761994,3.647191,4.428543,3.94590933333333,26.1092169906336
"ABTB2",3.15709,3.15709,1.172037,1.371578,1.223632,1.255749,1.84288677508003
"ACAA1",107.02734,107.02734,39.895704,46.043135,40.381622,42.1068203333333,2.50603823628497
"ACAA2",67.23968,67.23968,13.144815,9.897038,9.823666,10.955173,5.7079625698432
"ACACA",24.54583,24.54583,100.200507,77.444775,45.429501,74.358261,0.338991766277622
"ACACB",11.31115,11.31115,5.011705,4.261474,2.549066,3.94074833333333,2.4917581648394
"ACAD10",39.86084,39.86084,12.856185,11.636386,10.582543,11.6917046666667,3.2194918707269
"ACAD11",7.42229,7.42229,18.399625,10.629317,9.67092,12.899954,0.605922149094882
"ACAD8",23.71997,23.71997,23.137744,24.865645,22.47821,23.4938663333333,1.00923103211186
"ACAD9",31.85313,31.85313,17.669058,19.626573,12.870046,16.7218923333333,1.85381613780635
"ACADL",10.45393,10.45393,0.160831,0.314712,0.317482,0.264341666666667,9.05920472446135
"ACADM",32.77307,32.77307,31.655912,30.807253,30.544017,31.002394,1.05532948566285
"ACADS",28.90512,28.90512,3.004861,4.19166,2.473391,3.223304,7.08097735801164
"ACADSB",5.8542,5.8542,3.572105,3.466148,3.181139,3.406464,1.55548757461765
"ACADVL",745.69976,745.69976,223.022625,188.605112,238.198574,216.608770333333,3.43138633087354
"ACAN",0.09409,0.09409,0.292759,0.315011,0.284229,0.297333,0.84333783230674
"ACAP1",16.41267,16.41267,11.286318,12.913279,6.490646,10.230081,1.55053823743569
"ACAP2",5.09106,5.09106,11.321554,4.989484,5.03907,7.11670266666667,0.750435275276808
"ACAP3",67.2815,67.2815,201.068487,222.065102,155.227804,192.787131,0.352353118845647
"ACAT1",141.03397,141.03397,109.114332,109.952951,112.925312,110.664198333333,1.27197411632338
"ACAT2",82.49196,82.49196,119.603573,70.690947,60.766009,83.686843,0.985890570982791
"ACBD3",11.19616,11.19616,65.899098,64.268898,51.033552,60.400516,0.198632858394871
"ACBD4",14.40552,14.40552,3.64765,3.399864,4.113433,3.72031566666667,3.26366308693903
"ACBD5",20.22836,20.22836,28.434973,21.567845,22.642447,24.2150883333333,0.841891161330455
"ACBD6",80.75661,80.75661,45.008644,45.056697,44.61445,44.8932636666667,1.78145120804258
"ACBD7",0.48088,0.48088,1.034596,0.949647,0.691054,0.891765666666667,0.782803085019163
"ACCS",11.22752,11.22752,5.273883,5.411674,5.203006,5.29618766666667,1.94205138845131
"ACCSL",0,0,0,0,0,0,1
"ACD",16.4963,16.4963,12.408905,8.62736,10.509139,10.5151346666667,1.51941774946387
"ACE",6.07373,6.07373,5.405634,2.557996,4.848241,4.27062366666667,1.34210492863242
"ACE2",0.1359,0.1359,0.05341,0,0.099057,0.0508223333333333,1.08096294108709
"ACER1",0.10454,0.10454,0.145606,0.072291,0.066789,0.0948953333333333,1.00880875675788
"ACER2",0.08363,0.08363,0.989215,1.238033,0.764366,0.997204666666667,0.542573336666881
"ACER3",11.8234,11.8234,5.100368,4.487993,5.453281,5.01388066666667,2.13230037487719
"ACHE",247.40272,247.40272,150.826048,123.139185,143.64468,139.203304333333,1.77173227964316
"ACIN1",36.56785,36.56785,80.771096,83.773455,54.064282,72.869611,0.508569755430281
"ACLY",93.47905,93.47905,258.665498,200.768091,176.389823,211.941137333333,0.44368622795559
"ACMSD",0.1359,0.1359,0.069346,0.050982,0.281347,0.133891666666667,1.00177118625383
"ACO1",12.07429,12.07429,12.481148,12.32891,11.425298,12.078452,0.999681766618863
"ACO2",112.07659,112.07659,69.325062,71.569862,65.685688,68.860204,1.61861236477351
"ACOT1",4.03522,4.03522,2.514575,1.663513,2.042674,2.07358733333333,1.63822252434235
"ACOT11",1.43219,1.43219,1.059936,0.383645,0.558014,0.667198333333333,1.4588486272879
"ACOT12",0.22999,0.22999,0.137311,0.78691,0.64326,0.522493666666667,0.807878565887849
"ACOT13",113.34151,113.34151,14.096614,5.754241,11.441671,10.430842,10.0028947998756
"ACOT2",11.03935,11.03935,9.413227,10.383521,11.05022,10.2823226666667,1.06709853597522
"ACOT4",2.35213,2.35213,0.689296,0.540441,0.531756,0.587164333333333,2.11202452676083
"ACOT6",0.09409,0.09409,0.172208,0.138878,0.065032,0.125372666666667,0.972202393399757
"ACOT7",824.49103,824.49103,144.140782,166.680788,158.146086,156.322552,5.24712458262182
"ACOT8",123.19957,123.19957,21.302306,21.395702,21.651743,21.449917,5.53229528643692
"ACOT9",22.4864,22.4864,15.355328,9.120068,8.944808,11.140068,1.93461848813367
