"Hs_symbol","Mm_genes","DRG-S1","DRG-S7","DRG-S13","DRG-S1_read","DRG-S7_read","DRG-S13_read","Mm_Avg_TPM","Heart","dHs_Avg_TPM","FoldChange"
"AASDH","Aasdh",6.960489,8.130195,6.147941,341,79,114,7.07954166666667,8.52662,8.52662,0.848101600217776
"AASDHPPT","Aasdhppt",9.569516,9.23858,10.046699,1046,255,433,9.618265,40.52044,40.52044,0.255735849620091
"AASS","Aass",0.446771,0.225671,0.515404,40,8,17,0.395948666666667,43.22771,43.22771,0.0315627615959919
"AATF","Aatf",8.28501,7.465639,8.82369,481,118,197,8.19144633333333,24.35275,24.35275,0.362542380346642
"AATK","Aatk",101.175735,106.182921,113.743123,10769,2643,4798,107.033926333333,0.83495,0.83495,58.8756785380165
"ABAT","Abat",24.548925,25.806704,29.076187,2980,710,1214,26.477272,46.07413,46.07413,0.583702173571769
"ABCA1","Abca1",14.538765,14.680589,13.673699,4922,1115,1967,14.2976843333333,15.72492,15.72492,0.91466412594699
"ABCA13","Abca13",0.026318,0.017482,0.051169,15,3,14,0.0316563333333333,0.0253,0.0253,1.0061994863292
"ABCA17P","Abca17",0.241964,0.12923,0.257969,35,5,6,0.209721,1.08797,1.08797,0.579376619395872
"ABCA2","Abca2",70.353022,71.44658,66.893322,9729,2082,3846,69.564308,0.78435,0.78435,39.5462257965085
"ABCA3","Abca3",29.995284,25.735844,33.069807,7843,1645,2919,29.6003116666667,1.10062,1.10062,14.567276169258
"ABCA4","Abca4",0.218113,0.144422,0.457021,16,3,4,0.273185333333333,0.0506,0.0506,1.21186496605115
"ABCA5","Abca5",22.448123,21.41967,24.32496,6816,1769,2833,22.7309176666667,33.05648,33.05648,0.696810641225008
