"Hs_symbol","Mm_genes","DRG-S1","DRG-S7","DRG-S13","DRG-S1_read","DRG-S7_read","DRG-S13_read","Mm_Avg_TPM","Spinal_cord","dHs_Avg_TPM","FoldChange"
"ABCA2","Abca2",70.353022,71.44658,66.893322,9729,2082,3846,69.564308,1386.02317,1386.02317,0.0508746425627482
"ABCA3","Abca3",29.995284,25.735844,33.069807,7843,1645,2919,29.6003116666667,35.31704,35.31704,0.842588263434098
"ABCA4","Abca4",0.218113,0.144422,0.457021,16,3,4,0.273185333333333,2.54481,2.54481,0.359168850610705
"ABCA5","Abca5",22.448123,21.41967,24.32496,6816,1769,2833,22.7309176666667,14.95854,14.95854,1.48703563525653
"ABCA6","Abca6",20.340663,20.054591,22.962028,4456,1036,1929,21.119094,19.48954,19.48954,1.07953101924201
"ABCA7","Abca7",28.284582,28.185107,28.557071,8307,2009,3301,28.3422533333333,38.79288,38.79288,0.737374458278299
"ABCA8","Abca8b",12.161258,12.465005,14.473483,3737,944,1732,13.0332486666667,53.1928,53.1928,0.258950426378904
"ABCA9","Abca9",2.510507,2.960071,2.962372,676,194,314,2.81098333333333,5.27583,5.27583,0.607247700038614
"ABCB1","Abcb1a",40.156561,54.850987,5.961506,1174,289,483,33.6563513333333,34.57222,34.57222,0.97425326092477
"ABCB10","Abcb10",5.679646,5.373036,5.311046,963,220,368,5.454576,5.12066,5.12066,1.05455555446635
"ABCB11","Abcb11",0,0,0.012404,0,0,1,0.00413466666666667,0,0,1.00413466666667
"ABCB4","Abcb4",2.85706,2.376162,2.887682,430,81,174,2.706968,4.43791,4.43791,0.681689840398241
"ABCB5","Abcb5",0,0,0,0,0,0,0,0.18621,0.18621,0.843021050235624
"ABCB6","Abcb6",11.693171,5.646987,10.839573,709,152,266,9.39324366666667,28.7688,28.7688,0.349132100275008
"ABCB7","Abcb7",7.456802,7.129243,7.31946,1722,415,663,7.301835,9.12409,9.12409,0.820008020473939
"ABCB8","Abcb8",25.498487,22.60307,29.797684,1350,316,528,25.9664136666667,16.97577,16.97577,1.50015346584133
"ABCB9","Abcb9",15.429411,12.471241,16.112352,1637,348,695,14.6710013333333,19.58265,19.58265,0.761369470565419
