"Hs_symbol","Mm_genes","DRG-S1","DRG-S7","DRG-S13","DRG-S1_read","DRG-S7_read","DRG-S13_read","Mm_Avg_TPM","Brain_1_Nucleus_accumbens","Brain_1_Caudate_nucleus","Brain_1_Frontal_cortex","dHs_Avg_TPM","FoldChange"
"ABCC10","Abcc10",2.622562,2.513981,2.584121,288,85,131,2.57355466666667,43.66756,37.52598,47.14886,42.7808,0.0816237863781993
"ABCC12","Abcc12",0.581075,0.452147,0.584976,67,15,32,0.539399333333333,0.19879,0.11053,5.26547,1.85826333333333,0.538578554110363
"ABCC2","Abcc2",0.140255,0.055143,0.014914,11,3,2,0.070104,0.76203,0.4974,0.26218,0.507203333333333,0.709993121918962
"ABCC3","Abcc3",0.786365,0.247674,1.21136,64,13,30,0.748466333333333,0.34788,1.1606,1.76972,1.09273333333333,0.835494090662929
"ABCC5","Abcc5",198.841532,203.71343,188.884774,9456,2400,3630,197.146578666667,56.07537,36.86278,41.27163,44.7365933333333,4.33234231554048
"ABCC6","Abcc6",0.085526,0.0381,0.217017,4,2,4,0.113547666666667,1.49093,1.93433,0.74285,1.38937,0.466042373791697
"ABCC9","Abcc9",0.457331,0.586749,0.748134,144,44,89,0.597404666666667,4.50591,6.68725,4.85035,5.34783666666667,0.251645521230067
"ABCD1","Abcd1",3.015163,2.892315,3.204815,439,97,175,3.037431,5.74835,9.11898,4.91589,6.59440666666667,0.531632183686064
"ABCD2","Abcd2",12.532056,12.875819,24.69632,1069,277,522,16.7013983333333,2.31922,2.81859,2.81844,2.65208333333333,4.84693166001141
"ABCD3","Abcd3",23.050902,26.579739,25.839073,2983,814,1204,25.1565713333333,15.57189,20.36572,16.73588,17.55783,1.40946281614463
"ABCD4","Abcd4",7.701302,7.200632,7.596608,671,162,279,7.499514,152.14069,105.3933,111.73274,123.08891,0.0684953554673016
"ABCE1","Abce1",34.359215,33.442045,35.396792,5248,1252,2130,34.3993506666667,13.71652,12.73894,10.83681,12.4307566666667,2.63569295053369
"ABCF1","Abcf1",48.874882,43.044373,42.180863,2775,693,1070,44.7000393333333,49.05146,56.31661,38.89016,48.0860766666667,0.931018375000161
"ABCF2","Abcf2",34.216991,31.769168,33.397482,3604,812,1372,33.1278803333333,28.19506,21.08419,28.0315,25.77025,1.27484354211609
"ABCF3","Abcf3",239.440985,240.481862,262.081136,2543,620,992,247.334661,78.67118,63.80522,52.65465,65.0436833333333,3.76015764818286
"ABCG1","Abcg1",18.773829,17.063098,18.789429,2286,536,842,18.2087853333333,18.12303,12.51787,7.14443,12.59511,1.41291871366494
"ABCG2","Abcg2",54.978868,56.39503,59.840227,2779,666,1263,57.071375,17.85798,27.32931,8.2587,17.81533,3.08638620741704
"ABCG5","Abcg5",0.010563,0.043488,0,1,1,0,0.018017,0.28162,0.1658,0.28403,0.243816666666667,0.818462259979365
"ABCG8","Abcg8",0.091383,0.209021,0.104162,14,7,6,0.134855333333333,0.29819,0,0.15294,0.150376666666667,0.986507607653145
"ABHD1","Abhd1",0.248361,0.11232,0.155026,13,1,3,0.171902333333333,10.0886,9.45058,8.8923,9.47716,0.111853053053817
"ABHD10","Abhd10",17.746552,16.650794,17.367814,1666,373,628,17.2550533333333,22.52954,22.41058,17.95939,20.9665033333333,0.83104047359381
"ABHD11","Abhd11",21.328858,20.942596,21.510674,760,193,291,21.2607093333333,16.91372,21.94082,33.27512,24.04322,0.888891657435958
"ABHD12","Abhd12",214.181303,199.363481,208.134202,7251,1684,2832,207.226328666667,139.31873,160.19007,140.39784,146.635546666667,1.41040781416147
"ABHD13","Abhd13",3.425154,2.566317,3.608387,713,132,298,3.19995266666667,2.55114,2.18303,2.97138,2.56851666666667,1.17694635025758
"ABHD14A","Abhd14a",19.7553,20.709479,18.454951,796,192,283,19.63991,100.62092,85.88421,147.54227,111.349133333333,0.183712231573363
"ABHD14B","Abhd14b",18.377497,14.011024,14.704548,754,156,268,15.6976896666667,17.4604,16.66286,17.12915,17.0841366666667,0.923333525644299
"ABHD15","Abhd15",1.258226,1.963905,0.849918,121,26,37,1.35734966666667,2.79963,4.11736,1.83527,2.91742,0.601760767716167
"ABHD16A","Abhd16a",70.646955,78.385633,75.72245,2758,659,1094,74.918346,76.41823,54.02305,65.08639,65.17589,1.14722062672674
"ABHD16B","Abhd16b",0.100346,0.059159,0.073675,7,1,2,0.0777266666666667,8.61424,10.05851,6.77301,8.48192,0.113661227543226
"ABHD2","Abhd2",36.723837,35.505954,38.19751,10887,2566,4419,36.8091003333333,19.76305,20.08939,15.7964,18.5496133333333,1.93400757798449
"ABHD3","Abhd3",14.353249,12.050526,13.142816,749,205,280,13.182197,9.04495,19.39856,10.05027,12.83126,1.02537274261347
"ABHD4","Abhd4",50.359455,48.462447,50.512159,4010,834,1505,49.7780203333333,36.0804,28.37937,21.43328,28.6310166666667,1.71367796470028
"ABHD5","Abhd5",30.875776,28.899154,33.675929,1450,328,540,31.1502863333333,7.91847,8.78738,8.08391,8.26325333333333,3.47073378827309
"ABHD6","Abhd6",12.397356,10.977638,11.245281,974,215,348,11.5400916666667,19.4483,16.1931,16.18967,17.2770233333333,0.686112362935832
"ABHD8","Abhd8",37.222072,31.595592,35.732559,2814,569,1151,34.8500743333333,83.24335,93.48336,137.25167,104.65946,0.339298292205292
"ABI1","Abi1",73.499723,76.395454,73.837698,3519,880,1307,74.577625,43.51847,43.99217,49.00597,45.5055366666667,1.62513176746482
"ABI2","Abi2",33.5103,22.271769,32.250394,3171,695,1283,29.3441543333333,73.75113,74.22297,58.16045,68.7115166666667,0.435281798249022
"ABI3","Abi3",0.648225,0.232863,1.080233,18,6,10,0.653773666666667,6.44411,3.67523,2.97138,4.36357333333333,0.308334306979427
"ABL1","Abl1",8.536541,8.902709,11.083969,1262,319,543,9.50773966666667,25.67705,28.43464,26.69875,26.9368133333333,0.376125205881272
"ABL2","Abl2",5.264426,4.654585,6.798877,2047,472,841,5.57262933333333,8.54797,5.94115,4.17305,6.22072333333333,0.910245280135831
"ABLIM1","Ablim1",44.867705,42.117908,43.063424,9236,2061,3536,43.349679,67.88682,57.25614,45.24804,56.797,0.767335311521359
"ABLIM2","Ablim2",27.7936,29.426839,21.693994,1532,345,560,26.304811,193.90317,178.5662,144.28686,172.252076666667,0.157601637598456
"ABLIM3","Ablim3",13.169178,12.081958,12.860354,2375,528,912,12.70383,18.85193,25.06338,17.26024,20.39185,0.640609858427392
"ABO","Abo",0.10168,0,0.037192,7,0,1,0.0462906666666667,0.89456,2.68043,0.69915,1.42471333333333,0.43151107897291
"ABR","Abr",59.447352,52.550682,58.358209,10128,2156,3916,56.7854143333333,299.60981,317.03652,304.52305,307.05646,0.187580595886005
"ABRA","Abra",0.017227,0,0.044071,2,0,2,0.0204326666666667,0.14909,0.05527,0,0.06812,0.955353955235991
"ABRACL","Abracl",37.088713,47.865666,52.35161,184,56,84,45.768663,18.95132,11.68887,21.1711,17.27043,2.5598008913857
"ABT1","Abt1",1.783222,1.437852,1.858162,334,66,136,1.69307866666667,8.41545,8.04128,6.16125,7.53932666666667,0.315373655534121
"ABTB1","Abtb1",46.710301,42.045226,46.427737,1463,361,559,45.061088,115.24856,79.80489,91.19524,95.41623,0.47773168480037
"ABTB2","Abtb2",16.08518,16.368571,14.737303,2968,692,1128,15.7303513333333,6.80856,6.24512,9.94102,7.6649,1.93081874382086
"ACAA1","Acaa1b",0.255714,0.200968,0.42739,5,3,3,0.294690666666667,99.64354,88.26067,80.7517,89.55197,0.0142977636672804
"ACAA2","Acaa2",48.921519,40.774913,50.141634,1806,371,659,46.6126886666667,63.01646,61.15243,33.38436,52.51775,0.8896616293971
"ACACA","Acaca",28.483863,24.922881,36.571534,7673,1813,3098,29.9927593333333,36.95839,37.99575,40.70358,38.5525733333333,0.783583891549576
"ACACB","Acacb",2.097291,2.286744,2.776692,428,116,205,2.386909,20.49195,31.50193,31.19952,27.7311333333333,0.117882888945093
"ACAD10","Acad10",5.900381,5.058764,3.772682,398,85,139,4.910609,24.91503,22.63165,26.08699,24.5445566666667,0.231384285784564
"ACAD11","Acad11",8.306437,8.234552,10.686786,908,217,371,9.075925,18.22243,17.18789,9.94102,15.1171133333333,0.625169333466249
"ACAD8","Acad8",19.029721,18.683449,17.581744,1000,249,370,18.431638,43.56816,32.08223,31.52725,35.72588,0.529099316340412
"ACAD9","Acad9",35.76316,32.365758,33.771603,1593,407,659,33.9668403333333,27.96314,25.78184,27.98781,27.2442633333333,1.23801566076132
"ACADL","Acadl",73.220247,63.531695,77.515492,4260,1046,1720,71.422478,1.32527,1.63036,0.52436,1.15999666666667,33.5289767422481
"ACADM","Acadm",104.286834,133.069582,89.941463,2042,555,727,109.099293,52.48059,49.82279,36.42129,46.2415566666667,2.33056022638825
"ACADS","Acads",9.784882,10.757871,9.318308,551,138,214,9.953687,17.75858,19.89596,16.93251,18.1956833333333,0.570632824567329
"ACADSB","Acadsb",96.232375,126.89331,108.03208,1698,455,653,110.385921666667,15.12461,11.57834,8.215,11.6393166666667,8.81265376952077
"ACADVL","Acadvl",42.023617,41.941155,42.073591,3114,819,1237,42.0127876666667,850.20868,1070.84452,774.50407,898.51909,0.0478175373317165
"ACAN","Acan",0.130892,0.191164,0.119876,36,15,14,0.147310666666667,0.71233,1.18823,1.63863,1.17973,0.52635448732947
"ACAP1","Acap1",0.091783,0.232758,0.226778,10,6,5,0.183773,120.28457,95.39005,24.71054,80.1283866666667,0.0145913538853396
"ACAP2","Acap2",20.793923,20.213468,20.579347,2488,592,1000,20.5289126666667,6.75886,7.87548,5.09068,6.57500666666667,2.84209818077168
"ACAT1","Acat1",45.268253,39.492711,43.532401,3117,754,1257,42.764455,91.26122,90.63713,80.1181,87.3388166666667,0.495415907201232
"ACAT2","Acat2",118.574216,110.048324,111.242826,6929,1639,2550,113.288455333333,14.59451,10.77698,17.1073,14.1595966666667,7.53901689117059
"ACBD3","Acbd3",19.496714,17.2792,18.511416,2687,586,1015,18.42911,8.61424,9.22951,9.74439,9.19604666666667,1.9055532634544
"ACBD5","Acbd5",54.568877,48.479724,53.439881,5713,1396,2284,52.1628273333333,27.4496,28.9044,23.68367,26.6792233333333,1.92067626656673
"ACBD6","Acbd6",31.172844,27.736285,33.386355,1047,224,446,30.7651613333333,159.59532,134.10426,263.79763,185.832403333333,0.170019551033983
"ACBD7","Acbd7",2.097597,1.943282,1.424488,26,6,7,1.821789,60.8629,83.23141,60.76041,68.2849066666667,0.0407273262786623
"ACCS","Accs",5.583149,6.109839,6.953522,303,83,147,6.21550333333333,16.40018,12.6284,11.6015,13.54336,0.49613729793757
"ACCSL","Accsl",0.399985,0.65421,0.94449,14,3,7,0.666228333333333,0,0.0829,0,0.0276333333333333,1.62142301080152
"ACD","Acd",9.397863,8.513551,9.52039,513,112,212,9.14393466666667,21.63499,14.56273,22.17613,19.45795,0.495843164474772
"ACE","Ace",1.529936,1.266676,2.28227,228,53,111,1.69296066666667,35.79878,27.88197,7.51585,23.7322,0.108884800651243
"ACE2","Ace2",0.39351,0.513533,0.554108,55,13,29,0.487050333333333,0.66263,0.829,0,0.49721,0.993214267426302
"ACE3P","Ace3",0.011205,0.046179,0,1,1,0,0.019128,0,0,0,0,1.019128
"ACER1","Acer1",0.010316,0,0,1,0,0,0.00343866666666667,0.6295,0.3316,0.37142,0.444173333333333,0.694818719821259
"ACER2","Acer2",1.42388,1.059207,1.465725,188,45,74,1.31627066666667,1.95477,1.13296,1.42015,1.50262666666667,0.925535837013911
"ACER3","Acer3",11.530842,8.637076,12.811604,2090,500,908,10.993174,22.21479,21.27762,19.8602,21.1175366666667,0.542247275578157
"ACHE","Ache",38.543926,55.551307,51.784107,3098,717,1169,48.6264466666667,124.93958,128.46708,62.90155,105.43607,0.466255909924771
"ACIN1","Acin1",47.715773,48.866846,39.717388,3077,703,1044,45.4333356666667,84.9662,86.90664,82.0626,84.6451466666667,0.542159567399499
"ACLY","Acly",260.392702,266.512395,241.396209,29254,7300,11058,256.100435333333,34.88766,21.19472,31.22137,29.10125,8.54118800160569
"ACMSD","Acmsd",0.189202,0.252901,0.032532,16,5,1,0.158211666666667,0.0497,0.2487,0,0.0994666666666667,1.05343045112782
"ACO1","Aco1",7.573506,6.423898,6.797077,1067,248,407,6.93149366666667,16.64867,16.08256,13.32753,15.35292,0.48502002496598
"ACO2","Aco2",152.882375,199.289559,138.928187,10153,2348,3906,163.700040333333,194.64864,168.23135,188.20215,183.694046666667,0.891745258203053
"ACOT1","Acot3",0.045948,0,0.019346,4,0,1,0.0217646666666667,2.23639,3.31599,4.85035,3.46757666666667,0.22870668886115
"ACOT11","Acot11",5.597158,7.963591,11.898845,600,147,282,8.48653133333333,4.55561,7.12938,9.43851,7.04116666666667,1.1797456422161
"ACOT12","Acot12",0.253707,0.347489,0.164709,20,3,8,0.255301666666667,0.0497,0,0,0.0165666666666667,1.23484441092566
"ACOT13","Acot13",205.896612,167.600238,198.430747,1013,228,414,190.642532333333,37.93578,57.75354,36.3339,44.00774,4.25799056636333
"ACOT2","Acot2",1.608437,2.231103,1.605401,127,42,54,1.81498033333333,8.051,10.61118,19.33584,12.6660066666667,0.205984118257418
"ACOT4","Acot4",0.992779,0.335627,0.515927,108,21,53,0.614777666666667,2.96529,3.31599,4.67556,3.65228,0.347093826396233
"ACOT6","Acot6",2.60611,2.315262,2.593869,342,74,141,2.50508033333333,1.62345,0.19343,0.26218,0.69302,2.07031242001473
"ACOT7","Acot7",344.989077,443.110743,384.06596,14119,3064,5131,390.721926666667,154.75809,102.10494,213.74293,156.868653333333,2.48131543783782
"ACOT8","Acot8",5.935894,5.306174,7.500256,219,50,102,6.24744133333333,66.89287,65.57375,49.87991,60.7821766666667,0.117306345039208
"ACOT9","Acot9",26.639485,27.561747,26.413979,1699,442,663,26.871737,13.46803,14.06534,14.22331,13.9188933333333,1.8682174593826
"ACOX1","Acox1",47.232225,43.761836,45.586086,6737,1580,2594,45.5267156666667,62.50292,72.70314,76.18538,70.4638133333333,0.651052798563226
"ACOX2","Acox2",0.274602,0.923317,0.505337,7,3,3,0.567752,13.50116,16.5247,11.05529,13.6937166666667,0.106695401549188
"ACOX3","Acox3",31.629305,24.683028,32.841768,2119,531,940,29.7180336666667,8.46514,6.68725,23.55258,12.9016566666667,2.20966712120882
"ACOXL","Acoxl",0.278136,0.365673,0.129186,7,1,3,0.257665,0,0.05527,0,0.0184233333333333,1.2349137719416
"ACP1","Acp1",69.524444,80.252228,59.21009,2779,715,1126,69.662254,58.74247,61.70509,55.34201,58.5965233333333,1.1856774531087
"ACP2","Acp2",20.104189,18.283754,25.826221,3506,850,1395,21.4047213333333,38.03517,21.63685,46.29677,35.32293,0.616820320754227
"ACP5","Acp5",0.179136,0.609455,0.256272,9,1,5,0.348287666666667,4.42308,6.63199,1.9882,4.34775666666667,0.252122104782878
"ACP6","Acp6",4.6856,4.305309,3.799063,212,42,65,4.263324,9.44253,12.54551,9.70069,10.56291,0.455190259199458
"ACR","Acr",0.201876,0.564647,0.515537,11,7,9,0.427353333333333,2.81619,1.3264,1.81342,1.98533666666667,0.478121395576825
"ACRBP","Acrbp",3.415024,1.196725,2.57384,77,13,19,2.39519633333333,3.9261,2.45936,2.16299,2.84948333333333,0.881987539453347
"ACRV1","Acrv1",0.114023,0.122849,0.250645,15,4,13,0.162505666666667,5.84774,3.01203,4.1075,4.32242333333333,0.218416610979836
"ACSBG1","Acsbg1",34.319032,30.107846,30.144743,2415,552,943,31.5238736666667,88.3125,109.42775,56.1067,84.61565,0.379882342383275
"ACSBG2","Acsbg2",0,0,0,0,0,0,0,0.59637,0.77373,0.10924,0.493113333333333,0.669741524421008
"ACSF2","Acsf2",2.962773,6.226708,2.39288,242,54,70,3.860787,51.30441,52.55848,47.82616,50.5630166666667,0.0942688638917881
"ACSF3","Acsf3",7.079854,7.732363,7.600715,636,166,267,7.47097733333333,61.67463,58.77597,55.18907,58.5465566666667,0.142258054999766
"ACSL1","Acsl1",31.518812,33.060954,24.203139,2001,474,766,29.5943016666667,34.42382,22.99088,27.48529,28.2999966666667,1.04417423710742
"ACSL3","Acsl3",45.969302,57.728258,62.958441,2506,745,1153,55.5520003333333,44.29706,41.69861,41.796,42.5972233333333,1.29714683664487
"ACSL4","Acsl4",53.619701,41.553782,41.232363,4215,1119,1724,45.4686153333333,16.20139,7.04648,11.47041,11.57276,3.69597569136238
"ACSL5","Acsl5",90.390459,93.88375,81.628422,2955,774,1189,88.6342103333333,9.19404,8.12418,3.23356,6.85059333333333,11.4175077637444
"ACSL6","Acsl6",48.881353,50.106389,54.954088,5551,1364,2527,51.3139433333333,35.4509,34.34816,47.73876,39.1792733333333,1.30201317727498
"ACSM1","Acsm1",0,0,0,0,0,0,0,0.84486,0,0,0.28162,0.780262480298372
"ACSM2B","Acsm2",0.043686,0.05714,0.026859,10,4,3,0.0425616666666667,0.0994,0.46977,0,0.189723333333333,0.876305975899159
"ACSM3","Acsm3",1.668536,0.086036,4.170879,7,1,6,1.97515033333333,0.59637,0.22107,1.02687,0.61477,1.84246074260318
"ACSM4","Acsm4",0.011681,0,0,1,0,0,0.00389366666666667,0.16566,0,0.10924,0.0916333333333333,0.919625332071208
"ACSM5","Acsm5",0.010922,0,0.067589,1,0,1,0.0261703333333333,7.48776,8.98081,5.4621,7.31022333333333,0.123482882730388
"ACSS1","Acss1",5.087956,4.342374,2.77257,379,83,138,4.06763333333333,57.94731,78.25742,61.83098,66.0119033333333,0.075622883118626
"ACSS2","Acss2",32.116218,36.911547,32.976423,2928,717,1271,34.001396,43.78352,30.83873,37.47001,37.3640866666667,0.912347954588779
"ACSS3","Acss3",0.843975,1.166672,1.521837,128,38,81,1.17749466666667,12.72257,14.9496,21.32404,16.33207,0.125633849082462
"ACTA1","Acta1",1.394919,0.378221,25.322945,73,5,539,9.03202833333333,40.80167,32.41383,12.49729,28.57093,0.339253054717364
"ACTA2","Acta2",4.303764,4.087699,3.435474,254,52,85,3.94231233333333,30.26579,39.46031,26.13069,31.9522633333333,0.149984002110528
"ACTB","Actb",1556.786857,1612.427402,1492.218794,24658,5626,8954,1553.81101766667,3995.79691,3014.15431,4181.63155,3730.52759,0.416668771747355
"ACTBL2","Actbl2",0,0,0,0,0,0,0,0,0,0,0,1
"ACTC1","Actc1",0.036088,0.148678,0.092232,2,2,2,0.0923326666666667,12.0765,11.13621,6.51082,9.90784333333333,0.100141946788748
