"Hs_symbol","hDRG1_read","hDRG1_TPM","hDRG2_read","hDRG2_TPM","hDRG3_read","hDRG3_TPM","Avg_TPM","Nociceptor(4Weeks)-S19_rep_1","Nociceptor(4Weeks)-S23_rep_2","Nociceptor(4Weeks)-S27_rep_3","Hs_Avg_TPM","Nociceptor(4Weeks)-S19_rep_1_read","Nociceptor(4Weeks)-S23_rep_2_read","Nociceptor(4Weeks)-S27_rep_3_read","FoldChange"
"ABCA8",21287,42.2094,22716,48.3467,18829,39.2519,43.2693333333,8.680828,3.745783,8.184944,6.87051833333333,258,141,202,5.62470366733152
"ABCA9",5259,10.626,5044,10.9391,5832,12.3886,11.3179,2.080644,1.631188,5.048676,2.92016933333333,56,70,42,3.14218569469958
"ABCB1",995,0.828961,1158,1.03552,996,0.872385,0.912288666667,0.242278,0.606745,0.127132,0.325385,1,5,2,1.44281749579707
"ABCB10",355,1.47221,460,2.04757,446,1.94452,1.82143333333,4.487977,5.694735,6.12157,5.43476066666667,229,188,232,0.438467486125099
"ABCB11",19,0.0286572,12,0.0194269,19,0.0301282,0.0260707666667,1.580405,3.39585,0.543683,1.83997933333333,8,15,6,0.361295152617319
"ABCB4",69,0.153091,99,0.235763,83,0.193605,0.194153,0.391427,0.466284,0.700631,0.519447333333333,11,23,7,0.785912728794812
"ABCB5",16,0.0172721,27,0.0312846,21,0.0238333,0.02413,0.218901,0.076822,0,0.0985743333333333,4,2,0,0.932235506442744
"ABCB6",899,17.0286,863,17.5457,699,13.9198,16.1647,17.599676,11.88309,16.193697,15.2254876666667,250,162,216,1.05788499875186
"ABCB7",498,0.823202,595,1.05569,653,1.13482,1.00457066667,5.349743,5.631146,5.087587,5.35615866666667,135,114,121,0.315374548024184
"ABCB8",1140,10.2865,1000,9.68508,836,7.93062,9.30073333333,25.451568,21.496367,20.678115,22.5420166666667,717,431,556,0.437546769216033
"ABCB9",1253,3.60629,1433,4.42686,1068,3.23161,3.75492,20.038858,11.346602,23.406662,18.2640406666667,473,230,418,0.246828797876638
"ABCC1",825,0.744849,630,0.610513,796,0.755554,0.703638666667,8.866004,11.470193,9.218329,9.85150866666667,759,724,593,0.156995558774255
"ABCC10",821,6.21923,787,6.39895,608,4.84212,5.8201,67.229562,58.653056,74.269479,66.7173656666667,908,586,738,0.100714195433582
"ABCC12",22,0.0512362,10,0.0249974,9,0.0220361,0.0327565666667,0,0,0,0,0,0,0,1.0327565666667
"ABCC2",51,0.127363,49,0.131343,94,0.246796,0.168500666667,1.027977,1.07924,0.751123,0.95278,20,15,18,0.598378038830283
"ABCC3",107,0.325222,68,0.221843,216,0.690221,0.412428666667,0.387771,0.982346,0.063447,0.477854666666667,3,5,1,0.955729070337318
"ABCC4",589,0.365351,764,0.508661,1042,0.679517,0.517843,3.039078,1.546278,3.664319,2.74989166666667,130,109,125,0.404769826683882
"ABCC5",4107,7.32087,3602,6.89163,3384,6.34171,6.85140333333,47.052923,36.864191,46.334162,43.417092,2382,1605,1925,0.17676536170648
"ABCC6",60,0.140518,55,0.138256,50,0.123109,0.133961,0.700877,0.769524,0.372597,0.614332666666667,31,27,18,0.702433286158698
"ABCC8",325,0.672859,385,0.855543,185,0.402671,0.643691,29.752164,6.667184,22.439929,19.619759,265,116,210,0.0797143652357915
"ABCC9",94,0.113153,173,0.223523,310,0.392316,0.242997333333,0.152849,0.551804,0.203548,0.302733666666667,19,57,23,0.954145398355663
"ABCD1",264,2.31762,256,2.41223,305,2.81498,2.51494333333,7.294446,8.044954,7.763412,7.70093733333333,256,196,196,0.403972951266323
"ABCD2",242,0.605942,370,0.994392,336,0.88449,0.828274666667,0.010725,0,0.024448,0.0117243333333333,1,0,2,1.80708776732035
"ABCD3",2126,3.70381,2650,4.95531,2365,4.33166,4.33026,11.69952,13.13055,9.707609,11.5125596666667,544,496,467,0.425992773820672
"ABCD4",1255,12.3263,1060,11.1747,982,10.14,11.2136666667,70.916088,64.134004,67.343217,67.4644363333333,895,680,780,0.178394321501973
"ABCE1",1529,8.55123,1799,10.7992,1859,10.9305,10.0936433333,31.583438,49.79339,37.572001,39.6496096666667,980,1003,995,0.272908975615502
"ABCF1",1386,9.38973,1319,9.59125,1352,9.62952,9.53683333333,79.412855,49.138765,60.340286,62.9639686666667,982,733,819,0.164730762536644
"ABCF2",1281,11.5773,1339,12.9891,1269,12.0575,12.2079666667,41.126604,23.175533,34.428163,32.9101,544,392,458,0.389499490319993
"ABCF2",1264,14.0453,1300,15.5048,1236,14.4391,14.6630666667,41.126604,23.175533,34.428163,32.9101,544,392,458,0.461899748650107
"ABCF3",1334,29.1675,1379,32.363,1039,23.8835,28.4713333333,48.291703,49.874702,42.97229,47.0462316666667,634,530,501,0.613395313450701
"ABCG1",450,0.805841,586,1.12635,828,1.55885,1.16368033333,4.150456,4.415328,3.848561,4.138115,183,146,140,0.42110391326975
"ABCG2",670,0.82732,1233,1.63419,582,0.755544,1.07235133333,2.961168,3.343736,4.879457,3.72812033333333,130,124,137,0.438303424453876
"ABCG4",401,5.1503,416,5.73484,237,3.20018,4.69510666667,3.253555,1.724564,3.36298,2.78036633333333,122,50,91,1.50649597539092
"ABCG5",8,0.0529511,20,0.142087,8,0.055669,0.0835690333333,0,0.053623,0,0.0178743333333333,0,2,0,1.06454107137649
"ABCG8",24,0.0821356,29,0.106527,16,0.0575676,0.0820767333333,0.166037,0.120609,0.140823,0.142489666666667,13,5,8,0.947121680750402
"ABHD1",84,2.08923,91,2.42934,76,1.98727,2.16861333333,0.539133,1.449996,2.556852,1.515327,16,11,17,1.25972222829477
"ABHD10",991,12.057,1290,16.846,1040,13.3026,14.0685333333,17.896254,16.509149,18.709231,17.704878,474,316,439,0.80559377790649
"ABHD11",188,11.8397,190,12.8433,172,11.3881,12.0237,8.315591,5.793527,10.881287,8.330135,88,44,86,1.39587476494177
"ABHD12",4523,8.22282,4462,8.70692,3868,7.39297,8.10757,34.456652,32.027544,41.779576,36.087924,424,313,435,0.245566993720112
"ABHD12B",111,0.589088,70,0.398745,127,0.708596,0.565476333333,3.893477,1.544872,5.021108,3.48648566666667,34,27,39,0.348931535648058
"ABHD13",357,3.93437,470,5.55962,462,5.35287,4.94895333333,3.072772,3.602061,3.056116,3.24364966666667,238,226,207,1.40184836181419
"ABHD14A",256,4.57571,307,5.88975,216,4.05892,4.84146,19.98651,11.809536,18.625674,16.80724,220,94,202,0.328038483223678
"ABHD14B",619,7.25763,689,8.6709,638,7.86436,7.93096333333,6.270991,5.484107,6.977415,6.244171,142,105,131,1.23284822146385
"ABHD15",318,8.55867,325,9.38864,418,11.8275,9.92493666667,2.267084,2.653537,2.449372,2.45666433333333,118,109,110,3.16054311705032
"ABHD16A",1232,13.1221,1310,14.9763,1014,11.3545,13.1509666667,43.283793,44.460669,44.105033,43.9498316666667,632,478,592,0.314816900130772
"ABHD16B",39,4.56959,46,5.7851,51,6.28234,5.54567666667,0,0,0,0,0,0,0,6.54567666667
"ABHD17A",1446,28.9099,1530,32.833,1345,28.2709,30.0046,22.251861,16.580488,18.393927,19.0754253333333,855,595,608,1.54440563451076
"ABHD17B",532,1.91708,563,2.17759,736,2.78833,2.29433333333,6.982168,5.876005,6.383279,6.41381733333333,292,190,217,0.444350485750211
"ABHD17C",287,0.660257,270,0.666708,448,1.08355,0.803505,5.189827,4.249834,4.998582,4.81274766666667,101,79,94,0.310267209833009
"ABHD18",391,0.915378,473,1.18857,664,1.63429,1.24607933333,3.285167,2.22549,2.818459,2.776372,157,105,137,0.594771736823067
"ABHD2",17724,26.9491,16264,26.543,12739,20.3636,24.6185666667,43.040132,37.278752,34.676228,38.331704,4800,3122,3837,0.651346472725921
"ABHD3",1424,4.61714,1403,4.88271,1271,4.33258,4.61081,3.984849,5.25904,2.915345,4.053078,43,53,50,1.11037470626814
"ABHD4",738,8.60724,755,9.45138,690,8.46048,8.8397,36.086594,26.455903,21.679738,28.0740783333333,296,237,316,0.338435491821552
"ABHD5",469,1.85103,419,1.77498,452,1.8755,1.83383666667,2.814933,3.503613,4.082079,3.466875,117,93,117,0.63441145469036
"ABHD6",462,1.38769,518,1.67002,434,1.3705,1.47607,11.831495,8.409419,12.306665,10.849193,138,99,156,0.208965285652787
"ABHD8",802,7.73824,756,7.82943,603,6.11679,7.22815333333,3.366122,1.881682,2.264601,2.504135,60,36,33,2.34812680827936
"ABI1",1701,2.59542,1851,3.03145,2269,3.63979,3.08888666667,12.69711,14.372399,14.823763,13.964424,447,426,457,0.273240498041889
"ABI2",4245,6.20636,4621,7.25163,4889,7.5148,6.99093,23.445738,22.714472,18.676018,21.612076,1466,1126,1250,0.353392143207019
"ABI3",335,4.56685,245,3.58491,572,8.19797,5.44991,0,0.122185,0,0.0407283333333333,0,1,0,6.19749630467125
"ABI3BP",385,0.275246,801,0.614658,1404,1.05528,0.648394666667,2.697237,9.393819,2.628398,4.90648466666667,50,93,34,0.279082188424147
"ABITRAM",1122,11.9922,1332,15.2809,1849,20.7769,16.0166666667,13.474933,12.693075,15.766697,13.978235,185,143,177,1.13609291526672
"ABL1",1330,1.3303,1558,1.67265,1785,1.87704,1.62666333333,20.002516,27.75208,18.375548,22.0433813333333,1348,1318,1125,0.113987756194895
"ABL2",1534,2.05583,1795,2.58207,2285,3.21949,2.61913,7.647104,11.288064,8.405532,9.11356666666667,1295,1485,1218,0.357849027873451
"ABLIM1",9790,5.07585,10498,5.84216,8705,4.74497,5.22099333333,13.234586,13.893529,13.950169,13.6927613333333,1252,905,1223,0.423405321314006
"ABLIM2",835,0.75378,569,0.551329,725,0.688072,0.664393666667,2.618199,1.169305,2.227903,2.00513566666667,73,27,55,0.55384975963936
"ABLIM3",3540,5.19431,3148,4.95792,2904,4.47981,4.87734666667,39.693627,31.45544,35.010631,35.386566,1694,1071,1302,0.161525181207537
"ABO",280,1.90898,318,2.32708,308,2.20766,2.14790666667,0.081458,0.061784,0.056364,0.0665353333333333,8,5,5,2.95152590663038
"ABR",3546,2.7384,3554,2.94588,3798,3.08355,2.92261,198.031654,211.438013,200.361185,203.276950666667,1298,1199,1252,0.0192024111736463
"ABRA",10,0.16233,32,0.557555,60,1.02397,0.581285,0,0,0,0,0,0,0,1.581285
"ABRACL",136,1.63203,150,1.93206,207,2.61154,2.05854333333,16.160065,20.958007,19.636272,18.9181146666667,132,135,145,0.153555865327381
"ABRAXAS1",607,1.66127,747,2.19439,763,2.19541,2.01702333333,3.82892,6.035163,5.406464,5.09018233333333,107,132,131,0.495391298355216
"ABRAXAS2",669,3.35372,688,3.70194,758,3.99492,3.68352666667,5.545332,5.945653,7.320012,6.27033233333333,243,210,286,0.644197053440977
"ABT1",253,11.6712,303,15.003,253,12.2703,12.9815,4.559478,4.690372,4.720066,4.65663866666667,202,168,186,2.47169756173219
"ABTB1",1543,33.7288,1425,33.4342,937,21.5334,29.5654666667,6.145615,3.499741,5.352266,4.99920733333333,109,78,105,5.09491753966719
"ABTB2",364,0.307165,368,0.333318,470,0.416971,0.352484666667,1.812701,1.607969,1.602889,1.67451966666667,139,98,106,0.505692548655902
"ACAA1",1192,6.10428,1253,6.88731,1152,6.20224,6.39794333333,38.003127,38.829187,39.570663,38.8009923333333,550,465,521,0.185873338819601
"ACAA2",1316,7.23196,1158,6.83045,1297,7.49339,7.18526666667,13.362606,16.013843,12.490575,13.9556746666667,285,274,234,0.547301733228618
"ACACA",4300,2.33406,4641,2.70393,4008,2.28723,2.44174,42.363631,48.905645,32.241697,41.1703243333333,1667,1457,1400,0.0816152129349286
"ACACB",3042,3.50477,3493,4.31955,2522,3.0548,3.62637333333,3.811888,6.196471,2.56891,4.192423,69,75,51,0.890985448090419
"ACAD10",802,1.97192,897,2.36727,684,1.76811,2.03576666667,21.73928,19.257871,23.277153,21.424768,392,285,343,0.135375610872318
"ACAD11",1114,1.90902,1115,2.05088,1118,2.01421,1.99137,13.192374,11.007639,9.386726,11.1955796666667,340,270,275,0.245283133869898
"ACAD8",819,11.575,885,13.4252,746,11.0844,12.0282,26.483493,20.192299,24.101738,23.59251,534,375,468,0.529762923751988
"ACAD9",1039,4.97676,1126,5.78908,1091,5.49407,5.41997,19.252462,17.316786,16.985834,17.851694,406,304,324,0.340551358408427
"ACADL",894,4.07549,1008,4.93223,2279,10.9226,6.64344,0.207989,0.400506,0.246715,0.28507,5,7,5,5.94787832569432
"ACADM",1245,3.43988,1406,4.16965,1536,4.46173,4.02375333333,27.650351,25.508799,28.982212,27.380454,462,377,403,0.177014551399706
"ACADS",317,3.89038,354,4.66312,259,3.34173,3.96507666667,4.599063,3.579749,4.281652,4.153488,112,71,98,0.963440036470445
"ACADSB",866,3.0667,1330,5.05528,1095,4.07667,4.06621666667,2.345294,3.480124,2.567987,2.79780166666667,193,175,184,1.33398663525171
"ACADVL",7556,162.126,6596,151.908,4694,105.887,139.973666667,487.069067,525.545782,529.790065,514.134971333333,2890,2306,2580,0.273663553266662
"ACAN",7,0.0170047,96,0.250313,28,0.0715101,0.1129426,13.521626,21.358045,13.180758,16.020143,1180,1435,924,0.0653897326244556
"ACAP1",124,1.44911,135,1.69337,286,3.51385,2.21877666667,8.203837,7.799579,5.089685,7.03103366666667,31,27,34,0.400792326401238
"ACAP2",1382,1.43455,1840,2.05005,1856,2.02545,1.83668333333,4.317336,5.926497,4.813944,5.019259,442,447,434,0.471267864255384
"ACAP3",1458,14.7916,1582,17.2268,1149,12.2551,14.7578333333,268.243739,185.674788,241.306196,231.741574333333,3432,1616,2456,0.0677052794647319
"ACAT1",1814,10.2528,2004,12.1575,1738,10.3275,10.9126,56.259875,44.471839,63.751794,54.827836,369,255,375,0.213381009430493
"ACAT2",4118,42.1497,3190,35.046,2391,25.7292,34.3083,25.297509,32.783013,27.509826,28.530116,501,530,488,1.19567088730705
"ACBD3",1022,4.24464,1115,4.97056,1412,6.16543,5.12687666667,54.125804,44.820301,37.958539,45.6348813333333,793,793,708,0.131379698875543
"ACBD4",398,6.0033,374,6.05507,392,6.21629,6.09155333333,3.937219,4.63266,2.073499,3.54779266666667,64,68,45,1.55933962981822
"ACBD5",1433,5.33589,1976,7.89747,1715,6.71371,6.64902333333,7.912379,6.095147,7.392269,7.133265,308,226,288,0.940461589943276
"ACBD6",1053,0.788498,1177,0.945995,1134,0.892737,0.875743333333,24.856558,25.060157,20.197148,23.3712876666667,434,305,343,0.0769652945296981
"ACBD7",50,0.656665,111,1.56472,52,0.717985,0.97979,0.811197,0.918754,0.914356,0.881435666666667,39,38,35,1.05227621389127
"ACCS",561,5.35173,673,6.89107,851,8.53491,6.92590333333,23.189882,13.116107,20.465664,18.9238843333333,320,206,258,0.397809142069235
"ACCSL",0,0,0,0,1,0.0153093,0.0051031,0,0,0,0,0,0,0,1.0051031
"ACD",257,13.5889,202,11.4642,154,8.5607,11.2046,8.520872,12.288536,11.733328,10.8475786666667,141,109,166,1.0301345400084
"ACE",115,0.942326,128,1.12578,299,2.5758,1.54796866667,1.303784,1.277742,1.252099,1.277875,41,16,21,1.11857264629095
"ACE2",22,0.0934765,3,0.0136817,17,0.0759393,0.0610325,0,0.275135,0.093605,0.122913333333333,0,1,2,0.944892600794362
"ACER1",15,0.095391,7,0.0477809,21,0.140402,0.0945246333333,0.050862,0,0,0.016954,1,0,0,1.07627742585535
"ACER2",68,0.273112,56,0.241412,58,0.244905,0.253143,0.79589,1.105758,0.950331,0.950659666666667,33,37,35,0.64242011121366
"ACER3",2305,2.4268,2576,2.91105,2484,2.74949,2.69578,2.862275,3.818158,3.438456,3.372963,324,261,332,0.845143212965671
"ACHE",4545,113.738,4051,108.812,2350,61.8271,94.7923666667,23.639298,15.646921,24.253111,21.1797766666667,666,324,578,4.31890582607459
"ACIN1",2919,13.7634,2887,14.6109,2946,14.6037,14.326,177.532807,182.921232,142.933279,167.795772666667,3282,2682,2593,0.0907961127099158
"ACKR1",1228,67.1667,1253,73.5609,1096,63.0238,67.9171333333,7.550579,5.560224,10.119254,7.74335233333333,197,125,214,7.8822322040665
"ACKR2",184,0.386247,161,0.362755,256,0.56497,0.437990666667,0.359601,0.085355,0.268785,0.237913666666667,6,3,9,1.16162435667996
"ACKR3",269,3.22584,286,3.68127,389,4.90432,3.93714333333,0.58853,1.270426,0.550161,0.803039,17,15,14,2.73823435506941
"ACKR4",190,1.52976,183,1.58148,204,1.72679,1.61267666667,0,0,0,0,0,0,0,2.61267666667
"ACLY",16166,44.3873,15499,45.6773,11710,33.8027,41.2891,146.457605,153.677986,123.036365,141.057318666667,4402,3834,3894,0.297690399881685
"ACMSD",92,0.253431,116,0.342981,116,0.335944,0.310785333333,0,0.090128,0.068505,0.0528776666666667,0,2,1,1.24495501693264
"ACO1",1196,2.97775,1339,3.57832,1511,3.95513,3.50373333333,7.828545,10.438737,8.19943,8.82223733333333,589,574,554,0.458524181455671
"ACO2",4207,12.2753,4508,14.1183,3468,10.6384,12.344,44.21915,38.397711,34.421423,39.0127613333333,1102,814,929,0.333493604423735
"ACOD1",2,0.0344982,2,0.0370286,5,0.0906724,0.0540664,0,0,0,0,0,0,0,1.0540664
"ACOT1",311,8.16523,352,9.91953,320,8.83275,8.97250333333,3.574162,4.075885,3.688916,3.77965433333333,68,59,57,2.08644865043518
"ACOT11",254,0.457761,264,0.510681,354,0.670729,0.546390333333,0.37798,0.458171,0.465699,0.43395,35,34,33,1.07841300835664
"ACOT12",11,0.0299403,9,0.0262934,9,0.025754,0.0273292333333,0.838379,0.711122,0.64397,0.731157,19,13,12,0.593435045656344
"ACOT13",1254,5.76037,1129,5.56656,1309,6.32165,5.88286,12.191412,9.46509,13.396844,11.6844486666667,229,175,231,0.542621928699778
"ACOT2",367,7.97544,406,9.47011,427,9.75561,9.06705333333,21.539035,15.077116,15.11408,17.2434103333333,178,108,135,0.551818610083886
"ACOT4",60,2.18784,50,1.95693,47,1.80177,1.98218,0.146906,0.447474,0.101508,0.231962666666667,5,12,3,2.42067400310832
"ACOT6",18,0.351586,15,0.314478,34,0.698194,0.454752666667,0,0.122286,0,0.040762,0,1,0,1.39777650093585
"ACOT7",6308,8.46892,5418,7.80757,3619,5.10815,7.12821333333,38.203304,38.030315,39.780133,38.6712506666667,695,547,661,0.204889263553257
"ACOT8",858,9.55638,927,11.0822,784,9.18037,9.93965,9.983366,11.016138,11.40912,10.8028746666667,177,144,156,0.926863184516857
"ACOT9",1043,2.78521,1099,3.15001,1353,3.79848,3.24456666667,23.22135,28.851472,24.154281,25.4090343333333,541,489,487,0.160724039095687
"ACOX1",1383,6.41366,1602,7.97419,1794,8.7467,7.71151666667,33.537489,28.271905,20.230548,27.3466473333333,771,581,655,0.307320882227436
"ACOX2",360,1.95632,355,2.07064,277,1.58254,1.86983333333,5.459635,7.803665,5.815802,6.35970066666667,51,58,35,0.389938866172637
"ACOX3",307,0.720462,365,0.919403,387,0.95482,0.864895,8.870189,7.235071,11.373044,9.15943466666667,158,135,150,0.183562871477363
"ACOXL",127,0.0575309,110,0.0534848,122,0.0581026,0.0563727666667,0.239138,0.162594,0.206492,0.202741333333333,7,4,5,0.878304201734731
"ACP2",881,16.0239,1004,19.6005,895,17.1141,17.5795,169.629988,98.736759,157.367625,141.911457333333,899,467,753,0.130007071138211
"ACP4",2,0.0727155,7,0.273172,3,0.114672,0.153519833333,0.556063,0.142491,0.132265,0.276939666666667,10,2,2,0.903347169364828
"ACP5",21,0.843569,32,1.37972,35,1.47811,1.23379966667,7.63295,1.018418,10.927006,6.52612466666667,32,7,35,0.296806094185967
"ACP6",610,2.60726,652,2.99118,794,3.5679,3.05544666667,24.331622,19.56541,23.987726,22.6282526666667,367,301,340,0.171635487561515
"ACP7",29,0.183687,28,0.190361,27,0.179797,0.184615,0.259018,0.140654,0.195719,0.198463666666667,11,5,8,0.988444650387121
"ACR",11,0.268994,16,0.419962,20,0.514182,0.401046,0.050784,0.062833,0,0.0378723333333333,1,1,0,1.34992132943776
"ACRBP",56,1.04532,49,0.981743,62,1.21672,1.081261,0.933344,1.400639,0.994766,1.109583,9,11,8,0.986574597918167
"ACSBG1",4789,10.6958,4310,10.332,3127,7.34232,9.45670666667,1.680716,3.357604,1.221717,2.086679,49,54,34,3.38768840772558
"ACSBG2",50,0.150998,40,0.129659,55,0.174624,0.151760333333,0.206484,0.414199,0.534768,0.385150333333333,2,2,6,0.831505653658051
"ACSF2",272,0.975972,284,1.09377,288,1.08642,1.052054,52.435691,50.495669,51.622443,51.5179343333333,334,301,283,0.0390733951372789
"ACSF3",565,1.30309,532,1.31697,506,1.22691,1.28232333333,19.896846,16.478566,14.431669,16.9356936666667,339,249,243,0.127250352049203
"ACSL1",3565,8.74427,2446,6.43963,4883,12.5918,9.25856666667,22.571965,34.049958,24.018834,26.8802523333333,390,247,333,0.367950997861126
"ACSL3",2690,5.61472,2686,6.01758,2925,6.41859,6.01696333333,125.144372,117.20619,162.941162,135.097241333333,2688,1748,2708,0.0515584538274648
"ACSL4",3112,4.98043,3490,5.99505,3392,5.70717,5.56088333333,25.373504,30.774505,32.691471,29.61316,1627,1473,1507,0.214315782275662
"ACSL5",712,2.28806,528,1.82122,820,2.77038,2.29322,0.550356,0.183705,0.680974,0.471678333333333,9,2,6,2.23773084471584
"ACSL6",2020,5.66704,3290,9.90698,1953,5.7603,7.11144,5.279576,2.761154,5.097792,4.37950733333333,259,134,211,1.50784068082567
"ACSM1",14,0.0323286,10,0.0247856,19,0.0461265,0.0344135666667,0,0.132055,0,0.0440183333333333,0,1,0,0.990800193483224
"ACSM2A",2,0.00964948,7,0.0362504,1,0.00507238,0.0169907533333,0.231348,3.931815,1.327585,1.83024933333333,4,10,8,0.359329032024022
"ACSM2B",0,0,4,0.0186571,0,0,0.00621903333333,0.259345,0.573845,1.003013,0.612067666666667,6,3,7,0.624179154597106
