"Hs_symbol","hDRG1_read","hDRG1_TPM","hDRG2_read","hDRG2_TPM","hDRG3_read","hDRG3_TPM","Avg_TPM","Cardiomyocytes-S20_rep_1","Cardiomyocytes-S25_rep_2","Cardiomyocytes-S29_rep_3","Hs_Avg_TPM","Cardiomyocytes-S20_rep_1_read","Cardiomyocytes-S25_rep_2_read","Cardiomyocytes-S29_rep_3_read","FoldChange"
"CRX",5,0.0370879,5,0.0398083,10,0.0779832,0.0516264666667,0.058222,0.086408,0.049057,0.0645623333333333,3,3,2,0.987848652670127
"CRY1",266,0.454758,409,0.750521,302,0.542806,0.582695,6.610343,4.917845,3.089329,4.87250566666667,185,108,113,0.269509318481146
"CRY2",1162,5.61845,1051,5.45449,883,4.48858,5.18717333333,7.726766,6.504476,4.820894,6.350712,609,520,387,0.841710753098475
"CRYAB",5600,64.5369,5505,68.0954,4010,48.585,60.4057666667,811.395036,811.859802,767.176455,796.810431,9165,8307,7766,0.0769678664012103
"CRYBA1",4,0.0915614,5,0.122846,14,0.336913,0.183773466667,0,0,0,0,0,0,0,1.183773466667
"CRYBA2",57,3.07911,51,2.95707,29,1.64697,2.56105,0,0,0,0,0,0,0,3.56105
"CRYBA4",4,0.0802568,1,0.0215359,6,0.126564,0.0761189,0,0,0,0,0,0,0,1.0761189
"CRYBB1",67,0.624258,52,0.520036,69,0.675891,0.606728333333,0,0,0,0,0,0,0,1.606728333333
"CRYBB2",43,0.389085,38,0.369062,59,0.561262,0.439803,0,0.178192,0,0.0593973333333333,0,3,0,1.35907742515241
"CRYBB3",18,0.419166,43,1.07479,24,0.587574,0.693843333333,0,0,0,0,0,0,0,1.693843333333
"CRYBG1",406,0.335879,379,0.336539,1146,0.996733,0.556383666667,0.043058,0.171677,0.014112,0.0762823333333333,9,13,3,1.44607378423351
"CRYBG2",10,0.0455147,7,0.0341972,13,0.0622061,0.047306,0,0.197486,0.197868,0.131784666666667,0,1,1,0.925358003907693
"CRYBG3",2214,3.14525,2773,4.22832,2622,3.91605,3.76320666667,13.006805,7.951699,6.844362,9.267622,673,481,353,0.463905533985377
"CRYGN",77,1.12295,55,0.860941,32,0.490635,0.824842,0.184396,0,0,0.0614653333333333,2,0,0,1.71917248985365
"CRYGS",259,5.47653,310,7.0357,276,6.13554,6.21592333333,1.370106,0.379745,0.83954,0.863130333333333,22,5,13,3.87301049434366
"CRYL1",528,0.754788,638,0.978931,697,1.04752,0.927079666667,4.884912,3.925212,3.247366,4.01916333333333,128,100,83,0.38394440242039
"CRYM",43,0.116992,21,0.0613264,28,0.0800911,0.0861365,0.204732,0.647621,0.212068,0.354807,3,6,3,0.801690941957046
"CRYZ",644,4.02858,1315,8.82943,1201,7.89855,6.91885333333,4.181237,2.356528,2.324681,2.95414866666667,76,52,55,2.0026696011927
"CRYZL1",851,2.72357,1122,3.85427,1009,3.39499,3.32427666667,25.615487,16.732119,12.01949,18.1223653333333,222,175,113,0.226137122227871
"CS",2904,17.6812,2932,19.161,2902,18.5759,18.4727,207.356712,134.862184,126.512318,156.243738,5431,4635,4071,0.123837681854142
"CSAD",1381,10.3781,1210,9.75999,1304,10.3024,10.14683,11.359548,11.478647,10.17138,11.0031916666667,207,186,159,0.928655503432073
"CSDC2",928,9.68926,816,9.14478,515,5.65312,8.16238666667,19.421351,14.144058,13.969858,15.845089,1105,734,738,0.543920347744675
"CSDE1",14109,59.018,15448,69.3587,14569,64.0702,64.1489666667,143.383755,110.813192,99.725065,117.974004,5323,4106,3616,0.547589931214722
"CSE1L",3436,11.8361,3562,13.1701,2911,10.5423,11.8495,14.087088,17.251846,10.712956,14.0172966666667,868,896,545,0.855646677642159
"CSF1",1048,8.82293,1049,9.47911,1222,10.8159,9.70598,3.493845,3.146161,2.906397,3.18213433333333,308,264,227,2.55993211759578
"CSF1R",6038,17.5566,5502,17.1715,9187,28.0839,20.9373333333,0.383964,0.26427,0.244352,0.297528666666667,15,8,6,16.9070124590439
"CSF2RA",521,2.18888,532,2.39904,690,3.0477,2.54520666667,1.392477,1.955052,2.065186,1.80423833333333,14,12,22,1.26423158278986
"CSF2RB",144,0.938261,94,0.6574,368,2.52085,1.37217033333,0,0.019638,0,0.006546,0,2,0,2.35674309304294
"CSF3R",625,6.33482,573,6.23375,1065,11.3486,7.97239,1.187318,0.228133,1.323186,0.912879,11,9,13,4.69051623233879
"CSGALNACT1",2783,1.37392,3186,1.68824,1971,1.02299,1.36171666667,0.137318,0.051452,0,0.0629233333333333,4,4,0,2.22190687945822
"CSGALNACT2",1095,4.08245,1079,4.31786,2487,9.74812,6.04947666667,2.598022,2.134708,2.220435,2.31772166666667,168,147,151,2.12479447492431
"CSH1",0,0,1,0.106967,0,0,0.0356556666667,0,0,0,0,0,0,0,1.0356556666667
"CSH2",0,0,2,0.21369,0,0,0.07123,0,0,0,0,0,0,0,1.07123
"CSHL1",3,0.0567082,2,0.0405784,1,0.019873,0.0390532,0,0,0,0,0,0,0,1.0390532
"CSK",621,5.1314,581,5.15301,707,6.14189,5.47543333333,22.893965,18.529321,15.73325,19.0521786666667,613,534,516,0.322929166001014
"CSMD1",753,0.0638702,881,0.0802084,669,0.0596579,0.0679121666667,0.038625,0.011736,0.178042,0.0761343333333333,5,3,5,0.992359535039492
"CSMD2",673,0.180369,718,0.206544,618,0.17413,0.187014333333,0.438753,0.066029,0.092551,0.199111,11,4,6,0.989911970895939
"CSMD3",332,0.0477755,445,0.0687334,365,0.0552203,0.0572430666667,0.132012,0.221661,0.039808,0.131160333333333,8,4,3,0.934653590221987
"CSN1S1",0,0,0,0,1,0.0118441,0.00394803333333,0,0,0,0,0,0,0,1.00394803333333
"CSNK1A1",6318,18.8707,6975,22.3611,7436,23.35,21.5272666667,55.086916,35.844599,29.489249,40.1402546666667,1595,1516,1123,0.547572367969623
"CSNK1D",4579,23.0473,4226,22.8307,4186,22.1506,22.6762,58.66462,37.348389,24.077593,40.0302006666667,1536,955,896,0.577043241692814
"CSNK1E",2111,13.4624,1979,13.5463,1727,11.5789,12.8625333333,66.17139,39.037205,30.566825,45.2584733333333,1335,1078,962,0.299675547729562
"CSNK1G1",548,0.502154,553,0.543903,630,0.606925,0.550994,3.976785,0.748793,1.453339,2.059639,172,127,129,0.506920587690247
"CSNK1G2",1222,5.31487,1095,5.11182,1263,5.77514,5.40061,25.755154,21.72893,19.212184,22.2320893333333,437,378,302,0.275507291150797
"CSNK1G3",1114,1.85441,1233,2.20305,1122,1.96359,2.00701666667,7.797475,2.352021,2.486236,4.21191066666667,147,136,121,0.576950922413482
"CSNK2A1",2470,6.04876,2515,6.61071,2785,7.17023,6.6099,32.081202,17.61785,20.444714,23.3812553333333,1432,1210,1104,0.312120926341146
"CSNK2A2",1060,4.60649,1114,5.19625,1172,5.35464,5.05246,12.8743,10.39354,7.686187,10.318009,557,447,386,0.534763667355274
"CSNK2A3",493,65.7958,518,74.2029,547,76.7496,72.2494333333,0,0.296089,0,0.0986963333333333,0,7,0,66.6694072884258
"CSNK2B",926,31.6702,1029,37.7742,955,34.3385,34.5943,68.013825,74.985596,58.911385,67.303602,1084,1129,880,0.521118930155396
"CSNKA2IP",0,0,8,0.0116126,6,0.00853077,0.00671445666667,0,0,0,0,0,0,0,1.00671445666667
"CSPG4",784,3.55502,1181,5.74799,1039,4.95312,4.75204333333,4.580902,3.162072,2.826712,3.52322866666667,907,582,522,1.27166759790831
"CSPG5",1013,9.5376,1007,10.1765,653,6.4637,8.72593333333,2.512468,2.064068,1.595699,2.05741166666667,110,82,65,3.18110035340241
"CSPP1",750,0.978977,825,1.15586,816,1.1198,1.084879,2.723078,1.410748,2.027088,2.053638,148,83,90,0.682752507009672
"CSRNP1",827,11.3689,518,7.64335,388,5.60768,8.20664333333,2.913946,2.351678,2.432358,2.565994,204,156,160,2.58178878969791
"CSRNP2",1210,9.41166,1288,10.7532,1279,10.459,10.2079533333,7.682752,5.101343,4.328595,5.70423,474,440,347,1.67177339281319
"CSRNP3",360,0.286182,658,0.561444,360,0.300871,0.382832333333,0.278369,0.201063,0.581186,0.353539333333333,57,45,49,1.02164177965004
"CSRP1",7592,51.1558,9632,69.6619,9164,64.9175,61.9117333333,75.525373,52.775003,43.784459,57.3616116666667,1908,1861,1467,1.07796429085306
"CSRP2",241,2.07248,215,1.98451,277,2.50433,2.18710666667,485.510789,293.494206,380.998082,386.667692333333,1573,1382,1182,0.00822123362276366
"CSRP3",2,0.0122415,2,0.0131394,3,0.0193048,0.0148952333333,984.804223,864.378114,775.422215,874.868184,15449,12941,11521,0.00115873056228436
"CST3",7029,104.347,7881,125.577,6469,100.963,110.295666667,77.587514,78.998117,69.157301,75.247644,1026,947,841,1.45966040166435
"CST6",1,0.116622,3,0.375526,0,0,0.164049333333,0,0,0,0,0,0,0,1.164049333333
"CST7",31,0.508037,18,0.316626,60,1.03377,0.619477666667,0,0,0,0,0,0,0,1.619477666667
"CSTB",1366,60.6452,1292,61.5671,1299,60.6308,60.9477,54.277971,61.608862,46.671702,54.1861783333333,445,480,362,1.12252201313572
"CSTF1",302,3.77066,379,5.07914,410,5.38186,4.74388666667,8.478199,5.511458,4.554305,6.18132066666667,208,223,194,0.799837095888398
"CSTF2",261,2.21622,281,2.56105,251,2.2407,2.33932333333,5.270678,4.137314,3.765482,4.391158,236,171,163,0.619407432193603
"CSTF2T",566,24.0583,603,27.511,818,36.5544,29.3745666667,4.280541,3.697581,3.196943,3.72502166666667,322,288,245,6.42845023991777
"CSTF3",2287,4.69028,2151,4.73493,2268,4.89005,4.77175333333,19.091114,19.925857,17.366863,18.7946113333333,287,300,247,0.291582049080731
"CSTL1",1,0.0333014,0,0,0,0,0.0111004666667,0.357473,0,0.382588,0.246687,2,0,2,0.811029927052019
"CTAGE1",12,0.485612,17,0.738411,26,1.10617,0.776731,0,0,0,0,0,0,0,1.776731
"CTAGE15",77,5.19978,34,2.46441,28,1.98788,3.21735666667,0.035455,0,0,0.0118183333333333,2,0,0,4.16809671038115
"CTAGE4",111,7.49289,47,3.40537,36,2.55486,4.48437333333,0.042838,0.057643,0.083552,0.0613443333333333,2,3,4,5.1673836295007
"CTAGE6",71,4.75599,33,2.37267,29,2.0423,3.05698666667,0.000876,0,0,0.000292,0,0,0,4.05580237237727
"CTAGE8",109,7.35788,44,3.18801,35,2.48389,4.34326,0.063556,0.081046,0.095881,0.080161,3,4,5,4.94672553443422
"CTAGE9",98,6.64358,32,2.32845,25,1.78178,3.58460333333,0,0,0,0,0,0,0,4.58460333333
"CTBP1",2527,11.4648,2367,11.5266,2371,11.3092,11.4335333333,57.901293,41.452559,31.580702,43.6448513333333,1098,866,720,0.278498706165849
"CTBP2",2000,1.97563,2036,2.15871,2091,2.17154,2.10196,9.613506,6.656293,5.687043,7.31894733333333,356,297,267,0.372878908317006
"CTBS",393,2.76062,446,3.36272,782,5.7751,3.96614666667,2.629551,2.382879,1.778642,2.26369066666667,101,89,65,1.52163522033236
"CTC1",594,4.46482,679,5.47807,618,4.88364,4.94217666667,5.524037,3.753897,4.210311,4.49608166666667,178,121,104,1.08116600644944
"CTCF",872,1.98586,959,2.34419,980,2.34637,2.22547333333,5.185314,4.715037,2.839683,4.246678,344,266,177,0.614764872807136
"CTCFL",0,0,1,0.00631633,3,0.0185602,0.00829217666667,0.141649,0.171567,0.025777,0.112997666666667,5,7,1,0.90592478930025
"CTDNEP1",1093,21.4522,1166,24.5635,1194,24.6374,23.5510333333,41.190826,42.409692,35.803383,39.8013003333333,836,806,669,0.601721835645581
"CTDP1",443,1.0074,422,1.03004,545,1.30297,1.11347,3.02281,3.653226,1.923902,2.866646,202,217,137,0.546589990394776
"CTDSP1",1129,25.6616,1274,31.0814,1477,35.2946,30.6792,19.524832,15.548075,14.09076,16.387889,827,687,607,1.82191179159241
"CTDSP2",3213,20.942,3443,24.0871,4100,28.095,24.3747,14.354545,10.392385,7.633467,10.7934656666667,1049,901,708,2.15158976311091
"CTDSPL",2257,3.21638,2127,3.25344,2201,3.29757,3.25579666667,2.297457,1.752896,1.607035,1.885796,131,108,140,1.47473926315997
"CTDSPL2",581,1.00082,773,1.42922,970,1.75667,1.39557,6.994772,3.578282,3.624848,4.732634,203,228,144,0.417882948745725
"CTF1",50,1.2561,72,1.94146,75,1.98087,1.72614333333,4.014212,4.488737,4.172178,4.22504233333333,121,117,114,0.521745693032662
"CTH",153,0.933469,147,0.962645,158,1.01345,0.969854666667,1.795992,1.120818,0.684845,1.20055166666667,22,13,8,0.895164015690156
"CTHRC1",47,0.71698,47,0.769569,161,2.5821,1.35621633333,3.591062,3.727682,2.268823,3.19585566666667,52,53,32,0.561558004020157
"CTIF",4929,2.65616,4649,2.68903,3482,1.9727,2.43929666667,15.874753,22.857479,14.600564,17.7775986666667,668,516,377,0.183159557711462
"CTLA4",5,0.141,2,0.0605368,18,0.533654,0.2450636,0,0,0,0,0,0,0,1.2450636
"CTNNA1",8664,4.6706,10678,6.17852,10488,5.94409,5.59773666667,403.417239,250.075645,187.566795,280.353226333333,5078,3549,3255,0.0234500124724119
"CTNNA2",468,0.0558605,490,0.0627763,419,0.0525789,0.0570719,0,0.033187,0.044846,0.026011,0,3,4,1.03027345710718
"CTNNA3",975,0.0954949,1112,0.116902,1040,0.107089,0.1064953,16.568006,6.28279,4.638654,9.16315,698,494,359,0.108873262718744
"CTNNAL1",2240,5.51521,2825,7.46574,4046,10.4732,7.81805,17.426731,20.079783,12.957703,16.8214056666667,578,565,394,0.494801036738273
"CTNNB1",4770,12.7504,4889,14.027,6544,18.3902,15.0558666667,71.289833,61.242512,46.123767,59.5520373333333,2708,2084,1536,0.265158157739829
"CTNNBIP1",661,1.86069,731,2.20866,641,1.897,1.98878333333,11.260515,9.428155,6.255077,8.981249,415,371,322,0.299439812926218
"CTNNBL1",778,0.762822,780,0.820878,793,0.817439,0.800379666667,13.526931,13.333767,19.214261,15.3583196666667,256,226,254,0.110058961027374
"CTNND1",5111,13.4666,5750,16.2614,6735,18.6563,16.1281,22.417087,17.114358,16.336544,18.622663,1738,1603,1466,0.872873370958876
"CTNND2",2673,0.500713,2885,0.580065,2202,0.433656,0.504811333333,11.153818,6.996884,5.134495,7.76173233333333,413,299,269,0.171748151630707
"CTNS",867,6.04044,940,7.02939,1030,7.54441,6.87141333333,11.14963,10.944218,7.821779,9.97187566666667,352,261,177,0.717417292400051
"CTPS1",625,3.32097,602,3.43338,784,4.37965,3.71133333333,8.623905,8.624609,8.891817,8.71344366666667,423,310,287,0.485032239338325
"CTPS2",633,0.885115,806,1.20968,754,1.10842,1.06773833333,14.514954,11.143679,12.19215,12.6169276666667,555,432,432,0.151850577747555
"CTR9",13668,47.3955,14498,53.9611,13309,48.5195,49.9587,13.390659,6.483712,5.726718,8.53369633333333,597,429,344,5.34511465629858
"CTRB1",16,0.380246,24,0.612204,3,0.0749555,0.355801833333,0.195292,0.327653,0.11158,0.211508333333333,3,5,2,1.11910235862981
"CTRB2",11,0.628208,8,0.49039,3,0.180124,0.432907333333,0.105316,0.434042,0.07329,0.204216,3,6,3,1.18990889784972
"CTRC",1,0.0161743,1,0.0173607,5,0.0850227,0.0395192333333,0.107757,0.031265,0.070569,0.0698636666666667,3,2,5,0.971637102671306
"CTRL",306,11.3115,302,11.9824,364,14.1461,12.48,0.291918,0.50921,0.372141,0.391089666666667,4,7,8,9.69024522502623
"CTSA",2337,47.0522,2122,45.8571,2725,57.68,50.1964333333,64.983475,55.189097,50.22453,56.799034,1450,1248,1086,0.885766245389153
"CTSB",24430,158.511,19529,136.005,34865,237.828,177.448,209.405233,143.446003,110.76622,154.539152,3702,3150,2669,1.14728669730693
"CTSC",1216,4.80946,1127,4.7844,3535,14.6991,8.09765333333,16.128872,13.587791,13.158823,14.2918286666667,384,349,293,0.594935604605693
"CTSD",18936,279.897,19217,304.885,12160,188.965,257.915666667,121.904966,103.57203,100.89106,108.789352,2634,2300,2032,2.35829487969835
"CTSE",2,0.023879,1,0.0128153,0,0,0.0122314333333,0,0,0,0,0,0,0,1.0122314333333
"CTSF",1403,45.5751,1720,59.9706,796,27.1845,44.2434,9.976562,9.58705,7.526983,9.03019833333333,236,207,191,4.51071838227194
"CTSG",1,0.0639221,4,0.274443,12,0.806437,0.3816007,0,0,0,0,0,0,0,1.3816007
"CTSH",954,5.84434,773,5.08284,1546,9.95713,6.96143666667,10.482557,11.161951,8.239368,9.961292,172,147,114,0.726322833719784
"CTSK",406,5.88466,554,8.61878,617,9.40197,7.96847,1.109658,1.247345,0.839224,1.065409,20,25,11,4.34222471190936
"CTSO",669,3.92866,962,6.06364,1298,8.01366,6.00198666667,1.548941,1.497189,0.812119,1.286083,79,81,43,3.06287508663071
"CTSS",1503,7.3746,1002,5.27701,3525,18.1835,10.27837,0.116133,0.319946,0.266617,0.234232,5,8,7,9.13796595777779
"CTSW",21,0.939483,4,0.192075,28,1.31694,0.816166,0.156531,0,0.166361,0.107630666666667,1,0,2,1.63968555102002
"CTSZ",2335,33.7964,2258,35.079,3864,58.7975,42.5576333333,62.872959,61.123307,54.099898,59.365388,1830,1652,1474,0.721566360731418
"CTTN",3582,16.3896,3449,16.9386,3526,16.9615,16.7632333333,52.376028,36.999145,32.0141,40.463091,1934,1376,1183,0.428410736027857
"CTTNBP2",673,0.719146,656,0.752396,920,1.03354,0.835027333333,3.21195,1.758549,2.258929,2.40980933333333,72,40,44,0.538161273533476
"CTTNBP2NL",1207,3.13582,1340,3.7367,1693,4.62422,3.83224666667,2.002928,1.486927,1.369518,1.619791,169,152,125,1.84451609562366
"CTU1",79,1.27742,60,1.04135,31,0.526994,0.948588,0.577796,0.721573,0.457659,0.585676,24,25,17,1.22886894926832
"CTU2",223,4.37042,227,4.77512,170,3.50272,4.21608666667,6.506436,9.215729,4.727461,6.816542,99,78,53,0.667313841167872
"CTXN1",78,8.2836,91,10.3731,57,6.36411,8.34027,2.25278,2.08189,2.167111,2.16726033333333,52,38,44,2.94900608633266
"CTXN2",206,1.40375,353,2.58189,132,0.945661,1.643767,0,0.01959,0.03325,0.0176133333333333,0,1,2,2.59800742914794
"CTXN3",8,0.14578,17,0.332504,13,0.249052,0.242445333333,0,0,0,0,0,0,0,1.242445333333
"CTXND1",416,1.281,680,2.24752,393,1.27229,1.60027,0.16703,0.110056,0.104092,0.127059333333333,25,16,15,2.30712787081899
"CTXND2",10,0.0667886,10,0.0716874,15,0.105325,0.081267,0,0,0,0,0,0,0,1.081267
"CUBN",576,0.329004,785,0.481271,711,0.42696,0.412411666667,0.192431,0.144779,0.141693,0.159634333333333,25,19,6,1.21798020812911
"CUEDC1",994,1.84401,1082,2.1545,955,1.8626,1.95370333333,17.854255,13.35379,12.791838,14.6666276666667,445,323,313,0.188534724650059
"CUEDC2",1269,23.7359,1334,26.7818,924,18.17,22.8959,59.596639,46.345185,40.823147,48.921657,911,752,650,0.478668005751492
"CUL1",2103,3.5601,2005,3.64316,2136,3.80157,3.66827666667,14.794716,13.353843,11.717627,13.2887286666667,886,803,666,0.326710428588398
"CUL2",1360,2.8942,1519,3.46967,1396,3.1233,3.16239,7.729459,6.447941,5.080021,6.41914033333333,369,349,264,0.561034002996124
"CUL3",2360,3.57741,2690,4.37673,2396,3.81841,3.92418333333,38.050051,39.938336,29.910531,35.966306,729,714,524,0.133207341121128
"CUL4A",2236,6.63024,2484,7.90586,2630,8.19882,7.57830666667,49.241797,29.622766,25.528357,34.79764,1417,1308,977,0.23963330171123
"CUL4B",1747,5.96255,2177,7.97514,2191,7.86176,7.26648333333,6.320171,4.879795,2.038323,4.412763,262,235,166,1.52722063266579
"CUL5",1134,2.00385,1530,2.90191,1396,2.59344,2.49973333333,4.103285,3.536626,2.117856,3.252589,238,227,168,0.822965335547357
"CUL7",837,8.95481,822,9.43938,781,8.78456,9.05958333333,4.853379,3.527808,2.700997,3.69406133333333,496,315,243,2.14304471522244
"CUL9",940,3.87268,940,4.15673,995,4.30968,4.11303,9.856546,8.582558,8.340951,8.926685,280,165,153,0.515079303916665
"CUTA",1018,94.7994,1031,103.052,764,74.7979,90.8831,101.033544,105.917424,82.093876,96.3482813333333,1105,1071,848,0.943859498509071
"CUTC",1616,5.26931,1784,6.24378,2068,7.08926,6.20078333333,11.527407,11.488954,8.267793,10.4280513333333,241,246,152,0.630097216340529
"CUX1",1961,0.731933,1993,0.798438,2232,0.875842,0.802071,24.029003,18.219081,15.111533,19.1198723333333,1850,1280,1260,0.0895667214058035
"CUX2",113,0.0623945,99,0.0586737,114,0.0661776,0.0624152666667,2.374125,1.855597,1.365765,1.86516233333333,350,266,197,0.370804562906104
"CUZD1",29,0.361412,18,0.240778,31,0.406167,0.336119,0,0,0,0,0,0,0,1.336119
"CWC15",707,11.2622,770,13.1654,722,12.0914,12.173,28.347779,29.263016,27.012133,28.2076426666667,319,334,293,0.451012091264515
"CWC22",508,1.42173,726,2.18087,602,1.77128,1.79129333333,2.327619,1.851505,1.831118,2.003414,153,131,126,0.929373484085111
"CWC25",405,2.83978,405,3.04807,448,3.30252,3.06345666667,4.090005,1.735666,2.044059,2.62324333333333,143,101,99,1.12149703810582
"CWC27",687,0.480417,834,0.625991,843,0.619765,0.575391,6.478912,9.111604,7.52597,7.70549533333333,216,220,188,0.180965119120543
"CWF19L1",483,2.38475,512,2.71335,596,3.09372,2.73060666667,4.394681,4.329474,4.513761,4.41263866666667,206,196,189,0.689239924631338
"CWF19L2",523,0.694811,618,0.881239,662,0.924615,0.833555,1.555096,0.816033,0.510435,0.960521333333333,67,50,32,0.935238484185499
"CWH43",13,0.0299588,13,0.0321562,14,0.0339193,0.0320114333333,0,0,0,0,0,0,0,1.0320114333333
"CX3CL1",463,6.43584,459,6.84822,296,4.32568,5.86991333333,1.559836,0.973281,0.377111,0.970076,69,62,28,3.48713112252015
"CX3CR1",478,4.57769,637,6.54784,1135,11.4275,7.51767666667,0.137997,0.032135,0.114057,0.0947296666666667,4,2,7,7.78062103003512
"CXADR",165,0.357914,200,0.465656,258,0.588373,0.470647666667,10.454618,2.698244,12.559426,8.57076266666667,302,252,249,0.153660446704944
"CXCL10",31,2.27549,23,1.8121,104,8.02574,4.03777666667,0,0,0,0,0,0,0,5.03777666667
"CXCL11",1,0.0225884,6,0.145472,18,0.427462,0.198507466667,0,0,0,0,0,0,0,1.198507466667
"CXCL12",826,8.83713,1068,12.2643,1309,14.7234,11.94161,16.84279,14.033097,12.5592,14.4783623333333,512,444,410,0.836109771905887
"CXCL13",282,0.492248,332,0.622033,345,0.633128,0.582469666667,0.151517,0,0,0.0505056666666667,1,0,0,1.50638851067629
"CXCL14",91,1.84834,258,5.62473,667,14.2431,7.23872333333,0.170967,0.321846,0.233041,0.241951333333333,6,10,7,6.63369257088174
"CXCL16",509,13.9027,465,13.6325,805,23.1162,16.8838,0.264517,0.344595,0.26621,0.291774,6,9,8,13.8443721579781
"CXCL17",4,0.0476376,6,0.0766976,4,0.0500828,0.0581393333333,0,0,0.184883,0.0616276666666667,0,0,2,0.996714165010112
"CXCL6",1,0.0140603,2,0.0301832,2,0.0295639,0.0246024666667,0.155299,0.14476,0,0.100019666666667,1,1,0,0.931440134858225
"CXCL9",31,0.868592,20,0.601485,172,5.06665,2.178909,0,0,0,0,0,0,0,3.178909
"CXCR1",2,0.0847642,0,0,4,0.17823,0.0876647333333,0,0,0,0,0,0,0,1.0876647333333
"CXCR2",11,0.160636,12,0.188093,18,0.276351,0.20836,0.016894,0.086776,0.018928,0.040866,1,5,1,1.16091792795614
"CXCR3",1,0.0672955,0,0,2,0.141499,0.0695981666667,0.029758,0,0.031839,0.0205323333333333,1,0,1,1.04807866613408
"CXCR4",844,38.6288,835,41.02,631,30.3624,36.6704,0.523602,0.331031,0.567209,0.473947333333333,16,10,17,25.5574939131701
"CXCR5",288,3.62071,256,3.45447,270,3.56864,3.54794,0,0,0,0,0,0,0,4.54794
"CXCR6",28,0.659331,20,0.505494,47,1.16354,0.776121666667,0.033922,0,0.035913,0.0232783333333333,2,0,2,1.73571706622701
"CXorf38",503,4.25724,487,4.42414,610,5.42785,4.70307666667,2.26857,1.609722,1.637024,1.83843866666667,195,143,144,2.00923019181085
"CXorf49",3,0.138613,5,0.247967,8,0.388608,0.258396,0,0,0,0,0,0,0,1.258396
"CXorf56",427,2.73648,462,3.17795,476,3.20708,3.04050333333,8.14288,6.031464,5.808962,6.661102,212,156,135,0.52740497820418
"CXorf58",16,0.0881512,24,0.141925,29,0.167975,0.132683733333,0.073303,0.360898,0,0.144733666666667,2,2,0,0.989473592255957
"CXorf66",1,0.0178374,0,0,2,0.0375058,0.0184477333333,0,0,0,0,0,0,0,1.0184477333333
"CXXC1",614,17.9915,624,19.6256,584,17.9908,18.5359666667,19.531197,12.528224,11.450258,14.5032263333333,294,168,189,1.26012265103141
"CXXC4",104,0.683188,180,1.26917,123,0.849474,0.933944,2.154858,1.33997,0.901544,1.46545733333333,80,62,54,0.784415927159964
"CXXC5",1058,5.05225,933,4.78213,677,3.3988,4.41106,52.442819,42.30364,61.45019,52.0655496666667,652,604,581,0.101969357407768
"CYB561",948,11.7867,938,12.5178,1009,13.189,12.4978333333,1.961638,1.538829,1.555368,1.68527833333333,101,93,92,5.02660493914039
"CYB561A3",613,7.90044,660,9.1301,621,8.41435,8.48163,5.996089,4.508594,3.530492,4.67839166666667,173,152,129,1.66977386495883
"CYB561D1",643,12.6485,538,11.3593,421,8.70661,10.9048033333,1.027731,0.840519,0.878238,0.915496,114,91,86,6.21499775165284
"CYB561D2",596,13.4072,643,15.5255,559,13.2204,14.0510333333,2.280223,2.776212,2.446325,2.50092,50,58,51,4.29916517181198
"CYB5A",1066,4.52804,1514,6.9027,1439,6.42617,5.95230333333,55.396182,55.56094,59.149171,56.7020976666667,390,348,361,0.120486145468958
"CYB5B",2214,9.26606,2269,10.1928,2026,8.91446,9.45777333333,37.35586,35.777085,26.543246,33.225397,689,655,534,0.305555939448416
"CYB5D1",572,22.0251,597,24.6738,568,22.9937,23.2308666667,3.843518,3.025897,2.015203,2.96153933333333,174,180,126,6.11652810381453
"CYB5D2",2448,9.68813,2664,11.3163,2832,11.7831,10.9291766667,6.963239,7.277525,6.143211,6.79465833333333,189,204,141,1.53042970667305
"CYB5R1",4222,136.513,3828,132.852,2941,99.9744,123.113133333,77.403904,57.562577,53.199129,62.72187,2063,1618,1431,1.94773212608167
"CYB5R2",621,8.94895,682,10.5489,1039,15.7411,11.7463166667,4.492546,2.68625,0.954156,2.710984,45,33,25,3.43475387301589
"CYB5R3",5847,32.373,5513,32.7626,5165,30.0648,31.7334666667,98.155355,91.447211,83.085194,90.89592,3981,3434,3133,0.356201523056736
"CYB5R4",473,0.766764,557,0.969162,835,1.42307,1.05299866667,3.289388,3.845749,2.991929,3.37568866666667,114,89,88,0.469182984225873
"CYB5RL",251,1.44308,249,1.53659,260,1.57155,1.51707333333,2.029221,0.934748,1.089889,1.351286,61,46,50,1.07050921637351
"CYBA",617,13.8796,544,13.1351,1506,35.6169,20.8772,116.344998,132.45196,113.918934,120.905297333333,215,171,172,0.179460618025317
"CYBB",2753,14.3776,2128,11.9287,7415,40.7128,22.3397,0.168897,0.330993,0.107445,0.202445,14,13,9,19.4102017140077
"CYBC1",1363,28.8834,1039,23.6324,1652,36.8045,29.7734333333,42.68166,24.787076,28.675131,32.0479556666667,394,245,248,0.931175097294722
"CYBRD1",5124,24.9466,5811,30.3664,6892,35.2765,30.1965,0.597415,0.35362,0.219996,0.390343666666667,29,18,12,22.4379775647795
"CYC1",1036,72.7737,1141,86.0282,877,64.7668,74.5229,121.14082,115.712235,91.154377,109.335810666667,2209,1936,1549,0.684482214284542
"CYCS",2471,81.8974,2543,90.4658,2596,90.4566,87.6066,279.018706,225.197904,257.25409,253.823566666667,2754,2784,2772,0.347717446855713
