"Hs_symbol","hDRG1_read","hDRG1_TPM","hDRG2_read","hDRG2_TPM","hDRG3_read","hDRG3_TPM","Avg_TPM","Cardiomyocytes-S20_rep_1","Cardiomyocytes-S25_rep_2","Cardiomyocytes-S29_rep_3","Hs_Avg_TPM","Cardiomyocytes-S20_rep_1_read","Cardiomyocytes-S25_rep_2_read","Cardiomyocytes-S29_rep_3_read","FoldChange"
"ABCB6",899,17.0286,863,17.5457,699,13.9198,16.1647,8.326215,7.061364,8.704006,8.03052833333333,123,101,86,1.90074150331182
"ABCB7",498,0.823202,595,1.05569,653,1.13482,1.00457066667,13.831658,11.114692,9.446497,11.4642823333333,350,248,280,0.160825197396978
"ABCB8",1140,10.2865,1000,9.68508,836,7.93062,9.30073333333,11.02178,6.985446,5.674411,7.893879,471,342,268,1.15818231092755
"ABCB9",1253,3.60629,1433,4.42686,1068,3.23161,3.75492,4.324097,2.790693,3.029996,3.38159533333333,187,127,124,1.08520290859052
"ABCC1",825,0.744849,630,0.610513,796,0.755554,0.703638666667,4.111846,2.414281,2.166516,2.89754766666667,483,341,276,0.43710528064536
"ABCC10",821,6.21923,787,6.39895,608,4.84212,5.8201,14.897475,9.350053,15.513101,13.253543,250,167,160,0.47848454240465
"ABCC12",22,0.0512362,10,0.0249974,9,0.0220361,0.0327565666667,0.174113,0,0.046512,0.0735416666666667,1,0,1,0.962008833689144
"ABCC2",51,0.127363,49,0.131343,94,0.246796,0.168500666667,0.206724,0.320286,0.182112,0.236374,3,4,1,0.945102911147436
"ABCC3",107,0.325222,68,0.221843,216,0.690221,0.412428666667,0.348225,0.325404,0.504307,0.392645333333333,2,3,3,1.01420557902299
"ABCC4",589,0.365351,764,0.508661,1042,0.679517,0.517843,0.874694,0.850797,0.835235,0.853575333333333,82,50,37,0.818873111172894
"ABCC5",4107,7.32087,3602,6.89163,3384,6.34171,6.85140333333,26.815209,20.139758,16.661965,21.205644,1688,1220,1081,0.35357692545778
"ABCC6",60,0.140518,55,0.138256,50,0.123109,0.133961,2.370812,3.482122,1.641663,2.498199,98,80,51,0.324155658383071
"ABCC8",325,0.672859,385,0.855543,185,0.402671,0.643691,0.18336,0.761856,0.182109,0.375775,9,6,1,1.19473823844742
"ABCC9",94,0.113153,173,0.223523,310,0.392316,0.242997333333,5.937915,4.245439,2.802442,4.32859866666667,581,434,370,0.233269084629818
"ABCD1",264,2.31762,256,2.41223,305,2.81498,2.51494333333,9.855316,6.357848,6.647314,7.62015933333333,690,437,443,0.407758510882513
"ABCD2",242,0.605942,370,0.994392,336,0.88449,0.828274666667,0.210704,0.12733,0.165506,0.167846666666667,19,13,17,1.56550917072475
"ABCD3",2126,3.70381,2650,4.95531,2365,4.33166,4.33026,10.323186,7.852999,5.423063,7.866416,539,489,336,0.601174138456847
"ABCD4",1255,12.3263,1060,11.1747,982,10.14,11.2136666667,36.841234,32.142947,25.91358,31.632587,577,476,396,0.374278222768547
"ABCE1",1529,8.55123,1799,10.7992,1859,10.9305,10.0936433333,25.279482,10.850918,4.462396,13.530932,450,444,265,0.763450226957225
"ABCF1",1386,9.38973,1319,9.59125,1352,9.62952,9.53683333333,30.647549,12.146954,19.277681,20.690728,895,681,599,0.485775919246694
"ABCF2",1281,11.5773,1339,12.9891,1269,12.0575,12.2079666667,6.164294,6.22041,10.611419,7.66537433333333,480,500,342,1.52422343901435
"ABCF2",1264,14.0453,1300,15.5048,1236,14.4391,14.6630666667,6.164294,6.22041,10.611419,7.66537433333333,480,500,342,1.80754645606578
"ABCF3",1334,29.1675,1379,32.363,1039,23.8835,28.4713333333,42.225453,35.384299,25.704264,34.4380053333333,787,609,496,0.831630704270451
"ABCG1",450,0.805841,586,1.12635,828,1.55885,1.16368033333,4.885127,3.443918,3.219942,3.84966233333333,306,199,192,0.446150718258941
"ABCG2",670,0.82732,1233,1.63419,582,0.755544,1.07235133333,0.576877,0.198017,0.199392,0.324762,10,14,4,1.56431972937781
"ABCG4",401,5.1503,416,5.73484,237,3.20018,4.69510666667,0.753032,0.371896,0.214828,0.446585333333333,40,26,15,3.93693101640046
"ABCG5",8,0.0529511,20,0.142087,8,0.055669,0.0835690333333,0,0.01593,0,0.00531,0,1,0,1.07784567281068
"ABCG8",24,0.0821356,29,0.106527,16,0.0575676,0.0820767333333,0.035989,0.06211,0.039485,0.0458613333333333,4,5,3,1.0346273438416
"ABHD1",84,2.08923,91,2.42934,76,1.98727,2.16861333333,0.548215,0.837679,0.573511,0.653135,17,19,15,1.91672993030212
"ABHD10",991,12.057,1290,16.846,1040,13.3026,14.0685333333,4.682414,3.63352,2.996599,3.77084433333333,164,141,99,3.15846258659456
"ABHD11",188,11.8397,190,12.8433,172,11.3881,12.0237,16.413349,19.071503,13.597818,16.36089,302,309,281,0.750174674224651
"ABHD12",4523,8.22282,4462,8.70692,3868,7.39297,8.10757,31.484105,29.04836,22.06709,27.533185,638,567,468,0.319192196735135
"ABHD12B",111,0.589088,70,0.398745,127,0.708596,0.565476333333,0.21345,0.366161,0.189974,0.256528333333333,7,7,3,1.2458742805903
"ABHD13",357,3.93437,470,5.55962,462,5.35287,4.94895333333,1.172633,1.326137,0.716184,1.07165133333333,82,109,59,2.87159969325437
"ABHD14A",256,4.57571,307,5.88975,216,4.05892,4.84146,8.546513,7.684425,5.406513,7.21248366666667,139,127,86,0.711290303530182
"ABHD14B",619,7.25763,689,8.6709,638,7.86436,7.93096333333,8.124944,8.387924,5.480449,7.33110566666667,292,279,180,1.07200216761905
"ABHD15",318,8.55867,325,9.38864,418,11.8275,9.92493666667,1.644095,1.578787,1.43262,1.551834,123,111,101,4.28120977566331
"ABHD16A",1232,13.1221,1310,14.9763,1014,11.3545,13.1509666667,19.452254,20.109003,15.952975,18.504744,486,433,358,0.72551409373535
"ABHD16B",39,4.56959,46,5.7851,51,6.28234,5.54567666667,0,0,0,0,0,0,0,6.54567666667
"ABHD17A",1446,28.9099,1530,32.833,1345,28.2709,30.0046,21.413135,20.573032,17.57639,19.8541856666667,715,597,525,1.48673271138838
"ABHD17B",532,1.91708,563,2.17759,736,2.78833,2.29433333333,2.046774,1.634046,1.489593,1.723471,103,84,78,1.20960837597683
"ABHD17C",287,0.660257,270,0.666708,448,1.08355,0.803505,1.848624,2.204347,1.707873,1.92028133333333,50,65,54,0.617579196707532
"ABHD18",391,0.915378,473,1.18857,664,1.63429,1.24607933333,8.712244,6.827573,4.421348,6.65372166666667,367,326,288,0.293462374404348
