"Hs_symbol","hDRG1_read","hDRG1_TPM","hDRG2_read","hDRG2_TPM","hDRG3_read","hDRG3_TPM","Avg_TPM","Motor_neurons-S18_rep_1","Motor_neurons-S22_rep_2","Motor_neurons-S26_rep_3","Hs_Avg_TPM","Motor_neurons-S18_rep_1_read","Motor_neurons-S22_rep_2_read","Motor_neurons-S26_rep_3_read","FoldChange"
"ABCB5",16,0.0172721,27,0.0312846,21,0.0238333,0.02413,0.031732,0.170177,0.033162,0.078357,3,5,1,0.949713313865445
"ABCB6",899,17.0286,863,17.5457,699,13.9198,16.1647,39.80428,30.533985,38.474452,36.2709056666667,602,671,937,0.460538849082793
"ABCB7",498,0.823202,595,1.05569,653,1.13482,1.00457066667,6.507055,5.040312,4.209266,5.252211,171,274,200,0.320617884884243
"ABCB8",1140,10.2865,1000,9.68508,836,7.93062,9.30073333333,21.51191,19.464312,14.629305,18.5351756666667,551,761,665,0.527291564155545
"ABCB9",1253,3.60629,1433,4.42686,1068,3.23161,3.75492,13.522164,13.523465,13.352624,13.4660843333333,392,512,531,0.328694337073891
"ABCC1",825,0.744849,630,0.610513,796,0.755554,0.703638666667,11.500209,10.367327,9.302465,10.3900003333333,903,1271,1197,0.149573188481938
"ABCC10",821,6.21923,787,6.39895,608,4.84212,5.8201,36.128396,35.014973,37.78168,36.3083496666667,526,739,582,0.18280358313714
"ABCC12",22,0.0512362,10,0.0249974,9,0.0220361,0.0327565666667,0,0,0,0,0,0,0,1.0327565666667
"ABCC2",51,0.127363,49,0.131343,94,0.246796,0.168500666667,0.525342,0.194318,0.093136,0.270932,8,4,5,0.919404552459927
"ABCC3",107,0.325222,68,0.221843,216,0.690221,0.412428666667,0.735677,0.386222,0.301105,0.474334666666667,6,5,4,0.958010890336296
"ABCC4",589,0.365351,764,0.508661,1042,0.679517,0.517843,7.050166,6.396275,5.373786,6.273409,388,482,551,0.208683850997517
"ABCC5",4107,7.32087,3602,6.89163,3384,6.34171,6.85140333333,40.658816,35.616212,29.02946,35.101496,2274,2699,2335,0.217481384520187
"ABCC6",60,0.140518,55,0.138256,50,0.123109,0.133961,1.563937,2.080382,1.038311,1.56087666666667,47,91,70,0.442801879044025
"ABCC8",325,0.672859,385,0.855543,185,0.402671,0.643691,59.334917,46.332088,44.755074,50.140693,729,907,811,0.032140569546056
"ABCC9",94,0.113153,173,0.223523,310,0.392316,0.242997333333,2.011239,0.868414,0.975146,1.284933,245,158,167,0.543997278402912
"ABCD1",264,2.31762,256,2.41223,305,2.81498,2.51494333333,10.618352,6.729346,8.415782,8.58782666666667,351,364,475,0.366604805815917
"ABCD2",242,0.605942,370,0.994392,336,0.88449,0.828274666667,1.015291,0.95263,0.78988,0.919267,101,128,108,0.95259005999009
"ABCD3",2126,3.70381,2650,4.95531,2365,4.33166,4.33026,11.715671,11.503515,12.736033,11.985073,658,873,979,0.410491338785696
"ABCD4",1255,12.3263,1060,11.1747,982,10.14,11.2136666667,58.610022,52.354869,50.095508,53.6867996666667,722,999,947,0.223338479142063
"ABCE1",1529,8.55123,1799,10.7992,1859,10.9305,10.0936433333,47.293811,49.347163,47.386876,48.0092833333333,1200,1864,1735,0.226357999521179
"ABCF1",1386,9.38973,1319,9.59125,1352,9.62952,9.53683333333,49.941811,50.936379,55.648464,52.1755513333333,769,1208,1106,0.198151839879936
"ABCF2",1281,11.5773,1339,12.9891,1269,12.0575,12.2079666667,19.522918,29.608502,27.332976,25.488132,499,751,734,0.498637150656755
"ABCF2",1264,14.0453,1300,15.5048,1236,14.4391,14.6630666667,19.522918,29.608502,27.332976,25.488132,499,751,734,0.591323943368298
"ABCF3",1334,29.1675,1379,32.363,1039,23.8835,28.4713333333,46.460597,40.982435,31.451225,39.631419,710,879,744,0.725333597955316
"ABCG1",450,0.805841,586,1.12635,828,1.55885,1.16368033333,2.981022,2.516257,2.216058,2.57111233333333,133,150,148,0.605884142353592
"ABCG2",670,0.82732,1233,1.63419,582,0.755544,1.07235133333,0,0.032841,0.010415,0.0144186666666667,0,3,1,2.04289550402267
"ABCG4",401,5.1503,416,5.73484,237,3.20018,4.69510666667,12.913126,10.418173,10.808669,11.3799893333333,598,780,776,0.460025167496375
"ABCG5",8,0.0529511,20,0.142087,8,0.055669,0.0835690333333,0.106507,0.151389,0.042838,0.100244666666667,5,10,3,0.984843704460856
"ABCG8",24,0.0821356,29,0.106527,16,0.0575676,0.0820767333333,0.375379,0.464493,0.42013,0.420000666666667,27,45,55,0.762025510786122
"ABHD1",84,2.08923,91,2.42934,76,1.98727,2.16861333333,0.400221,0.717874,0.22597,0.448021666666667,14,18,14,2.18823613366513
"ABHD10",991,12.057,1290,16.846,1040,13.3026,14.0685333333,22.938499,24.352688,21.626771,22.9726526666667,576,818,829,0.628571795654988
"ABHD11",188,11.8397,190,12.8433,172,11.3881,12.0237,6.937606,7.064101,6.864255,6.95532066666667,76,110,135,1.63710559834127
"ABHD12",4523,8.22282,4462,8.70692,3868,7.39297,8.10757,64.546737,62.306897,62.683147,63.178927,766,1044,1187,0.141909041265212
"ABHD12B",111,0.589088,70,0.398745,127,0.708596,0.565476333333,1.904262,0.479376,0.66991,1.01784933333333,10,10,16,0.775814282797295
"ABHD13",357,3.93437,470,5.55962,462,5.35287,4.94895333333,2.367033,2.196661,1.88721,2.15030133333333,196,246,214,1.88837596911258
"ABHD14A",256,4.57571,307,5.88975,216,4.05892,4.84146,22.540257,19.428712,18.954588,20.3078523333333,283,320,352,0.274145883340003
"ABHD14B",619,7.25763,689,8.6709,638,7.86436,7.93096333333,3.320588,2.072545,1.528819,2.30731733333333,54,55,44,2.7003648072466
"ABHD15",318,8.55867,325,9.38864,418,11.8275,9.92493666667,0.626613,0.218831,0.501833,0.449092333333333,33,16,41,7.5391584203192
"ABHD16A",1232,13.1221,1310,14.9763,1014,11.3545,13.1509666667,37.200716,47.134845,37.037113,40.457558,666,1034,935,0.341336232749165
"ABHD16B",39,4.56959,46,5.7851,51,6.28234,5.54567666667,0,0,0,0,0,0,0,6.54567666667
"ABHD17A",1446,28.9099,1530,32.833,1345,28.2709,30.0046,15.282057,19.663938,28.463204,21.1363996666667,503,831,1086,1.40061620077664
"ABHD17B",532,1.91708,563,2.17759,736,2.78833,2.29433333333,10.201998,14.689547,11.447473,12.113006,457,762,669,0.251226403261769
"ABHD17C",287,0.660257,270,0.666708,448,1.08355,0.803505,22.112876,26.685209,23.848278,24.2154543333333,525,820,771,0.0715237955326418
"ABHD18",391,0.915378,473,1.18857,664,1.63429,1.24607933333,4.011071,3.517854,4.147912,3.892279,213,284,273,0.45910695880795
"ABHD2",17724,26.9491,16264,26.543,12739,20.3636,24.6185666667,13.588883,13.921576,10.695473,12.7353106666667,1685,2486,2111,1.86516106467632
"ABHD3",1424,4.61714,1403,4.88271,1271,4.33258,4.61081,1.597983,1.039653,1.180823,1.27281966666667,33,27,32,2.46865604090308
"ABHD4",738,8.60724,755,9.45138,690,8.46048,8.8397,25.455379,4.883742,6.507743,12.282288,182,133,112,0.740813630904555
