"Hs_symbol","hDRG1_read","hDRG1_TPM","hDRG2_read","hDRG2_TPM","hDRG3_read","hDRG3_TPM","Avg_TPM","Cortical_neurons-S17_rep_1","Cortical_neurons-S21_rep_2","Cortical_neurons-S8_rep_3","Hs_Avg_TPM","Cortical_neurons-S17_rep_1_read","Cortical_neurons-S21_rep_2_read","Cortical_neurons-S8_rep_3_read","FoldChange"
"ABCC4",589,0.365351,764,0.508661,1042,0.679517,0.517843,4.728571,5.721667,5.325962,5.25873333333333,242,283,134,0.24251600430332
"ABCC5",4107,7.32087,3602,6.89163,3384,6.34171,6.85140333333,41.572952,43.888857,45.250485,43.5707646666667,1760,2095,1575,0.176155903809339
"ABCC6",60,0.140518,55,0.138256,50,0.123109,0.133961,0.688326,0.691802,0.278854,0.552994,12,21,8,0.730177321998668
"ABCC8",325,0.672859,385,0.855543,185,0.402671,0.643691,44.948896,46.276289,61.444417,50.8898673333333,566,656,646,0.0316765311701638
"ABCC9",94,0.113153,173,0.223523,310,0.392316,0.242997333333,1.51249,0.676152,0.605353,0.931331666666667,166,81,48,0.643595998960821
"ABCD1",264,2.31762,256,2.41223,305,2.81498,2.51494333333,6.614678,7.050127,8.893207,7.51933733333333,192,234,142,0.412584124304739
"ABCD2",242,0.605942,370,0.994392,336,0.88449,0.828274666667,1.111828,0.947205,1.460715,1.17324933333333,91,82,86,0.841263189927126
"ABCD3",2126,3.70381,2650,4.95531,2365,4.33166,4.33026,14.822618,16.086553,17.331049,16.0800733333333,639,817,573,0.312074772512686
"ABCD4",1255,12.3263,1060,11.1747,982,10.14,11.2136666667,49.321733,40.153747,59.337327,49.604269,485,502,452,0.241356448933192
"ABCE1",1529,8.55123,1799,10.7992,1859,10.9305,10.0936433333,40.838605,40.205738,45.232008,42.092117,918,1004,713,0.257440202654699
"ABCF1",1386,9.38973,1319,9.59125,1352,9.62952,9.53683333333,46.260735,63.760304,59.860432,56.627157,625,761,519,0.182844927320118
"ABCF2",1281,11.5773,1339,12.9891,1269,12.0575,12.2079666667,26.268774,19.429182,42.181654,29.2932033333333,443,535,432,0.436004291832899
"ABCF2",1264,14.0453,1300,15.5048,1236,14.4391,14.6630666667,26.268774,19.429182,42.181654,29.2932033333333,443,535,432,0.517048873780378
"ABCF3",1334,29.1675,1379,32.363,1039,23.8835,28.4713333333,49.775637,52.727308,46.588001,49.696982,554,722,457,0.581323230114566
"ABCG1",450,0.805841,586,1.12635,828,1.55885,1.16368033333,7.097047,8.637267,8.443098,8.05913733333333,274,360,227,0.238839555436331
"ABCG2",670,0.82732,1233,1.63419,582,0.755544,1.07235133333,0.071606,0.158845,0.025076,0.0851756666666667,4,11,1,1.90969204064042
"ABCG4",401,5.1503,416,5.73484,237,3.20018,4.69510666667,11.183928,15.998495,13.278866,13.4870963333333,433,622,404,0.393115813937548
"ABCG5",8,0.0529511,20,0.142087,8,0.055669,0.0835690333333,0.093551,0.161392,0.087861,0.114268,3,7,2,0.972449207312155
"ABCG8",24,0.0821356,29,0.106527,16,0.0575676,0.0820767333333,0.279919,0.336852,0.476524,0.364431666666667,19,25,16,0.793060407324637
"ABHD1",84,2.08923,91,2.42934,76,1.98727,2.16861333333,1.219066,0.595476,1.404846,1.07312933333333,17,18,14,1.52842048124188
"ABHD10",991,12.057,1290,16.846,1040,13.3026,14.0685333333,20.734833,22.479951,21.319982,21.5115886666667,502,570,353,0.669367833448923
"ABHD11",188,11.8397,190,12.8433,172,11.3881,12.0237,5.79209,6.6316,4.983045,5.802245,56,74,48,1.91461789453335
"ABHD12",4523,8.22282,4462,8.70692,3868,7.39297,8.10757,62.698382,74.955257,56.465736,64.7064583333333,591,762,413,0.138609966676284
"ABHD12B",111,0.589088,70,0.398745,127,0.708596,0.565476333333,3.562703,1.658765,4.615794,3.27908733333333,22,21,30,0.365843510866959
"ABHD13",357,3.93437,470,5.55962,462,5.35287,4.94895333333,2.86622,3.359063,3.388676,3.204653,195,241,166,1.41485000862854
"ABHD14A",256,4.57571,307,5.88975,216,4.05892,4.84146,25.012009,25.594496,21.460029,24.022178,268,287,164,0.233451300682139
"ABHD14B",619,7.25763,689,8.6709,638,7.86436,7.93096333333,1.988993,2.13046,2.242736,2.12072966666667,33,40,33,2.86181896135508
"ABHD15",318,8.55867,325,9.38864,418,11.8275,9.92493666667,0.139043,0.156659,0.265244,0.186982,6,8,8,9.20396153157335
"ABHD16A",1232,13.1221,1310,14.9763,1014,11.3545,13.1509666667,34.317671,41.166479,61.739668,45.7412726666667,552,678,517,0.30275099198982
"ABHD16B",39,4.56959,46,5.7851,51,6.28234,5.54567666667,0,0,0,0,0,0,0,6.54567666667
"ABHD17A",1446,28.9099,1530,32.833,1345,28.2709,30.0046,13.189788,17.685175,18.251272,16.3754116666667,437,578,391,1.78439513231677
"ABHD17B",532,1.91708,563,2.17759,736,2.78833,2.29433333333,9.608137,10.13461,9.429544,9.724097,351,345,244,0.307189811256836
"ABHD17C",287,0.660257,270,0.666708,448,1.08355,0.803505,26.356909,23.923575,30.757178,27.012554,465,485,360,0.0643820267155933
"ABHD18",391,0.915378,473,1.18857,664,1.63429,1.24607933333,3.898036,4.946809,4.114577,4.31980733333333,195,202,135,0.422210653994236
"ABHD2",17724,26.9491,16264,26.543,12739,20.3636,24.6185666667,24.811763,18.501694,16.975591,20.0963493333333,1534,1881,1288,1.21436018440505
"ABHD3",1424,4.61714,1403,4.88271,1271,4.33258,4.61081,2.112366,4.383957,4.812756,3.769693,34,41,40,1.17634615058034
"ABHD4",738,8.60724,755,9.45138,690,8.46048,8.8397,5.832204,5.914283,14.836758,8.86108166666667,103,107,75,0.997831711835534
"ABHD5",469,1.85103,419,1.77498,452,1.8755,1.83383666667,6.272151,9.717485,9.994526,8.66138733333333,224,264,185,0.293315708075672
"ABHD6",462,1.38769,518,1.67002,434,1.3705,1.47607,12.738211,13.156293,8.173231,11.3559116666667,201,211,124,0.200395573131188
"ABHD8",802,7.73824,756,7.82943,603,6.11679,7.22815333333,7.19407,9.390167,9.704944,8.76306033333333,145,236,124,0.842784234901959
"ABI1",1701,2.59542,1851,3.03145,2269,3.63979,3.08888666667,19.731057,19.365981,20.50402,19.8670193333333,618,612,424,0.195949723405793
"ABI2",4245,6.20636,4621,7.25163,4889,7.5148,6.99093,50.424881,51.894418,63.248999,55.1894326666667,3251,3183,2502,0.142214107186394
"ABI3",335,4.56685,245,3.58491,572,8.19797,5.44991,0,0.209091,0.075429,0.09484,0,3,1,5.89118958021263
"ABI3BP",385,0.275246,801,0.614658,1404,1.05528,0.648394666667,0.99652,1.116168,1.795284,1.30265733333333,15,18,16,0.715866248444695
"ABITRAM",1122,11.9922,1332,15.2809,1849,20.7769,16.0166666667,12.878776,15.022405,19.706706,15.8692956666667,130,158,143,1.00873604938495
"ABL1",1330,1.3303,1558,1.67265,1785,1.87704,1.62666333333,23.387004,25.535463,27.529949,25.4841386666667,995,1264,955,0.0991787335955901
"ABL2",1534,2.05583,1795,2.58207,2285,3.21949,2.61913,4.876134,5.408775,4.808567,5.03115866666667,785,862,542,0.600072092283429
"ABLIM1",9790,5.07585,10498,5.84216,8705,4.74497,5.22099333333,100.860799,75.151885,120.837451,98.950045,7750,6453,5627,0.0622410258377573
"ABLIM2",835,0.75378,569,0.551329,725,0.688072,0.664393666667,19.980956,30.901303,25.59889,25.4937163333333,462,672,364,0.0628222045456464
"ABLIM3",3540,5.19431,3148,4.95792,2904,4.47981,4.87734666667,48.422608,52.934019,47.138285,49.498304,1626,2148,1222,0.116387011070114
"ABO",280,1.90898,318,2.32708,308,2.20766,2.14790666667,0.839964,0.413628,1.770949,1.00818033333333,23,39,31,1.56754182600965
"ABR",3546,2.7384,3554,2.94588,3798,3.08355,2.92261,591.586845,672.731938,685.513728,649.944170333333,3340,3625,3006,0.00602603138452154
"ABRA",10,0.16233,32,0.557555,60,1.02397,0.581285,0.028665,0.053548,0.080009,0.054074,1,2,2,1.50016507379937
"ABRACL",136,1.63203,150,1.93206,207,2.61154,2.05854333333,19.223716,14.20645,19.051796,17.4939873333333,138,111,99,0.165380416791857
"ABRAXAS1",607,1.66127,747,2.19439,763,2.19541,2.01702333333,4.102444,3.794132,3.584166,3.826914,77,83,56,0.625041865947891
"ABRAXAS2",669,3.35372,688,3.70194,758,3.99492,3.68352666667,9.187908,9.791007,10.77312,9.917345,353,405,295,0.428998686646799
"ABT1",253,11.6712,303,15.003,253,12.2703,12.9815,4.88843,4.285503,5.231131,4.801688,188,179,143,2.40990208366944
"ABTB1",1543,33.7288,1425,33.4342,937,21.5334,29.5654666667,2.982307,4.057105,10.245762,5.76172466666667,62,115,92,4.52036546494992
"ABTB2",364,0.307165,368,0.333318,470,0.416971,0.352484666667,1.344934,1.96267,3.69669,2.33476466666667,85,140,90,0.405571247706335
"ACAA1",1192,6.10428,1253,6.88731,1152,6.20224,6.39794333333,46.486176,54.061449,53.958237,51.501954,591,740,475,0.140907961888999
"ACAA2",1316,7.23196,1158,6.83045,1297,7.49339,7.18526666667,7.463552,10.616386,8.612113,8.89735033333333,146,199,117,0.827015957907724
"ACACA",4300,2.33406,4641,2.70393,4008,2.28723,2.44174,87.127535,78.297049,72.405289,79.2766243333333,3380,3012,2176,0.0428735018267439
"ACACB",3042,3.50477,3493,4.31955,2522,3.0548,3.62637333333,3.694984,3.933355,3.564281,3.73087333333333,62,63,54,0.977911055181496
"ACAD10",802,1.97192,897,2.36727,684,1.76811,2.03576666667,11.611479,11.630295,14.269463,12.5037456666667,185,171,157,0.224809230091147
"ACAD11",1114,1.90902,1115,2.05088,1118,2.01421,1.99137,6.956361,6.78533,9.702243,7.81464466666667,123,171,123,0.339363651414347
"ACAD8",819,11.575,885,13.4252,746,11.0844,12.0282,28.56967,26.216904,35.090426,29.959,521,559,449,0.420821085952389
"ACAD9",1039,4.97676,1126,5.78908,1091,5.49407,5.41997,16.730664,15.138342,15.036653,15.6352196666667,348,375,288,0.385926373600236
"ACADL",894,4.07549,1008,4.93223,2279,10.9226,6.64344,0.288112,0.704497,0.707281,0.56663,9,17,9,4.87890567651583
"ACADM",1245,3.43988,1406,4.16965,1536,4.46173,4.02375333333,34.991444,30.116255,36.311604,33.8064343333333,538,526,442,0.144334041379207
"ACADS",317,3.89038,354,4.66312,259,3.34173,3.96507666667,1.771714,2.673468,3.757556,2.734246,38,59,46,1.32960620876878
"ACADSB",866,3.0667,1330,5.05528,1095,4.07667,4.06621666667,5.696079,5.142362,5.947202,5.59521433333333,415,396,308,0.768165583499611
"ACADVL",7556,162.126,6596,151.908,4694,105.887,139.973666667,236.028354,256.563668,245.533457,246.041826333333,1257,1410,953,0.570646957883093
"ACAN",7,0.0170047,96,0.250313,28,0.0715101,0.1129426,0.108891,0.370897,0.103268,0.194352,8,10,6,0.931838017602851
"ACAP1",124,1.44911,135,1.69337,286,3.51385,2.21877666667,9.140538,8.118628,5.692809,7.65065833333333,23,41,22,0.372084590864857
"ACAP2",1382,1.43455,1840,2.05005,1856,2.02545,1.83668333333,19.442193,11.477702,6.945933,12.6219426666667,361,356,272,0.2082436699922
"ACAP3",1458,14.7916,1582,17.2268,1149,12.2551,14.7578333333,237.983872,241.790025,300.03488,259.936259,2282,2631,2345,0.0603895886056219
"ACAT1",1814,10.2528,2004,12.1575,1738,10.3275,10.9126,122.137156,118.34408,129.991315,123.490850333333,655,741,527,0.0956905665605396
"ACAT2",4118,42.1497,3190,35.046,2391,25.7292,34.3083,150.038137,113.788996,97.188096,120.338409666667,2596,2136,1199,0.290990298100962
"ACBD3",1022,4.24464,1115,4.97056,1412,6.16543,5.12687666667,55.57853,50.960754,31.733687,46.0909903333333,687,749,476,0.130107195098275
"ACBD4",398,6.0033,374,6.05507,392,6.21629,6.09155333333,2.513592,3.070246,3.546908,3.043582,36,57,47,1.75378002309091
"ACBD5",1433,5.33589,1976,7.89747,1715,6.71371,6.64902333333,22.086031,24.008406,24.78825,23.6275623333333,786,939,654,0.310587918925986
"ACBD6",1053,0.788498,1177,0.945995,1134,0.892737,0.875743333333,44.648742,40.179244,47.697377,44.175121,561,617,466,0.0415216006468029
"ACBD7",50,0.656665,111,1.56472,52,0.717985,0.97979,1.043718,2.012931,2.647439,1.90136266666667,46,68,57,0.682365573509827
"ACCS",561,5.35173,673,6.89107,851,8.53491,6.92590333333,2.852259,6.929111,6.720408,5.50059266666667,40,71,38,1.21925857221788
"ACCSL",0,0,0,0,1,0.0153093,0.0051031,0,0.041683,0,0.0138943333333333,0,1,0,0.991329241081336
"ACD",257,13.5889,202,11.4642,154,8.5607,11.2046,10.823814,17.900748,15.750557,14.8250396666667,143,186,143,0.771220815686634
"ACE",115,0.942326,128,1.12578,299,2.5758,1.54796866667,7.650195,4.932748,4.196313,5.59308533333333,104,116,46,0.386460744530027
"ACE2",22,0.0934765,3,0.0136817,17,0.0759393,0.0610325,0.257103,0.077158,0.190801,0.175020666666667,1,1,1,0.902990500592614
"ACER1",15,0.095391,7,0.0477809,21,0.140402,0.0945246333333,0.061841,0,0.249022,0.103621,1,0,3,0.991757707884591
"ACER2",68,0.273112,56,0.241412,58,0.244905,0.253143,1.702671,1.924675,1.809561,1.81230233333333,61,75,46,0.445593272510886
"ACER3",2305,2.4268,2576,2.91105,2484,2.74949,2.69578,5.618697,5.605735,6.031901,5.752111,410,489,347,0.547351783760664
