"Hs_symbol","Cortical_neurons-S17_rep_1","Cortical_neurons-S21_rep_2","Cortical_neurons-S8_rep_3","Hs_Avg_TPM","Cortical_neurons-S17_rep_1_read","Cortical_neurons-S21_rep_2_read","Cortical_neurons-S8_rep_3_read","Mm_genes","Heart-S3","Heart-S9","Heart-S15","Heart-S3_read","Heart-S9_read","Heart-S15_read","Mm_Avg_TPM","FoldChange"
"GET3",27.617636,31.63611,28.622656,29.292134,408,487,299,"Get3",7.935745,8.653655,8.108915,275,265,216,8.23277166666667,3.28093611470589
"GET4",28.545756,35.589058,54.700205,39.611673,316,419,278,"Get4",6.018241,6.954061,8.473799,260,277,203,7.14870033333333,4.983822123618
"GFAP",1.798823,0.721796,1.718481,1.41303333333333,9,5,8,"Gfap",0,0,0,0,0,0,0,2.41303333333333
"GFER",12.538248,18.006256,15.581405,15.375303,192,262,175,"Gfer",2.819264,2.992573,3.506912,95,100,81,3.10624966666667,3.9878975535584
"GFI1",0,0.061513,0.043861,0.0351246666666667,0,4,1,"Gfi1",0,0,0,0,0,0,0,1.03512466666667
"GFI1B",0.331276,0.302898,0.151414,0.261862666666667,7,5,4,"Gfi1b",0,0,0,0,0,0,0,1.26186266666667
"GFM1",32.919969,28.429255,37.183695,32.8443063333333,997,1014,737,"Gfm1",32.571474,36.532105,34.742491,1871,1880,1527,34.6153566666667,0.950272845786467
"GFM2",17.916739,21.584079,24.602663,21.367827,533,608,366,"Gfm2",9.432517,9.620133,10.351995,706,721,611,9.80154833333333,2.07079821426836
"GFOD1",6.745875,7.611188,7.441599,7.26622066666667,666,839,548,"Gfod1",2.202884,2.141348,2.317597,498,432,371,2.22060966666667,2.56666330981432
"GFOD2",34.633121,37.665089,46.451527,39.5832456666667,1363,1487,1126,"Gfod2",0.441258,0.472494,0.73662,42,52,31,0.550124,26.1806446882099
"GFPT1",15.196334,16.458215,13.95573,15.2034263333333,1584,1751,1170,"Gfpt1",1.914657,2.06015,2.339877,328,270,260,2.10489466666667,5.21867183041314
"GFPT2",1.609768,3.126046,1.386436,2.04075,34,62,30,"Gfpt2",1.469771,1.343516,1.505994,139,118,103,1.43976033333333,1.24633143610691
"GFRA1",4.846787,4.528184,4.748011,4.70766066666667,583,582,411,"Gfra1",0.679695,0.643244,0.963214,88,71,68,0.762051,3.2392142263003
"GFRA2",35.568299,25.756718,43.981455,35.1021573333333,1066,769,753,"Gfra2",0.133418,0.190822,0.249994,11,16,17,0.191411333333333,30.3020093256345
"GFRA3",0.503036,0.977923,2.143896,1.208285,12,25,36,"Gfra3",0.21586,0.081078,0.413369,14,5,19,0.236769,1.78552745096295
"GFRA4",0,0,0,0,0,0,0,"Gfra4",0.959157,0.982349,1.565951,39,34,43,1.16915233333333,0.461009577166626
"GFRAL",0.085282,0.118892,0.059704,0.0879593333333333,2,3,1,"Gfral",0,0,0,0,0,0,0,1.08795933333333
"GFUS",41.265391,37.574977,45.57313,41.471166,295,343,207,"Gfus",5.306839,4.498173,6.331587,116,101,86,5.37886633333333,6.65810565398794
"GFY",0.595305,1.371086,0.381351,0.782580666666667,12,30,6,"Gfy",0,0,0,0,0,0,0,1.78258066666667
"GGA1",25.822105,29.359098,33.829975,29.6703926666667,494,586,460,"Gga1",6.739095,7.850568,5.808261,415,435,334,6.799308,3.93245050287367
"GGA2",43.821471,48.356463,51.332622,47.836852,532,615,462,"Gga2",4.170275,4.53636,4.560703,401,395,339,4.422446,9.00642477582995
"GGA3",31.893745,40.173245,42.129729,38.065573,551,705,486,"Gga3",12.642514,7.573604,24.792743,152,145,120,15.0029536666667,2.44114766646932
"GGACT",2.644404,2.547833,3.141143,2.77779333333333,14,23,13,"Ggact",3.383096,3.172235,2.864204,83,69,63,3.139845,0.912544632307087
"GGCT",16.578394,18.807805,17.616951,17.6677166666667,193,227,131,"Ggct",5.191265,6.299112,8.202058,92,95,94,6.564145,2.46792157827047
"GGCX",9.250453,11.203265,8.524182,9.6593,235,296,210,"Ggcx",4.1852,4.255247,5.647422,187,159,165,4.69595633333333,1.87138021715873
"GGH",33.348533,34.001335,28.926963,32.092277,330,339,200,"Ggh",0.979931,1.056473,1.252509,60,59,55,1.09630433333333,15.7860080112414
"GGN",2.37498,0.792661,6.713789,3.29381,13,15,25,"Ggn",0.020884,0.026341,0.042526,1,2,2,0.029917,4.16908352809013
"GGNBP2",40.831931,45.352072,47.659672,44.6145583333333,909,1012,749,"Ggnbp2",19.848513,24.072914,18.172204,552,513,414,20.697877,2.10225905204151
"GGPS1",45.572105,49.981873,52.60342,49.3857993333333,534,658,467,"Ggps1",4.27124,3.661366,4.868887,273,225,225,4.26716433333333,9.56601999570547
"GGT1",2.110978,1.924594,1.16168,1.73241733333333,20,30,7,"Ggt1",0,0,0,0,0,0,0,2.73241733333333
"GGT2",0,0,0,0,0,0,0,"Ggt1",0,0,0,0,0,0,0,1
"GGT5",0.430986,0.42041,0.581484,0.477626666666667,12,19,16,"Ggt5",1.147927,0.713529,1.332435,90,61,70,1.06463033333333,0.715685826566854
"GGT6",0.066122,0.029249,0.052121,0.049164,2,1,1,"Ggt6",0,0.024456,0.023954,0,1,1,0.0161366666666667,1.03250284574581
"GGT7",82.191011,78.486981,87.274774,82.650922,1169,1314,924,"Ggt7",0.37329,0.371932,0.383287,17,8,7,0.376169666666667,60.785326131056
"GGTLC1",0,0,0,0,0,0,0,"Ggt1",0,0,0,0,0,0,0,1
"GGTLC2",0.600786,0,0,0.200262,2,0,0,"Ggt1",0,0,0,0,0,0,0,1.200262
"GGTLC3",0,0,0,0,0,0,0,"Ggt1",0,0,0,0,0,0,0,1
"GH1",0,0,0,0,0,0,0,"Gh",0,0,0,0,0,0,0,1
"GH2",0,0,0,0,0,0,0,"Gh",0,0,0,0,0,0,0,1
"GHDC",1.982171,2.329492,1.962702,2.091455,42,61,35,"Ghdc",1.064641,1.091085,1.099932,87,85,64,1.08521933333333,1.48255627145857
"GHITM",81.380517,88.463091,83.250759,84.364789,2457,2871,1796,"Ghitm",95.393524,96.260403,96.897444,5268,4974,4148,96.1837903333333,0.878385054824524
"GHR",1.085321,1.424627,1.386517,1.29882166666667,50,53,45,"Ghr",17.057524,19.129382,20.527931,1702,1573,1445,18.9049456666667,0.115489974459781
"GHRH",23.003232,48.713991,13.721313,28.479512,62,131,23,"Ghrh",0,0,0,0,0,0,0,29.479512
"GHRHR",2.345189,3.704129,5.611532,3.88695,5,8,7,"Ghrhr",0,0,0,0,0,0,0,4.88695
"GHRL",0,0.156943,2.568512,0.908485,0,1,3,"Ghrl",4.01871,3.727819,3.567801,11,7,10,3.77144333333333,0.399980648762464
"GHSR",0,0,0,0,0,0,0,"Ghsr",0,0,0,0,0,0,0,1
"GID4",13.578394,7.163126,4.335774,8.359098,177,187,113,"Gid4",5.13892,4.668088,6.467641,693,598,622,5.424883,1.456695476011
"GID8",12.892912,15.061922,19.174438,15.7097573333333,642,751,587,"Gid8",8.819052,9.417646,11.593501,402,402,346,9.94339966666667,1.52692562113315
"GIGYF1",33.279344,16.894954,25.386653,25.1869836666667,640,683,587,"Gigyf1",2.582964,3.329931,3.672279,363,305,269,3.195058,6.24234126600077
"GIGYF2",40.879311,35.160333,35.033964,37.024536,1157,1138,775,"Gigyf2",6.839429,6.338852,6.795854,434,411,283,6.658045,4.96530589726229
"GIMAP1",0.017377,0.015964,0.049801,0.027714,1,1,2,"Gimap1",1.131133,0.926169,1.345637,40,37,25,1.134313,0.481519814572652
"GIMAP4",0.041602,0,0.075271,0.0389576666666667,1,0,1,"Gimap4",6.714393,5.114212,4.060346,252,207,148,5.296317,0.165010380936453
"GIMAP5",0,0,0,0,0,0,0,"Gimap5",0.887476,0.450967,0.983911,52,26,32,0.774118,0.563660365319556
"GIMAP5",0,0,0,0,0,0,0,"Gimap3",0.18357,0.054286,0.134688,12,3,7,0.124181333333333,0.889536207681798
"GIMAP6",0,0,0,0,0,0,0,"Gimap6",8.493221,7.28619,8.424837,338,283,286,8.06808266666667,0.110276894990812
"GIMAP7",0.077224,0,0.108265,0.0618296666666667,1,0,1,"Gimap7",0.1605,0,0.038289,1,0,1,0.066263,0.995842176523678
"GIMAP8",0.071749,0.049355,0,0.040368,4,3,0,"Gimap8",1.66473,1.433725,1.39308,158,123,98,1.49717833333333,0.416617422197187
"GIMD1",0,0,0,0,0,0,0,"Gimd1",0,0,0,0,0,0,0,1
"GIN1",4.52979,7.761707,7.814305,6.701934,74,130,74,"Gin1",2.432296,1.655052,2.690914,88,74,76,2.25942066666667,2.36297636532954
"GINM1",13.82496,15.267523,17.696457,15.5963133333333,264,283,174,"Ginm1",16.234166,17.999335,20.608856,639,729,570,18.2807856666667,0.860769556814568
"GINS1",1.47272,1.426763,1.388902,1.42946166666667,64,67,43,"Gins1",1.5515,0.662724,0.445887,11,17,9,0.886703666666667,1.28767527703962
"GINS2",1.353563,0.992375,1.337951,1.227963,20,25,23,"Gins2",0.203791,0.593773,0.431997,3,6,9,0.409853666666667,1.58027960821466
"GINS3",0.750682,7.505969,1.045662,3.100771,15,34,17,"Gins3",0.19403,0.123469,0.161301,15,9,9,0.1596,3.53636685063815
"GINS4",0.1411,1.769601,1.985808,1.29883633333333,7,20,14,"Gins4",1.908114,2.375358,2.529053,73,85,70,2.27084166666667,0.702827152032734
"GIP",0,0.272361,0,0.090787,0,2,0,"Gip",0,0,0,0,0,0,0,1.090787
"GIPC1",50.286314,83.777766,87.684036,73.9160386666667,368,428,354,"Gipc1",4.411134,7.773273,9.380821,131,168,159,7.18840933333333,9.14903439935506
"GIPC2",3.096109,1.717927,1.571989,2.128675,6,6,5,"Gipc2",1.921059,1.823416,3.339383,16,19,16,2.361286,0.930797022330144
"GIPC3",0.396043,0.420137,0.156182,0.324120666666667,23,27,6,"Gipc3",0.562409,0.50463,0.817064,67,61,66,0.628034333333333,0.813324780415155
"GIPR",48.766217,3.36803,2.813786,18.316011,117,120,37,"Gipr",0.041901,0.106734,0.039249,4,3,3,0.062628,18.1775851944425
"GIT1",60.621206,69.775885,70.368036,66.921709,1006,1283,883,"Git1",5.399746,5.972739,6.907785,618,582,513,6.09342333333333,9.57530740916351
"GIT2",26.191616,26.255826,24.467973,25.6384716666667,1078,1136,754,"Git2",12.305274,13.635651,15.696362,321,268,255,13.8790956666667,1.79032867745748
"GJA1",4.295675,7.1975,5.749771,5.74764866666667,165,295,156,"Gja6",0,0,0,0,0,0,0,6.74764866666667
"GJA10",0.115212,1.114533,0.081151,0.436965333333333,2,10,1,"Gja10",0,0,0,0,0,0,0,1.43696533333333
"GJA3",0.015202,0.041637,0.021475,0.0261046666666667,1,3,1,"Gja3",3.458986,3.66451,3.5941,143,162,164,3.572532,0.22440622977962
"GJA4",0,0,0.123017,0.0410056666666667,0,0,1,"Gja4",1.46079,1.290007,1.567494,79,66,60,1.43943033333333,0.426741297934176
"GJA5",0.024107,0.044163,0.033971,0.0340803333333333,1,2,1,"Gja5",0.512291,0.734209,0.778904,42,55,57,0.675134666666667,0.61731176239761
"GJA8",0,0,0,0,0,0,0,"Gja8",0.012815,0.009227,0.005923,3,2,1,0.00932166666666667,0.990764424291562
"GJB1",0.041905,0.018561,0,0.0201553333333333,2,1,0,"Gjb1",0,0,0,0,0,0,0,1.02015533333333
"GJB2",0,0.031812,0,0.010604,0,1,0,"Gjb2",0,0,0,0,0,0,0,1.010604
"GJB3",0,0.082176,0,0.027392,0,2,0,"Gjb3",0,0,0,0,0,0,0,1.027392
"GJB4",0,0,0,0,0,0,0,"Gjb4",0,0,0,0,0,0,0,1
"GJB5",0.062892,0.057426,0,0.040106,1,1,0,"Gjb5",0.01862,0,0.02588,1,0,1,0.0148333333333333,1.02490326818854
"GJB6",0,0,0,0,0,0,0,"Gjb6",0,0.046275,0,0,1,0,0.015425,0.984809316296132
"GJC1",1.673147,1.970663,4.16361,2.60247333333333,95,117,106,"Gjc1",3.474777,6.55733,3.261074,202,153,136,4.43106033333333,0.663309393052222
"GJC2",1.335807,1.970834,1.909937,1.73885933333333,27,48,26,"Gjc2",0.094328,0.028222,0.097478,6,2,4,0.0733426666666667,2.55171010935309
"GJC3",0.081801,0,0.345032,0.142277666666667,1,0,3,"Gjc3",0.047175,0.025618,0.032068,6,3,3,0.0349536666666667,1.1036993282469
"GJD2",1.250232,0.949847,1.727991,1.30935666666667,47,39,46,"Gjd2",0,0,0,0,0,0,0,2.30935666666667
"GJD3",0.339162,0.49245,0.348847,0.393486333333333,16,27,12,"Gjd3",0.069235,0.046641,0,1,1,0,0.0386253333333333,1.3416641098683
"GJD4",0.170978,0.195039,0.082675,0.149564,3,4,1,"Gjd4",0,0.012596,0.032954,0,1,2,0.0151833333333333,1.13237083613797
"GJE1",0,0,0,0,0,0,0,"Gje1",0,0,0,0,0,0,0,1
"GK",9.767427,9.032747,4.078289,7.62615433333333,171,205,116,"Gk",8.590776,10.233069,10.544966,387,420,364,9.78960366666667,0.799487599343702
"GK2",0,0,0,0,0,0,0,"Gk2",0,0,0,0,0,0,0,1
"GK3P",0,0,0,0,0,0,0,"Gk",8.590776,10.233069,10.544966,387,420,364,9.78960366666667,0.0926818102771832
"GK5",5.794354,6.773931,7.451458,6.67324766666667,378,385,277,"Gk5",0.404175,0.344631,0.395327,48,36,34,0.381377666666667,5.55477900926442
"GKAP1",13.96558,9.686345,8.276879,10.6429346666667,151,186,112,"Gkap1",4.102606,5.797844,6.56147,92,125,95,5.48730666666667,1.79472549470967
"GKN1",0,0,0,0,0,0,0,"Gkn1",0,0,0,0,0,0,0,1
"GKN2",0,0,0,0,0,0,0,"Gkn2",0,0,0,0,0,0,0,1
"GLA",7.322697,7.70341,5.085849,6.70398533333333,134,142,77,"Gla",0.317352,0.677785,0.342988,26,26,23,0.446041666666667,5.32763717043654
"GLB1",67.083534,84.756192,58.177539,70.005755,445,595,363,"Glb1",1.890318,2.043493,2.267709,147,148,127,2.06717333333333,23.1502257235761
"GLB1L",3.717584,2.691359,2.527662,2.97886833333333,40,39,31,"Glb1l",0.622827,1.077387,0.763649,21,23,21,0.821287666666667,2.18464573507791
"GLB1L2",3.702489,3.333877,8.613473,5.216613,170,178,205,"Glb1l2",0.02797,0.079309,0.012359,3,4,1,0.0398793333333333,5.97820612519786
"GLB1L3",3.974797,4.588926,3.819273,4.12766533333333,156,193,110,"Glb1l3",0,0,0,0,0,0,0,5.12766533333333
"GLCCI1",11.681691,13.907401,19.469362,15.0194846666667,481,491,447,"Glcci1",0.702376,1.576603,0.820362,14,36,44,1.03311366666667,7.87928630322522
"GLCE",2.649694,2.485961,2.926025,2.68722666666667,134,148,113,"Glce",1.146499,1.236058,1.007765,160,161,110,1.13010733333333,1.73100510428113
"GLDC",3.542137,3.290099,4.220493,3.684243,56,64,47,"Gldc",0.033086,0.034305,0,4,4,0,0.0224636666666667,4.58132954031618
"GLDN",0.860083,0.987258,0.47519,0.774177,19,29,12,"Gldn",0,0,0.009123,0,0,1,0.003041,1.76879808502344
"GLE1",3.058959,3.336493,4.790931,3.72879433333333,133,158,143,"Gle1",5.74138,4.915239,5.319632,296,237,181,5.325417,0.74758618022074
"GLG1",52.031496,40.040021,55.931923,49.33448,2582,2921,2136,"Glg1",7.857413,9.020517,10.43605,1729,1715,1493,9.10466,4.98131357215384
"GLI1",0,0.02155,0.093625,0.0383916666666667,0,1,3,"Gli1",0.132968,0.052792,0.431168,19,7,9,0.205642666666667,0.861276475506286
"GLI2",1.231107,3.782962,0.500741,1.83827,24,47,27,"Gli2",0.0803,0.239744,0.203757,19,15,15,0.174600333333333,2.41637084500515
"GLI3",0.097234,0.176577,0.775057,0.349622666666667,11,22,62,"Gli3",0.140327,0.133912,0.127261,40,33,26,0.133833333333333,1.19031838894605
"GLIPR1",2.315441,4.074235,3.04791,3.145862,50,94,41,"Glipr1",0.271136,0.314371,1.259013,5,5,9,0.61484,2.56735156424166
"GLIPR1L1",0.534822,0.276641,0.116529,0.309330666666667,2,1,1,"Glipr1l1",0,0,0,0,0,0,0,1.30933066666667
"GLIPR1L1",0.534822,0.276641,0.116529,0.309330666666667,2,1,1,"Glipr1l3",0,0,0,0,0,0,0,1.30933066666667
"GLIPR1L2",2.19286,0.998132,1.14587,1.44562066666667,22,19,18,"Glipr1l2",0,0,0,0,0,0,0,2.44562066666667
"GLIPR2",2.24654,3.941958,4.925213,3.70457033333333,49,85,59,"Glipr2",0.524911,0.683342,0.778519,32,40,33,0.662257333333333,2.83022985610732
"GLIS1",0.060356,0.026094,0.04312,0.04319,2,1,1,"Glis1",0.240812,0.010635,0.014683,6,1,1,0.08871,0.958189049425467
"GLIS2",2.345048,3.13732,4.709955,3.397441,112,174,158,"Glis2",1.170483,2.216644,2.740469,94,103,86,2.042532,1.44532284294791
"GLIS3",0.453488,0.258935,0.964426,0.558949666666667,5,12,35,"Glis3",0.090004,0.052235,0.072119,20,8,9,0.0714526666666667,1.45498696784863
"GLMN",16.136737,16.109777,20.982833,17.7431156666667,262,249,206,"Glmn",0.584846,0.51349,0.540187,34,28,22,0.546174333333333,12.1222524928733
"GLMP",7.989218,7.99979,10.72601,8.905006,87,88,69,"Glmp",16.182,19.558305,16.33621,250,250,181,17.3588383333333,0.539522480679832
"GLO1",48.198091,51.153584,51.596822,50.3161656666667,1223,1395,932,"Glo1",87.355752,63.156396,82.848457,1118,983,774,77.7868683333333,0.651328917524137
"GLOD4",86.231646,102.066408,111.102273,99.800109,794,937,661,"Glod4",36.330972,29.06054,33.053496,276,270,272,32.8150026666667,2.98092861306689
"GLOD5",0,0,0,0,0,0,0,"Glod5",0,0,0,0,0,0,0,1
"GLP1R",3.666434,2.513612,1.005391,2.39514566666667,334,250,65,"Glp1r",0,0,0,0,0,0,0,3.39514566666667
"GLP2R",0,0,0,0,0,0,0,"Glp2r",0,0.006649,0,0,1,0,0.00221633333333333,0.997788567937262
"GLRA1",0.727328,0.260419,0.731288,0.573011666666667,16,6,11,"Glra1",0,0,0,0,0,0,0,1.57301166666667
"GLRA2",57.405764,51.196591,72.500153,60.3675026666667,1472,1305,1104,"Glra2",0,0,0,0,0,0,0,61.3675026666667
"GLRA3",6.069046,5.95247,4.9761,5.665872,611,567,401,"Glra3",0,0,0.01312,0,0,2,0.00437333333333333,6.63684685641461
"GLRB",21.371289,32.288425,21.122846,24.92752,447,568,274,"Glrb",0.094138,0.09912,0.048847,5,2,1,0.0807016666666667,23.991375973326
"GLRX",35.459147,34.259252,33.689183,34.469194,324,294,218,"Glrx",7.144368,9.081763,8.058362,192,229,220,8.094831,3.89992887168547
"GLRX3",170.39446,304.889706,190.25542,221.846528666667,824,1062,547,"Glrx3",23.910134,27.735358,27.325022,805,754,665,26.3235046666667,8.15585450641434
"GLRX5",25.411016,25.56013,22.650182,24.5404426666667,287,329,185,"Glrx5",11.266038,13.192461,12.927161,330,390,287,12.4618866666667,1.89724095136739
"GLS",91.117587,103.076117,83.39427,92.5293246666667,3074,3678,2156,"Gls",19.029559,26.072642,25.98733,803,678,658,23.6965103333333,3.78714739063472
"GLT1D1",13.59973,13.868922,15.367315,14.2786556666667,491,532,362,"Glt1d1",0.0089,0,0.296081,1,0,1,0.101660333333333,13.8687535571309
"GLT6D1",0,0,0,0,0,0,0,"Glt6d1",0,0,0,0,0,0,0,1
"GLT8D1",37.197482,35.224312,34.589367,35.670387,413,444,307,"Glt8d1",16.865547,12.854823,11.378752,202,174,121,13.6997073333333,2.49463381606554
"GLT8D2",2.440291,4.373099,4.682395,3.83192833333333,48,80,61,"Glt8d2",0.544664,2.053125,1.492649,24,26,23,1.36347933333333,2.04441319422016
"GLTP",5.59634,6.549329,7.330547,6.492072,129,152,108,"Gltp",3.29012,3.939862,3.078183,142,148,97,3.436055,1.68890421782417
"GLTPD2",1.078027,1.521507,2.72914,1.77622466666667,9,17,15,"Gltpd2",0.028892,0,0,1,0,0,0.00963066666666667,2.74974281024216
"GLUL",40.917119,40.650927,44.770914,42.1129866666667,853,786,618,"Glul",85.390024,73.088122,66.340348,5075,4241,2519,74.939498,0.567728096736519
"GLYAT",0,0,0,0,0,0,0,"Glyat",0.028275,0.01206,0,3,1,0,0.013445,0.986733369842468
"GLYATL3",0,0,0,0,0,0,0,"Glyatl3",0,0.081259,0,0,2,0,0.0270863333333333,0.97362798778032
"GLYCTK",1.92911,1.810603,3.448632,2.396115,37,42,43,"Glyctk",0.810444,0.391152,0.471091,20,16,12,0.557562333333333,2.18040390892863
"GLYR1",69.135364,71.27896,65.447716,68.62068,1323,1373,1070,"Glyr1",5.653353,6.11687,7.012688,601,609,527,6.26097033333333,9.58834381685717
"GM2A",5.84227,6.396967,8.083814,6.77435033333333,224,288,149,"Gm2a",0.998918,1.516389,1.270851,131,185,120,1.26205266666667,3.43685646576458
"GMCL1",4.280796,4.523979,4.70146,4.50207833333333,139,162,129,"Gmcl1",0.910509,0.84704,0.983462,81,57,50,0.913670333333333,2.87514429078781
"GMCL2",0.124592,0,0,0.0415306666666667,0,0,0,"Gmcl1",0.910509,0.84704,0.983462,81,57,50,0.913670333333333,0.544258145472984
"GMDS",41.52233,36.992098,44.352014,40.9554806666667,260,246,178,"Gmds",0.633357,0.646699,0.806554,30,30,27,0.695536666666667,24.744661375651
"GMEB1",4.409291,2.467369,4.282,3.71955333333333,219,188,163,"Gmeb1",0.814233,1.040652,0.863896,110,108,78,0.906260333333333,2.47581783600386
"GMEB2",2.381175,2.773987,3.589974,2.91504533333333,128,167,137,"Gmeb2",1.159656,0.823194,1.088068,117,87,73,1.02363933333333,1.93465568139777
"GMFB",37.305651,37.663185,24.07852,33.0157853333333,1060,1031,844,"Gmfb",14.400232,16.100334,16.337707,449,417,383,15.6127576666667,2.04757006728544
"GMFG",1.579271,3.339451,1.274773,2.06449833333333,7,17,4,"Gmfg",0.438639,0.977366,0.53887,7,10,7,0.651625,1.85544438557986
"GMIP",22.534467,24.333836,34.803902,27.2240683333333,560,573,459,"Gmip",1.012741,1.012629,1.851329,34,41,27,1.292233,12.3129142339951
"GML",0,0,0,0,0,0,0,"Gml2",0,0,0,0,0,0,0,1
"GML",0,0,0,0,0,0,0,"Gml",0,0,0.146447,0,0,1,0.0488156666666667,0.953456390652695
"GMNC",0.450551,0.021606,0.096874,0.189677,8,1,3,"Gmnc",0.031132,0,0.043167,1,0,1,0.0247663333333333,1.16092514098336
"GMNN",3.399249,4.51608,3.397172,3.77083366666667,42,57,26,"Gmnn",13.51009,18.474481,13.877808,254,269,205,15.2874596666667,0.292914534513352
"GMPPA",11.181348,21.955312,24.023383,19.0533476666667,107,133,117,"Gmppa",11.62397,11.857518,15.615741,191,200,162,13.0324096666667,1.42907370458992
"GMPPB",4.229474,5.058641,6.571395,5.28650333333333,185,248,196,"Gmppb",1.356382,1.443641,1.26265,65,63,46,1.35422433333333,2.67030768662233
"GMPR",1.308896,1.196107,1.374309,1.293104,9,22,14,"Gmpr",24.679034,27.751605,35.87085,879,958,855,29.4338296666667,0.0753472049070306
"GMPR2",181.900377,209.543476,299.867222,230.437025,453,470,368,"Gmpr2",2.986495,4.510112,2.457118,87,101,63,3.31790833333333,53.5993372562718
"GMPS",5.358954,5.898769,6.69925,5.98565766666667,379,472,310,"Gmps",1.991486,2.02308,2.285026,549,513,452,2.099864,2.25353682183046
"GNA11",56.09657,62.0007,46.517353,54.871541,727,918,639,"Gna11",11.20243,11.095046,10.179143,602,625,512,10.8255396666667,4.7246504239877
"GNA12",18.461277,22.996921,27.934279,23.1308256666667,889,1018,823,"Gna12",14.715465,14.809968,18.004458,1614,1575,1425,15.843297,1.43266639937933
"GNA13",12.611497,11.751803,16.118915,13.4940716666667,1046,1067,907,"Gna13",1.913621,2.056034,2.489142,354,345,309,2.15293233333333,4.59701323540404
"GNA14",0.798474,0.733251,0.273259,0.601661333333333,17,17,6,"Gna14",0.052215,0.084353,0.072053,2,6,2,0.0695403333333333,1.49752307922936
"GNA15",0,0,0,0,0,0,0,"Gna15",0.184235,0.352441,0.110116,4,12,5,0.215597333333333,0.822640830625931
"GNAI1",168.236381,205.323589,176.561883,183.373951,989,1459,953,"Gnai1",0.422674,0.360944,0.603279,42,33,43,0.462299,126.084987406816
"GNAI2",24.10241,24.547652,32.617846,27.0893026666667,569,641,457,"Gnai2",37.024155,129.399044,43.57067,1651,1696,1388,69.9979563333333,0.395635369203984
"GNAI3",10.196018,10.076434,11.514372,10.595608,1268,1341,1023,"Gnai3",2.491408,2.580391,2.744958,255,245,201,2.60558566666667,3.21601234085225
"GNAL",85.03182,81.331384,92.428825,86.2640096666667,3861,3882,2996,"Gnal",0.03942,0.044182,0.039662,7,8,4,0.041088,83.8200129736071
"GNAO1",499.515919,582.449638,697.196487,593.054014666667,4358,5656,3965,"Gnao1",14.788979,17.480319,17.626694,241,219,165,16.6319973333333,33.6918162722045
"GNAS",2420.868933,2769.341383,2349.351677,2513.187331,24642,30098,17049,"Gnas",279.552207,279.595933,314.679336,6577,6170,5202,291.275825333333,8.60210497441118
"GNAT1",0.041737,0.019063,0.058734,0.0398446666666667,2,1,2,"Gnat1",0.128077,0.493328,0.081104,1,5,1,0.234169666666667,0.842545960050334
"GNAT2",0.437247,2.392444,0.460334,1.096675,7,18,5,"Gnat2",0.033029,0,0,1,0,0,0.0110096666666667,2.07384268333735
"GNAT3",0.491774,0.065032,0.297516,0.284774,7,1,3,"Gnat3",0.026931,0,0,1,0,0,0.008977,1.27334319811056
"GNAZ",33.630947,36.738729,42.88583,37.7518353333333,1276,1465,1074,"Gnaz",0.044023,0.068677,0.052717,5,4,4,0.055139,36.7267585913641
"GNB1",476.598345,558.570828,504.791881,513.320351333333,9159,11101,8108,"Gnb1",26.558636,31.243552,34.695023,1030,1011,872,30.8324036666667,16.1571321072403
"GNB1L",1.760444,2.63964,2.841741,2.41394166666667,35,60,33,"Gnb1l",2.106425,0.662027,1.195071,23,27,16,1.32117433333333,1.47078210267992
"GNB2",165.325533,181.819168,195.926627,181.023776,1582,1970,1369,"Gnb2",54.397318,51.948806,65.00268,936,903,778,57.116268,3.13206236849207
"GNB3",15.175822,14.151349,19.31737,16.214847,219,246,182,"Gnb3",1.447439,1.526613,1.922888,71,75,68,1.63231333333333,6.53981681512079
"GNB4",5.937995,6.290474,7.044746,6.424405,433,469,356,"Gnb4",2.379736,2.239761,2.307708,208,178,128,2.30906833333333,2.24365418060773
"GNB5",39.007034,44.788765,43.857135,42.550978,1359,1657,1052,"Gnb5",5.248542,4.278402,4.692487,204,220,158,4.73981033333333,7.5875291117343
"GNE",12.958509,13.35789,13.01893,13.1117763333333,824,860,601,"Gne",2.603194,3.719866,3.869196,165,153,140,3.39741866666667,3.20910456861965
"GNG10",19.853444,19.877437,25.748632,21.8265043333333,257,272,241,"Gng10",2.852444,2.130074,2.289134,88,60,50,2.423884,6.66684511897405
"GNG11",0.440515,0.503695,0.8012,0.581803333333333,17,21,22,"Gng11",8.306253,8.573064,7.712474,195,202,128,8.19726366666667,0.171986298388532
"GNG12",2.758229,3.682652,2.069009,2.83663,160,228,86,"Gng12",5.950192,7.198429,4.578148,359,352,333,5.908923,0.555315206147181
"GNG13",0.680539,0.956919,0.40973,0.682396,7,11,3,"Gng13",0,0.290495,0,0,1,0,0.0968316666666667,1.53386891637884
"GNG2",227.936531,217.364379,257.137601,234.146170333333,7498,7021,6349,"Gng2",1.330544,0.699414,0.793799,44,44,29,0.941252333333333,121.131172025206
"GNG3",187.128267,247.033145,232.46561,222.209007333333,1655,2392,1460,"Gng3",0.019887,0.02058,0,1,1,0,0.013489,220.238214063826
"GNG4",36.652432,49.949032,37.658529,41.4199976666667,1583,2362,1122,"Gng4",0.091571,0.553818,0,0,1,0,0.215129666666667,34.9098526933614
