"Hs_symbol","Cortical_neurons-S17_rep_1","Cortical_neurons-S21_rep_2","Cortical_neurons-S8_rep_3","Cortical_neurons-S17_rep_1_read","Cortical_neurons-S21_rep_2_read","Cortical_neurons-S8_rep_3_read","Hs_Avg_TPM","Mm_genes","Brain_3_HB-S6","Brain_3_HB-S12","Brain_3_HB-S18","Brain_3_HB-S6_read","Brain_3_HB-S12_read","Brain_3_HB-S18_read","Mm_Avg_TPM","FoldChange"
"A1BG",5.64798,11.508254,10.164183,80,113,74,6.82626466666667,"A1bg",0,0,0,0,0,0,0,7.82626466666667
"A1CF",0.008778,0.015491,0.033933,1,2,3,17.6506633333333,"A1cf",0,0.038649,0.06821,0,1,2,0.0356196666666667,18.0091822641452
"A2M",40.625779,51.799758,89.320033,783,1285,1315,3.348799,"A2m",13.087514,10.806353,13.392236,409,1283,901,12.428701,0.323843609296238
"A3GALT2",0.55418,0.27785,0.327994,5,3,2,10.551188,"A3galt2",0.295537,0.21946,0.13739,6,19,5,0.217462333333333,9.48792228205828
"A4GALT",10.846069,12.300869,12.113367,217,235,152,16.06117,"A4galt",3.722336,1.343118,2.635801,12,65,22,2.567085,4.78294461724349
"A4GNT",0,0,0,0,0,0,10.3202566666667,"A4gnt",0,0,0,0,0,0,0,11.3202566666667
"AAAS",15.794751,14.437361,18.892936,243,314,228,20.6681063333333,"Aaas",21.333134,33.407486,37.928515,53,259,164,30.8897116666667,0.679470123776075
"AACS",16.816166,15.213942,17.768125,515,633,467,21.5908253333333,"Aacs",159.568584,119.189617,123.49099,198,667,373,134.083063666667,0.167236548536379
"AADAC",0,0,0,0,0,0,17.7200676666667,"Aadac",0,0,0,0,0,0,0,18.7200676666667
"AADACL3",0.019721,0.018105,0,1,1,0,16.5164316666667,"Aadacl3",0,0,0,0,0,0,0,17.5164316666667
"AADAT",23.254813,19.782313,24.720589,444,388,330,18.9848223333333,"Aadat",0.40558,0.137955,0.16611,5,5,2,0.236548333333333,16.1617801703397
"AAGAB",38.022919,40.964417,49.3614,824,823,659,98.15076,"Aagab",21.213112,20.549635,20.990534,272,1003,611,20.9177603333333,4.52376330848038
"AAK1",10.270345,12.426278,11.917593,2058,2373,1545,14.523083,"Aak1",66.998795,65.911424,77.197747,2541,10399,6110,70.0359886666667,0.218524205707073
"AAMDC",4.594566,5.205604,4.56697,17,27,14,11.0918973333333,"Aamdc",39.367271,42.59234,32.940334,111,326,172,38.2999816666667,0.30768200952087
"AANAT",0.455665,0.118631,0.121817,3,1,2,0.0941333333333333,"Aanat",0.264964,2.043314,0.248033,1,9,3,0.852103666666667,0.590751669587969
"AAR2",12.288203,12.652486,12.834718,390,432,284,0.112956333333333,"Aar2",12.339668,13.071238,13.550136,202,925,555,12.987014,0.0795706884495385
"AARD",0.417513,1.538506,1.037211,12,14,10,15.675252,"Aard",4.451434,4.143749,3.926091,34,113,61,4.173758,3.22304444854205
"AARS2",3.755461,4.640839,4.294325,242,329,196,31.1199893333333,"Aars2",6.321746,7.514301,7.689306,145,596,317,7.17511766666667,3.92899413109365
"AARSD1",63.27632,66.968262,84.250953,365,428,308,13.0359566666667,"Aarsd1",21.056024,22.564554,24.188203,183,700,420,22.602927,0.59467017233357
"AASDH",3.182292,4.853213,4.954761,105,133,96,9.05523233333333,"Aasdh",6.138434,5.01604,4.982049,50,191,89,5.378841,1.57634158514585
"AASDHPPT",129.667907,110.451006,134.287207,3231,3083,2547,143.578193333333,"Aasdhppt",9.548443,9.817572,9.275441,175,650,352,9.547152,13.7077946097044
"AASS",4.313875,2.742641,4.506,299,175,207,43.404743,"Aass",2.164727,1.353504,1.765562,53,105,62,1.76126433333333,16.0813082847435
"AATF",14.476301,19.209898,14.950782,208,297,163,72.099048,"Aatf",8.625936,8.836669,9.704815,95,310,213,9.05580666666667,7.26933705301945
"AATK",14.223841,16.332434,12.634368,449,556,369,49.9149603333333,"Aatk",65.776318,84.79421,84.991774,1492,7505,3925,78.5207673333333,0.640272497873532
"ABAT",28.063871,26.832749,35.879571,1227,1323,1029,0.639692,"Abat",126.67224,143.045002,140.415185,2874,11720,6882,136.710809,0.0119067777751563
"ABCA1",4.057191,3.554462,2.51638,570,529,255,13.8334303333333,"Abca1",5.593241,5.368889,7.020124,345,1291,857,5.99408466666667,2.12085369855879
"ABCA13",0.087452,0.016383,0.151556,5,2,6,22.7370223333333,"Abca13",0.017552,0.016355,0.008251,2,7,2,0.0140526666666667,23.4080764378444
"ABCA17P",2.031216,2.837622,4.432733,10,18,15,0.140757,"Abca17",0.028519,0.051789,0,1,2,0,0.0267693333333333,1.1110158464673
"ABCA2",107.50449,75.111095,79.577059,1545,1840,1190,107.118573666667,"Abca2",103.919269,141.830863,150.084623,2467,11301,6734,131.944918333333,0.813258415756671
"ABCA3",51.9705,59.537578,54.006441,4138,4756,3097,28.249626,"Abca3",14.196218,14.904171,16.151148,510,2327,1416,15.0838456666667,1.81857166539586
"ABCA4",0.905126,0.080781,0.014008,7,3,1,29.9432906666667,"Abca4",3.31164,3.390653,2.172063,59,262,184,2.95811866666667,7.8176763438792
"ABCA5",15.166472,15.375498,16.666334,612,687,561,6.02759666666667,"Abca5",13.295437,11.964834,10.439489,513,2184,1254,11.89992,0.54477831387068
"ABCA6",0.380325,0.502694,0.140608,12,17,6,133.001987666667,"Abca6",0.473301,0.609906,0.589233,17,75,45,0.55748,86.0376940099819
"ABCA7",53.395405,36.508479,39.178153,1224,1180,903,0.445913,"Abca7",6.006372,6.820605,6.873234,281,1214,685,6.566737,0.191088047595681
"ABCA8",0.39584,0.133049,0.866773,3,4,10,156.648378666667,"Abca8b",3.153485,3.895227,4.491881,163,747,478,3.84686433333333,32.5258492552539
"ABCA9",1.630893,5.875754,1.09333,74,97,41,69.9769943333333,"Abca9",1.270159,1.202612,1.247372,56,199,117,1.24004766666667,31.6854839249701
"ABCB1",1.409905,3.284378,1.946045,27,71,43,6.184727,"Abcb1a",27.54529,43.96477,12.947455,267,1104,708,28.152505,0.246453160714662
"ABCB10",10.325898,7.423625,9.542775,388,332,292,3.860617,"Abcb10",6.396777,7.750892,7.766959,180,805,458,7.304876,0.585272675955667
"ABCB11",1.639649,3.496208,2.969016,7,12,8,43.6574986666667,"Abcb11",0,0,0,0,0,0,0,44.6574986666667
"ABCB4",0.520114,0.10443,0.985588,4,3,5,0.312118,"Abcb4",0.981707,0.995733,1.250511,17,64,51,1.07598366666667,0.63204639856672
"ABCB5",0,0.258936,0.058403,0,2,3,282.399342,"Abcb5",0,0.027506,0,0,1,0,0.00916866666666667,280.824555260997
"ABCB6",45.798715,35.435408,31.250175,534,550,292,84.7606963333333,"Abcb6",10.008954,6.259513,8.472193,70,339,192,8.24688666666666,9.27454822632194
"ABCB7",7.623563,5.152974,8.512265,182,173,131,0.123838333333333,"Abcb7",11.190542,11.707649,12.115453,431,1655,976,11.6712146666667,0.0886922337674336
"ABCB8",22.108301,23.197393,18.535002,526,651,446,0.159250666666667,"Abcb8",15.25636,20.988503,21.001584,152,712,401,19.082149,0.0577254290199055
"ABCB9",13.147339,16.158433,16.129464,347,428,305,1.87087366666667,"Abcb9",17.894203,17.928554,14.740825,208,975,536,16.8545273333333,0.160792476500171
"ABCC1",4.341232,5.649856,8.644544,333,452,284,0.105779666666667,"Abcc1",13.812049,12.232982,11.724043,122,577,317,12.5896913333333,0.0813690053396847
"ABCC10",47.610062,53.34286,79.775617,605,657,496,0.021098,"Abcc10",1.510449,2.511756,2.606775,37,240,138,2.20966,0.318132761725541
"ABCC12",0.051357,0.030371,0,2,1,0,23.8082643333333,"Abcc12",1.138639,1.50393,1.752502,20,105,71,1.46502366666667,10.0641079713772
"ABCC2",0.295949,0.49826,0.480955,6,12,3,0.334740666666667,"Abcc2",0.035961,0.118254,0.016838,2,5,2,0.0570176666666667,1.26274206076026
"ABCC3",0.450343,0.479305,0,4,3,0,0.114704333333333,"Abcc3",0.723344,0.342288,0.608015,4,17,10,0.557882333333333,0.715525370230144
"ABCC5",41.572952,43.888857,45.250485,1760,2095,1575,15.5332103333333,"Abcc5",84.855585,97.027185,94.560298,703,3269,1802,92.1476893333333,0.177494583619444
"ABCC6",0.688326,0.691802,0.278854,12,21,8,19.1169983333333,"Abcc6",4.55294,0.592951,0.217231,22,47,16,1.78770733333333,7.21632364086043
"ABCC9",1.51249,0.676152,0.605353,166,81,48,0,"Abcc9",2.793501,2.280107,2.219166,120,438,241,2.43092466666667,0.291466615316726
"ABCD1",6.614678,7.050127,8.893207,192,234,142,11.794229,"Abcd1",2.605473,3.036115,3.167152,60,263,160,2.93624666666667,3.25036261277664
"ABCD2",1.111828,0.947205,1.460715,91,82,86,4.90809766666667,"Abcd2",23.27771,33.025179,31.912742,417,1487,943,29.4052103333333,0.194312014352014
"ABCD3",14.822618,16.086553,17.331049,639,817,573,0.0358056666666667,"Abcd3",25.762613,25.372644,25.767711,537,2125,1219,25.6343226666667,0.0388898820379238
"ABCD4",49.321733,40.153747,59.337327,485,502,452,7.31561533333333,"Abcd4",4.797787,5.916789,4.686713,66,317,152,5.133763,1.35571187431489
"ABCE1",40.838605,40.205738,45.232008,918,1004,713,42.16418,"Abce1",21.471621,21.878849,23.233798,536,2036,1236,22.194756,1.8609456378847
"ABCF1",46.260735,63.760304,59.860432,625,761,519,22.990304,"Abcf1",62.771934,40.780579,54.400409,408,1580,966,52.650974,0.447155050717253
"ABCF2",26.268774,19.429182,42.181654,443,535,432,3.782833,"Abcf2",35.004874,31.624163,32.51526,585,2023,1175,33.048099,0.140472835208803
"ABCF3",49.775637,52.727308,46.588001,554,722,457,125.126357,"Abcf3",165.753745,270.992357,262.995844,349,1659,960,233.247315333333,0.538432454692266
"ABCG1",7.097047,8.637267,8.443098,274,360,227,41.110303,"Abcg1",29.852875,28.362905,37.823919,513,2100,1285,32.013233,1.2755582890049
"ABCG2",0.071606,0.158845,0.025076,4,11,1,15.829827,"Abcg2",17.188758,17.152966,20.431548,142,476,266,18.2577573333333,0.873924554593342
"ABCG5",0.093551,0.161392,0.087861,3,7,2,106.982320666667,"Abcg5",0,0.0174,0.094988,0,1,2,0.0374626666666667,104.083090540125
"ABCG8",0.279919,0.336852,0.476524,19,25,16,28.449329,"Abcg8",0,0.017747,0,0,1,0,0.00591566666666667,29.2761411079193
"ABHD1",1.219066,0.595476,1.404846,17,18,14,36.4106556666667,"Abhd1",0.959765,1.019278,1.583523,7,31,26,1.187522,17.1018420233793
"ABHD10",20.734833,22.479951,21.319982,502,570,353,52.0153973333333,"Abhd10",15.744209,13.053989,13.082247,155,575,337,13.9601483333333,3.54377484447848
"ABHD11",5.79209,6.6316,4.983045,56,74,48,1.01128866666667,"Abhd11",10.616167,13.349118,17.343117,58,295,193,13.7694673333333,0.136178822246851
"ABHD12",62.698382,74.955257,56.465736,591,762,413,0.094133,"Abhd12",194.435324,224.464164,226.37899,1076,4396,2480,215.092826,0.0050632546218818
"ABHD13",2.86622,3.359063,3.388676,195,241,166,18.541765,"Abhd13",8.065108,8.209743,8.759599,280,1053,639,8.34481666666667,2.09118762807902
"ABHD14A",25.012009,25.594496,21.460029,268,287,164,6.37133133333333,"Abhd14a",9.111682,11.625296,10.462999,55,273,135,10.3999923333333,0.64660844654954
"ABHD14B",1.988993,2.13046,2.242736,33,40,33,43.3670903333333,"Abhd14b",9.900957,11.07616,10.725091,59,304,184,10.5674026666667,3.83552743963727
"ABHD15",0.139043,0.156659,0.265244,6,8,8,171.852216666667,"Abhd15",0.570942,0.544336,0.246583,10,30,9,0.453953666666667,118.884267517924
"ABHD16A",34.317671,41.166479,61.739668,552,678,517,1.33119033333333,"Abhd16a",84.799733,87.707752,104.500541,575,2204,1387,92.3360086666667,0.0249763233572455
"ABHD16B",0,0,0,0,0,0,13.7652813333333,"Abhd16b",0,0.023675,0,0,1,0,0.00789166666666667,14.649671012923
"ABHD17A",13.189788,17.685175,18.251272,437,578,391,27.7386756666667,"Abhd17a",50.597266,51.472563,50.283643,341,1219,660,50.7844906666667,0.5549668500489
"ABHD17B",9.608137,10.13461,9.429544,351,345,244,83.284592,"Abhd17b",18.422878,19.350962,20.248798,254,954,572,19.3408793333333,4.14360611548783
"ABHD17C",26.356909,23.923575,30.757178,465,485,360,9.65143666666667,"Abhd17c",8.088749,7.811635,8.308212,110,387,234,8.069532,1.17441965766995
"ABHD18",3.898036,4.946809,4.114577,195,202,135,0.774971333333333,"Abhd18",4.632635,4.799454,5.02948,98,410,194,4.820523,0.304950488698925
"ABHD2",24.811763,18.501694,16.975591,1534,1881,1288,18.620664,"Abhd2",11.033863,14.096476,15.211377,518,2535,1550,13.4472386666667,1.35809094406876
"ABHD3",2.112366,4.383957,4.812756,34,41,40,113.561289333333,"Abhd3",55.682784,53.328998,62.270616,427,1662,1021,57.0941326666667,1.97199414251805
"ABHD4",5.832204,5.914283,14.836758,103,107,75,4.12357966666667,"Abhd4",31.723046,34.102686,39.716449,385,1661,1007,35.180727,0.141610743937419
"ABHD5",6.272151,9.717485,9.994526,224,264,185,34.890834,"Abhd5",21.566522,17.853184,20.208764,143,531,290,19.8761566666667,1.71922612830874
"ABHD6",12.738211,13.156293,8.173231,201,211,124,2.239496,"Abhd6",17.385249,17.188792,18.917148,233,860,531,17.8303963333333,0.172035465566143
"ABHD8",7.19407,9.390167,9.704944,145,236,124,0.103042,"Abhd8",65.067793,67.246917,70.625685,840,3106,1873,67.6467983333333,0.0160683677430064
"ABI1",19.731057,19.365981,20.50402,618,612,424,74.8551316666667,"Abi1",61.894673,67.568242,60.34268,492,1777,1100,63.2685316666667,1.18028418729239
"ABI2",50.424881,51.894418,63.248999,3251,3183,2502,23.8258956666667,"Abi2",21.449798,32.690883,39.515265,634,2558,1589,31.2186486666667,0.770544287052966
"ABI3",0,0.209091,0.075429,0,3,1,19.957815,"Abi3",0.868416,1.488242,0.946114,10,26,22,1.100924,9.975522674785
"ABITRAM",12.878776,15.022405,19.706706,130,158,143,9.75406533333333,"Abitram",7.381211,4.320135,5.156999,87,384,238,5.61944833333333,1.62461655288998
"ABL1",23.387004,25.535463,27.529949,995,1264,955,3.58069533333333,"Abl1",17.901029,13.698011,17.087719,305,1363,769,16.2289196666667,0.265872464551318
"ABL2",4.876134,5.408775,4.808567,785,862,542,0,"Abl2",4.995949,5.682749,8.350547,342,1365,865,6.34308166666667,0.136182606348969
"ABLIM1",100.860799,75.151885,120.837451,7750,6453,5627,2.363428,"Ablim1",34.801176,35.93125,43.941288,1345,5168,3521,38.2245713333333,0.0857479861645227
"ABLIM2",19.980956,30.901303,25.59889,462,672,364,50.8898673333333,"Ablim2",45.109793,56.693162,60.767226,382,1889,1015,54.1900603333333,0.940203127518475
"ABLIM3",48.422608,52.934019,47.138285,1626,2148,1222,6.19063333333333,"Ablim3",9.713718,10.446052,13.010561,280,1148,806,11.056777,0.59639763871666
"ABO",0.839964,0.413628,1.770949,23,39,31,151.788392,"Abo",0,0.04772,0,0,2,0,0.0159066666666667,150.396091504469
"ABR",591.586845,672.731938,685.513728,3340,3625,3006,1389.66802333333,"Abr",72.847619,78.817078,72.995401,1670,6447,3704,74.8866993333333,18.3255832122149
"ABRA",0.028665,0.053548,0.080009,1,2,2,535.157017,"Abra",0.104979,0.014323,0.024908,2,1,1,0.04807,511.566037573826
"ABRACL",19.223716,14.20645,19.051796,138,111,99,11.5527636666667,"Abracl",23.553344,24.607412,18.383949,18,67,32,22.1815683333333,0.541497602153895
"ABRAXAS1",4.102444,3.794132,3.584166,77,83,56,0.999892666666667,"Abraxas1",2.527091,2.89354,2.878353,15,97,65,2.766328,0.530992698104538
"ABRAXAS2",9.187908,9.791007,10.77312,353,405,295,35.14397,"Abraxas2",17.910056,12.732544,10.244335,210,637,376,13.6289783333333,2.470710474541
"ABT1",4.88843,4.285503,5.231131,188,179,143,2.10201733333333,"Abt1",2.169662,2.135689,2.150485,66,245,139,2.15194533333333,0.98415962374982
"ABTB1",2.982307,4.057105,10.245762,62,115,92,8.11133266666667,"Abtb1",20.252164,25.862883,30.335142,130,636,382,25.4833963333333,0.344039433310851
"ABTB2",1.344934,1.96267,3.69669,85,140,90,0,"Abtb2",4.467642,5.02184,4.513611,139,562,291,4.66769766666667,0.176438486809429
"ACAA1",46.486176,54.061449,53.958237,591,740,475,11.3941106666667,"Acaa1b",0.263199,0.567147,0.28493,3,22,6,0.371758666666667,9.03519763923489
"ACAA2",7.463552,10.616386,8.612113,146,199,117,87.1742526666667,"Acaa2",16.960302,15.003065,16.159893,87,361,209,16.0410866666667,5.17421537671893
"ACACA",87.127535,78.297049,72.405289,3380,3012,2176,1.909915,"Acaca",19.485886,15.979125,16.156752,704,2629,1715,17.2072543333333,0.159821736255565
"ACACB",3.694984,3.933355,3.564281,62,63,54,1.682011,"Acacb",2.347324,2.448333,1.442423,63,283,136,2.07936,0.870963771692819
"ACAD10",11.611479,11.630295,14.269463,185,171,157,11.8460196666667,"Acad10",0.953402,2.089012,1.322435,20,83,38,1.45494966666667,5.23270185172839
"ACAD11",6.956361,6.78533,9.702243,123,171,123,28.4638313333333,"Acad11",11.510665,10.029851,9.42974,198,617,402,10.3234186666667,2.60202613721839
"ACAD8",28.56967,26.216904,35.090426,521,559,449,0.17684,"Acad8",22.587965,18.479586,22.129273,169,624,442,21.065608,0.0533336765522165
"ACAD9",16.730664,15.138342,15.036653,348,375,288,0.081864,"Acad9",33.288168,40.760278,41.790665,258,1076,590,38.613037,0.0273108067932282
"ACADL",0.288112,0.704497,0.707281,9,17,9,18.6455233333333,"Acadl",23.989554,27.786441,27.839466,286,1063,571,26.538487,0.713384265930562
"ACADM",34.991444,30.116255,36.311604,538,526,442,0.361587666666667,"Acadm",53.479148,49.461303,49.645235,187,658,428,50.8618953333333,0.0262541054065861
"ACADS",1.771714,2.673468,3.757556,38,59,46,28.0018226666667,"Acads",7.376174,4.693633,4.113654,41,181,88,5.394487,4.53544164945001
"ACADSB",5.696079,5.142362,5.947202,415,396,308,2.81618,"Acadsb",192.571336,128.986745,179.660881,434,1410,912,167.072987333333,0.0227054927775604
"ACADVL",236.028354,256.563668,245.533457,1257,1410,953,17.6677166666667,"Acadvl",27.327889,26.55274,25.529242,288,1140,639,26.469957,0.679568470626535
"ACAN",0.108891,0.370897,0.103268,8,10,6,3.98894966666667,"Acan",1.886721,2.604057,2.264707,54,340,200,2.25182833333333,1.53419835097896
"ACAP1",9.140538,8.118628,5.692809,23,41,22,0.258482,"Acap1",0,0.039392,0.070892,0,2,3,0.0367613333333333,1.21385892735197
"ACAP2",19.442193,11.477702,6.945933,361,356,272,59.4039493333333,"Acap2",22.737422,25.4554,28.768513,509,2068,1130,25.6537783333333,2.26624340376508
"ACAT1",122.137156,118.34408,129.991315,655,741,527,6.29316433333333,"Acat1",27.981588,41.326883,51.020392,423,1692,1035,40.109621,0.177407724905402
"ACAT2",150.038137,113.788996,97.188096,2596,2136,1199,33.8141496666667,"Acat2",21.793864,27.314291,29.301711,186,906,543,26.136622,1.28292127393994
"ACBD3",55.57853,50.960754,31.733687,687,749,476,93.2477886666667,"Acbd3",11.640037,11.430117,12.696939,265,965,610,11.9223643333333,7.29338581048623
"ACBD5",22.086031,24.008406,24.78825,786,939,654,58.196314,"Acbd5",36.358403,38.338337,37.022115,721,2219,1388,37.2396183333333,1.54803621427358
"ACBD6",44.648742,40.179244,47.697377,561,617,466,0.328216333333333,"Acbd6",35.945392,35.894611,35.871149,188,692,414,35.9037173333333,0.0359913967835869
"ACBD7",1.043718,2.012931,2.647439,46,68,57,10.4382076666667,"Acbd7",0.489517,0.389686,0.926633,1,3,4,0.601945333333333,7.14019850032336
"ACCS",2.852259,6.929111,6.720408,40,71,38,5.38913033333333,"Accs",4.011864,4.156498,4.12503,21,102,76,4.09779733333333,1.25331195329329
"ACCSL",0,0.041683,0,0,1,0,0.0218153333333333,"Accsl",0,0.036953,0.308815,0,2,4,0.115256,0.916215948027478
"ACD",10.823814,17.900748,15.750557,143,186,143,14.7655226666667,"Acd",12.505277,15.687622,17.331572,102,490,312,15.1748236666667,0.974695180087589
"ACE",7.650195,4.932748,4.196313,104,116,46,7.34964133333333,"Ace",7.222874,11.540329,13.795783,209,1077,644,10.8529953333333,0.704433022921407
"ACE2",0.257103,0.077158,0.190801,1,1,1,0.266672333333333,"Ace2",0.85973,0.864133,0.577398,15,60,28,0.767087,0.71681379203929
"ACER1",0.061841,0,0.249022,1,0,3,0,"Acer1",0,0.018434,0.02977,0,1,1,0.016068,0.984186097780857
"ACER2",1.702671,1.924675,1.809561,61,75,46,90.6698553333333,"Acer2",4.509376,2.843414,1.85398,75,244,99,3.06892333333333,22.5292658090551
"ACER3",5.618697,5.605735,6.031901,410,489,347,1.13353,"Acer3",5.509058,6.757561,6.453785,157,709,365,6.24013466666667,0.294680982913577
"ACHE",123.812487,148.175891,116.216143,2791,3847,1730,34.2847416666667,"Ache",62.86421,90.196685,78.823217,529,2718,1405,77.294704,0.45066575213908
"ACIN1",89.895784,89.267185,92.097629,1572,1683,1229,9.22705566666667,"Acin1",53.375948,57.667286,55.722878,628,2276,1280,55.588704,0.18072609803304
"ACKR1",9.846748,12.019005,14.314649,231,292,219,243.496532666667,"Ackr1",233.645771,184.25091,183.13379,246,1171,640,200.343490333333,1.21432549054301
"ACKR2",0.432002,0.122803,0.473199,14,5,6,0.588990666666667,"Ackr2",0.05344,0.027932,0.673087,1,2,1,0.251486333333333,1.26968279584356
"ACKR3",0,0.074184,0.633304,0,2,7,10.1824796666667,"Ackr3",2.177535,2.34772,3.084983,44,180,134,2.536746,3.1617989153495
"ACKR4",0.106321,0,0,3,0,0,80.0208846666667,"Ackr4",1.74279,0.892203,0.91059,13,41,19,1.181861,37.1338433872124
"ACLY",254.093676,248.408509,244.338036,6921,7108,4396,0.0215826666666667,"Acly",62.900693,84.057985,88.066181,1466,6929,3937,78.3416196666667,0.012875747570551
"ACMSD",0.255707,0.275251,0.059046,1,2,1,3.448074,"Acmsd",0,0.12895,0.079902,0,6,3,0.0696173333333333,4.15856574251477
"ACO1",9.414829,8.829655,9.906688,628,626,488,5.19530633333333,"Aco1",6.130113,9.373893,10.179954,158,755,490,8.56132,0.647955128929199
"ACO2",76.722101,90.811985,92.660824,1805,2351,1468,6.22008466666667,"Aco2",282.147415,284.798699,303.885091,2956,11701,6722,290.277068333333,0.024787686541819
"ACOD1",0,0,0,0,0,0,0,"Acod1",0,0.015449,0,0,1,0,0.00514966666666667,0.994876716535415
"ACOT1",2.580575,3.185492,1.979403,39,58,23,0,"Acot3",0.109079,0.207848,0.217536,1,10,7,0.178154333333333,0.84878523272135
"ACOT11",0.582734,0.576701,0.609753,40,51,26,0.104451666666667,"Acot11",18.795607,22.115918,27.499553,496,1856,1128,22.8036926666667,0.0463983333230175
"ACOT12",0.331608,0.188218,0.467097,5,2,2,24.8123303333333,"Acot12",0.049362,0.069376,0.069691,1,3,3,0.0628096666666667,24.2868795259358
"ACOT13",4.473594,5.647834,5.032359,165,201,127,0,"Acot13",91.817633,140.443014,291.317742,173,570,376,174.526129666667,0.00569715746538166
"ACOT2",14.610747,12.124256,16.719956,110,123,100,2.16443566666667,"Acot2",1.585568,1.620148,1.475092,22,79,41,1.56026933333333,1.23597764714337
"ACOT4",0.210825,0.819407,0.499504,6,26,10,9.039828,"Acot4",0.107848,1.515178,1.377756,5,43,25,1.00026066666667,5.01925982313638
"ACOT6",0.113721,0.104565,0.160646,1,1,1,3.375098,"Acot6",1.879721,2.153377,2.397557,42,175,111,2.14355166666667,1.39176907648514
"ACOT7",141.034258,158.621084,147.569266,2164,2658,1722,98.3865763333333,"Acot7",251.136288,215.300178,179.593733,1118,4564,2557,215.343399666667,0.459392689984831
"ACOT8",15.109551,19.026084,18.961389,206,295,187,15.260072,"Acot8",10.297145,8.541505,9.081612,50,177,114,9.306754,1.57761328154335
"ACOT9",19.733347,15.220957,15.831859,376,398,279,35.6773823333333,"Acot9",5.697424,9.097912,8.198204,61,348,179,7.66451333333333,4.2330574058016
"ACOX1",26.69153,36.454793,34.43575,665,715,462,26.745508,"Acox1",43.253675,46.046219,46.908816,1058,3903,2410,45.4029033333333,0.597926121145724
"ACOX2",0,0.720589,0,0,2,0,57.9517596666667,"Acox2",0.063548,0.608585,0.661379,1,12,5,0.444504,40.8110740203327
"ACOX3",9.956542,12.099373,8.284384,181,210,142,15.4454126666667,"Acox3",9.973444,19.362258,19.637784,198,866,525,16.3244953333333,0.949257819650581
"ACOXL",0.165362,0.317846,0.200234,4,5,4,0.798546666666667,"Acoxl",0.106043,0.028109,0.049084,1,2,1,0.0610786666666667,1.69501727173229
"ACP1",61.586263,66.10944,74.714785,798,920,684,37.79657,"Acp1",70.115091,40.378466,30.815997,259,1021,517,47.1031846666667,0.806528097231871
"ACP2",115.861262,97.504509,108.715051,595,540,395,0.343451333333333,"Acp2",27.545288,17.097309,16.681153,483,1845,1102,20.44125,0.0626573233059329
"ACP4",0.140216,0.12039,0.201053,2,2,2,3.97132866666667,"Acp4",0.146144,0,0,1,0,0,0.0487146666666667,4.74040158365288
"ACP5",0.900021,1.872376,0.519606,4,9,1,0.278413,"Acp5",0,0.131785,0.116811,0,4,2,0.0828653333333333,1.18058355055538
"ACP6",5.681603,4.537779,4.413437,128,125,95,0.136560666666667,"Acp6",3.569569,7.034978,8.482897,33,199,122,6.36248133333333,0.154371959018889
"ACP7",0.348403,0.256502,0.265236,13,11,7,64.0608963333333,"Acp7",0.80189,0.547356,0.878533,3,17,13,0.742593,37.3356809842191
"ACR",0,0.561401,0,0,4,0,10.252389,"Acr",0.262898,0.331001,0.321071,1,11,6,0.30499,8.62258637997226
"ACRBP",0.871936,1.387368,0.356541,8,10,2,3.504024,"Acrbp",4.871569,6.490464,4.630272,25,115,59,5.33076833333333,0.711449821388188
"ACRV1",0.419432,0.594965,0.365907,5,9,3,10.3117143333333,"Acrv1",0,0.036969,0,0,3,0,0.012323,11.1740169227937
"ACSBG1",0.253329,0.789068,1.028992,21,18,25,40.2530823333333,"Acsbg1",94.207837,117.349815,128.950509,1456,5807,3500,113.502720333333,0.360280369001189
"ACSBG2",0.326791,0.354839,0.057953,2,2,1,76.3923933333333,"Acsbg2",0,0.015367,0.027109,0,1,1,0.0141586666666667,76.3119183191585
"ACSF2",0.770281,0.767876,3.321446,2,5,7,1.372005,"Acsf2",13.151681,17.421665,16.907815,103,469,261,15.8270536666667,0.140963774585137
"ACSF3",15.821189,18.561092,20.415246,217,288,178,0.0650203333333333,"Acsf3",6.433811,7.398949,7.850011,91,401,238,7.22759033333333,0.129444988166037
"ACSL1",62.19037,73.44608,83.471369,894,1047,659,0.0770176666666667,"Acsl1",34.24096,29.027217,22.595622,239,1064,585,28.6212663333333,0.0363596091587307
"ACSL3",130.996535,121.985228,113.197501,2784,3004,2053,26.8095743333333,"Acsl3",164.82735,125.218524,133.505579,1233,3872,2280,141.183817666667,0.195588884795101
"ACSL4",61.049607,65.37075,77.690858,3385,3357,2270,14.52366,"Acsl4",15.650734,15.820655,27.954734,343,1313,799,19.8087076666667,0.746017496553486
"ACSL5",0.344508,0.341116,0.484939,7,4,5,5.10368066666667,"Acsl5",23.386902,25.908157,26.057943,121,580,317,25.1176673333333,0.23369930356976
"ACSL6",16.646079,21.155853,18.209522,1030,1182,804,27.3279526666667,"Acsl6",139.440799,134.120983,127.066489,2061,7719,4466,133.542757,0.210549815525682
"ACSM1",0.124507,0.048926,0,1,1,0,112.344829333333,"Acsm1",0,0,0,0,0,0,0,113.344829333333
"ACSM2B",0.143928,1.678159,1.180417,5,15,6,3.854172,"Acsm2",0.021506,0.029627,0.030493,1,5,3,0.0272086666666667,4.72559486452931
