"Hs_symbol","Cortical_neurons-S17_rep_1","Cortical_neurons-S21_rep_2","Cortical_neurons-S8_rep_3","Cortical_neurons-S17_rep_1_read","Cortical_neurons-S21_rep_2_read","Cortical_neurons-S8_rep_3_read","Hs_Avg_TPM","Mm_genes","Brain_3_HB-S6","Brain_3_HB-S12","Brain_3_HB-S18","Brain_3_HB-S6_read","Brain_3_HB-S12_read","Brain_3_HB-S18_read","Mm_Avg_TPM","FoldChange"
"PPP2R5A",1.41786,1.064806,0.521418,26,40,14,0.817627333333333,"Ppp2r5a",193.184608,132.359559,138.526011,340,1090,616,154.690059333333,0.0116746524544755
"PPP2R5B",70.193427,81.41108,105.142732,1112,1390,1107,0.112415333333333,"Ppp2r5b",44.802253,51.628551,49.854262,624,2816,1710,48.7616886666667,0.0223548549725664
"PPP2R5C",143.65641,155.089061,192.092097,1454,1759,1253,1.69891166666667,"Ppp2r5c",56.09885,57.168893,57.664048,880,3282,1878,56.9772636666667,0.0465512081112302
"PPP2R5E",20.193063,16.345196,17.601995,933,968,720,10.7889886666667,"Ppp2r5e",71.423773,78.333131,119.146343,625,2058,1307,89.6344156666667,0.130071878104494
"PPP3CA",23.373955,28.88967,29.57479,896,1014,852,0,"Ppp3ca",183.431514,217.158503,258.482562,3297,11668,7702,219.690859666667,0.00453122526918608
"PPP3CB",104.886037,106.13169,117.722514,2725,3016,2194,2.94165633333333,"Ppp3cb",100.738654,86.215309,90.367193,1374,4775,3027,92.4403853333333,0.0421836481011087
"PPP3CC",28.425917,31.25419,23.974854,341,429,294,2.07150466666667,"Ppp3cc",8.077517,6.627672,7.147825,100,300,185,7.284338,0.370760423665315
"PPP3R1",92.010271,89.688161,92.675487,2504,2879,1947,0,"Ppp3r1",133.890129,120.471549,129.576334,2508,8236,5024,127.979337333333,0.00775317985558886
"PPP3R2",0.084913,0.078645,0.126854,1,3,4,46.4360323333333,"Ppp3r2",0,0.079823,0.117395,0,6,5,0.0657393333333333,44.5099761730354
"PPP4C",24.439306,27.758059,39.090519,334,393,346,0,"Ppp4c",48.559614,60.269679,48.160304,140,527,328,52.3298656666667,0.0187512191808321
"PPP4R1",67.853473,73.499132,86.196187,987,898,794,0,"Ppp4r1",14.071661,47.275745,40.810998,149,679,361,34.0528013333333,0.0285283903700174
"PPP4R2",37.498907,22.717032,20.97509,550,603,502,0,"Ppp4r2",26.638531,30.365272,36.496835,494,1872,1178,31.1668793333333,0.0310878773671942
"PPP4R3A",30.882948,30.420686,31.397821,604,634,466,0,"Ppp4r3a",28.810125,25.861862,22.504756,332,1148,686,25.725581,0.0374173343509352
"PPP4R3B",20.97582,20.000179,22.254771,991,1053,825,0,"Ppp4r3b",27.536633,24.224034,28.518654,424,1534,863,26.7597736666667,0.0360233484612585
"PPP4R4",5.64971,4.604567,4.527915,221,220,120,6.66892066666667,"Ppp4r4",22.849032,22.936279,28.450496,279,914,632,24.745269,0.29787689018385
"PPP5C",97.043082,111.185566,129.298176,966,1108,817,5.39449433333333,"Ppp5c",120.64234,120.790647,122.573344,566,2085,1188,121.335443666667,0.0522701691486624
"PPP6C",14.853444,23.043362,16.032347,702,810,603,10.7889886666667,"Ppp6c",29.912688,35.893693,35.860825,380,1318,790,33.8890686666667,0.337899207895164
"PPP6R1",38.911765,48.818399,51.590053,976,1443,829,30.7259106666667,"Ppp6r1",47.777983,44.466538,46.005882,649,2216,1380,46.0834676666667,0.673822728845595
"PPP6R2",28.122707,26.795083,34.422316,935,1055,860,7.247991,"Ppp6r2",33.813132,37.08875,38.057029,565,2464,1418,36.319637,0.221009411211583
"PPP6R3",25.577255,29.231931,24.46155,680,733,571,0,"Ppp6r3",29.218758,34.826217,33.100672,533,2223,1364,32.3818823333333,0.0299563694465921
"PPRC1",13.303776,10.392097,19.013638,389,444,378,0,"Pprc1",15.381645,7.305515,8.980008,103,470,260,10.5557226666667,0.0865372100772696
"PPT1",39.915286,52.964629,42.715579,767,922,576,8.82103533333333,"Ppt1",46.095772,43.955803,47.081606,678,2479,1511,45.7110603333333,0.210250747108923
"PPT2",64.575566,61.32823,69.247067,288,300,259,40.3243666666667,"Ppt2",24.634769,22.531144,28.604883,119,567,332,25.256932,1.57384597205289
"PPTC7",8.978501,9.969321,8.871535,572,687,402,0,"Pptc7",20.842703,19.002203,19.902067,589,2120,1262,19.9156576666667,0.0478110713006028
"PPWD1",16.978297,16.15667,19.034033,187,181,143,0.0202946666666667,"Ppwd1",3.369581,2.838753,2.795777,49,155,87,3.00137033333333,0.25498631260574
"PPY",0,0,0,0,0,0,26.1602426666667,"Ppy",0,0,0,0,0,0,0,27.1602426666667
"PQBP1",43.9808,41.753593,49.270845,397,396,307,10.0576003333333,"Pqbp1",56.040035,49.233851,53.635704,250,920,554,52.9698633333333,0.204884719923014
"PRADC1",7.453943,8.904246,10.025993,90,112,86,0,"Pradc1",4.326513,5.954124,6.939581,24,91,56,5.74007266666667,0.148366352924583
"PRAF2",67.047348,74.732124,65.606072,659,725,463,0,"Praf2",33.82029,37.420879,38.635258,267,1126,655,36.6254756666667,0.0265777370858842
"PRAG1",1.516888,2.775799,1.673281,92,189,72,9.24738466666667,"Prag1",10.127651,10.868601,10.957102,336,1369,776,10.651118,0.879519430381416
"PRAM1",0.185319,0.682377,0.384802,2,9,5,0.301309666666667,"Pram1",0.167259,1.517429,1.070802,0,52,15,0.918496666666667,0.678296548165317
"PRAP1",0,0.259338,0.457649,0,2,2,0.508475666666667,"Prap1",0,0.097844,0,0,1,0,0.0326146666666667,1.46083114579043
"PRC1",18.400256,27.647752,42.637153,175,283,209,6.15570033333333,"Prc1",4.506774,7.126621,5.590547,7,59,30,5.741314,1.06146966798065
"PRCD",4.471345,4.327191,5.450641,21,25,27,0.440758,"Prcd",3.49281,3.688616,3.585521,14,55,29,3.58898233333333,0.3139602411486
"PRCP",49.793925,57.214576,48.972611,526,733,371,35.3733533333333,"Prcp",6.214109,4.547993,4.130205,52,216,114,4.96410233333333,6.09871382153235
"PRDM1",0.03209,0.198338,0,2,6,0,0.013779,"Prdm1",0.027705,0.095875,0.121454,1,13,8,0.081678,0.937228084513136
"PRDM10",3.693437,3.426877,4.398591,314,314,236,0.472024333333333,"Prdm10",3.509693,3.785727,4.4881,129,451,321,3.92784,0.298715935041181
"PRDM11",2.9587,4.091664,3.046157,346,457,286,0.746689666666667,"Prdm11",1.98153,3.048777,3.156982,37,261,129,2.72909633333333,0.46839488995055
"PRDM12",0.503749,0.687069,0.560795,13,20,10,296.444760666667,"Prdm12",0,0,0,0,0,0,0,297.444760666667
"PRDM13",0.086373,0.222538,0.160439,3,9,4,10.618091,"Prdm13",0,0.01705,0.029629,0,1,1,0.0155596666666667,11.4400870587285
"PRDM14",2.376301,1.930005,3.445882,51,60,69,0.027714,"Prdm14",0,0,0,0,0,0,0,1.027714
"PRDM15",3.564669,4.039883,3.399269,148,159,120,8.215936,"Prdm15",4.967024,3.503674,3.429684,88,295,189,3.966794,1.85551001309899
"PRDM16",0.25988,0.2226,0.335482,2,2,8,0.315377666666667,"Prdm16",2.030458,3.050214,4.183223,59,278,169,3.087965,0.321768328903664
"PRDM4",17.204597,20.832978,17.87472,685,879,579,0.844980333333333,"Prdm4",6.457505,9.010338,11.290238,167,558,340,8.91936033333333,0.185997914314434
"PRDM5",1.20194,2.595369,1.504309,33,53,32,0,"Prdm5",2.005319,2.113309,1.402216,21,87,36,1.84028133333333,0.352077798865934
"PRDM6",0.032755,0.045152,4.32314,4,6,9,86.1251953333333,"Prdm6",0.368121,0.945239,0.895723,2,25,10,0.736361,50.1768902511248
"PRDM8",3.040376,1.425766,3.714185,50,21,71,18.5304506666667,"Prdm8",3.702388,3.169206,4.145399,73,215,160,3.672331,4.18002291932371
"PRDM9",0,0,0,0,0,0,0.409603333333333,"Prdm9",1.862304,3.800999,1.639616,15,90,40,2.43430633333333,0.410447757572393
"PRDX1",210.96405,212.288198,189.272401,1067,1179,675,8.97695466666667,"Prdx1",131.157119,139.728469,155.134193,581,2449,1477,142.006593666667,0.0697656968875288
"PRDX2",234.626471,258.667975,312.439399,2226,2542,1941,65.392792,"Prdx2",173.437138,212.64663,215.525369,839,3737,2154,200.536379,0.32943328807153
"PRDX3",71.685756,72.605977,73.260673,1264,1377,915,15.87217,"Prdx3",33.473281,35.903743,38.720378,295,1193,729,36.0324673333333,0.455604803431857
"PRDX4",33.95186,38.446738,37.180641,210,269,179,2.20269733333333,"Prdx4",15.181242,13.646099,14.414618,81,275,164,14.4139863333333,0.207778654014204
"PRDX5",253.833649,275.240305,271.66581,1885,2187,1440,40.4893133333333,"Prdx5",248.085632,255.010717,260.289299,786,3120,1781,254.461882666667,0.162409017346316
"PRDX6",41.46647,44.058913,46.271552,561,640,414,0.152835,"Prdx6",171.082887,160.502555,177.613499,887,3329,1993,169.732980333333,0.00675226893918939
"PREB",52.56841,40.176722,43.313225,427,498,372,7.29531133333333,"Preb",53.063642,53.096873,54.374068,246,1217,720,53.5115276666667,0.1521753597525
"PRELID1",50.49168,54.29119,66.328799,415,503,370,1.60535766666667,"Prelid1",45.738818,48.278124,44.397986,368,1495,797,46.1383093333333,0.0552704944982894
"PRELID2",0.343145,0.673262,0.679678,9,8,13,10.9596763333333,"Prelid2",0.226263,0.371026,0.27904,1,6,2,0.292109666666667,9.25592977273085
