"Hs_symbol","Cortical_neurons-S17_rep_1","Cortical_neurons-S21_rep_2","Cortical_neurons-S8_rep_3","Hs_Avg_TPM","Cortical_neurons-S17_rep_1_read","Cortical_neurons-S21_rep_2_read","Cortical_neurons-S8_rep_3_read","Mm_genes","Brain_1_FB-S4","Brain_1_FB-S10","Brain_1_FB-S16","Brain_1_FB-S4_read","Brain_1_FB-S10_read","Brain_1_FB-S16_read","Mm_Avg_TPM","FoldChange"
"EIF3J",71.192701,63.51775,60.931267,65.213906,891,952,642,"Eif3j1",5.668778,6.660824,5.940678,438,462,851,6.09009333333333,9.33893291484644
"EIF3L",305.579676,314.642257,340.548851,320.256928,1758,2028,1481,"Eif3l",108.493375,71.489342,68.316349,572,558,1077,82.7663553333333,3.8351546599063
"EIF3M",63.542908,82.678033,77.631507,74.6174826666667,750,875,588,"Eif3m",40.379008,48.939573,45.678628,544,600,1045,44.9990696666667,1.64389156595189
"EIF4A1",855.866092,1029.124466,902.60337,929.197976,4277,4462,3536,"Eif4a1",198.936359,187.846137,157.588062,2013,1888,3329,181.456852666667,5.0981805418917
"EIF4A2",438.891483,416.135421,527.011237,460.679380333333,5308,5712,4720,"Eif4a2",314.71068,328.551146,305.333416,5828,5911,10602,316.198414,1.45549082201065
"EIF4A3",30.911452,27.740099,28.712858,29.1214696666667,480,509,373,"Eif4a3l1",0,0,0,0,0,0,0,30.1214696666667
"EIF4A3",30.911452,27.740099,28.712858,29.1214696666667,480,509,373,"Eif4a3l2",0,0,0,0,0,0,0,30.1214696666667
"EIF4A3",30.911452,27.740099,28.712858,29.1214696666667,480,509,373,"Eif4a3",50.9604,55.567302,47.247877,363,387,693,51.2585263333333,0.576393399892977
"EIF4B",118.437123,126.78154,156.46572,133.894794333333,2379,2777,2214,"Eif4b",49.109059,46.759609,44.679247,1936,2164,3859,46.849305,2.81915890593047
"EIF4E",81.172572,76.900673,94.741997,84.2717473333333,1071,1129,916,"Eif4e",264.792698,260.409634,254.600007,1171,1172,2207,259.934113,0.326794171727686
"EIF4E1B",2.347685,1.928429,2.526368,2.267494,9,19,12,"Eif4e1b",0.26532,0,0.559894,2,0,6,0.275071333333333,2.5625970207157
"EIF4E2",122.013522,165.093865,133.444568,140.183985,752,927,669,"Eif4e2",19.230595,17.454571,18.857957,514,513,947,18.5143743333333,7.2348712076737
"EIF4E3",17.132867,15.870175,15.753253,16.2520983333333,803,959,683,"Eif4e3",4.731207,4.475469,4.5697,157,145,288,4.59212533333333,3.08507004134862
"EIF4EBP1",5.337632,5.42058,5.294436,5.35088266666667,34,42,24,"Eif4ebp1",2.190614,1.495185,1.60187,27,20,58,1.76255633333333,2.29891517144326
"EIF4EBP2",26.045519,25.975569,27.432487,26.484525,2638,2864,1969,"Eif4ebp2",10.324716,10.497088,10.376429,851,848,1635,10.399411,2.41104781641788
"EIF4EBP3",0.680808,1.997457,1.529971,1.40274533333333,4,14,7,"Eif4ebp3",2.686446,1.583501,2.642226,20,11,37,2.30405766666667,0.727210471407228
"EIF4ENIF1",68.399529,64.682804,67.612542,66.8982916666667,480,526,386,"Eif4enif1",55.394166,57.296039,63.390958,580,575,1072,58.693721,1.13744445025745
"EIF4G1",168.472683,190.431167,195.747797,184.883882333333,3831,4449,2885,"Eif4g1",116.807504,134.859197,127.049354,2892,2881,5504,126.238685,1.46090697442632
"EIF4G2",9106.827106,8931.26806,10216.824968,9418.30671133333,20535,22875,18267,"Eif4g2",555.026102,508.712603,476.089843,7930,7961,13774,513.276182666667,18.31565806235
"EIF4G3",103.254365,97.631608,118.149437,106.345136666667,4055,4350,3161,"Eif4g3",40.912915,39.758717,40.297524,2821,2789,5230,40.323052,2.59770591646199
"EIF4H",75.504113,79.044242,77.867752,77.4720356666667,1934,2223,1476,"Eif4h",102.11348,106.992351,98.432635,3175,3280,5845,102.512822,0.758090004218672
"EIF5",177.061521,211.691612,203.795045,197.516059333333,2866,3261,2291,"Eif5",90.101482,101.472879,87.484701,2683,2715,4615,93.0196873333333,2.11143075417304
"EIF5A",165.184858,190.309824,181.958183,179.150955,1748,2189,1421,"Eif5a",143.479047,169.880026,148.890035,1712,1988,3436,154.083036,1.16164191549616
"EIF5A2",1.669399,5.502816,2.078934,3.08371633333333,52,97,52,"Eif5a2",10.973121,12.00154,10.75336,778,816,1423,11.2426736666667,0.3335640926583
"EIF5AL1",0.128034,0.176001,0.248344,0.184126333333333,7,10,9,"Eif5a",143.479047,169.880026,148.890035,1712,1988,3436,154.083036,0.00763543430587297
"EIF5B",27.80676,23.427493,26.256016,25.8300896666667,1150,1139,815,"Eif5b",23.230411,22.339545,21.516129,1081,971,1878,22.3620283333333,1.14844863998324
"EIF6",52.086808,58.369441,53.700935,54.7190613333333,560,653,436,"Eif6",48.644683,57.100453,48.550347,232,244,477,51.4318276666667,1.06269538585542
"EIPR1",14.504932,15.76383,19.905002,16.724588,230,257,207,"Eipr1",18.617093,24.17599,20.729147,361,423,673,21.1740766666667,0.799338266320897
"ELAC1",4.86366,4.808539,6.098287,5.25682866666667,82,87,62,"Elac1",4.813431,5.543537,5.216786,338,380,696,5.19125133333333,1.01059193526521
"ELAC2",57.212481,58.006236,59.370225,58.196314,655,745,520,"Elac2",9.362887,9.754784,11.948933,274,272,484,10.3555346666667,5.212992231336
"ELANE",0.115633,0,0,0.0385443333333333,1,0,0,"Elane",0,0,0,0,0,0,0,1.03854433333333
"ELAPOR1",9.209465,6.689326,7.984078,7.96095633333333,388,414,273,"Elapor1",14.40099,10.686103,11.673006,547,504,1015,12.2533663333333,0.676126812460905
"ELAPOR2",16.858647,16.425344,17.68725,16.9904136666667,596,624,405,"Elapor2",20.710724,20.701832,18.598466,949,984,1712,20.003674,0.856536511977222
"ELAVL1",18.947407,15.901304,16.909393,17.2527013333333,990,1064,827,"Elavl1",11.507108,11.246232,11.308824,847,820,1538,11.3540546666667,1.47746645338896
"ELAVL2",161.647469,150.86068,219.969598,177.492582333333,3527,3696,3690,"Elavl2",31.761344,45.248696,36.404055,903,911,1435,37.8046983333333,4.59976729621959
"ELAVL3",76.505336,88.460492,94.539447,86.5017583333333,2407,3161,2278,"Elavl3",55.975593,62.224541,61.824725,2307,2266,4399,60.0082863333333,1.43426022254168
"ELAVL4",109.835417,107.977735,145.724655,121.179269,2809,2730,2416,"Elavl4",29.144155,32.715255,28.526511,1140,962,1662,30.1286403333333,3.92497930175149
"ELF1",0.87682,1.42213,0.99639,1.09844666666667,30,35,23,"Elf1",1.450091,1.370193,1.136081,78,71,115,1.31878833333333,0.904975515229578
"ELF2",15.751352,11.27604,17.312136,14.7798426666667,382,386,350,"Elf2",7.52191,8.722973,8.334935,321,273,550,8.19327266666667,1.71645541678339
"ELF3",0.569928,1.004226,1.291683,0.955279,14,14,9,"Elf3",0,0.082748,0,0,2,0,0.0275826666666667,1.90279484408067
"ELF4",0.444929,0.406397,0.237576,0.362967333333333,10,25,12,"Elf4",0.224766,0.287454,0.294828,16,19,34,0.269016,1.07403479021016
"ELF5",0.067522,0,0,0.0225073333333333,2,0,0,"Elf5",0.102033,0.389943,0.251524,3,5,13,0.247833333333333,0.819426205422733
"ELFN1",6.255092,7.38795,6.789011,6.81068433333333,273,379,204,"Elfn1",4.393683,4.714917,5.7119,225,226,456,4.94016666666667,1.31489312870009
"ELFN2",4.037708,5.110049,5.526561,4.89143933333333,377,585,303,"Elfn2",25.166062,25.649123,31.06517,1806,1641,3524,27.2934516666667,0.208226249760619
"ELK1",6.121264,7.584074,6.701403,6.802247,172,230,165,"Elk1",12.198054,12.247882,12.166924,590,586,1128,12.2042866666667,0.590887428981396
"ELK3",0.837182,1.554348,2.124854,1.50546133333333,14,51,46,"Elk3",2.87507,2.973749,2.397842,98,83,169,2.748887,0.668321380007808
"ELK4",2.38265,1.07323,1.694519,1.71679966666667,173,157,143,"Elk4",37.911298,20.949754,23.804777,342,327,664,27.5552763333333,0.0951417746742403
"ELL",2.782256,2.232204,2.473875,2.49611166666667,81,88,85,"Ell",6.435968,8.57747,6.098334,161,175,322,7.03725733333333,0.434988146039204
"ELL2",1.390612,1.471309,0.766443,1.20945466666667,109,85,43,"Ell2",14.796505,12.00295,13.411317,320,293,550,13.4035906666667,0.153396102249689
"ELL3",1.268147,2.048069,1.268056,1.52809066666667,8,13,5,"Ell3",1.83104,1.48758,1.356305,45,32,62,1.55830833333333,0.988188418779337
"ELMO1",31.48247,23.628035,22.096811,25.735772,398,322,272,"Elmo1",18.143741,18.387065,16.821864,1280,1276,2240,17.7842233333333,1.42330995141845
"ELMO2",44.842921,53.449021,67.055386,55.115776,953,1062,844,"Elmo2",59.535918,49.782451,51.753751,1764,1628,2963,53.6907066666667,1.02605688279032
"ELMO3",0.647212,1.163919,0.781475,0.864202,12,33,16,"Elmo3",1.903148,1.931741,2.141212,23,28,70,1.99203366666667,0.623055155016638
"ELMOD1",15.874686,13.468118,17.27713,15.539978,489,463,369,"Elmod1",81.29958,88.829694,80.758924,2517,2721,4778,83.6293993333333,0.195440096825611
"ELMOD2",14.081163,14.789346,14.733661,14.5347233333333,691,686,546,"Elmod2",4.183596,4.26664,4.544894,249,243,476,4.33171,2.9136474664476
"ELMOD3",10.668647,14.679369,12.42119,12.5897353333333,175,202,134,"Elmod3",7.792868,10.56374,7.745225,139,191,330,8.700611,1.40091539938395
"ELN",0.719889,1.396989,1.858166,1.32501466666667,4,12,15,"Eln",1.478278,1.719501,2.063756,61,70,182,1.753845,0.844279422649665
"ELOA",7.99401,10.175863,11.357229,9.84236733333333,531,671,500,"Eloa",4.86022,5.798837,4.993075,323,377,633,5.21737733333333,1.74388118205468
"ELOB",263.019603,306.356188,315.461469,294.945753333333,731,954,625,"Elob",243.575227,252.682165,243.128673,646,687,1252,246.462021666667,1.19592392941804
"ELOC",87.325152,79.073439,75.217122,80.538571,685,656,466,"Eloc",145.42047,163.694245,138.780037,1090,1179,1956,149.298250666667,0.542511776672885
"ELOF1",21.63522,24.731313,23.688958,23.3518303333333,185,233,153,"Elof1",23.430078,25.025826,23.061398,216,233,407,23.8391006666667,0.980382931738457
"ELOVL1",14.806663,11.578067,11.954455,12.7797283333333,158,153,94,"Elovl1",10.294512,9.000226,12.616075,135,120,277,10.6369376666667,1.18413698930472
"ELOVL2",1.39879,1.284837,2.310301,1.66464266666667,73,72,86,"Elovl2",3.490731,4.048509,3.154387,184,208,316,3.56454233333333,0.583769953716426
"ELOVL3",0.245154,0.280439,0,0.175197666666667,4,5,0,"Elovl3",0,0,0.021535,0,0,1,0.00717833333333333,1.16682183062582
"ELOVL4",50.870506,49.276562,49.414203,49.853757,1921,1991,1335,"Elovl4",14.63811,15.765997,12.117281,599,626,939,14.173796,3.35141957885818
"ELOVL5",38.477604,34.841854,32.753265,35.3575743333333,1316,1309,805,"Elovl5",32.61189,29.661635,24.220442,842,789,1408,28.8313223333333,1.21877179720953
"ELOVL6",101.392257,81.635746,58.518182,80.515395,1254,1154,860,"Elovl6",8.782865,7.981474,7.813412,716,655,1163,8.19258366666667,8.86751733308492
"ELOVL7",0.709328,1.392905,0.877031,0.993088,27,71,27,"Elovl7",3.216294,3.722411,3.016357,163,178,285,3.318354,0.46153881779956
"ELP1",75.34813,69.785791,95.011973,80.0486313333333,2526,2578,2081,"Elp1",25.768307,32.483472,30.412193,760,873,1604,29.5546573333333,2.6525786379844
"ELP2",57.147717,65.822088,75.889613,66.2864726666667,1085,1175,813,"Elp2",38.998487,38.183027,38.100809,884,952,1695,38.427441,1.7065899018571
"ELP3",23.311947,30.871492,36.613031,30.26549,468,565,411,"Elp3",18.850718,21.875993,18.619559,727,822,1364,19.78209,1.50444397074596
"ELP4",3.233257,12.797615,11.114609,9.04849366666667,114,160,108,"Elp4",8.362805,10.506509,9.628178,125,151,251,9.499164,0.957075598273031
"ELP5",24.975294,34.78088,31.237452,30.3312086666667,263,359,254,"Elp5",47.911432,54.836898,50.07229,418,444,802,50.9402066666667,0.603216865649745
"ELP6",21.538164,19.098668,28.933094,23.1899753333333,215,223,211,"Elp6",4.918145,6.231334,4.647769,78,99,165,5.26574933333333,3.86066758282915
"EMB",21.764232,15.330793,15.126039,17.4070213333333,846,750,514,"Emb",6.763354,6.455649,5.732617,243,227,392,6.31720666666667,2.51558035352288
"EMC1",35.716835,36.108345,31.573488,34.4662226666667,965,1145,745,"Emc1",12.418868,13.773713,16.147021,647,680,1256,14.1132006666667,2.34670494019775
"EMC10",65.44798,79.122359,78.553251,74.37453,1586,2146,1306,"Emc10",50.771455,57.087922,58.070696,1029,1205,2331,55.3100243333333,1.33856326457634
"EMC2",51.994821,47.523885,47.172122,48.8969426666667,321,401,235,"Emc2",33.436643,29.845931,34.037007,494,430,958,32.4398603333333,1.49213968507305
"EMC3",50.71561,55.555653,52.081503,52.7842553333333,588,678,440,"Emc3",23.970292,24.880991,23.024114,613,614,1103,23.9584656666667,2.15495039044668
"EMC4",84.924007,89.772899,79.15172,84.6162086666667,517,585,376,"Emc4",54.272738,65.684545,59.575556,584,698,1228,59.8442796666667,1.40713653174484
"EMC6",18.462991,24.364287,18.656096,20.494458,107,159,78,"Emc6",13.484586,15.706259,16.415945,205,234,427,15.2022633333333,1.32663304859259
"EMC7",66.26823,67.521466,52.839433,62.2097096666667,562,642,347,"Emc7",16.045476,16.84462,14.767715,1326,1359,2319,15.885937,3.74333444846245
"EMC8",16.409126,16.56561,23.973498,18.9827446666667,166,213,153,"Emc8",19.979312,23.740877,24.536157,626,669,1199,22.7521153333333,0.841303790682728
"EMC9",14.629148,12.171897,14.473136,13.7580603333333,102,101,80,"Emc9",23.093228,21.952808,30.545138,123,113,273,25.197058,0.56334800393744
"EMCN",0,0.249578,0.033883,0.094487,0,3,1,"Emcn",4.536903,3.326992,5.606377,67,54,142,4.49009066666667,0.199356816936599
"EMD",29.045127,43.986737,41.427694,38.153186,245,394,238,"Emd",15.529506,15.83594,16.570373,235,228,454,15.9786063333333,2.30603061472321
"EME1",0.332738,1.509016,1.091013,0.977589,6,9,9,"Eme1",0.15137,0.155199,0.063882,5,5,4,0.123483666666667,1.76022941736877
"EME2",32.272831,33.29241,29.251578,31.6056063333333,1003,1143,803,"Eme2",10.584103,8.335414,8.392523,196,185,335,9.10401333333333,3.22699557667514
"EMG1",4.44828,6.770286,6.441862,5.88680933333333,100,152,74,"Emg1",25.963925,26.835006,24.531776,225,215,398,25.7769023333333,0.257192159406738
"EMID1",3.178592,5.048836,7.566328,5.26458533333333,72,124,90,"Emid1",3.256779,3.056449,3.075402,47,43,89,3.12954333333333,1.51701649012038
"EMILIN1",0.707778,0.476473,2.892471,1.35890733333333,19,24,60,"Emilin1",0.847377,0.995896,0.8759,23,22,52,0.906391,1.23736806003246
"EMILIN2",0.681168,1.324665,0.146753,0.717528666666667,30,52,8,"Emilin2",3.04891,0.596141,1.749774,46,30,90,1.798275,0.613781228316254
"EMILIN3",1.45878,2.389304,2.605426,2.15117,70,128,88,"Emilin3",0.022409,0.022093,0.033716,1,1,3,0.0260726666666667,3.07109827828958
"EML1",91.515478,80.783615,127.312487,99.8705266666667,1351,1222,1382,"Eml1",43.250088,43.872481,29.695483,689,673,1221,38.9393506666667,2.52559255428389
"EML2",193.279564,265.951001,194.764686,217.998417,543,877,403,"Eml2",50.837051,60.487799,60.64593,1082,1363,2385,57.3235933333333,3.75488553574488
"EML3",8.938333,4.731113,6.110526,6.593324,74,75,48,"Eml3",4.507894,6.280237,7.934619,91,107,170,6.24091666666667,1.0486688840041
"EML4",23.676232,23.90335,28.006818,25.1954666666667,1378,1491,1223,"Eml4",5.990265,6.620247,6.607309,412,398,821,6.40594033333333,3.53708853807041
"EML5",2.017136,1.489203,1.996063,1.834134,81,101,99,"Eml5",62.461315,35.058775,47.260192,1440,927,2347,48.260094,0.0575340761631514
"EML6",13.007885,12.883856,13.378404,13.0900483333333,193,238,131,"Eml6",14.236693,11.341509,15.373778,353,330,775,13.65066,0.961734715933162
"EMP1",0.847197,1.769646,4.486692,2.367845,3,19,46,"Emp1",0.930835,1.368336,1.000494,35,23,68,1.09988833333333,1.60382099683078
"EMP2",0.553229,0.592206,1.132357,0.759264,34,40,49,"Emp2",5.509857,5.323681,5.215229,263,249,476,5.349589,0.277067381841565
"EMP3",16.64868,22.4079,38.543682,25.866754,19,19,21,"Emp3",2.568909,3.137599,5.621174,12,16,40,3.775894,5.62549210681812
"EMSY",13.013318,10.027329,11.319968,11.4535383333333,268,275,229,"Emsy",28.033149,24.657391,26.852323,782,685,1418,26.5142876666667,0.452620779582118
"EMX1",0.106447,0.092337,0,0.0662613333333333,2,1,0,"Emx1",4.046619,6.99207,4.520631,57,113,150,5.18644,0.172354590577672
"EMX2",0.527815,0.29194,0.17814,0.332631666666667,10,6,4,"Emx2",5.05763,9.107502,8.512992,79,80,192,7.55937466666667,0.155692643278769
"EN1",0,0,0.288649,0.0962163333333333,0,0,5,"En1",0,0,0.016174,0,0,1,0.00539133333333333,1.09033795795601
"EN2",0.075494,0.134623,1.114795,0.441637333333333,3,6,31,"En2",0.104497,0.148066,0.121193,4,6,10,0.124585333333333,1.28192791654168
"ENAH",25.978409,24.648762,34.998969,28.5420466666667,2660,2775,2356,"Enah",45.203611,33.18147,39.276203,2035,1751,3769,39.220428,0.734503538019702
"ENAM",0,0.048219,0,0.016073,0,4,0,"Enam",0,0,0,0,0,0,0,1.016073
"ENC1",21.301377,47.059077,61.54959,43.303348,1268,2864,2680,"Enc1",122.798087,106.097654,107.269926,7983,6825,13516,112.055222333333,0.391873520617876
"ENDOD1",24.013843,27.888948,19.16426,23.689017,1473,1861,834,"Endod1",18.994167,19.697756,17.64192,1131,1021,1928,18.7779476666667,1.24831036142392
"ENDOG",15.302961,16.844562,17.115353,16.4209586666667,138,182,103,"Endog",7.501456,7.391503,9.437542,66,73,194,8.110167,1.91225459057629
"ENDOU",0.033821,0.062051,0,0.0319573333333333,1,2,0,"Endou",0.782639,1.38613,0.874129,24,36,47,1.01429933333333,0.512315779614351
"ENDOV",26.884558,28.963972,31.202673,29.0170676666667,259,313,223,"Endov",5.546135,7.557847,6.626457,268,329,550,6.576813,3.96170100366297
"ENG",0.349086,1.530968,0.85394,0.911331333333333,10,31,22,"Eng",11.614215,9.144119,7.738955,235,292,508,9.49909633333333,0.182047223175302
"ENGASE",19.153385,27.755241,54.023002,33.643876,289,330,270,"Engase",3.050057,4.535676,4.179929,101,107,170,3.92188733333333,7.03873812091866
"ENHO",21.039958,27.097152,33.584236,27.2404486666667,222,322,250,"Enho",24.827166,25.4643,22.083538,276,303,536,24.1250013333333,1.12399789723394
"ENKD1",13.286595,17.033512,27.918754,19.4129536666667,37,64,34,"Enkd1",2.403623,2.68442,2.522758,48,44,98,2.53693366666667,5.77137022925979
"ENKUR",0.338299,0.253407,0.334832,0.308846,5,5,5,"Enkur",2.138304,2.527588,1.652294,26,28,39,2.106062,0.421384376744572
"ENO1",291.956801,303.160348,257.231713,284.116287333333,4579,5079,2814,"Eno1b",0.528951,1.11315,1.272021,12,24,54,0.971374,144.628207196267
"ENO1",291.956801,303.160348,257.231713,284.116287333333,4579,5079,2814,"Eno1",853.983947,774.350924,722.336933,6277,6398,11523,783.557268,0.363410421345218
"ENO2",585.825481,680.609832,710.619816,659.018376333333,9408,11433,7665,"Eno2",467.488964,523.68092,456.688862,8084,8435,14551,482.619582,1.36474700549519
"ENO3",4.430383,4.168303,4.31521,4.304632,29,31,19,"Eno3",8.578818,5.877328,6.656939,51,44,104,7.037695,0.659969307121009
"ENO4",0.500635,0.306469,0.341913,0.383005666666667,13,10,9,"Eno4",1.35233,1.105215,0.799868,35,31,47,1.08580433333333,0.663056282204803
"ENOPH1",29.988982,32.501409,32.570291,31.686894,626,745,506,"Enoph1",16.336429,16.969967,15.423267,377,376,659,16.243221,1.89563736380807
"ENOX1",11.86867,11.817424,17.979652,13.888582,310,303,304,"Enox1",7.937268,7.075578,7.871174,301,263,562,7.62800666666667,1.72561085951873
"ENOX2",8.151297,4.951287,4.35816,5.820248,205,148,88,"Enox2",3.078663,2.98175,2.449953,122,120,192,2.83678866666667,1.77759282372081
"ENPEP",0.33079,0.392627,0.299467,0.340961333333333,3,3,3,"Enpep",1.404509,1.113313,1.40091,43,36,89,1.306244,0.581448161310483
"ENPP1",0.522414,0.446406,0.751581,0.573467,25,41,43,"Enpp1",0.995306,1.144766,1.026769,77,87,148,1.05561366666667,0.765448792988176
"ENPP2",4.481892,4.880236,10.30327,6.55513266666667,135,188,187,"Enpp2",67.639322,66.395253,60.603909,2616,2505,4542,64.8794946666667,0.114681096218083
"ENPP3",0.068575,0.217462,0,0.0953456666666667,3,3,0,"Enpp3",0.101803,0.051621,0.248969,4,2,7,0.134131,0.965801716615335
"ENPP4",4.475453,4.632941,5.180777,4.763057,267,292,222,"Enpp4",5.809794,6.670998,6.164729,369,409,734,6.21517366666667,0.798741273079082
"ENPP5",1.770119,1.821725,0.940872,1.51090533333333,48,65,22,"Enpp5",65.188585,78.687096,63.555588,2859,3324,5322,69.1437563333333,0.0357965621544581
"ENPP6",0.117088,0.306796,0.252442,0.225442,6,3,9,"Enpp6",2.812621,2.59082,2.479089,138,135,231,2.62751,0.337819054944025
"ENPP7",0,0,0,0,0,0,0,"Enpp7",0.059287,0,0,1,0,0,0.0197623333333333,0.980620647882987
"ENSA",113.890158,99.924667,117.623888,110.479571,1474,1566,1079,"Ensa",120.137049,124.63098,118.685025,2889,2641,5041,121.151018,0.912637265127009
"ENTHD1",0,0,0,0,0,0,0,"Enthd1",0.035857,0,0.018846,1,0,1,0.0182343333333333,0.982092203399152
"ENTPD1",3.485078,3.461232,4.426208,3.79083933333333,373,412,281,"Entpd1",26.678865,29.073842,17.317772,161,200,338,24.3568263333333,0.188936867349028
"ENTPD2",0.11513,0.10333,0.323522,0.180660666666667,2,1,2,"Entpd2",2.795033,2.825524,5.421439,69,70,172,3.68066533333333,0.252242060174351
"ENTPD3",12.514811,7.588116,6.989422,9.030783,447,284,173,"Entpd3",2.142488,2.704371,2.232727,103,127,204,2.359862,2.98547470104427
"ENTPD4",46.364173,64.248261,56.569648,55.7273606666667,2015,2126,1401,"Entpd4",38.010298,46.509386,42.604888,1417,1730,3003,42.3748573333333,1.30783970609333
"ENTPD5",4.77795,4.963821,5.165804,4.96919166666667,241,291,183,"Entpd5",11.307668,11.107302,7.624693,439,430,730,10.013221,0.542002350326636
"ENTPD6",98.041746,96.037654,102.028996,98.7027986666667,1666,1735,1206,"Entpd6",13.445789,12.681015,12.659714,454,429,826,12.9288393333333,7.15801196931508
"ENTPD7",3.764727,3.224106,5.10589,4.03157433333333,383,408,323,"Entpd7",1.532242,2.461658,2.261391,121,118,223,2.085097,1.63092905452676
"ENTPD8",0.169644,0.152557,0.043491,0.121897333333333,3,3,1,"Entpd8",0,0,0,0,0,0,0,1.12189733333333
"ENTR1",31.146452,32.18058,28.522107,30.6163796666667,256,252,190,"Entr1",49.865062,57.303093,53.190689,757,677,1412,53.452948,0.580618328812366
"ENY2",46.974684,52.149773,46.97406,48.6995056666667,496,560,404,"Eny2",39.075343,36.196299,31.740132,655,673,1179,35.6705913333333,1.35529599768112
"EOGT",4.753978,5.119421,5.151004,5.00813433333333,115,130,89,"Eogt",12.109319,11.629118,13.451516,325,311,682,12.396651,0.448480320442276
"EOLA1",15.726658,12.987425,16.600998,15.105027,216,242,181,"Eola1",4.267478,6.715112,5.095887,54,83,123,5.35949233333333,2.5324390935398
"EOLA2",11.909869,12.966174,16.308955,13.7283326666667,146,162,132,"Eola1",4.267478,6.715112,5.095887,54,83,123,5.35949233333333,2.31596044065782
"EOMES",0.128301,0.070486,0.217891,0.138892666666667,5,2,5,"Eomes",0.611931,0.298309,0.235626,23,13,20,0.381955333333333,0.824116843139648
"EP300",35.345261,29.94395,38.352837,34.5473493333333,1005,1040,791,"Ep300",22.694856,20.415847,20.631147,888,823,1661,21.2472833333333,1.5978287686062
"EP400",13.619971,11.868545,14.325126,13.271214,1103,1207,843,"Ep400",14.103182,10.647137,13.491657,977,1034,1884,12.7473253333333,1.03810840683288
"EPAS1",2.469114,4.704828,1.906782,3.026908,34,111,18,"Epas1",73.093007,61.895475,51.119463,1603,1624,3158,62.0359816666667,0.0638826887997752
"EPB41",84.841629,70.492406,121.558038,92.2973576666667,1171,1303,993,"Epb41",14.621568,15.296895,17.41242,847,914,1816,15.776961,5.56104038548261
"EPB41L1",347.315941,457.38543,419.791383,408.164251333333,6624,7964,5197,"Epb41l1",118.660241,109.973903,106.942512,6507,6068,11556,111.858885333333,3.6254500487476
"EPB41L2",16.64385,14.006758,14.84112,15.1639093333333,221,227,119,"Epb41l2",40.322334,43.587747,47.938947,1146,1227,2291,43.949676,0.359600130006128
"EPB41L3",176.124474,203.827197,172.415126,184.122265666667,4143,4706,3011,"Epb41l3",67.443147,64.490956,64.381563,2240,2209,4009,65.4385553333333,2.78636801685222
"EPB41L4A",31.180146,26.144462,37.090159,31.471589,234,205,269,"Epb41l4a",1.846033,0.711785,1.068777,25,24,61,1.208865,14.7005765404405
"EPB41L4B",6.438955,6.911263,5.769737,6.37331833333333,453,524,288,"Epb41l4b",6.102079,8.24303,10.218293,530,536,1041,8.18780066666667,0.802511787187953
"EPB41L5",7.727651,5.174139,13.089967,8.663919,587,471,491,"Epb41l5",1.326332,1.236028,1.346514,103,89,215,1.302958,4.19630709722018
"EPB42",0,0,0,0,0,0,0,"Epb42",0.017515,0.048319,0.087175,1,1,4,0.051003,0.951472070013121
"EPC1",18.556674,18.773128,23.38629,20.2386973333333,693,679,566,"Epc1",8.830523,7.561706,10.859516,411,348,758,9.083915,2.10619559301455
"EPC2",10.562628,11.344558,9.546101,10.484429,385,505,323,"Epc2",14.541647,18.863029,14.249188,580,538,1011,15.8846213333333,0.680170953986847
"EPCAM",7.269221,10.232979,6.152085,7.88476166666667,87,132,46,"Epcam",0,0,0.070902,0,0,3,0.023634,8.67962735378726
"EPDR1",11.471381,15.201114,11.008442,12.5603123333333,240,410,169,"Epdr1",52.228949,53.407317,51.068856,1131,1230,2083,52.2350406666667,0.25472531181561
"EPG5",5.727724,6.30043,5.391244,5.806466,432,462,336,"Epg5",4.677076,5.780208,5.745201,658,796,1358,5.40082833333333,1.06337268327511
"EPGN",0.142354,4.979529,0,1.70729433333333,3,11,0,"Epgn",0.089233,0.045539,0.140496,2,1,6,0.091756,2.47976135082686
"EPHA1",1.230378,1.533709,2.179898,1.647995,7,11,10,"Epha1",0.024777,0.067648,0.069512,1,3,6,0.053979,2.51237927890404
"EPHA10",15.508257,23.864894,32.873664,24.0822716666667,561,634,461,"Epha10",12.145579,7.851205,10.597035,527,378,890,10.1979396666667,2.23990059004604
"EPHA2",0.741787,2.414998,3.071494,2.076093,24,59,33,"Epha2",0.728074,0.602134,0.979133,22,14,45,0.769780333333333,1.73812136007086
"EPHA3",9.516318,7.151527,9.10203,8.58995833333333,716,580,492,"Epha3",1.346614,2.141738,1.261812,93,132,186,1.583388,3.71216338131683
"EPHA4",41.083453,21.142374,46.454541,36.2267893333333,1159,759,740,"Epha4",33.792319,34.082863,32.178309,2048,2243,3990,33.3511636666667,1.08371261289926
"EPHA5",9.998824,11.017973,17.357773,12.7915233333333,859,1001,1050,"Epha5",15.971027,16.943369,14.697213,1284,1261,2181,15.8705363333333,0.817491694445043
"EPHA6",5.395813,4.135256,7.040565,5.523878,140,153,138,"Epha6",4.840434,6.865539,6.250021,245,303,530,5.98533133333333,0.933939664231627
"EPHA7",2.622816,2.534792,2.032304,2.39663733333333,220,233,129,"Epha7",19.447251,20.394761,19.235626,799,795,1538,19.692546,0.164147869157006
"EPHA8",8.099504,7.022227,8.232756,7.784829,250,229,194,"Epha8",1.276114,1.494525,1.592521,81,97,203,1.45438666666667,3.5792359530419
