"Hs_symbol","Cortical_neurons-S17_rep_1","Cortical_neurons-S21_rep_2","Cortical_neurons-S8_rep_3","Hs_Avg_TPM","Cortical_neurons-S17_rep_1_read","Cortical_neurons-S21_rep_2_read","Cortical_neurons-S8_rep_3_read","Mm_genes","Spinal_Cord-S2","Spinal_Cord-S14","Spinal_Cord-S8","Spinal_Cord-S2_read","Spinal_Cord-S14_read","Spinal_Cord-S8_read","Mm_Avg_TPM","FoldChange"
"GHRH",23.003232,48.713991,13.721313,28.479512,62,131,23,"Ghrh",0,0,0.534105,0,0,1,0.178035,25.0243091249411
"GHRHR",2.345189,3.704129,5.611532,3.88695,5,8,7,"Ghrhr",0,0,0,0,0,0,0,4.88695
"GHRL",0,0.156943,2.568512,0.908485,0,1,3,"Ghrl",22.271033,13.075465,17.505196,31,35,7,17.6172313333333,0.10251175192645
"GHSR",0,0,0,0,0,0,0,"Ghsr",0.573621,0.23774,0.557724,53,34,16,0.456361666666667,0.686642626545375
"GID4",13.578394,7.163126,4.335774,8.359098,177,187,113,"Gid4",14.876542,13.701854,14.333297,1328,1852,403,14.3038976666667,0.611549959614863
"GID8",12.892912,15.061922,19.174438,15.7097573333333,642,751,587,"Gid8",24.373237,18.173517,17.66376,586,754,184,20.0701713333333,0.793052750686381
"GIGYF1",33.279344,16.894954,25.386653,25.1869836666667,640,683,587,"Gigyf1",16.171042,12.275839,8.734386,1141,1384,306,12.3937556666667,1.9551636089524
"GIGYF2",40.879311,35.160333,35.033964,37.024536,1157,1138,775,"Gigyf2",29.667745,22.899023,27.392973,1098,1363,259,26.653247,1.37504778371958
"GIMAP1",0.017377,0.015964,0.049801,0.027714,1,1,2,"Gimap1",1.086377,1.503465,0.774799,25,48,7,1.121547,0.484417267211144
"GIMAP4",0.041602,0,0.075271,0.0389576666666667,1,0,1,"Gimap4",0.55343,0.166967,0.334034,10,8,2,0.351477,0.768757194289408
"GIMAP5",0,0,0,0,0,0,0,"Gimap5",0.691941,0.356499,0.160524,21,13,2,0.402988,0.71276447125706
"GIMAP5",0,0,0,0,0,0,0,"Gimap3",0.104527,0.096463,0.078982,4,6,1,0.093324,0.914641954260585
"GIMAP6",0,0,0,0,0,0,0,"Gimap6",2.482667,2.630585,3.712613,88,118,39,2.941955,0.253681231774589
"GIMAP7",0.077224,0,0.108265,0.0618296666666667,1,0,1,"Gimap7",0,0.027957,0.132683,0,1,1,0.0535466666666667,1.00786201528804
"GIMAP8",0.071749,0.049355,0,0.040368,4,3,0,"Gimap8",1.040477,0.729787,0.830785,64,69,16,0.867016333333333,0.557235617828018
"GIMD1",0,0,0,0,0,0,0,"Gimd1",0,0,0,0,0,0,0,1
"GIN1",4.52979,7.761707,7.814305,6.701934,74,130,74,"Gin1",6.242311,4.382204,4.237193,140,153,30,4.95390266666667,1.29359420722811
"GINM1",13.82496,15.267523,17.696457,15.5963133333333,264,283,174,"Ginm1",15.963159,11.075475,10.020967,323,381,84,12.3532003333333,1.24287159025873
"GINS1",1.47272,1.426763,1.388902,1.42946166666667,64,67,43,"Gins1",2.863941,1.8994,0.486143,12,24,3,1.749828,0.883495864711053
"GINS2",1.353563,0.992375,1.337951,1.227963,20,25,23,"Gins2",1.808822,3.212043,0.80329,16,39,6,1.941385,0.757453716531498
"GINS3",0.750682,7.505969,1.045662,3.100771,15,34,17,"Gins3",1.575932,1.661665,1.433744,84,120,24,1.55711366666667,1.60367177003343
"GINS4",0.1411,1.769601,1.985808,1.29883633333333,7,20,14,"Gins4",8.273602,9.129632,10.394059,215,353,85,9.26576433333333,0.223932311193714
"GIP",0,0.272361,0,0.090787,0,2,0,"Gip",0,0,0,0,0,0,0,1.090787
"GIPC1",50.286314,83.777766,87.684036,73.9160386666667,368,428,354,"Gipc1",37.607065,37.511883,41.469483,481,736,169,38.8628103333333,1.87934664014448
"GIPC2",3.096109,1.717927,1.571989,2.128675,6,6,5,"Gipc2",2.705165,1.698641,4.301353,21,29,5,2.90171966666667,0.801870781934701
"GIPC3",0.396043,0.420137,0.156182,0.324120666666667,23,27,6,"Gipc3",0.286724,0.274827,0.789503,22,32,19,0.450351333333333,0.912965456186018
"GIPR",48.766217,3.36803,2.813786,18.316011,117,120,37,"Gipr",1.784871,1.90536,2.080263,91,146,28,1.923498,6.60715724792697
"GIT1",60.621206,69.775885,70.368036,66.921709,1006,1283,883,"Git1",45.39436,45.360876,52.224233,3189,4550,1182,47.659823,1.39584784350736
"GIT2",26.191616,26.255826,24.467973,25.6384716666667,1078,1136,754,"Git2",47.955499,53.439357,39.771011,879,1138,234,47.055289,0.554329652801935
"GJA1",4.295675,7.1975,5.749771,5.74764866666667,165,295,156,"Gja6",0.051303,0.033405,0,2,2,0,0.028236,6.56235403804833
"GJA10",0.115212,1.114533,0.081151,0.436965333333333,2,10,1,"Gja10",0.026438,0,0,1,0,0,0.00881266666666667,1.42441246111766
"GJA3",0.015202,0.041637,0.021475,0.0261046666666667,1,3,1,"Gja3",0,0,0,0,0,0,0,1.02610466666667
"GJA4",0,0,0.123017,0.0410056666666667,0,0,1,"Gja4",1.69506,1.183917,1.601793,57,61,17,1.49359,0.417472666583788
"GJA5",0.024107,0.044163,0.033971,0.0340803333333333,1,2,1,"Gja5",0.257469,0.182635,0.875063,18,12,6,0.438389,0.718915629453043
"GJA8",0,0,0,0,0,0,0,"Gja8",0.045266,0.025857,0.02055,7,6,1,0.0305576666666667,0.970348416536936
"GJB1",0.041905,0.018561,0,0.0201553333333333,2,1,0,"Gjb1",26.239006,45.841265,38.222057,809,2173,370,36.7674426666667,0.027011501475945
"GJB2",0,0.031812,0,0.010604,0,1,0,"Gjb2",1.527168,2.118265,2.462982,77,160,39,2.03613833333333,0.332858351315789
"GJB3",0,0.082176,0,0.027392,0,2,0,"Gjb3",0.062296,0.041215,0,2,2,0,0.0345036666666667,0.99312552782961
"GJB4",0,0,0,0,0,0,0,"Gjb4",0.142781,0.047324,0,4,2,0,0.0633683333333333,0.940407917607728
"GJB5",0.062892,0.057426,0,0.040106,1,1,0,"Gjb5",0.028877,0,0,1,0,0,0.00962566666666667,1.03018973698833
"GJB6",0,0,0,0,0,0,0,"Gjb6",239.493999,244.834571,245.001268,1614,2001,543,243.109946,0.00409651477289664
"GJC1",1.673147,1.970663,4.16361,2.60247333333333,95,117,106,"Gjc1",4.487143,4.759845,14.374504,107,117,34,7.87383066666667,0.405965976662766
"GJC2",1.335807,1.970834,1.909937,1.73885933333333,27,48,26,"Gjc2",15.674465,28.563713,25.332057,684,1878,342,23.1900783333333,0.113222425144414
"GJC3",0.081801,0,0.345032,0.142277666666667,1,0,3,"Gjc3",35.889556,39.932818,30.266553,2449,4299,769,35.3629756666667,0.0314132065851193
"GJD2",1.250232,0.949847,1.727991,1.30935666666667,47,39,46,"Gjd2",4.739982,3.967059,4.592582,289,363,88,4.43320766666667,0.425044800115929
"GJD3",0.339162,0.49245,0.348847,0.393486333333333,16,27,12,"Gjd3",0.511754,0.11574,0.278986,6,2,1,0.30216,1.07013449448096
"GJD4",0.170978,0.195039,0.082675,0.149564,3,4,1,"Gjd4",0.035587,0.023799,0,2,2,0,0.0197953333333333,1.12724971611951
"GJE1",0,0,0,0,0,0,0,"Gje1",0.079713,0.033156,0,2,1,0,0.037623,0.963741166107536
"GK",9.767427,9.032747,4.078289,7.62615433333333,171,205,116,"Gk",15.23151,14.396859,11.629379,590,784,173,13.7525826666667,0.584721640152138
"GK2",0,0,0,0,0,0,0,"Gk2",0,0,0,0,0,0,0,1
"GK3P",0,0,0,0,0,0,0,"Gk",15.23151,14.396859,11.629379,590,784,173,13.7525826666667,0.06778474132936
"GK5",5.794354,6.773931,7.451458,6.67324766666667,378,385,277,"Gk5",0.820615,0.953502,0.862988,60,119,18,0.879035,4.08361082506003
"GKAP1",13.96558,9.686345,8.276879,10.6429346666667,151,186,112,"Gkap1",24.701001,25.295947,36.26765,346,610,97,28.754866,0.391295147041384
"GKN1",0,0,0,0,0,0,0,"Gkn1",0.042355,0.057129,0,1,2,0,0.0331613333333333,0.967903044506763
"GKN2",0,0,0,0,0,0,0,"Gkn2",0,0,0,0,0,0,0,1
"GLA",7.322697,7.70341,5.085849,6.70398533333333,134,142,77,"Gla",10.086559,9.389083,7.680932,297,430,106,9.05219133333333,0.76639859686979
"GLB1",67.083534,84.756192,58.177539,70.005755,445,595,363,"Glb1",7.492264,5.625577,9.33727,384,431,150,7.485037,8.36834948392093
"GLB1L",3.717584,2.691359,2.527662,2.97886833333333,40,39,31,"Glb1l",40.492094,35.287863,82.115052,168,240,63,52.6316696666667,0.074188783568793
"GLB1L2",3.702489,3.333877,8.613473,5.216613,170,178,205,"Glb1l2",0.356109,0.563435,1.620113,14,41,10,0.846552333333333,3.3666053692494
"GLB1L3",3.974797,4.588926,3.819273,4.12766533333333,156,193,110,"Glb1l3",0.125342,0.148391,0,3,1,0,0.0912443333333333,4.69891588593205
"GLCCI1",11.681691,13.907401,19.469362,15.0194846666667,481,491,447,"Glcci1",5.880731,4.970502,0.39377,97,341,8,3.74833433333333,3.37370613400362
"GLCE",2.649694,2.485961,2.926025,2.68722666666667,134,148,113,"Glce",3.452671,2.462648,2.773587,347,371,87,2.896302,0.946340059540217
"GLDC",3.542137,3.290099,4.220493,3.684243,56,64,47,"Gldc",0.96706,0.90371,0.744604,77,105,19,0.871791333333333,2.50254551166138
"GLDN",0.860083,0.987258,0.47519,0.774177,19,29,12,"Gldn",1.420204,0.217803,1.344633,142,33,42,0.994213333333333,0.889662590428306
"GLE1",3.058959,3.336493,4.790931,3.72879433333333,133,158,143,"Gle1",20.997416,16.833861,20.854035,808,1028,206,19.5617706666667,0.229979918071907
"GLG1",52.031496,40.040021,55.931923,49.33448,2582,2921,2136,"Glg1",30.217367,23.133414,15.036063,4290,4998,751,22.7956146666667,2.11528387499523
"GLI1",0,0.02155,0.093625,0.0383916666666667,0,1,3,"Gli1",3.486555,2.920954,3.02255,185,224,55,3.143353,0.250616268193095
"GLI2",1.231107,3.782962,0.500741,1.83827,24,47,27,"Gli2",0.592617,0.74725,1.185866,89,141,40,0.841911,1.54093764573858
"GLI3",0.097234,0.176577,0.775057,0.349622666666667,11,22,62,"Gli3",0.973471,0.74881,0.878747,176,205,51,0.867009333333333,0.722879442845135
"GLIPR1",2.315441,4.074235,3.04791,3.145862,50,94,41,"Glipr1",0.400827,0.707174,1.570573,4,7,5,0.892858,2.19026572516269
"GLIPR1L1",0.534822,0.276641,0.116529,0.309330666666667,2,1,1,"Glipr1l1",0,0,0,0,0,0,0,1.30933066666667
"GLIPR1L1",0.534822,0.276641,0.116529,0.309330666666667,2,1,1,"Glipr1l3",0,0,0,0,0,0,0,1.30933066666667
"GLIPR1L2",2.19286,0.998132,1.14587,1.44562066666667,22,19,18,"Glipr1l2",0,0,0,0,0,0,0,2.44562066666667
"GLIPR2",2.24654,3.941958,4.925213,3.70457033333333,49,85,59,"Glipr2",2.815651,2.447959,2.167676,113,153,26,2.47709533333333,1.35301735567407
"GLIS1",0.060356,0.026094,0.04312,0.04319,2,1,1,"Glis1",0.700488,0.750215,0.64567,20,23,12,0.698791,0.614077894220066
"GLIS2",2.345048,3.13732,4.709955,3.397441,112,174,158,"Glis2",6.680513,5.56482,5.134656,231,270,82,5.79332966666667,0.647317474018264
"GLIS3",0.453488,0.258935,0.964426,0.558949666666667,5,12,35,"Glis3",1.267358,0.608065,0.501133,77,142,26,0.792185333333333,0.869859627612918
"GLMN",16.136737,16.109777,20.982833,17.7431156666667,262,249,206,"Glmn",5.398503,5.733613,7.442563,188,255,45,6.19155966666667,2.60626575255187
"GLMP",7.989218,7.99979,10.72601,8.905006,87,88,69,"Glmp",58.996364,60.716329,75.373316,549,836,213,65.0286696666667,0.150010685509848
"GLO1",48.198091,51.153584,51.596822,50.3161656666667,1223,1395,932,"Glo1",191.99162,220.246929,230.056075,2405,3741,711,214.098208,0.23857086557721
"GLOD4",86.231646,102.066408,111.102273,99.800109,794,937,661,"Glod4",123.653607,131.601643,128.780094,830,1232,267,128.011781333333,0.78132483683454
"GLOD5",0,0,0,0,0,0,0,"Glod5",0.603033,0.204633,1.598501,6,3,5,0.802055666666667,0.554921814290975
"GLP1R",3.666434,2.513612,1.005391,2.39514566666667,334,250,65,"Glp1r",1.440465,2.023918,1.042579,188,395,43,1.50232066666667,1.35679879557136
"GLP2R",0,0,0,0,0,0,0,"Glp2r",0.137773,0.154326,0.11668,15,25,4,0.136259666666667,0.880080521500514
"GLRA1",0.727328,0.260419,0.731288,0.573011666666667,16,6,11,"Glra1",47.909218,37.655671,12.723366,2214,2635,187,32.7627516666667,0.0465901500623147
"GLRA2",57.405764,51.196591,72.500153,60.3675026666667,1472,1305,1104,"Glra2",3.866386,2.292932,2.288251,254,226,47,2.81585633333333,16.082236149876
"GLRA3",6.069046,5.95247,4.9761,5.665872,611,567,401,"Glra3",2.193127,1.686009,1.019319,251,320,36,1.63281833333333,2.53183894825001
"GLRB",21.371289,32.288425,21.122846,24.92752,447,568,274,"Glrb",111.081361,94.020425,102.254383,5323,7567,1532,102.452056333333,0.250623534407657
"GLRX",35.459147,34.259252,33.689183,34.469194,324,294,218,"Glrx",33.06308,29.136639,33.634515,744,946,273,31.9447446666667,1.07662676881778
"GLRX3",170.39446,304.889706,190.25542,221.846528666667,824,1062,547,"Glrx3",75.803887,67.138182,71.429674,1637,2013,570,71.4572476666667,3.07555884115076
"GLRX5",25.411016,25.56013,22.650182,24.5404426666667,287,329,185,"Glrx5",25.786171,23.723447,33.59382,494,718,216,27.701146,0.889875361306711
"GLS",91.117587,103.076117,83.39427,92.5293246666667,3074,3678,2156,"Gls",89.653625,62.868755,57.627301,3396,3964,819,70.0498936666667,1.31638936865216
"GLT1D1",13.59973,13.868922,15.367315,14.2786556666667,491,532,362,"Glt1d1",12.116614,5.456658,8.352135,250,278,68,8.64180233333333,1.58462651882478
"GLT6D1",0,0,0,0,0,0,0,"Glt6d1",0,0,0,0,0,0,0,1
"GLT8D1",37.197482,35.224312,34.589367,35.670387,413,444,307,"Glt8d1",105.552798,85.618758,29.472399,612,739,173,73.547985,0.491903127898091
"GLT8D2",2.440291,4.373099,4.682395,3.83192833333333,48,80,61,"Glt8d2",3.90419,1.344382,0.53804,53,44,8,1.92887066666667,1.64975817755467
"GLTP",5.59634,6.549329,7.330547,6.492072,129,152,108,"Gltp",53.088395,76.341857,68.034401,1568,3473,606,65.821551,0.112120594147837
"GLTPD2",1.078027,1.521507,2.72914,1.77622466666667,9,17,15,"Gltpd2",0.044316,0.196407,0,1,5,0,0.080241,2.57000490322684
"GLUL",40.917119,40.650927,44.770914,42.1129866666667,853,786,618,"Glul",634.620419,602.527082,538.045911,25327,38423,7411,591.731137333333,0.0727361597040941
"GLYAT",0,0,0,0,0,0,0,"Glyat",1.422782,1.68479,1.385106,42,73,16,1.49755933333333,0.400390888277863
"GLYATL3",0,0,0,0,0,0,0,"Glyatl3",0,0.038418,0,0,1,0,0.012806,0.987355920087361
"GLYCTK",1.92911,1.810603,3.448632,2.396115,37,42,43,"Glyctk",1.798403,0.661069,0.999835,60,63,20,1.15310233333333,1.57731239589634
"GLYR1",69.135364,71.27896,65.447716,68.62068,1323,1373,1070,"Glyr1",43.192746,35.541724,43.157504,3057,3787,966,40.630658,1.67234157096436
"GM2A",5.84227,6.396967,8.083814,6.77435033333333,224,288,149,"Gm2a",19.442584,17.889857,23.060125,1762,2403,659,20.1308553333333,0.367914606895704
"GMCL1",4.280796,4.523979,4.70146,4.50207833333333,139,162,129,"Gmcl1",11.591596,10.504476,9.19436,644,832,165,10.430144,0.481365618257594
"GMCL2",0.124592,0,0,0.0415306666666667,0,0,0,"Gmcl1",11.591596,10.504476,9.19436,644,832,165,10.430144,0.0911213950293773
"GMDS",41.52233,36.992098,44.352014,40.9554806666667,260,246,178,"Gmds",4.079529,3.629861,3.775884,136,176,36,3.82842466666667,8.68926897758372
"GMEB1",4.409291,2.467369,4.282,3.71955333333333,219,188,163,"Gmeb1",5.468737,3.700631,2.406087,297,361,69,3.858485,0.971404323226959
"GMEB2",2.381175,2.773987,3.589974,2.91504533333333,128,167,137,"Gmeb2",5.077511,3.435799,3.840474,314,348,91,4.117928,0.76496686419452
"GMFB",37.305651,37.663185,24.07852,33.0157853333333,1060,1031,844,"Gmfb",151.355338,128.14729,57.016549,3379,4585,916,112.173059,0.300564336016872
"GMFG",1.579271,3.339451,1.274773,2.06449833333333,7,17,4,"Gmfg",0.744482,1.14546,1.382287,8,17,4,1.090743,1.4657460689015
"GMIP",22.534467,24.333836,34.803902,27.2240683333333,560,573,459,"Gmip",5.416649,4.977697,9.158565,133,183,37,6.517637,3.75438031037324
"GML",0,0,0,0,0,0,0,"Gml2",0,0,0,0,0,0,0,1
"GML",0,0,0,0,0,0,0,"Gml",0,0.101116,0,0,1,0,0.0337053333333333,0.967393673761317
"GMNC",0.450551,0.021606,0.096874,0.189677,8,1,3,"Gmnc",0.412016,0.54411,0.219133,15,23,3,0.391753,0.854804695948204
"GMNN",3.399249,4.51608,3.397172,3.77083366666667,42,57,26,"Gmnn",3.587517,4.089647,1.966963,40,76,10,3.214709,1.13194853231069
"GMPPA",11.181348,21.955312,24.023383,19.0533476666667,107,133,117,"Gmppa",37.98374,38.187243,62.738996,362,509,175,46.3033263333333,0.423931026020376
"GMPPB",4.229474,5.058641,6.571395,5.28650333333333,185,248,196,"Gmppb",3.766429,3.274457,4.418644,122,172,46,3.81984333333333,1.30429619773257
"GMPR",1.308896,1.196107,1.374309,1.293104,9,22,14,"Gmpr",36.076627,28.161725,46.662331,775,969,342,36.9668943333333,0.0603974604787927
"GMPR2",181.900377,209.543476,299.867222,230.437025,453,470,368,"Gmpr2",9.249705,10.532337,8.903062,238,303,88,9.56170133333333,21.9128545388395
"GMPS",5.358954,5.898769,6.69925,5.98565766666667,379,472,310,"Gmps",10.074014,7.833447,7.872975,1747,2086,424,8.59347866666667,0.728167321718128
"GNA11",56.09657,62.0007,46.517353,54.871541,727,918,639,"Gna11",35.964735,28.669609,27.798151,1229,1596,450,30.8108316666667,1.75636844661768
"GNA12",18.461277,22.996921,27.934279,23.1308256666667,889,1018,823,"Gna12",39.556161,47.831341,53.920679,2829,5163,1217,47.102727,0.501651926442064
"GNA13",12.611497,11.751803,16.118915,13.4940716666667,1046,1067,907,"Gna13",12.914687,12.241436,11.040551,1594,2345,432,12.065558,1.10933430219105
"GNA14",0.798474,0.733251,0.273259,0.601661333333333,17,17,6,"Gna14",2.600151,2.777097,2.512577,114,215,33,2.62994166666667,0.441236108018265
"GNA15",0,0,0,0,0,0,0,"Gna15",0.796395,0.87701,0.831278,13,35,4,0.834894333333333,0.544990510806889
"GNAI1",168.236381,205.323589,176.561883,183.373951,989,1459,953,"Gnai1",27.867761,33.533013,29.459659,1708,3213,558,30.286811,5.89302473173121
"GNAI2",24.10241,24.547652,32.617846,27.0893026666667,569,641,457,"Gnai2",175.163416,162.617276,144.331012,2754,4211,1007,160.703901333333,0.173708255861829
"GNAI3",10.196018,10.076434,11.514372,10.595608,1268,1341,1023,"Gnai3",10.154888,9.726272,10.179543,687,994,215,10.0202343333333,1.05221065625858
"GNAL",85.03182,81.331384,92.428825,86.2640096666667,3861,3882,2996,"Gnal",27.712353,19.460065,18.84167,3053,3198,685,22.004696,3.79331288127723
"GNAO1",499.515919,582.449638,697.196487,593.054014666667,4358,5656,3965,"Gnao1",447.077273,424.601457,344.8411,7029,11390,1986,405.50661,1.46136372706625
"GNAS",2420.868933,2769.341383,2349.351677,2513.187331,24642,30098,17049,"Gnas",1750.142228,1482.365015,1854.942973,24812,31732,8340,1695.81673866667,1.48170823266136
"GNAT1",0.041737,0.019063,0.058734,0.0398446666666667,2,1,2,"Gnat1",0.333543,0.865077,1.532826,3,8,4,0.910482,0.54428393811963
"GNAT2",0.437247,2.392444,0.460334,1.096675,7,18,5,"Gnat2",0.13135,0.192457,0.150374,3,9,2,0.158060333333333,1.81050584295982
"GNAT3",0.491774,0.065032,0.297516,0.284774,7,1,3,"Gnat3",0,0,0,0,0,0,0,1.284774
"GNAZ",33.630947,36.738729,42.88583,37.7518353333333,1276,1465,1074,"Gnaz",9.387442,7.627145,8.708492,676,853,199,8.57435966666667,4.0474597448275
"GNB1",476.598345,558.570828,504.791881,513.320351333333,9159,11101,8108,"Gnb1",247.88889,202.14247,222.848797,6783,8963,2108,224.293385666667,2.28289148308285
"GNB1L",1.760444,2.63964,2.841741,2.41394166666667,35,60,33,"Gnb1l",2.562242,2.672184,4.215138,41,59,10,3.14985466666667,0.822665355991583
"GNB2",165.325533,181.819168,195.926627,181.023776,1582,1970,1369,"Gnb2",182.963187,169.151344,236.457837,2084,2931,828,196.190789333333,0.923084575174072
"GNB3",15.175822,14.151349,19.31737,16.214847,219,246,182,"Gnb3",0.1395,0.380555,0.26317,5,14,3,0.261075,13.6509303570367
"GNB4",5.937995,6.290474,7.044746,6.424405,433,469,356,"Gnb4",10.820653,8.544337,10.477209,582,805,164,9.94739966666667,0.678188905681986
"GNB5",39.007034,44.788765,43.857135,42.550978,1359,1657,1052,"Gnb5",35.647085,24.180657,39.754539,996,1094,319,33.1940936666667,1.2736403667998
"GNE",12.958509,13.35789,13.01893,13.1117763333333,824,860,601,"Gne",22.075955,13.121254,16.606213,671,853,244,17.2678073333333,0.772494261398495
"GNG10",19.853444,19.877437,25.748632,21.8265043333333,257,272,241,"Gng10",10.536295,11.865699,10.047348,192,351,56,10.8164473333333,1.93175695616579
"GNG11",0.440515,0.503695,0.8012,0.581803333333333,17,21,22,"Gng11",22.545272,34.217425,31.416516,357,815,155,29.393071,0.0520448668492017
"GNG12",2.758229,3.682652,2.069009,2.83663,160,228,86,"Gng12",23.068663,37.6806,26.044884,1324,2652,453,28.9313823333333,0.128180849025717
"GNG13",0.680539,0.956919,0.40973,0.682396,7,11,3,"Gng13",50.833791,43.679116,56.878253,118,154,42,50.46372,0.0326909131325913
"GNG2",227.936531,217.364379,257.137601,234.146170333333,7498,7021,6349,"Gng2",41.64957,42.763781,28.003064,1748,2126,379,37.4721383333333,6.1121159498846
"GNG3",187.128267,247.033145,232.46561,222.209007333333,1655,2392,1460,"Gng3",42.592267,36.434559,46.388777,1404,1806,482,41.805201,5.21453005987131
"GNG4",36.652432,49.949032,37.658529,41.4199976666667,1583,2362,1122,"Gng4",46.04494,41.84749,16.973497,559,629,152,34.955309,1.17979788928157
"GNG7",3.860588,5.58685,5.216359,4.88793233333333,212,321,203,"Gng7",9.821301,10.235713,10.083274,719,982,235,10.0467626666667,0.533000708985993
"GNG8",11.766626,16.183483,41.430092,23.1267336666667,2,3,5,"Gng8",6.878651,12.466179,8.510316,59,167,28,9.28504866666667,2.345806466124
"GNGT1",0,0,0,0,0,0,0,"Gngt1",0,0,0,0,0,0,0,1
"GNGT2",0,0,0,0,0,0,0,"Gngt2",2.089837,1.490917,2.764543,15,19,7,2.115099,0.321017084850273
"GNL1",40.392558,39.03662,50.226198,43.2184586666667,1803,1992,1462,"Gnl1",35.273393,30.297402,38.734627,1908,2484,680,34.768474,1.23624112861697
"GNL2",28.04958,28.836682,33.76842,30.2182273333333,488,482,339,"Gnl2",41.282467,28.102628,28.063491,962,1068,242,32.482862,0.932364363994133
"GNL3",38.987927,48.751218,37.937202,41.8921156666667,517,609,415,"Gnl3",34.967884,27.592129,35.114275,462,531,147,32.558096,1.27814509102861
"GNL3L",4.767082,3.400207,2.744915,3.63740133333333,267,294,181,"Gnl3l",49.085923,39.695663,38.951041,4159,4957,995,42.5775423333333,0.10641722972491
"GNMT",1.526748,1.386479,2.032477,1.648568,18,18,17,"Gnmt",1.050574,0.844265,1.567311,17,23,7,1.15405,1.2295759151366
"GNPAT",20.106753,18.232763,25.687153,21.342223,568,618,458,"Gnpat",39.591206,32.647408,39.660081,1001,1249,314,37.299565,0.583354484574433
"GNPDA1",23.702961,25.136844,14.135128,20.9916443333333,341,410,273,"Gnpda1",41.00547,25.543999,20.356584,339,401,90,28.9686843333333,0.733820814044634
"GNPDA2",5.804716,7.771862,7.922338,7.16630533333333,246,304,216,"Gnpda2",14.205109,12.272619,12.72394,433,641,127,13.0672226666667,0.580520087499859
"GNPNAT1",38.175563,14.531996,41.517436,31.4083316666667,223,195,163,"Gnpnat1",12.625062,9.240821,10.915145,227,305,65,10.9270093333333,2.71722195907843
"GNPTAB",35.288128,37.027287,48.550637,40.288684,1755,1914,1342,"Gnptab",29.365472,22.166715,22.718546,1489,2028,418,24.7502443333333,1.60342882442293
"GNPTG",25.225881,32.723078,28.898498,28.9491523333333,335,419,301,"Gnptg",31.317226,24.377133,32.061527,824,1016,269,29.251962,0.989990412302294
"GNRH1",1.120665,1.545577,1.186938,1.28439333333333,18,19,18,"Gnrh1",1.768195,1.964528,3.975413,7,12,5,2.56937866666667,0.639997474817279
"GNRHR",0.290962,0.222847,0.761141,0.424983333333333,16,13,30,"Gnrhr",0.034755,0,0,1,0,0,0.011585,1.4086639613412
"GNS",29.108192,40.680015,39.628117,36.472108,1445,1718,1031,"Gns",44.965402,27.85442,38.759717,1774,2253,557,37.1931796666667,0.981120407545016
"GOLGA1",16.386902,15.890118,17.552041,16.609687,445,523,325,"Golga1",37.360583,27.53502,33.472689,840,991,201,32.7894306666667,0.521159624550052
"GOLGA2",92.704677,113.106424,115.202616,107.004572333333,1200,1459,1026,"Golga2",26.524753,22.226457,20.381923,1628,2111,484,23.0443776666667,4.49188470712897
"GOLGA2",92.704677,113.106424,115.202616,107.004572333333,1200,1459,1026,"Gm13547",2.465769,7.423279,11.379815,7,10,2,7.089621,13.3510052366277
"GOLGA3",24.172798,22.83341,35.453129,27.4864456666667,1395,1758,1201,"Golga3",10.590803,7.578614,8.550291,1424,1641,293,8.90656933333333,2.87551065441154
"GOLGA4",9.583321,7.482523,8.799498,8.62178066666667,419,481,348,"Golga4",48.065181,36.082621,42.899895,2208,2856,463,42.3492323333333,0.221959655310159
"GOLGA5",13.983215,13.586547,16.612636,14.727466,331,407,306,"Golga5",8.572022,10.275166,9.76179,427,690,135,9.536326,1.49268976681245
"GOLGA6A",0.07526,0.077928,1.509056,0.554081333333333,3,0,3,"Golga2",26.524753,22.226457,20.381923,1628,2111,484,23.0443776666667,0.06463387636303
"GOLGA6A",0.07526,0.077928,1.509056,0.554081333333333,3,0,3,"Gm13547",2.465769,7.423279,11.379815,7,10,2,7.089621,0.192108052198407
"GOLGA6B",0,0,0,0,0,0,0,"Golga2",26.524753,22.226457,20.381923,1628,2111,484,23.0443776666667,0.04158976430429
"GOLGA6B",0,0,0,0,0,0,0,"Gm13547",2.465769,7.423279,11.379815,7,10,2,7.089621,0.123615185433285
"GOLGA6C",0,0,0.087335,0.0291116666666667,0,0,2,"Gm13547",2.465769,7.423279,11.379815,7,10,2,7.089621,0.127213829506557
"GOLGA6C",0,0,0.087335,0.0291116666666667,0,0,2,"Golga2",26.524753,22.226457,20.381923,1628,2111,484,23.0443776666667,0.0428005116594617
"GOLGA6D",0.144121,0.311381,0,0.151834,6,14,0,"Golga2",26.524753,22.226457,20.381923,1628,2111,484,23.0443776666667,0.0479045045776675
"GOLGA6D",0.144121,0.311381,0,0.151834,6,14,0,"Gm13547",2.465769,7.423279,11.379815,7,10,2,7.089621,0.142384173498363
"GOLGA7",46.597866,56.421698,58.389779,53.8031143333333,603,729,503,"Golga7",55.655058,72.768629,58.381081,2001,3976,650,62.268256,0.866202386443738
"GOLGA7B",12.323405,14.264413,14.796869,13.7948956666667,806,943,671,"Golga7b",16.685227,13.155033,15.810622,1000,1187,298,15.2169606666667,0.912310017318905
"GOLGA8A",46.955096,53.114568,56.7978,52.2891546666667,3541,3931,2841,"Golga2",26.524753,22.226457,20.381923,1628,2111,484,23.0443776666667,2.21628338256152
