"Hs_symbol","Cortical_neurons-S17_rep_1","Cortical_neurons-S21_rep_2","Cortical_neurons-S8_rep_3","Hs_Avg_TPM","Cortical_neurons-S17_rep_1_read","Cortical_neurons-S21_rep_2_read","Cortical_neurons-S8_rep_3_read","Mm_genes","Brain_2_MB-S5","Brain_2_MB-S11","Brain_2_MB-S17","Brain_2_MB-S5_read","Brain_2_MB-S11_read","Brain_2_MB-S17_read","Mm_Avg_TPM","FoldChange"
"ABHD13",2.86622,3.359063,3.388676,3.204653,195,241,166,"Abhd13",8.435331,5.711411,5.393523,646,763,711,6.51342166666667,0.559618930833333
"ABHD14A",25.012009,25.594496,21.460029,24.022178,268,287,164,"Abhd14a",12.401468,16.017875,14.871911,157,419,397,14.430418,1.62161375019134
"ABHD14B",1.988993,2.13046,2.242736,2.12072966666667,33,40,33,"Abhd14b",9.543977,7.060984,8.598408,140,239,266,8.401123,0.331952859957972
"ABHD15",0.139043,0.156659,0.265244,0.186982,6,8,8,"Abhd15",0.356555,0.447731,0.224641,13,31,16,0.342975666666667,0.883844755688053
"ABHD16A",34.317671,41.166479,61.739668,45.7412726666667,552,678,517,"Abhd16a",41.183855,61.475216,60.134246,564,1496,1639,54.264439,0.845774851105729
"ABHD16B",0,0,0,0,0,0,0,"Abhd16b",0.040812,0,0,1,0,0,0.013604,0.986578584930604
"ABHD17A",13.189788,17.685175,18.251272,16.3754116666667,437,578,391,"Abhd17a",58.483824,79.896002,84.757266,762,2077,2222,74.3790306666667,0.230507231427563
"ABHD17B",9.608137,10.13461,9.429544,9.724097,351,345,244,"Abhd17b",13.462328,12.425725,11.081772,411,633,517,12.323275,0.804914482362632
"ABHD17C",26.356909,23.923575,30.757178,27.012554,465,485,360,"Abhd17c",13.103004,9.007656,13.856976,380,472,433,11.989212,2.1566014936087
"ABHD18",3.898036,4.946809,4.114577,4.31980733333333,195,202,135,"Abhd18",3.492566,4.65432,2.618732,161,244,203,3.58853933333333,1.15936836253919
