"Hs_symbol","hDRG1_read","hDRG1_TPM","hDRG2_read","hDRG2_TPM","hDRG3_read","hDRG3_TPM","hDRG_Avg_TPM","DRG","dHs_Avg_TPM","FoldChange"
"ACTA1",41,2.50969,47,3.08798,59,3.79688,3.13151666667,1.11857,1.11857,1.95014404370401
"ACTA2",725,2.25104,769,2.56278,1734,5.6602,3.49134,82.33516,82.33516,0.0538948986238222
"ACTB",33185,158.239,32708,167.404,43793,219.54,181.727666667,3647.18813,3647.18813,0.0500872378714197
"ACTBL2",0,0,1,0.0671127,0,0,0.0223709,0,0,1.0223709
"ACTC1",64,2.10164,63,2.22055,124,4.28094,2.86771,4.652,4.652,0.684308209483369
"ACTG1",45642,574.592,41363,558.917,38734,512.655,548.721333333,3916.71136,3916.71136,0.140316956207055
"ACTG2",30,0.190221,21,0.142921,81,0.539959,0.291033666667,3.1989,3.1989,0.307469495979185
"ACTL10",7,0.772516,10,1.18454,17,1.97241,1.309822,1.54718,1.54718,0.906815380145887
"ACTL6A",607,4.15494,690,5.0695,1181,8.49892,5.90778666667,17.77168,17.77168,0.367989794555948
"ACTL6B",273,3.57196,271,3.80587,150,2.06335,3.14706,30.92273,30.92273,0.12990931540003
"ACTN1",872,1.44673,942,1.6775,1796,3.13267,2.08563333333,19.08888,19.08888,0.153599072388804
"ACTN2",83,0.144292,99,0.184731,71,0.129766,0.152929666667,5.38377,5.38377,0.180603258993823
"ACTN4",4324,8.99916,4407,9.84464,4506,9.85929,9.56769666667,154.94816,154.94816,0.0677641638520775
"ACTR10",3513,17.2601,3814,20.1135,3356,17.3351,18.2362333333,226.8921,226.8921,0.0844093908182864
"ACTR1A",7430,31.7891,7354,33.7718,5219,23.4755,29.6788,278.2209,278.2209,0.109872864101505
"ACTR1B",1972,42.5002,2092,48.3934,1535,34.7801,41.8912333333,132.78582,132.78582,0.320596258507067
"ACTR2",6761,27.152,6651,28.6694,9579,40.4436,32.0883333333,57.96704,57.96704,0.561132682483299
"ACTR3",4285,10.3205,4382,11.3282,5816,14.7269,12.1252,75.04877,75.04877,0.172589247663046
"ACTR3B",1119,2.04421,1139,2.23337,855,1.6421,1.97322666667,30.56729,30.56729,0.0941869468893275
"ACTR5",252,1.82969,252,1.96389,289,2.20604,1.99987333333,6.39781,6.39781,0.40550829682433
"ACTR6",1039,4.2465,1297,5.68978,1042,4.47735,4.80454333333,37.71778,37.71778,0.149919322164907
"ACTR8",496,5.7434,673,8.36456,629,7.65731,7.25509,13.86191,13.86191,0.555452832105698
"ACTRT3",52,3.43974,53,3.76304,63,4.38128,3.86135333333,2.62394,2.62394,1.34145524852233
"ACVR1",561,0.702961,684,0.919952,966,1.27258,0.965164333333,8.99038,8.99038,0.196705664182243
"ACVR1B",1040,4.00368,988,4.08247,1082,4.37917,4.15510666667,13.88282,13.88282,0.346379695962862
"ACVR1C",30,0.0513328,36,0.0661175,58,0.104337,0.0739291,0.08363,0.08363,0.991047774609415
"ACVR2A",570,1.15373,724,1.57293,775,1.64918,1.45861333333,5.34196,5.34196,0.387674052395474
"ACVR2B",463,2.06062,484,2.31208,571,2.67173,2.34814333333,1.01403,1.01403,1.66240986148667
"ACVRL1",225,2.38892,317,3.61259,418,4.66588,3.55579666667,15.74362,15.74362,0.272091499130415
"ACY1",265,7.90291,240,7.68233,223,6.99172,7.52565333333,23.16591,23.16591,0.352796701358649
"ACY3",13,0.277775,28,0.642167,4,0.0898562,0.3365994,3.93068,3.93068,0.271078106873697
"ACYP1",546,5.87097,550,6.34776,577,6.52276,6.24716333333,33.84983,33.84983,0.207954051234396
"ACYP2",942,0.492032,1226,0.687343,1085,0.595814,0.591729666667,88.38798,88.38798,0.0178069765830596
