"Hs_symbol","hDRG1_read","hDRG1_TPM","hDRG2_read","hDRG2_TPM","hDRG3_read","hDRG3_TPM","hDRG_Avg_TPM","Heart","dHs_Avg_TPM","FoldChange"
"ABCD3",2126,3.70381,2650,4.95531,2365,4.33166,4.33026,69.59193,69.59193,0.0755080644487266
"ABCD4",1255,12.3263,1060,11.1747,982,10.14,11.2136666667,31.47513,31.47513,0.376092926085284
"ABCE1",1529,8.55123,1799,10.7992,1859,10.9305,10.0936433333,44.60664,44.60664,0.243246231980694
"ABCF1",1386,9.38973,1319,9.59125,1352,9.62952,9.53683333333,71.80581,71.80581,0.144725171429725
"ABCF2",1281,11.5773,1339,12.9891,1269,12.0575,12.2079666667,34.68843,34.68843,0.370090997746328
"ABCF2",1264,14.0453,1300,15.5048,1236,14.4391,14.6630666667,34.68843,34.68843,0.438883600839264
"ABCF3",1334,29.1675,1379,32.363,1039,23.8835,28.4713333333,31.91791,31.91791,0.895297828243045
"ABCG1",450,0.805841,586,1.12635,828,1.55885,1.16368033333,14.34598,14.34598,0.140993298136059
"ABCG2",670,0.82732,1233,1.63419,582,0.755544,1.07235133333,2.97293,2.97293,0.521617882351313
"ABCG4",401,5.1503,416,5.73484,237,3.20018,4.69510666667,1.02471,1.02471,2.8128011748201
"ABCG5",8,0.0529511,20,0.142087,8,0.055669,0.0835690333333,0.06325,0.06325,1.01911030645032
"ABCG8",24,0.0821356,29,0.106527,16,0.0575676,0.0820767333333,0,0,1.0820767333333
"ABHD1",84,2.08923,91,2.42934,76,1.98727,2.16861333333,11.14533,11.14533,0.260891497664534
"ABHD10",991,12.057,1290,16.846,1040,13.3026,14.0685333333,71.17327,71.17327,0.208782743712458
"ABHD11",188,11.8397,190,12.8433,172,11.3881,12.0237,9.04531,9.04531,1.29649557853366
"ABHD12",4523,8.22282,4462,8.70692,3868,7.39297,8.10757,28.31244,28.31244,0.3107066487812
"ABHD12B",111,0.589088,70,0.398745,127,0.708596,0.565476333333,0.43013,0.43013,1.09463918198555
"ABHD13",357,3.93437,470,5.55962,462,5.35287,4.94895333333,8.53927,8.53927,0.623627733917795
"ABHD14A",256,4.57571,307,5.88975,216,4.05892,4.84146,3.30185,3.30185,1.35789485918849
"ABHD14A-ACY1",514,6.20219,530,6.86433,401,5.08703,6.05118333333,0.29097,0.29097,5.46192656167843
"ABHD14B",619,7.25763,689,8.6709,638,7.86436,7.93096333333,13.7514,13.7514,0.605431574855946
"ABHD15",318,8.55867,325,9.38864,418,11.8275,9.92493666667,4.35187,4.35187,2.04133072489989
"ABHD16A",1232,13.1221,1310,14.9763,1014,11.3545,13.1509666667,17.74904,17.74904,0.754756865775528
"ABHD16B",39,4.56959,46,5.7851,51,6.28234,5.54567666667,0.0506,0.0506,6.23041753918713
"ABHD2",17724,26.9491,16264,26.543,12739,20.3636,24.6185666667,18.11591,18.11591,1.34016987246226
"ABHD3",1424,4.61714,1403,4.88271,1271,4.33258,4.61081,11.79052,11.79052,0.438669420789772
"ABHD4",738,8.60724,755,9.45138,690,8.46048,8.8397,10.93027,10.93027,0.824767586986715
"ABHD5",469,1.85103,419,1.77498,452,1.8755,1.83383666667,29.64077,29.64077,0.0924858176432903
"ABHD6",462,1.38769,518,1.67002,434,1.3705,1.47607,6.11033,6.11033,0.348235595253666
"ABHD8",802,7.73824,756,7.82943,603,6.11679,7.22815333333,0.37952,0.37952,5.96450456197083
"ABI1",1701,2.59542,1851,3.03145,2269,3.63979,3.08888666667,24.88408,24.88408,0.157969171269367
"ABI2",4245,6.20636,4621,7.25163,4889,7.5148,6.99093,57.51043,57.51043,0.136572744380788
"ABI3",335,4.56685,245,3.58491,572,8.19797,5.44991,1.26508,1.26508,2.84754180867784
"ABI3BP",385,0.275246,801,0.614658,1404,1.05528,0.648394666667,33.27154,33.27154,0.0480980623183843
"ABL1",1330,1.3303,1558,1.67265,1785,1.87704,1.62666333333,13.83995,13.83995,0.176999473268441
"ABL2",1534,2.05583,1795,2.58207,2285,3.21949,2.61913,3.52957,3.52957,0.799000788154284
"ABLIM1",9790,5.07585,10498,5.84216,8705,4.74497,5.22099333333,752.16463,752.16463,0.00825980547351248
"ABLIM2",835,0.75378,569,0.551329,725,0.688072,0.664393666667,7.41336,7.41336,0.197827463304435
"ABLIM3",3540,5.19431,3148,4.95792,2904,4.47981,4.87734666667,133.68077,133.68077,0.0436390931435126
"ABO",280,1.90898,318,2.32708,308,2.20766,2.14790666667,0.17711,0.17711,2.67426720244497
"ABR",3546,2.7384,3554,2.94588,3798,3.08355,2.92261,99.67548,99.67548,0.0389629133131523
"ABRA",10,0.16233,32,0.557555,60,1.02397,0.581285,26.17446,26.17446,0.0581901167493301
"ABRACL",136,1.63203,150,1.93206,207,2.61154,2.05854333333,12.22065,12.22065,0.231345912139721
"ABT1",253,11.6712,303,15.003,253,12.2703,12.9815,6.18623,6.18623,1.94559595225869
"ABTB1",1543,33.7288,1425,33.4342,937,21.5334,29.5654666667,4.75669,4.75669,5.30955578061351
"ABTB2",364,0.307165,368,0.333318,470,0.416971,0.352484666667,9.24772,9.24772,0.131979080875258
"AC004386.4",22,26.1454,23,29.3387,17,21.2403,25.5748,0,0,26.5748
"AC004593.2",698,0.310811,700,0.334564,695,0.32536,0.323578333333,0.11386,0.11386,1.18828069356382
"AC006030.1",3776,4.34635,3514,4.34146,3423,4.14227,4.27669333333,0,0,5.27669333333
