"Hs_symbol","hDRG1_read","hDRG1_TPM","hDRG2_read","hDRG2_TPM","hDRG3_read","hDRG3_TPM","hDRG_Avg_TPM","Brain_2_Hippocampus","dHs_Avg_TPM","FoldChange"
"ABCA9",5259,10.626,5044,10.9391,5832,12.3886,11.3179,3.17403,3.17403,2.95108084992202
"ABCB1",995,0.828961,1158,1.03552,996,0.872385,0.912288666667,22.50866,22.50866,0.0813440096826872
"ABCB10",355,1.47221,460,2.04757,446,1.94452,1.82143333333,4.64695,4.64695,0.49963844789311
"ABCB11",19,0.0286572,12,0.0194269,19,0.0301282,0.0260707666667,0.14522,0.14522,0.895959524516425
"ABCB4",69,0.153091,99,0.235763,83,0.193605,0.194153,2.38571,2.38571,0.352703864182107
"ABCB5",16,0.0172721,27,0.0312846,21,0.0238333,0.02413,0.08298,0.08298,0.945659199615875
"ABCB6",899,17.0286,863,17.5457,699,13.9198,16.1647,42.36192,42.36192,0.39584732410373
"ABCB7",498,0.823202,595,1.05569,653,1.13482,1.00457066667,9.43911,9.43911,0.192025054498899
"ABCB8",1140,10.2865,1000,9.68508,836,7.93062,9.30073333333,23.23474,23.23474,0.425039977046587
"ABCB9",1253,3.60629,1433,4.42686,1068,3.23161,3.75492,23.31773,23.31773,0.195533053455236
"ABCC1",825,0.744849,630,0.610513,796,0.755554,0.703638666667,2.15751,2.15751,0.539551313112864
"ABCC10",821,6.21923,787,6.39895,608,4.84212,5.8201,32.79833,32.79833,0.201788076511473
"ABCC12",22,0.0512362,10,0.0249974,9,0.0220361,0.0327565666667,0.85056,0.85056,0.558077861115932
"ABCC2",51,0.127363,49,0.131343,94,0.246796,0.168500666667,0.47714,0.47714,0.791056140018549
"ABCC3",107,0.325222,68,0.221843,216,0.690221,0.412428666667,3.25701,3.25701,0.331788900347192
"ABCC4",589,0.365351,764,0.508661,1042,0.679517,0.517843,2.67614,2.67614,0.412890423106846
"ABCC5",4107,7.32087,3602,6.89163,3384,6.34171,6.85140333333,24.9566,24.9566,0.302481963482505
"ABCC6",60,0.140518,55,0.138256,50,0.123109,0.133961,0.18671,0.18671,0.95555021867179
"ABCC8",325,0.672859,385,0.855543,185,0.402671,0.643691,42.46564,42.46564,0.037815870190799
"ABCC9",94,0.113153,173,0.223523,310,0.392316,0.242997333333,2.36497,2.36497,0.369393288300639
"ABCD1",264,2.31762,256,2.41223,305,2.81498,2.51494333333,4.41875,4.41875,0.648663129564937
"ABCD2",242,0.605942,370,0.994392,336,0.88449,0.828274666667,0.6846,0.6846,1.08528711068918
"ABCD3",2126,3.70381,2650,4.95531,2365,4.33166,4.33026,18.04842,18.04842,0.279826883279558
