"Hs_symbol","hDRG1_read","hDRG1_TPM","hDRG2_read","hDRG2_TPM","hDRG3_read","hDRG3_TPM","hDRG_Avg_TPM","Brain_1_Nucleus_accumbens","Brain_1_Caudate_nucleus","Brain_1_Frontal_cortex","dHs_Avg_TPM","FoldChange"
"ABAT",1703,2.70515,1780,3.03485,1728,2.88575,2.87525,184.41095,210.86949,239.78623,211.68889,0.0182202746932386
"ABCA1",1474,1.74996,2141,2.72827,3378,4.21627,2.89816666667,8.0013,11.27437,2.40332,7.22633,0.473864611153455
"ABCA12",32,0.0269955,60,0.0543292,36,0.0319288,0.0377511666667,0.0497,0.02763,0.10924,0.06219,0.976992032185108
"ABCA13",214,0.0785346,261,0.102808,257,0.0991559,0.0934995,0.61294,0.35923,0.24033,0.404166666666667,0.778753353115727
"ABCA2",7575,61.0146,7478,64.6513,5397,45.7027,57.1228666667,653.80406,399.10733,391.13012,481.34717,0.120500067755555
"ABCA3",4440,11.9579,3812,11.0196,3653,10.3434,11.1069666667,59.28915,43.854,59.47136,54.2048366666667,0.219309890178705
"ABCA4",27,0.0367601,32,0.0467631,33,0.0472351,0.0435861,0.14909,1.2435,4.87219,2.08826,0.33792041473192
"ABCA5",1483,3.12391,1862,4.20996,1526,3.37949,3.57112,13.94844,10.58354,13.54601,12.6926633333333,0.333837171682451
"ABCA6",4442,12.2799,4501,13.3556,3909,11.3611,12.3322,3.2966,1.10533,0.74285,1.71492666666667,4.91070354263712
"ABCA7",1351,9.2658,1083,7.97253,750,5.40788,7.54873666667,25.04755,30.28607,84.07266,46.46876,0.180091847073107
"ABCA8",21287,42.2094,22716,48.3467,18829,39.2519,43.2693333333,21.83378,9.45058,8.78306,13.3558066666667,3.08372314849369
"ABCA9",5259,10.626,5044,10.9391,5832,12.3886,11.3179,4.27399,5.11216,7.20997,5.53204,1.88576616187286
"ABCB1",995,0.828961,1158,1.03552,996,0.872385,0.912288666667,56.67174,57.67064,29.77937,48.0405833333333,0.0389940032660093
"ABCB10",355,1.47221,460,2.04757,446,1.94452,1.82143333333,4.88692,5.44375,6.03016,5.45361,0.437186835481227
"ABCB11",19,0.0286572,12,0.0194269,19,0.0301282,0.0260707666667,0,0.13817,0,0.0460566666666667,0.980894056090046
"ABCB4",69,0.153091,99,0.235763,83,0.193605,0.194153,0.6295,3.48179,2.20669,2.10599333333333,0.384467341634131
"ABCB5",16,0.0172721,27,0.0312846,21,0.0238333,0.02413,0.08283,0,0.08739,0.05674,0.969140942899862
"ABCB6",899,17.0286,863,17.5457,699,13.9198,16.1647,81.18919,69.71874,70.61404,73.8406566666667,0.229349938449231
"ABCB7",498,0.823202,595,1.05569,653,1.13482,1.00457066667,9.39283,10.44538,6.99149,8.94323333333333,0.201601491131657
"ABCB8",1140,10.2865,1000,9.68508,836,7.93062,9.30073333333,32.81693,34.40342,28.81804,32.0127966666667,0.312022438975331
"ABCB9",1253,3.60629,1433,4.42686,1068,3.23161,3.75492,28.26133,22.82508,50.88493,33.9904466666667,0.135891949173936
"ABCC1",825,0.744849,630,0.610513,796,0.755554,0.703638666667,4.15803,4.17262,3.45205,3.92756666666667,0.345736299864098
"ABCC10",821,6.21923,787,6.39895,608,4.84212,5.8201,43.66756,37.52598,47.14886,42.7808,0.155778332054234
"ABCC12",22,0.0512362,10,0.0249974,9,0.0220361,0.0327565666667,0.19879,0.11053,5.26547,1.85826333333333,0.361323099457841
