"Hs_symbol","hDRG1_read","hDRG1_TPM","hDRG2_read","hDRG2_TPM","hDRG3_read","hDRG3_TPM","hDRG_Avg_TPM","Spinal_cord","dHs_Avg_TPM","FoldChange"
"ABHD14B",619,7.25763,689,8.6709,638,7.86436,7.93096333333,19.67575,19.67575,0.431953536550306
"ABHD15",318,8.55867,325,9.38864,418,11.8275,9.92493666667,2.48274,2.48274,3.13687977473771
"ABHD16A",1232,13.1221,1310,14.9763,1014,11.3545,13.1509666667,94.22016,94.22016,0.148613136826277
"ABHD16B",39,4.56959,46,5.7851,51,6.28234,5.54567666667,4.31377,4.31377,1.23183289202769
"ABHD2",17724,26.9491,16264,26.543,12739,20.3636,24.6185666667,5.2448,5.2448,4.10238385003523
"ABHD3",1424,4.61714,1403,4.88271,1271,4.33258,4.61081,7.97582,7.97582,0.62510277612519
"ABHD4",738,8.60724,755,9.45138,690,8.46048,8.8397,24.02055,24.02055,0.39326473638669
"ABHD5",469,1.85103,419,1.77498,452,1.8755,1.83383666667,29.73087,29.73087,0.0922146579862529
"ABHD6",462,1.38769,518,1.67002,434,1.3705,1.47607,34.57222,34.57222,0.0696068448918847
"ABHD8",802,7.73824,756,7.82943,603,6.11679,7.22815333333,21.91022,21.91022,0.359147722428244
"ABI1",1701,2.59542,1851,3.03145,2269,3.63979,3.08888666667,28.64467,28.64467,0.137929910053645
"ABI2",4245,6.20636,4621,7.25163,4889,7.5148,6.99093,34.38601,34.38601,0.225821730113115
"ABI3",335,4.56685,245,3.58491,572,8.19797,5.44991,12.78613,12.78613,0.467855010797084
"ABI3BP",385,0.275246,801,0.614658,1404,1.05528,0.648394666667,4.40687,4.40687,0.304870408696159
"ABL1",1330,1.3303,1558,1.67265,1785,1.87704,1.62666333333,29.04811,29.04811,0.0874152595065047
"ABL2",1534,2.05583,1795,2.58207,2285,3.21949,2.61913,3.69308,3.69308,0.771163074143207
