"Hs_symbol","Cortical_neurons-S17_rep_1","Cortical_neurons-S21_rep_2","Cortical_neurons-S8_rep_3","Hs_Avg_TPM","Cortical_neurons-S17_rep_1_read","Cortical_neurons-S21_rep_2_read","Cortical_neurons-S8_rep_3_read","Motor_neurons-S18_rep_1","Motor_neurons-S22_rep_2","Motor_neurons-S26_rep_3","Hs_Avg__TPM","Motor_neurons-S18_rep_1_read","Motor_neurons-S22_rep_2_read","Motor_neurons-S26_rep_3_read","FoldChange"
"AADACL2",0.015844,0,0,0.00528133333333333,1,0,0,0,0,0,0,0,0,0,1.00528133333333
"AADACL3",0.019721,0.018105,0,0.0126086666666667,1,1,0,0,0.011945,0,0.00398166666666667,0,1,0,1.00859278638886
"AADACL4",0,0,0,0,0,0,0,0.043998,0,0,0.014666,1,0,0,0.985545982618911
"AADACP1",0,0,0,0,0,0,0,0.056238,0,0,0.018746,1,0,0,0.981598946155371
"AADAT",23.254813,19.782313,24.720589,22.585905,444,388,330,16.560745,15.539194,12.933418,15.011119,429,514,491,1.47309535329792
"AAGAB",38.022919,40.964417,49.3614,42.782912,824,823,659,41.413864,42.849994,35.918127,40.0606616666667,993,1426,1315,1.06629825781749
"AAK1",10.270345,12.426278,11.917593,11.538072,2058,2373,1545,11.518232,13.289394,13.438405,12.748677,2499,3549,3550,0.911947527751216
"AAMDC",4.594566,5.205604,4.56697,4.78904666666667,17,27,14,9.532266,5.352023,7.306193,7.39682733333333,48,40,51,0.689432619828394
"AAMP",70.693659,74.272111,74.414188,73.1266526666667,751,872,576,72.348646,70.27047,54.966626,65.861914,935,1376,1193,1.10865286726112
"AANAT",0.455665,0.118631,0.121817,0.232037666666667,3,1,2,0.253842,0.182542,0.515652,0.317345333333333,1,1,6,0.935242745764462
"AAR2",12.288203,12.652486,12.834718,12.5918023333333,390,432,284,9.862522,12.742074,9.815474,10.80669,384,679,543,1.15119498634531
"AARD",0.417513,1.538506,1.037211,0.997743333333333,12,14,10,0.160926,0.129803,0.240983,0.177237333333333,5,6,12,1.69697585760107
"AARS1",48.075378,54.153052,52.673665,51.6340316666667,1568,1900,1189,61.137205,66.203897,57.698854,61.6799853333333,2513,3252,3240,0.839726292001472
"AARS1P1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"AARS2",3.755461,4.640839,4.294325,4.23020833333333,242,329,196,4.02726,4.870429,3.692426,4.196705,318,528,425,1.00644703390578
"AARSD1",63.27632,66.968262,84.250953,71.4985116666667,365,428,308,57.596898,71.665882,48.347544,59.2034413333333,392,756,544,1.20422537418182
"AASDH",3.182292,4.853213,4.954761,4.33008866666667,105,133,96,5.317648,4.075445,5.487073,4.96005533333333,154,175,182,0.894301876168264
"AASDHPPT",129.667907,110.451006,134.287207,124.80204,3231,3083,2547,104.747918,110.344793,89.985303,101.692671333333,3116,4632,3686,1.22503425382377
"AASS",4.313875,2.742641,4.506,3.854172,299,175,207,2.628604,2.250706,1.439504,2.10627133333333,225,282,185,1.56270057541657
"AATBC",0.131754,0.373232,0.069659,0.191548333333333,8,6,3,0.101052,0.061185,0.102274,0.0881703333333333,6,3,7,1.09500167100065
"AATF",14.476301,19.209898,14.950782,16.212327,208,297,163,16.465887,17.429714,15.691305,16.5289686666667,276,428,414,0.981936092608301
"AATK",14.223841,16.332434,12.634368,14.396881,449,556,369,16.385879,16.887406,16.473264,16.582183,581,867,1089,0.87570929047889
"ABALON",0.555463,1.470344,1.275691,1.10049933333333,13,38,21,1.878141,1.092098,1.292027,1.42075533333333,54,43,54,0.867704102273313
"ABAT",28.063871,26.832749,35.879571,30.2587303333333,1227,1323,1029,59.088785,64.587057,41.158971,54.9449376666667,3015,4574,3152,0.55874099850786
"ABCA1",4.057191,3.554462,2.51638,3.376011,570,529,255,4.587007,4.124422,3.096802,3.936077,771,969,758,0.886536210841119
"ABCA10",2.244064,0.973671,2.240683,1.81947266666667,34,37,31,1.20466,0.95142,0.489229,0.881769666666667,24,31,27,1.49830912710004
"ABCA11P",2.783632,1.968935,3.820819,2.85779533333333,61,48,58,1.784649,1.474793,0.919267,1.392903,51,54,37,1.61218207897827
"ABCA12",0.083238,0.230357,0.054846,0.122813666666667,9,24,5,0.060479,0.006374,0,0.0222843333333333,9,1,0,1.09833793794486
"ABCA13",0.087452,0.016383,0.151556,0.0851303333333333,5,2,6,0.018797,0.084847,0.059631,0.054425,1,8,6,1.02912045269539
"ABCA17P",2.031216,2.837622,4.432733,3.10052366666667,10,18,15,4.66571,1.657589,2.029971,2.78442333333333,35,13,40,1.08352668438256
"ABCA2",107.50449,75.111095,79.577059,87.397548,1545,1840,1190,86.10463,86.558699,80.710993,84.4581073333333,2072,2678,2585,1.03439627623862
"ABCA3",51.9705,59.537578,54.006441,55.1715063333333,4138,4756,3097,55.59978,54.652489,44.714698,51.6556556666667,4782,6902,6185,1.06677061793558
"ABCA4",0.905126,0.080781,0.014008,0.333305,7,3,1,0.709647,0.545438,0.159905,0.471663333333333,39,1,1,0.905985064518832
"ABCA5",15.166472,15.375498,16.666334,15.7361013333333,612,687,561,10.668791,9.107596,7.662206,9.14619766666667,513,604,633,1.64949490273746
"ABCA6",0.380325,0.502694,0.140608,0.341209,12,17,6,0.332708,0.201177,0.26943,0.267771666666667,9,14,15,1.05792630902252
"ABCA7",53.395405,36.508479,39.178153,43.0273456666667,1224,1180,903,42.45405,52.111696,39.796489,44.7874116666667,1395,2369,1835,0.961560045961687
"ABCA8",0.39584,0.133049,0.866773,0.465220666666667,3,4,10,0.244206,0.413915,0.141469,0.26653,6,7,6,1.15687797893983
"ABCA9",1.630893,5.875754,1.09333,2.866659,74,97,41,4.035468,0.682386,0.739211,1.81902166666667,21,27,35,1.3716315293781
