"Hs_symbol","Cortical_neurons-S17_rep_1","Cortical_neurons-S21_rep_2","Cortical_neurons-S8_rep_3","Cortical_neurons-S17_rep_1_read","Cortical_neurons-S21_rep_2_read","Cortical_neurons-S8_rep_3_read","Hs_Avg_TPM","Nociceptor(8Weeks)-S24_rep_2","Nociceptor(8Weeks)-S28_rep_3","Nociceptor(8Weeks)-S6_rep_1","Nociceptor(8Weeks)-S24_rep_2_read","Nociceptor(8Weeks)-S28_rep_3_read","Nociceptor(8Weeks)-S6_rep_1_read","Hs_Avg__TPM","FoldChange"
"WIPI2",24.050809,32.137491,36.863829,548,676,563,0,32.886959,31.229872,30.996757,889,706,791,0,1
"WIZ",21.752937,19.458914,25.722239,1072,1248,1060,1.29284933333333,16.690905,18.195924,22.589805,1295,1141,1121,0,2.29284933333333
"WLS",4.926214,8.941444,22.987337,45,121,228,0,106.880248,65.764271,111.967515,2284,1067,1552,0,1
"WNK1",152.819143,174.203107,175.71305,2064,2295,1686,11.0480246666667,229.913922,168.51061,88.417994,3256,2221,1682,75.1682986666667,0.158176365726536
"WNK2",47.819999,50.778718,67.85263,1286,1508,1077,0,23.79613,37.496259,38.87926,850,1109,1031,0,1
"WNK3",5.365582,6.206913,4.772747,498,523,381,2.91864633333333,1.482279,1.858848,1.934809,314,301,287,2.98681333333333,0.98290188320831
"WNK4",0.329822,0.382896,0.600107,6,8,10,0.917274666666667,6.785842,8.722521,0.525705,20,12,9,0,1.91727466666667
"WNT1",0,0.063779,0,0,1,0,2.19159333333333,0.098765,0,0,2,0,0,2.23848233333333,0.985521304372305
"WNT10A",0.416731,0.075348,0,2,2,0,0,0.295082,0.350602,0,2,1,0,0,1
"WNT10B",1.834197,2.573041,1.82433,38,52,29,16.1490283333333,1.960058,1.596629,2.548989,53,41,51,17.7164166666667,0.916255960676233
"WNT11",0,0.194833,0.061184,0,5,1,0.586982,1.438653,0.121055,0.417942,30,2,4,0.322068666666667,1.20037789262585
"WNT16",0.1623,0.075756,0.100813,6,3,2,0,0.101613,0.534901,0.319377,4,15,11,0,1
"WNT2",0,0.241305,0,0,4,0,0.140194,0,0.085945,0.298046,0,2,1,0.268285,0.899004561277631
"WNT2B",1.380688,1.312155,1.704124,134,157,93,0,0.486695,1.207446,1.162523,76,99,82,0,1
"WNT3",1.943214,2.030681,3.007617,82,94,85,3.010841,2.561417,1.765724,2.379088,142,80,95,4.740203,0.698728076341551
"WNT3A",0,0,0,0,0,0,604.595545,0,0.024525,0,0,1,0,509.216877333333,1.18693750031392
"WNT4",2.208072,1.798153,1.97587,68,70,39,0,0.525508,0.759582,0.321171,20,13,12,0,1
"WNT5A",1.040764,2.167658,2.511087,69,120,97,16.1900913333333,2.733346,1.429422,1.357944,187,62,78,26.8137066666667,0.618043885316976
"WNT5B",3.594784,3.359127,5.531355,72,90,65,0,5.054367,3.335907,2.486692,174,62,43,0,1
"WNT6",0,0,0,0,0,0,0,0.124625,0,0,3,0,0,0,1
"WNT7A",0.019138,0.420318,0.054023,1,2,2,7.192659,0.364476,0.071242,0.490209,27,4,6,20.325443,0.384172980603498
"WNT7B",3.841103,9.675293,16.469173,183,467,575,80.3355403333333,9.90038,0.605334,0.973356,633,33,34,149.269847333333,0.54126321265844
"WNT8A",0.103798,0.285589,0.104485,2,6,1,68.601122,0.052487,0,0,1,0,0,27.8899976666667,2.4091771416204
"WNT8B",0.114789,0.068648,0.270981,3,2,5,0,0.053147,0.035173,0.040276,2,1,1,5.60016366666667,0.151511394338656
"WNT9A",1.852728,2.607217,2.212751,97,152,82,0,2.760265,3.576062,3.581982,208,204,178,0,1
"WNT9B",0.121186,0.230392,0,4,12,0,0,0.32266,0.057224,0.128589,19,2,5,0,1
"WRAP53",3.506278,4.729231,3.105334,70,103,51,3.63227966666667,5.565003,4.823734,5.531621,135,124,104,2.80465333333333,1.2175300246365
"WRAP73",9.350642,6.934214,10.7638,174,213,142,44.6145583333333,12.075441,9.936803,9.727733,350,210,206,47.601316,0.938545745002735
"WRB.SH3BGR",0.549371,0,0,13,0,0,0,0.353172,0.350633,0,8,9,0,0,1
"WRN",5.210672,4.432537,4.718269,185,173,158,2.71021533333333,9.813972,5.376606,7.255122,454,232,245,4.04609466666667,0.735264710319875
"WRNIP1",24.944107,23.495758,25.25499,498,543,355,0,20.586277,18.813652,21.584714,581,419,401,0,1
"WSB1",118.865947,128.136573,168.822642,3771,3867,3546,0.277446666666667,411.461916,159.060471,154.787522,14490,4807,4841,0.143923666666667,1.11672369747282
"WSB2",133.931257,164.494676,168.941023,2710,3256,2321,0,93.46841,95.433915,116.510096,2312,1947,2069,0,1
"WSCD1",6.186464,6.990203,7.537019,451,543,329,0,6.298877,1.785529,6.338757,640,73,371,0,1
"WSCD2",2.207482,4.9372,7.999457,76,120,115,1.49206333333333,4.836524,1.592415,2.213293,138,44,68,1.40201366666667,1.03748923993077
"WSPAR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"WT1",0,0,0.035474,0,0,1,0,0.036051,0,0,2,0,0,0,1
"WT1.AS",0.020143,0,0,1,0,0,0,0,0.066833,0,0,1,0,11.200327,0.0819650161835826
"WTAP",31.429669,32.946139,36.650534,752,843,617,0,29.048346,31.954669,40.902661,973,814,932,0,1
"WTAPP1",0.05918,0,0.372841,2,0,2,0,0.212074,0.027891,0,2,1,0,0,1
"WTIP",6.673041,8.285251,5.278636,234,277,187,0,6.387138,4.719899,5.061827,323,139,138,0,1
"WWC1",4.642949,15.528543,16.697385,68,107,74,5.39449433333333,41.750353,33.747756,25.818849,379,128,155,0,6.39449433333333
"WWC2",3.505408,2.832018,5.800033,219,211,185,0,6.592285,4.635863,2.912827,414,201,203,0,1
"WWC2.AS1",0,0,0,0,0,0,0,0.325171,0,0,1,0,0,0,1
"WWC2.AS2",0,0,0,0,0,0,0,0.086421,0.076782,0,3,2,0,0,1
"WWC3",3.539513,4.027891,3.324384,231,225,146,0,5.858936,4.120098,5.569714,658,289,321,0,1
"WWOX",17.263878,14.990596,23.157804,127,163,106,0.0787163333333333,12.866552,14.932753,13.245023,169,154,108,0.0174653333333333,1.06019959402384
"WWP1",19.343734,24.826743,29.176902,521,578,446,11.0480246666667,28.035336,21.435456,22.164522,719,458,520,13.8792343333333,0.809720742126897
"WWP2",18.631913,13.586362,20.551264,440,442,323,3.92220866666667,18.573786,17.364159,17.329675,649,475,492,2.80008166666667,1.29529023279763
"WWTR1",1.046947,2.127361,4.896167,27,98,96,0.019598,94.924378,30.934436,32.775294,3945,1051,1112,0.039948,0.980431713893387
"WWTR1.AS1",0.101673,0.139172,0.669905,2,3,3,0,0.150089,0.437807,0.052662,4,4,1,0,1
"XAB2",9.853545,9.005122,12.951018,279,326,250,0,12.864033,11.584917,10.5204,588,389,344,0,1
"XAF1",0.464053,0.317506,0,12,8,0,0.011859,5.355775,3.00713,2.270755,126,62,31,0.02648,0.985756176447666
